Fiscal Year,LEA ID,LEA Name,School Entity ID,School Name,Charter,Subgroup,Dropout Rate
2019,4153,St Johns Unified District,4710,St Johns Middle School,N,All,1.23
2019,4153,St Johns Unified District,4711,St Johns High School,N,All,1.28
2019,4153,St Johns Unified District,89607,St. Johns Learning Center,N,All,27.78
2019,4154,Window Rock Unified District,4716,Tsehootsooi Middle School,N,All,0.50
2019,4154,Window Rock Unified District,4717,Window Rock High School,N,All,5.40
2019,4155,Round Valley Unified District,4720,Round Valley Middle School,N,All,0.43
2019,4155,Round Valley Unified District,4721,Round Valley High School,N,All,1.49
2019,4155,Round Valley Unified District,92686,White Mountain Academy,N,All,25.64
2019,4156,Sanders Unified District,4723,Sanders Middle School,N,All,3.42
2019,4156,Sanders Unified District,4724,Valley High School,N,All,6.59
2019,4157,Ganado Unified School District,4727,Ganado Middle School,N,All,1.36
2019,4157,Ganado Unified School District,4728,Ganado High School,N,All,4.01
2019,4158,Chinle Unified District,4731,Chinle Junior High School,N,All,7.66
2019,4158,Chinle Unified District,4734,Many Farms Elementary School,N,All,2.46
2019,4158,Chinle Unified District,4735,Tsaile Elementary School,N,All,7.69
2019,4158,Chinle Unified District,4737,Chinle High School,N,All,8.54
2019,4159,Red Mesa Unified District,4739,Round Rock Elementary School,N,All,20.00
2019,4159,Red Mesa Unified District,4740,Red Mesa Junior High School,N,All,3.06
2019,4159,Red Mesa Unified District,4741,Red Mesa High School,N,All,1.37
2019,4159,Red Mesa Unified District,88386,Red Valley/Cove High School,N,All,7.32
2019,4160,Concho Elementary District,4742,Concho Elementary School,N,All,2.70
2019,4161,Alpine Elementary District,4743,Alpine Elementary School,N,All,7.69
2019,4162,Vernon Elementary District,4744,Vernon Elementary School,N,All,0.00
2019,4163,Mcnary Elementary District,4745,Mcnary Elementary School,N,All,0.00
2019,4167,Fort Huachuca Accommodation District,4748,Colonel Smith Middle School,N,All,0.00
2019,4168,Tombstone Unified District,4749,Huachuca City School,N,All,1.09
2019,4168,Tombstone Unified District,4750,Walter J Meyer School,N,All,0.00
2019,4168,Tombstone Unified District,4751,Tombstone High School,N,All,2.53
2019,4169,Bisbee Unified District,4753,Lowell School,N,All,6.42
2019,4169,Bisbee Unified District,4754,Bisbee High School,N,All,4.56
2019,4170,Willcox Unified District,4756,Willcox Middle School,N,All,5.64
2019,4170,Willcox Unified District,4757,Willcox High School,N,All,2.95
