Fiscal Year,LEA ID,LEA Name,School Entity ID,School Name,County,Charter,Subgroup,Dropout Rate
2021,85540,"Academy of Building Industries, Inc.",85541,Academy of Building Industries,Mohave,Y,All,13.91
2021,90878,"Academy of Mathematics and Science South, Inc.",1000378,Academy of Math and Science Avondale,Maricopa,Y,All,5.82
2021,90878,"Academy of Mathematics and Science South, Inc.",1000119,Academy of Math and Science Glendale,Maricopa,Y,All,15.14
2021,90878,"Academy of Mathematics and Science South, Inc.",1000118,Academy of Math and Science Peoria Advanced,Maricopa,Y,All,10.49
2021,92768,"Academy of Mathematics and Science, Inc.",92769,Academy of Math and Science Camelback,Maricopa,Y,All,4.74
2021,79213,Academy with Community Partners  Inc,10795,Academy with Community Partners,Maricopa,Y,All,21.9
2021,4297,"Accelerated Learning Center, Inc.",5462,Accelerated Learning Center,Maricopa,Y,All,7.43
2021,4289,Agua Fria Union High School District,5454,Agua Fria High School,Maricopa,N,All,3.55
2021,4289,Agua Fria Union High School District,932049,Canyon View High School,Maricopa,N,All,2
2021,4289,Agua Fria Union High School District,79799,Desert Edge High School,Maricopa,N,All,2.22
2021,4289,Agua Fria Union High School District,78926,Millennium High School,Maricopa,N,All,2.93
2021,4289,Agua Fria Union High School District,87903,Verrado High School,Maricopa,N,All,2
2021,79053,AIBT Non-Profit Charter High School - Phoenix,79123,Career and College Prep,Maricopa,Y,All,24.31
2021,4409,Ajo Unified District,6292,Ajo High School,Pima,N,All,9.09
2021,4280,Alhambra Elementary District,5384,Barcelona Elementary School,Maricopa,N,All,3.85
2021,4280,Alhambra Elementary District,5391,Choice Learning Academy,Maricopa,N,All,5.78
2021,4280,Alhambra Elementary District,5387,Granada Elementary School-East Campus,Maricopa,N,All,2.44
2021,4418,Altar Valley Elementary District,5859,Altar Valley Middle School,Pima,N,All,10.29
2021,80995,American Charter Schools Foundation d.b.a. Alta Vista High School,80996,Alta Vista High School,Pima,Y,All,2.55
2021,79883,American Charter Schools Foundation d.b.a. Apache Trail High School,6346,Apache Trail High School,Pinal,Y,All,26.25
2021,79874,American Charter Schools Foundation d.b.a. Crestview College Preparatory High Sc,78813,Crestview College Preparatory High School,Maricopa,Y,All,38.29
2021,79872,American Charter Schools Foundation d.b.a. Desert Hills High School,78901,Desert Hills High School,Maricopa,Y,All,20.63
2021,79873,American Charter Schools Foundation d.b.a. Estrella High School,78900,Estrella High School,Maricopa,Y,All,28.43
2021,79875,American Charter Schools Foundation d.b.a. Peoria Accelerated High School,78817,Peoria Accelerated High School,Maricopa,Y,All,29.09
2021,80989,American Charter Schools Foundation d.b.a. South Pointe High School,80990,South Pointe High School,Maricopa,Y,All,28.3
