year,mergecode,droprate
21,85540-85541,13.91
21,90878-1000378,5.82
21,90878-1000119,15.14
21,90878-1000118,10.49
21,92768-92769,4.74
21,79213-10795,21.9
21,4297-5462,7.43
21,4289-5454,3.55
21,4289-932049,2.0
21,4289-79799,2.22
21,4289-78926,2.93
21,4289-87903,2.0
21,79053-79123,24.31
21,4409-6292,9.09
21,4280-5384,3.85
21,4280-5391,5.78
21,4280-5387,2.44
21,4418-5859,10.29
21,80995-80996,2.55
21,79883-6346,26.25
21,79874-78813,38.29
21,79872-78901,20.63
21,79873-78900,28.43
21,79875-78817,29.09
21,80989-80990,28.3
21,88334-88335,5.25
21,79877-6347,36.76
21,79879-6348,33.73
21,4348-509281,2.0
21,4348-90769,2.0
21,79461-81178,11.9
21,4406-91755,7.05
21,4406-6055,10.86
21,4406-5805,6.31
21,4406-5808,2.0
21,4406-5799,4.64
21,4406-79378,2.0
21,4406-5804,6.65
21,4406-5806,3.27
21,4443-5923,3.04
21,4346-5520,21.19
21,87407-81179,3.64
21,90758-91184,12.39
21,90758-91246,18.17
21,346763-92248,4.65
21,91303-91304,7.81
21,522074-860177,3.59
21,4272-91985,3.19
21,79929-80006,23.33
21,89869-89870,4.2
21,4508-6192,28.42
21,4412-90822,29.35
21,4412-5847,11.65
21,4412-5846,10.39
21,4268-5319,6.22
21,4355-92270,2.0
21,4169-4754,12.35
21,4397-5648,7.97
21,81041-81042,32.73
21,81041-81182,23.9
21,4284-5424,3.52
21,4284-91826,17.74
21,4284-79376,2.43
21,4284-89573,3.15
21,4378-6048,2.11
21,90327-88289,2.17
21,4470-6100,3.8
21,4470-6099,4.1
21,4470-1000257,17.62
21,81029-81030,28.51
21,81029-605648,17.68
21,4400-5652,26.51
21,79047-80025,5.7
21,79047-80430,48.0
21,79047-79129,17.71
21,4282-5406,2.37
21,4282-5411,2.74
21,4282-78980,2.0
21,4282-89955,2.0
21,4446-79692,3.25
21,4446-5934,4.68
21,4446-89579,3.65
21,4453-5948,8.17
21,4453-90084,8.88
21,4410-5839,2.52
21,4410-5837,3.28
21,4244-5137,2.0
21,4191-4801,11.11
21,4242-79633,2.0
21,4242-5127,3.27
21,4242-91282,2.0
21,4242-92892,2.0
21,4242-6015,2.0
21,4242-5123,2.0
21,4242-89613,2.0
21,4242-87519,2.0
21,4242-5110,2.0
21,4158-4737,8.27
21,4158-4731,8.01
21,4158-4735,11.57
21,4474-6110,3.5
21,10386-1001242,60.87
21,10386-85842,27.88
21,10386-81127,26.39
21,4370-5567,10.46
21,4381-90858,28.28
21,4381-5592,2.95
21,4381-5593,2.65
21,79467-79468,17.26
21,4442-92608,25.83
21,4442-5916,7.36
21,4442-5914,9.18
21,79077-79099,25.83
21,4487-1000158,7.06
21,90331-87412,29.91
21,80032-80033,34.8
21,4501-78935,2.3
21,4501-6172,2.54
21,4246-5162,4.34
21,4246-85850,2.0
21,4246-5161,2.62
21,4246-79414,2.0
21,4246-5163,2.0
21,79441-79442,29.15
21,4174-4773,5.43
21,4174-4771,3.53
21,4174-4770,3.59
21,4243-5133,2.0
21,4243-90875,2.12
21,4243-90134,2.0
21,4243-88417,2.0
21,4243-81113,2.0
21,78833-78836,44.93
21,4421-5860,29.05
21,4421-80928,35.71
21,79981-79982,5.61
21,6446-10849,7.2
21,4329-5500,11.84
21,92226-90377,5.7
21,81052-89920,31.15
21,90201-90844,11.44
21,90201-90202,29.27
21,79059-90768,18.45
21,79059-81143,13.81
21,79059-90815,6.77
21,79059-79117,10.58
21,91277-92975,3.38
21,4335-5507,4.38
21,4192-4820,5.41
21,4192-4819,2.76
21,4192-4817,3.18
21,4192-230656,14.94
21,4192-90191,2.12
21,4192-4803,16.67
21,4437-5897,2.53
21,4437-90781,2.0
21,4437-92280,8.16
21,4437-90309,2.0
21,4437-89907,2.05
21,4405-91832,6.11
21,4405-5791,2.58
