LEA Name,LEA Entity ID,School Name,School Entity ID,SchoolCTDS,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Total
A Center for Creative Education,79457,,,           _,All Students,*,*,*,12,48,*,*,71
A Center for Creative Education,79457,,,           _,ELL Students,*,*,*,*,*,*,*,*
A Center for Creative Education,79457,,,           _,Free Lunch Students,*,*,*,*,18,*,*,29
A Center for Creative Education,79457,,,           _,Sped Students,*,*,*,*,*,*,*,*
A Center for Creative Education,79457,Montessori Childrens House,80003,138761102,All Students,*,*,*,*,*,*,*,13
A Center for Creative Education,79457,Montessori Childrens House,80003,138761102,ELL Students,*,*,*,*,*,*,*,*
A Center for Creative Education,79457,Montessori Childrens House,80003,138761102,Free Lunch Students,*,*,*,*,*,*,*,*
A Center for Creative Education,79457,Montessori Childrens House,80003,138761102,Sped Students,*,*,*,*,*,*,*,*
A Center for Creative Education,79457,Verde Valley Montessori School - A Center for Creative Education,79458,138761101,All Students,*,*,*,*,45,*,*,58
A Center for Creative Education,79457,Verde Valley Montessori School - A Center for Creative Education,79458,138761101,ELL Students,*,*,*,*,*,*,*,*
A Center for Creative Education,79457,Verde Valley Montessori School - A Center for Creative Education,79458,138761101,Free Lunch Students,*,*,*,*,18,*,*,29
A Center for Creative Education,79457,Verde Valley Montessori School - A Center for Creative Education,79458,138761101,Sped Students,*,*,*,*,*,*,*,*
AIBT Non-Profit Charter High School - Phoenix,79053,,,           _,All Students,*,*,47,308,22,*,*,391
AIBT Non-Profit Charter High School - Phoenix,79053,,,           _,ELL Students,*,*,*,*,*,*,*,*
AIBT Non-Profit Charter High School - Phoenix,79053,,,           _,Free Lunch Students,*,*,41,273,17,*,*,344
AIBT Non-Profit Charter High School - Phoenix,79053,,,           _,Sped Students,*,*,*,39,*,*,*,51
AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,078793201,All Students,*,*,47,308,22,*,*,391
