LEA Name,LEA Entity ID,School Name,School Entity ID,SchoolCTDS,Subgroup,EthnicAsian,EthnicAmericanIndianAlaskaNative,EthnicBlackAfricanAmerican,EthnicHispanicLatino,EthnicWhite,EthnicNativeHawaiianOthPacIslan,Missing_Ethnicity,Total,
Arizona,,,,           _,All Students,32238,51462,60126,511608,438025,4135,32898,1130492,
Arizona,,,,           _,English Learners,3846,2081,3629,73773,3965,398,*,87692,
Arizona,,,,           _,Free Lunch,7369,30097,42391,336489,120055,1924,14311,552636,
Arizona,,,,           _,Students With Disabilities,2318,10512,12645,78197,68548,487,5359,178066,
Arizona,,,,           _,Reduced Lunch,1648,2954,5103,41746,28415,*,2662,82528,
A Center for Creative Education,79457,,,           _,All Students,*,*,*,14,44,*,*,64,
A Center for Creative Education,79457,,,           _,English Learners,*,*,*,*,*,*,*,*,
A Center for Creative Education,79457,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
A Center for Creative Education,79457,,,           _,Students With Disabilities,*,*,*,*,*,*,*,*,
A Center for Creative Education,79457,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
A Center for Creative Education,79457,Verde Valley Montessori School - A Center for Creative Education,79458,138761101,All Students,*,*,*,14,44,*,*,64,
A Center for Creative Education,79457,Verde Valley Montessori School - A Center for Creative Education,79458,138761101,English Learners,*,*,*,*,*,*,*,*,
A Center for Creative Education,79457,Verde Valley Montessori School - A Center for Creative Education,79458,138761101,Free Lunch,*,*,*,*,*,*,*,*,
A Center for Creative Education,79457,Verde Valley Montessori School - A Center for Creative Education,79458,138761101,Students With Disabilities,*,*,*,*,*,*,*,*,
A Center for Creative Education,79457,Verde Valley Montessori School - A Center for Creative Education,79458,138761101,Reduced Lunch,*,*,*,*,*,*,*,*,
ACCEL,7355,,,           _,All Students,*,*,*,*,*,*,*,*,
ACCEL,7355,,,           _,English Learners,*,*,*,*,*,*,*,*,
ACCEL,7355,,,           _,Free Lunch,*,*,*,*,*,*,*,*,
ACCEL,7355,,,           _,Students With Disabilities,*,*,*,*,*,*,*,*,
ACCEL,7355,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
ACCEL,7355,ACCEL Metro Campus,7356,072164001,All Students,*,*,*,*,*,*,*,*,
ACCEL,7355,ACCEL Metro Campus,7356,072164001,English Learners,*,*,*,*,*,*,*,*,
ACCEL,7355,ACCEL Metro Campus,7356,072164001,Free Lunch,*,*,*,*,*,*,*,*,
ACCEL,7355,ACCEL Metro Campus,7356,072164001,Students With Disabilities,*,*,*,*,*,*,*,*,
ACCEL,7355,ACCEL Metro Campus,7356,072164001,Reduced Lunch,*,*,*,*,*,*,*,*,
AIBT Non-Profit Charter High School - Phoenix,79053,,,           _,All Students,*,*,25,192,15,*,*,240,
AIBT Non-Profit Charter High School - Phoenix,79053,,,           _,English Learners,*,*,*,*,*,*,*,*,
AIBT Non-Profit Charter High School - Phoenix,79053,,,           _,Free Lunch,*,*,81,399,39,*,*,536,
AIBT Non-Profit Charter High School - Phoenix,79053,,,           _,Students With Disabilities,*,*,18,59,12,*,*,91,
AIBT Non-Profit Charter High School - Phoenix,79053,,,           _,Reduced Lunch,*,*,*,*,*,*,*,*,
AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,078793201,All Students,*,*,25,192,15,*,*,240,
AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,078793201,English Learners,*,*,*,*,*,*,*,*,
AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,078793201,Free Lunch,*,*,81,399,39,*,*,536,
AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,078793201,Students With Disabilities,*,*,18,59,12,*,*,91,
AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,078793201,Reduced Lunch,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,89949,,,           _,All Students,*,*,42,290,33,*,13,389,
ASU Preparatory Academy,89949,,,           _,English Learners,*,*,*,*,*,*,*,17,
ASU Preparatory Academy,89949,,,           _,Free Lunch,*,*,16,151,13,*,*,187,
ASU Preparatory Academy,89949,,,           _,Students With Disabilities,*,*,*,32,*,*,*,38,
ASU Preparatory Academy,89949,,,           _,Reduced Lunch,*,*,*,28,*,*,*,39,
ASU Preparatory Academy,89949,ASU Preparatory Academy - Casa Grande HS,635758,118716001,All Students,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,89949,ASU Preparatory Academy - Casa Grande HS,635758,118716001,English Learners,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,89949,ASU Preparatory Academy - Casa Grande HS,635758,118716001,Free Lunch,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,89949,ASU Preparatory Academy - Casa Grande HS,635758,118716001,Students With Disabilities,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,89949,ASU Preparatory Academy - Casa Grande HS,635758,118716001,Reduced Lunch,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,89949,ASU Preparatory Academy- Phoenix Elementary,90271,078546102,All Students,*,*,42,290,33,*,13,389,
ASU Preparatory Academy,89949,ASU Preparatory Academy- Phoenix Elementary,90271,078546102,English Learners,*,*,*,*,*,*,*,17,
ASU Preparatory Academy,89949,ASU Preparatory Academy- Phoenix Elementary,90271,078546102,Free Lunch,*,*,16,151,13,*,*,187,
ASU Preparatory Academy,89949,ASU Preparatory Academy- Phoenix Elementary,90271,078546102,Students With Disabilities,*,*,*,32,*,*,*,38,
ASU Preparatory Academy,89949,ASU Preparatory Academy- Phoenix Elementary,90271,078546102,Reduced Lunch,*,*,*,28,*,*,*,39,
ASU Preparatory Academy,91303,,,           _,All Students,13,*,41,313,24,*,*,408,
ASU Preparatory Academy,91303,,,           _,English Learners,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91303,,,           _,Free Lunch,*,*,23,204,*,*,*,241,
ASU Preparatory Academy,91303,,,           _,Students With Disabilities,*,*,*,29,*,*,*,38,
ASU Preparatory Academy,91303,,,           _,Reduced Lunch,*,*,*,24,*,*,*,41,
ASU Preparatory Academy,91303,ASU Preparatory Academy- Phoenix High School,91304,078207001,All Students,13,*,41,313,24,*,*,408,
