year,mergecode,districtcode,schoolcode,black,hispanic,white,totalenroll
16,79457-79458,79457,79458,0.0,0.0,71.43,70
16,79053-79123,79053,79123,14.0,73.71,8.0,350
16,89869-89870,89869,89870,10.49,30.07,16.08,143
16,90199-90200,90199,90200,0.0,65.14,26.61,109
16,90199-90770,90199,90770,0.0,81.31,13.05,567
16,4296-5461,4296,5461,49.57,37.39,0.0,115
16,85540-85541,85540,85541,0.0,0.0,77.67,103
16,90878-92197,90878,92197,8.6,85.35,0.0,314
16,79961-79094,79961,79094,4.18,62.88,21.81,431
16,92768-92769,92768,92769,5.04,91.69,0.0,397
16,78897-81130,78897,81130,0.0,24.49,65.31,294
16,78897-78898,78897,78898,0.0,19.48,67.53,154
16,78897-79986,78897,79986,5.68,24.62,59.47,264
16,79213-10795,79213,10795,0.0,56.14,26.32,57
16,6364-5891,6364,5891,0.0,52.17,38.16,207
16,4297-5462,4297,5462,0.0,16.08,76.38,199
16,4325-5496,4325,5496,0.0,96.04,0.0,404
16,79437-79438,79437,79438,0.0,29.78,65.2,319
16,79437-88180,79437,88180,0.0,35.29,58.82,119
16,4289-5454,4289,5454,11.49,64.37,19.48,1740
16,4289-79799,4289,79799,13.55,49.89,28.57,1778
16,4289-78926,4289,78926,9.88,36.63,41.8,2206
16,4289-87903,4289,87903,5.55,36.42,51.28,1911
16,4249-5187,4249,5187,0.0,93.55,0.0,155
16,4249-4987,4249,4987,0.0,97.87,0.0,47
16,90758-91246,90758,91246,0.0,0.0,63.64,22
16,85875-91184,85875,91184,0.0,24.14,55.17,58
16,4409-5831,4409,5831,0.0,65.23,18.77,325
16,4409-6292,4409,6292,0.0,66.94,12.4,121
16,5978-10797,5978,10797,0.0,0.0,0.0,159
16,78966-78967,78966,78967,0.0,0.0,0.0,140
16,4280-5381,4280,5381,7.42,69.5,18.08,741
16,4280-5382,4280,5382,6.03,84.66,5.05,1128
16,4280-5384,4280,5384,14.6,70.06,8.96,815
16,4280-6030,4280,6030,15.56,69.21,8.43,617
16,4280-5385,4280,5385,7.38,78.65,9.14,1138
16,4280-5386,4280,5386,4.5,80.72,4.5,778
16,4280-6031,4280,6031,7.89,76.97,5.68,317
16,4280-5387,4280,5387,3.6,91.35,2.07,1110
16,4280-5388,4280,5388,4.69,88.67,2.97,874
16,4280-5383,4280,5383,5.71,87.66,3.11,964
16,4280-5389,4280,5389,9.83,76.47,3.28,1343
16,4280-5391,4280,5391,8.53,75.77,4.57,809
16,4280-5390,4280,5390,7.81,79.49,5.71,858
16,4280-79203,4280,79203,8.12,78.91,6.66,1157
16,4280-5392,4280,5392,7.02,79.04,4.68,897
16,79969-79970,79969,79970,11.86,54.24,27.12,118
16,4347-5521,4347,5521,5.37,15.6,64.96,391
16,4161-4743,4161,4743,0.0,0.0,82.26,62
16,4161-4721,4161,4721,0.0,0.0,0.0,11
16,4418-5859,4418,5859,0.0,54.22,32.14,308
16,4418-5791,4418,5791,0.0,57.93,35.37,164
16,4418-5781,4418,5781,0.0,37.5,54.17,72
16,4418-84336,4418,84336,0.0,51.34,35.48,372
16,4418-6054,4418,6054,0.0,64.71,0.0,17
16,89550-89551,89550,89551,17.46,0.0,41.27,63
16,79215-78788,79215,78788,3.96,86.03,8.15,859
16,80995-80996,80995,80996,0.0,94.58,0.0,461
16,79883-6346,79883,6346,0.0,25.71,70.71,140
16,79874-78813,79874,78813,0.0,74.1,15.54,251
16,79872-78901,79872,78901,0.0,32.66,36.68,199
16,79873-78900,79873,78900,12.79,72.09,11.63,258
16,79875-78817,79875,78817,10.55,64.03,20.72,531
16,80989-80990,80989,80990,24.38,65.5,3.72,484
16,88334-88335,88334,88335,11.46,78.43,6.52,445
16,79877-6347,79877,6347,8.75,58.1,23.46,537
16,79879-6348,79879,6348,5.06,89.88,0.0,415
16,6365-88201,6365,88201,0.0,9.09,69.09,165
16,6365-6366,6365,6366,0.0,20.82,73.72,293
16,4348-91778,4348,91778,0.0,14.35,74.16,418
16,4348-91793,4348,91793,2.43,13.07,80.32,742
16,4348-91173,4348,91173,2.69,26.72,62.69,595
16,4348-5522,4348,5522,2.94,9.75,78.95,646
16,4348-92885,4348,92885,5.27,19.27,68.8,1500
