year,mergecode,lowincome
17,7320-80290,90.0
17,7320-7322,90.0
17,90199-90200,71.0
17,90199-90770,82.0
17,4296-5461,98.0
17,90878-92197,87.0
17,79961-79094,70.0
17,92768-92769,88.0
17,7355-7356,47.0
17,4325-5496,90.0
17,79437-79438,68.0
17,79437-88180,67.0
17,80381-8327,99.0
17,78768-78771,90.0
17,78768-78769,80.0
17,4289-5454,62.0
17,4289-79799,50.0
17,4289-78926,27.0
17,4289-87903,24.0
17,4249-5187,87.0
17,79053-79123,99.0
17,4409-5831,84.0
17,4409-6292,82.0
17,92947-92948,42.0
17,92947-92967,54.5
17,4280-5381,56.0
17,4280-5382,91.0
17,4280-5384,88.0
17,4280-6030,97.0
17,4280-5385,88.0
17,4280-5386,92.0
17,4280-5387,91.0
17,4280-5388,95.0
17,4280-5383,94.0
17,4280-5389,89.0
17,4280-5391,91.0
17,4280-5390,93.0
17,4280-79203,89.0
17,4280-5392,94.0
17,79969-79970,87.0
17,86569-86572,80.0
17,86569-86574,80.0
17,86569-86575,80.0
17,86569-86576,80.0
17,86569-86577,80.0
17,4418-5859,76.0
17,4418-84336,94.0
17,79215-78788,76.0
17,80995-80996,84.0
17,79883-6346,77.0
17,79874-78813,74.0
17,79872-78901,43.0
17,79873-78900,66.0
17,79875-78817,73.0
17,80989-80990,90.0
17,88334-88335,70.0
17,79877-6347,78.0
17,79879-6348,96.0
17,9655-80313,80.0
17,4406-6055,78.0
17,4406-5805,92.0
17,4406-5808,25.0
17,4406-5802,19.0
17,4406-5799,45.0
17,4406-5796,97.0
17,4406-5794,86.0
17,4406-5795,95.0
17,4406-79378,15.0
17,4406-5797,94.0
17,4406-5804,83.0
17,4406-5806,31.0
17,4406-5798,62.0
17,4406-5792,60.0
17,4406-5800,44.0
17,4406-79282,14.0
17,4406-5807,16.0
17,4406-5803,62.0
17,4406-5801,88.0
17,4406-5793,21.0
17,4506-6188,86.0
17,4506-92739,34.5
17,4443-5925,52.0
17,4443-5923,67.0
17,4443-5922,69.0
17,4443-5920,81.0
17,4443-79631,60.0
17,79426-79432,89.0
17,6378-10755,92.0
17,79947-79950,77.0
17,79947-81187,74.0
17,79947-91805,91.0
17,79812-79813,92.0
17,85749-85750,14.0
17,6393-80462,77.0
17,4274-5354,76.0
17,4187-4797,80.0
17,4471-6101,56.0
17,80380-92289,95.0
17,92325-92326,64.0
17,89949-90271,65.0
17,91303-91304,62.0
17,4272-91985,90.0
17,4272-87619,61.0
17,4272-90028,41.0
17,4272-79670,66.0
17,4272-79792,57.0
17,4272-5348,90.0
17,4272-5349,87.0
17,4272-5347,92.0
17,4272-80181,66.0
17,4272-78924,58.0
17,4508-6192,92.0
17,4412-90822,90.0
17,4412-90821,80.0
17,4412-5847,89.0
17,4412-5846,87.0
17,4412-5844,99.0
17,90039-90544,80.0
17,4468-6088,46.0
17,4468-6089,32.0
17,79204-10729,34.0
17,4294-10730,44.0
17,4268-5319,93.0
17,4268-81141,99.0
17,4268-5320,99.0
17,4268-5321,83.0
17,4268-92301,44.5
17,4481-6116,66.0
17,79983-79507,69.0
17,79226-4799,41.0
17,79226-4794,49.0
17,79226-4793,55.0
17,79226-85879,64.5
17,4515-6203,82.0
17,4169-4754,72.0
17,4169-4752,74.0
17,4169-4753,72.0
17,9688-80426,90.0
17,91760-91761,88.0
17,4397-5645,39.0
17,4397-5648,34.0
17,4397-5647,40.0
17,4397-5646,47.0
17,4224-4896,52.0
17,4513-6201,74.5
17,4171-4758,95.0
17,4171-4759,80.0
17,4305-5470,85.0
17,81097-81098,90.0
17,4269-81110,76.0
17,4269-87473,98.0
17,4269-90341,55.0
17,4269-89572,62.0
17,4269-87471,55.0
17,4269-88398,55.0
17,4284-5424,69.0
17,4284-79376,33.0
17,4284-89573,62.0
17,4378-5587,89.0
17,4378-5583,99.0
17,4378-5584,99.0
17,4378-5585,72.0
17,4378-6048,66.0
17,4378-79655,79.0
17,90328-88290,75.0
17,90327-88289,35.0
17,90327-92235,42.0
17,79971-81102,85.0
17,79055-80463,41.0
17,79905-79906,85.0
17,4470-84659,84.5
17,4470-6098,76.0
17,4470-6100,62.0
17,4470-6099,73.0
17,4470-90137,74.5
17,4484-6119,82.0
17,79302-79303,99.0
17,79302-89565,95.0
17,4400-5652,92.0
17,4282-79283,91.0
17,4282-5414,67.0
17,4282-5398,92.0
17,4282-5405,67.0
17,4282-5406,86.0
17,4282-5411,84.0
17,4282-5407,87.0
17,4282-6032,88.0
17,4282-5399,96.0
17,4282-5409,92.0
17,4282-5402,89.0
17,4282-5400,92.0
17,4282-5401,92.0
17,4282-81109,87.0
17,4282-78980,86.0
17,4282-5412,92.0
17,4282-5413,88.0
17,4282-89955,94.0
17,4282-91270,67.0
17,4282-80352,86.0
17,4282-5404,85.0
17,4282-5403,88.0
17,4282-5415,72.0
17,91934-92498,98.0
17,80246-80247,98.0
17,79389-80314,90.0
17,4446-79692,65.0
17,4446-5934,91.0
17,4446-5935,81.0
17,4446-5929,99.0
17,4446-87948,61.0
17,4446-5930,95.0
17,4446-5936,62.0
17,4446-89578,67.0
17,4446-5937,94.0
17,4446-5932,99.0
17,4446-5933,99.0
17,4446-89579,63.0
17,4453-5948,60.0
17,4453-79658,47.0
17,4453-90084,67.0
17,4410-5835,17.0
17,4410-5839,13.0
17,4410-5837,12.0
17,4410-5833,11.0
17,4410-5834,14.0
17,4410-5832,13.0
17,4410-5838,13.0
