County Name,Org. Code,Organization Name,School Code,School Name / Category (include or exclude alternative schools),Grade,Total Pupil Count,Total Dropouts,Total Dropout Rate,Black Or Aftican American Pupil Count,Hispanic or Latino Pupil Count,White Pupil Count
,,,,,,,,,,,
 ,9999,STATE TOTAL,9999,STATE TOTALS (ALTERNATIVE SCHOOLS ONLY), 7,585,18,0.0310,38,162,359
 ,9999,STATE TOTAL,9999,STATE TOTALS (EXCLUDING ALTERNATIVE SCHOOLS), 7,73869,270,0.0040,3555,24478,40076
 ,9999,STATE TOTAL,9999,STATE TOTALS (INCLUDING ALTERNATIVE SCHOOLS), 7,74454,288,0.0040,3593,24640,40435
 ,9999,STATE TOTAL,9999,STATE TOTALS (ALTERNATIVE SCHOOLS ONLY), 8,760,18,0.0240,47,274,387
 ,9999,STATE TOTAL,9999,STATE TOTALS (EXCLUDING ALTERNATIVE SCHOOLS), 8,72654,298,0.0040,3562,23745,39684
 ,9999,STATE TOTAL,9999,STATE TOTALS (INCLUDING ALTERNATIVE SCHOOLS), 8,73414,316,0.0040,3609,24019,40071
 ,9999,STATE TOTAL,9999,STATE TOTALS (ALTERNATIVE SCHOOLS ONLY), 9,2413,290,0.1200,194,1190,900
 ,9999,STATE TOTAL,9999,STATE TOTALS (EXCLUDING ALTERNATIVE SCHOOLS), 9,75473,735,0.0100,3954,24678,41119
 ,9999,STATE TOTAL,9999,STATE TOTALS (INCLUDING ALTERNATIVE SCHOOLS), 9,77886,1025,0.0130,4148,25868,42019
 ,9999,STATE TOTAL,9999,STATE TOTALS (ALTERNATIVE SCHOOLS ONLY),10,3633,410,0.1130,261,1778,1409
 ,9999,STATE TOTAL,9999,STATE TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),10,68929,856,0.0120,3532,21671,38532
 ,9999,STATE TOTAL,9999,STATE TOTALS (INCLUDING ALTERNATIVE SCHOOLS),10,72562,1266,0.0170,3793,23449,39941
 ,9999,STATE TOTAL,9999,STATE TOTALS (ALTERNATIVE SCHOOLS ONLY),11,5238,840,0.1600,314,2531,2114
 ,9999,STATE TOTAL,9999,STATE TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),11,64357,1690,0.0260,3265,19081,37085
 ,9999,STATE TOTAL,9999,STATE TOTALS (INCLUDING ALTERNATIVE SCHOOLS),11,69595,2530,0.0360,3579,21612,39199
 ,9999,STATE TOTAL,9999,STATE TOTALS (ALTERNATIVE SCHOOLS ONLY),12,10957,2651,0.2420,731,5583,3952
 ,9999,STATE TOTAL,9999,STATE TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),12,61975,3038,0.0490,3177,17838,36179
 ,9999,STATE TOTAL,9999,STATE TOTALS (INCLUDING ALTERNATIVE SCHOOLS),12,72932,5689,0.0780,3908,23421,40131
 ,9999,STATE TOTAL,9999,STATE GRAND TOTALS (ALTERNATIVE SCHOOLS ONLY),ALL,23586,4227,0.1790,1585,11518,9121
 ,9999,STATE TOTAL,9999,STATE GRAND TOTALS (EXCLUDING ALTERNATIVE SCHOOLS),ALL,417257,6887,0.0170,21045,131491,232675
 ,9999,STATE TOTAL,9999,STATE GRAND TOTALS (INCLUDING ALTERNATIVE SCHOOLS),ALL,440843,11114,0.0250,22630,143009,241796
,,,,,,,,,,,
ADAMS,0010,MAPLETON 1,0000,SUMMER SCHOOL, 9,19,4,0.2110,0,11,7
ADAMS,0010,MAPLETON 1,0000,SUMMER SCHOOL DROPOUTS,ALL,19,4,0.2110,0,11,7
ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS, 7,118,0,0.0000,2,83,32
ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS, 8,135,0,0.0000,4,91,35
ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS, 9,152,0,0.0000,8,105,33
ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,10,152,0,0.0000,3,108,35
ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,11,107,1,0.0090,2,72,30
ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,12,86,7,0.0810,1,56,20
ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,ALL,750,8,0.0110,20,515,185
ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL, 9,78,3,0.0380,1,58,16
ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,10,76,0,0.0000,2,49,23
ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,11,76,1,0.0130,2,54,15
ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,12,53,0,0.0000,0,39,13
ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,ALL,283,4,0.0140,5,200,67
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY, 7,77,0,0.0000,1,67,7
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY, 8,63,0,0.0000,1,58,4
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY, 9,85,0,0.0000,3,71,7
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,10,80,2,0.0250,0,72,6
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,11,61,1,0.0160,1,50,9
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,12,27,1,0.0370,0,27,0
ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,ALL,393,4,0.0100,6,345,33
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL, 9,133,0,0.0000,3,97,29
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,10,139,4,0.0290,3,115,15
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,11,114,3,0.0260,0,86,23
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,12,81,3,0.0370,1,67,11
ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,ALL,467,10,0.0210,7,365,78
ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL, 7,75,0,0.0000,2,55,17
ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL, 8,67,0,0.0000,1,54,10
ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,ALL,142,0,0.0000,3,109,27
ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL, 7,66,0,0.0000,2,49,13
ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL, 8,64,0,0.0000,1,42,14
ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,ALL,130,0,0.0000,3,91,27
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL, 7,76,1,0.0130,1,61,10
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL, 8,67,2,0.0300,0,56,8
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL, 9,95,3,0.0320,2,74,17
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,10,89,2,0.0220,0,70,12
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,11,58,1,0.0170,2,44,11
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,12,60,2,0.0330,1,40,18
ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,ALL,445,11,0.0250,6,345,76
ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY, 7,79,1,0.0130,1,64,9
ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY, 8,64,0,0.0000,2,51,9
ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,ALL,143,1,0.0070,3,115,18
ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL, 7,73,0,0.0000,4,56,8
ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL, 8,65,1,0.0150,0,46,14
ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,ALL,138,1,0.0070,4,102,22
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY, 7,362,5,0.0140,9,93,235
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY, 8,426,9,0.0210,15,90,283
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY, 9,530,23,0.0430,12,124,351
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,10,473,32,0.0680,10,104,315
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,11,353,24,0.0680,10,64,249
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,12,251,9,0.0360,8,40,177
ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,ALL,2395,102,0.0430,64,515,1610
