year,mergecode,districtcode,schoolcode,droprate,black,white,hispanic,totalenroll
15,10-187,10,187,1.1,2.67,24.67,68.67,750
15,10-212,10,212,1.4,1.77,23.67,70.67,283
15,10-263,10,263,1.0,1.53,8.4,87.79,393
15,10-309,10,309,2.1,1.5,16.7,78.16,467
15,10-501,10,501,0.0,2.11,19.01,76.76,142
15,10-502,10,502,0.0,2.31,20.77,70.0,130
15,10-503,10,503,2.5,1.35,17.08,77.53,445
15,10-505,10,505,0.7,2.1,12.59,80.42,143
15,10-509,10,509,0.7,2.9,15.94,73.91,138
15,10-1796,10,1796,4.3,2.67,67.22,21.5,2395
15,10-6315,10,6315,14.6,1.63,29.27,68.29,123
15,10-9036,10,9036,0.0,0.0,13.77,76.09,138
15,20-15,20,15,1.6,1.26,59.22,29.29,792
15,20-57,20,57,0.5,1.08,73.84,17.98,929
15,20-210,20,210,16.6,2.72,39.18,53.86,661
15,20-1480,20,1480,0.6,2.77,62.67,26.99,793
15,20-1519,20,1519,0.0,1.34,65.77,10.74,149
15,20-1752,20,1752,11.0,4.4,70.98,20.98,1182
15,20-3439,20,3439,1.9,0.0,39.62,54.72,53
15,20-4108,20,4108,2.0,2.15,64.69,24.98,2274
15,20-4172,20,4172,1.3,1.91,74.52,6.37,157
15,20-4187,20,4187,0.3,2.66,45.73,43.65,866
15,20-5043,20,5043,1.0,2.41,68.62,18.14,2486
15,20-5814,20,5814,0.3,3.87,18.3,74.36,776
15,20-5816,20,5816,3.7,3.45,28.17,60.85,2176
15,20-6060,20,6060,2.0,2.18,61.29,28.99,2294
15,20-6342,20,6342,0.1,1.57,55.29,36.21,765
15,20-6398,20,6398,0.0,3.56,32.19,58.63,730
15,20-6402,20,6402,2.8,3.1,30.11,61.16,2325
15,20-6802,20,6802,0.0,0.81,80.59,9.7,371
15,20-6956,20,6956,25.3,2.79,42.86,48.61,574
15,20-8275,20,8275,0.0,0.9,77.48,13.51,111
15,20-8310,20,8310,0.6,2.55,21.97,71.66,314
15,20-9431,20,9431,0.0,0.0,79.74,16.99,153
15,20-9444,20,9444,0.0,1.09,67.84,21.12,824
15,30-20,30,20,1.0,2.11,13.13,82.5,617
15,30-22,30,22,33.4,2.32,14.24,82.12,302
15,30-24,30,24,5.6,2.66,13.08,82.65,2179
15,30-4516,30,4516,3.1,4.43,10.99,82.9,655
15,40-700,40,700,0.0,2.41,48.8,42.77,166
15,40-1021,40,1021,11.7,3.48,36.96,57.83,230
15,40-1022,40,1022,1.9,0.92,41.05,54.59,2178
15,40-1052,40,1052,0.0,0.0,64.57,28.7,223
15,40-1560,40,1560,7.9,1.32,67.11,28.95,76
15,40-2399,40,2399,0.4,1.27,60.4,33.63,553
15,40-2945,40,2945,1.1,1.64,69.4,25.14,183
15,40-4950,40,4950,0.0,5.08,58.76,28.81,177
15,40-6638,40,6638,0.0,0.4,37.22,58.35,497
15,40-6702,40,6702,0.2,2.8,48.32,41.6,536
15,40-7129,40,7129,2.7,3.51,46.18,42.45,2252
15,40-7131,40,7131,0.0,1.19,46.52,44.0,675
15,40-9230,40,9230,0.2,1.75,32.39,61.27,457
15,50-774,50,774,0.0,0.53,73.94,21.81,188
15,50-775,50,775,4.2,0.28,76.62,18.03,355
15,60-7133,60,7133,0.0,0.0,100.0,0.0,17
15,60-8332,60,8332,0.5,1.1,85.16,11.54,182
15,60-8334,60,8334,1.1,0.54,85.79,10.99,373
15,70-2035,70,2035,0.0,0.0,36.28,55.75,113
15,70-3931,70,3931,11.1,1.28,22.6,72.49,469
15,70-4334,70,4334,0.0,0.0,36.51,57.14,63
15,70-5388,70,5388,0.6,1.2,9.6,82.4,500
15,70-7305,70,7305,0.3,0.6,11.61,80.24,663
15,70-7812,70,7812,0.6,1.18,28.15,62.6,508
15,70-9466,70,9466,5.9,1.29,17.37,73.67,3103
15,100-114,100,114,0.0,1.27,31.39,63.54,395
15,100-118,100,118,0.5,1.04,33.16,62.18,579
15,100-368,100,368,24.6,1.69,12.71,82.2,118
15,110-7630,110,7630,0.0,0.57,66.86,28.0,175
15,120-206,120,206,24.6,1.75,48.12,45.61,399
15,120-2746,120,2746,4.8,4.66,51.26,37.41,794
15,120-2750,120,2750,0.0,0.0,63.83,29.79,47
15,120-2752,120,2752,1.5,4.09,50.0,40.94,342
15,123-7837,123,7837,0.0,5.49,12.94,75.29,255
15,123-7842,123,7842,1.7,4.29,14.76,75.48,420
15,123-8123,123,8123,30.7,7.82,13.97,75.42,179
15,130-18,130,18,1.5,9.06,57.77,17.63,817
15,130-141,130,141,0.3,13.55,55.3,17.29,642
15,130-1510,130,1510,0.0,6.71,52.35,14.77,149
15,130-1551,130,1551,1.2,11.48,58.91,14.27,3013
15,130-1566,130,1566,0.4,2.37,65.18,11.35,1057
15,130-1568,130,1568,0.5,1.82,71.49,14.03,877
15,130-1570,130,1570,0.8,3.05,69.51,11.67,3769
15,130-1571,130,1571,1.0,10.78,50.0,8.82,102
15,130-2357,130,2357,2.3,14.92,52.38,20.43,2795
15,130-2897,130,2897,0.5,9.23,59.95,18.47,769
15,130-3030,130,3030,2.0,6.78,66.71,12.15,856
15,130-3589,130,3589,1.5,9.91,57.78,16.19,2835
15,130-4100,130,4100,0.7,19.49,41.27,26.25,739
15,130-4975,130,4975,0.1,17.55,47.12,22.36,832
15,130-6367,130,6367,0.8,2.42,79.84,10.08,248
15,130-6625,130,6625,3.2,32.45,24.1,32.52,2743
15,130-7158,130,7158,0.2,26.73,25.75,35.24,1328
15,130-8020,130,8020,2.4,18.05,47.98,19.37,2349
15,130-8848,130,8848,0.2,10.5,59.56,16.11,962
15,140-298,140,298,0.6,1.14,80.85,10.61,2376
15,140-2804,140,2804,0.0,0.77,73.6,17.73,519
15,140-3472,140,3472,0.0,2.39,58.17,32.84,545
15,140-3930,140,3930,1.0,0.93,77.98,13.56,1821
15,140-4316,140,4316,0.0,1.14,81.05,10.96,438
15,140-4447,140,4447,0.0,0.94,81.41,9.22,640
15,140-5224,140,5224,2.6,2.13,61.66,27.19,1552
15,140-5229,140,5229,0.0,0.0,76.19,4.76,105
15,140-5233,140,5233,0.0,1.69,58.47,30.51,118
15,170-2140,170,2140,0.0,0.0,83.72,13.95,86
15,180-213,180,213,1.8,32.14,31.25,28.57,112
15,180-219,180,219,19.7,17.11,19.74,55.59,304
15,180-458,180,458,0.0,21.7,31.13,34.91,106
15,180-464,180,464,0.2,27.42,10.3,52.98,806
15,180-465,180,465,0.0,18.29,37.8,24.39,164
15,180-914,180,914,1.5,11.76,2.94,61.03,136
15,180-1458,180,1458,10.5,17.81,5.44,64.73,2903
15,180-1720,180,1720,0.0,13.19,13.89,63.89,144
15,180-1800,180,1800,0.0,20.0,33.01,36.42,615
15,180-2384,180,2384,0.9,17.9,7.49,65.66,894
15,180-3354,180,3354,6.2,26.72,15.02,48.99,2317
15,180-3471,180,3471,0.0,16.94,10.48,64.52,124
15,180-4024,180,4024,6.4,16.27,9.66,66.63,2619
15,180-5298,180,5298,2.1,33.96,20.13,41.09,477
15,180-6160,180,6160,0.9,27.08,17.97,44.91,757
15,180-6189,180,6189,0.0,17.76,33.55,36.84,152
15,180-6219,180,6219,1.0,12.37,2.01,72.24,299
15,180-6310,180,6310,0.7,16.85,7.6,69.48,724
15,180-6546,180,6546,0.0,1.68,79.12,13.8,297
15,180-7232,180,7232,0.0,9.29,46.99,19.13,183
15,180-7250,180,7250,3.9,24.62,28.84,34.44,2750
15,180-8078,180,8078,1.7,20.06,6.79,64.56,663
15,180-8356,180,8356,1.2,13.02,28.99,50.3,338
15,180-9056,180,9056,0.8,16.95,22.88,55.08,118
15,180-9083,180,9083,0.0,10.18,32.0,49.09,275
15,180-9125,180,9125,2.1,16.31,29.64,42.49,1245
15,180-9189,180,9189,0.0,23.27,26.73,42.57,202
15,180-9396,180,9396,0.2,9.43,5.8,70.93,1156
15,190-1176,190,1176,0.0,0.0,82.38,12.26,261
15,190-1752,190,1752,1.2,6.72,75.62,13.44,521
15,190-2356,190,2356,0.0,0.0,100.0,0.0,27
15,190-3362,190,3362,2.4,2.44,71.54,13.82,123
15,190-6263,190,6263,1.1,1.06,78.72,13.48,282
15,220-6657,220,6657,0.0,0.79,77.08,0.79,253
15,220-6658,220,6658,0.2,0.67,69.96,23.99,446
15,230-9226,230,9226,2.8,0.0,87.32,12.68,71
15,240-7176,240,7176,0.0,0.0,86.67,13.33,15
15,240-7180,240,7180,0.0,0.0,91.3,8.7,23
15,250-8168,250,8168,1.4,1.41,79.58,14.79,142
15,260-9085,260,9085,7.0,9.3,74.42,13.95,43
15,260-9100,260,9100,3.8,0.0,76.92,23.08,26
15,270-1252,270,1252,0.0,0.0,100.0,0.0,24
15,290-4986,290,4986,1.2,0.0,38.1,59.52,84
15,290-4990,290,4990,0.0,0.74,41.91,55.15,136
15,310-5670,310,5670,0.0,0.0,97.93,1.38,145
15,470-120,470,120,0.0,0.0,88.73,7.35,204
15,470-226,470,226,0.2,1.61,72.32,14.46,560
15,470-1284,470,1284,0.0,0.0,69.57,30.43,23
15,470-2760,470,2760,0.2,1.72,83.28,10.52,580
15,470-2761,470,2761,0.7,0.66,79.69,15.12,906
15,470-2964,470,2964,0.0,2.69,83.33,6.45,186
15,470-3192,470,3192,0.9,0.0,45.79,51.4,214
15,470-3194,470,3194,0.0,0.94,74.86,21.01,533
15,470-3196,470,3196,1.5,0.34,66.58,30.4,1161
