Org. Code,Organization Name,School Code,School Name,Grade Level,Black or African American Female,Black or African American Male,Hispanic or Latino Female,Hispanic or Latino Male,White Female,White Male,PK-12 Total
0010,MAPLETON 1,0000,Not a school,120 (12th),0,0,5,2,0,0,7
0010,MAPLETON 1,0000,Not a school,,0,0,5,2,0,0,7
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,070 (7th),2,0,49,36,19,13,125
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,080 (8th),1,1,42,46,17,15,125
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,090 (9th),0,2,33,49,11,23,127
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,100 (10th),4,3,48,34,19,12,122
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,110 (11th),1,1,22,43,6,13,88
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,120 (12th),1,0,20,23,10,7,63
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,,9,7,214,231,82,83,650
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,090 (9th),0,1,32,30,10,6,86
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,100 (10th),0,1,18,26,6,9,62
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,110 (11th),0,1,25,17,7,12,63
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,120 (12th),2,0,30,14,5,7,62
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,,2,3,105,87,28,34,273
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,004 (PK),0,0,31,19,2,6,59
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,007 (Full Day K),0,0,16,14,1,3,34
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,010 (1st),0,0,19,27,2,0,50
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,020 (2nd),0,0,21,23,1,2,47
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,030 (3rd),1,0,20,15,3,2,43
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,040 (4th),2,0,10,16,1,0,29
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,050 (5th),0,1,15,13,0,1,30
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,060 (6th),0,0,12,14,1,3,30
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,070 (7th),1,0,21,25,2,5,54
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,080 (8th),0,0,31,24,2,1,59
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,090 (9th),1,0,27,42,4,6,80
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,100 (10th),0,1,21,26,2,2,54
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,110 (11th),0,0,12,26,1,2,43
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,120 (12th),1,0,15,14,0,4,34
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,,6,2,271,298,22,37,646
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,090 (9th),0,1,43,57,4,10,121
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,100 (10th),1,3,35,42,10,17,114
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,110 (11th),0,2,36,40,4,2,90
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,120 (12th),0,0,32,34,8,4,79
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,,1,6,146,173,26,33,404
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,004 (PK),0,1,21,24,6,5,60
