Org. Code,Organization Name,School Code,School Name,Grade Level,American Indian or Alaskan Native Female,American Indian or Alaskan Native Male,Asian Female,Asian male,Black or African American Female,Black or African American Male,Hispanic or Latino Female,Hispanic or Latino Male,White Female,White Male,Native Hawaiian or Other Pacific Islander Female,Native Hawaiian or Other Pacific Islander Male,Two or More Races Female,Two or More Races Male,PK-12 Total
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,070 (7th),1,0,1,0,2,2,26,45,14,7,1,0,1,3,103
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,080 (8th),1,2,2,0,3,2,46,40,13,12,0,0,2,2,125
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,090 (9th),3,1,1,0,1,1,35,53,15,9,0,0,2,1,122
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,100 (10th),2,0,1,0,3,2,56,35,17,10,0,0,2,0,128
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,110 (11th),0,0,1,0,0,2,45,43,10,7,0,0,0,2,110
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,120 (12th),1,0,1,1,1,0,30,29,5,12,0,1,2,2,85
0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,ALL GRADE LEVELS,8,3,7,1,10,9,238,245,74,57,1,1,9,10,673
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,090 (9th),0,0,0,1,0,0,29,18,10,5,0,0,1,1,65
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,100 (10th),0,1,1,2,0,0,25,22,7,3,0,0,0,0,61
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,110 (11th),0,0,0,3,1,0,21,21,6,8,0,1,0,0,61
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,120 (12th),1,0,0,0,0,0,20,19,8,2,0,0,1,5,56
0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,ALL GRADE LEVELS,1,1,1,6,1,0,95,80,31,18,0,1,2,6,243
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,090 (9th),0,0,0,0,0,0,32,45,1,4,0,0,0,0,82
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,100 (10th),0,0,0,0,1,0,24,23,1,0,0,0,0,0,49
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,110 (11th),0,0,0,1,0,0,26,24,0,1,0,0,0,1,53
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,120 (12th),0,0,0,0,0,0,13,17,1,2,0,0,0,0,33
0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,ALL GRADE LEVELS,0,0,0,1,1,0,95,109,3,7,0,0,0,1,217
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,090 (9th),0,0,0,0,0,0,49,49,6,8,0,0,1,3,116
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,100 (10th),0,0,2,0,1,1,52,55,4,5,0,0,1,2,123
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,110 (11th),0,1,0,1,1,1,41,44,1,6,0,0,3,2,101
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,120 (12th),0,2,0,1,1,1,29,47,2,10,0,0,0,2,95
0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,ALL GRADE LEVELS,0,3,2,2,3,3,171,195,13,29,0,0,5,9,435
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,007 (Full Day K),0,0,0,0,0,0,13,14,3,2,0,0,1,1,34
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,010 (1st),0,0,0,0,0,0,19,12,3,5,0,0,1,0,40
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,020 (2nd),0,0,2,1,1,0,20,11,2,5,0,0,0,0,42
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,030 (3rd),0,0,1,1,0,1,19,14,1,1,0,0,0,0,38
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,040 (4th),0,0,0,0,2,0,23,21,1,5,0,0,0,0,52
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,050 (5th),0,0,1,0,0,1,30,14,2,4,0,0,0,1,53
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,060 (6th),0,0,1,0,0,0,19,18,2,0,0,0,0,1,41
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,070 (7th),0,0,1,0,4,0,25,24,3,1,0,0,1,0,59
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,080 (8th),0,0,1,0,0,0,20,25,1,1,0,0,0,0,48
0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,ALL GRADE LEVELS,0,0,7,2,7,2,188,153,18,24,0,0,3,3,407
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,004 (PK),1,0,1,2,1,0,19,24,6,9,0,0,0,0,63
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,007 (Full Day K),0,0,3,1,1,0,17,23,6,8,0,0,2,0,61
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,010 (1st),0,0,0,0,1,0,13,20,3,4,0,0,2,1,44
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,020 (2nd),0,0,2,1,0,1,22,19,5,5,0,0,0,0,55
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,030 (3rd),0,0,0,0,0,0,18,16,1,3,0,0,1,0,39
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,040 (4th),0,0,0,1,0,1,16,20,4,5,0,0,0,1,48
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,050 (5th),0,0,1,1,2,0,24,19,2,5,0,0,3,0,57
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,060 (6th),0,0,0,3,0,0,20,25,2,4,0,0,0,0,54
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,070 (7th),0,0,0,0,0,1,22,23,1,5,0,0,0,0,52
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,080 (8th),0,0,0,0,0,0,17,18,3,5,0,0,1,0,44
0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,ALL GRADE LEVELS,1,0,7,9,5,3,188,207,33,53,0,0,9,2,517
0010,MAPLETON 1,0503,YORK INTERNATIONAL,007 (Full Day K),0,0,1,2,1,0,24,22,4,4,0,0,0,0,58
0010,MAPLETON 1,0503,YORK INTERNATIONAL,010 (1st),0,0,0,1,0,0,19,27,2,2,0,0,1,1,53
0010,MAPLETON 1,0503,YORK INTERNATIONAL,020 (2nd),0,0,2,0,0,0,19,29,2,3,0,0,2,0,57
0010,MAPLETON 1,0503,YORK INTERNATIONAL,030 (3rd),0,0,1,1,0,0,25,22,2,2,0,0,2,0,55
0010,MAPLETON 1,0503,YORK INTERNATIONAL,040 (4th),0,0,1,0,0,1,24,26,3,2,0,0,2,0,59
0010,MAPLETON 1,0503,YORK INTERNATIONAL,050 (5th),0,0,1,1,0,1,26,26,2,4,0,0,0,0,61
0010,MAPLETON 1,0503,YORK INTERNATIONAL,060 (6th),0,0,0,1,0,0,24,27,3,1,0,0,0,1,57
0010,MAPLETON 1,0503,YORK INTERNATIONAL,070 (7th),0,0,0,2,0,1,24,25,3,5,0,0,1,0,61
0010,MAPLETON 1,0503,YORK INTERNATIONAL,080 (8th),0,1,3,2,0,0,26,25,4,2,0,0,0,0,63
0010,MAPLETON 1,0503,YORK INTERNATIONAL,090 (9th),0,0,0,2,1,0,41,26,3,3,0,0,0,0,76
0010,MAPLETON 1,0503,YORK INTERNATIONAL,100 (10th),0,0,0,2,1,0,35,34,3,1,0,0,4,1,81
0010,MAPLETON 1,0503,YORK INTERNATIONAL,110 (11th),0,0,0,2,0,0,37,27,3,1,0,0,2,2,74
0010,MAPLETON 1,0503,YORK INTERNATIONAL,120 (12th),0,0,3,0,0,0,27,27,3,1,0,0,0,0,61
0010,MAPLETON 1,0503,YORK INTERNATIONAL,ALL GRADE LEVELS,0,1,12,16,3,3,351,343,37,31,0,0,14,5,816
