Org. Code,Organization Name,School Code,School Name,Grade Level,American Indian or Alaskan Native Female,American Indian or Alaskan Native Male,Asian Female ,Asian Male,Black or African American Female,Black or African American Male,Hispanic or Latino Female,Hispanic or Latino Male,White Female,White Male,Native Hawaiian or Other Pacific Islander Female,Native Hawaiian or Other Pacific Islander Male,Two or More Races Female,Two or More Races Male,PK-12 Total
0010,Mapleton 1,0000,Not a school,120 (12th),0,0,0,0,0,0,1,2,0,3,0,0,0,0,6
0010,Mapleton 1,0000,Not a school,,0,0,0,0,0,0,1,2,0,3,0,0,0,0,6
0010,Mapleton 1,0187,Mapleton Expeditionary School of the Arts,070 (7th),0,0,2,0,0,0,42,22,5,4,0,0,1,2,78
0010,Mapleton 1,0187,Mapleton Expeditionary School of the Arts,080 (8th),0,2,0,0,0,3,46,31,8,9,0,0,2,1,102
0010,Mapleton 1,0187,Mapleton Expeditionary School of the Arts,090 (9th),1,1,1,1,1,2,39,54,7,8,1,0,1,2,119
0010,Mapleton 1,0187,Mapleton Expeditionary School of the Arts,100 (10th),0,1,1,1,5,1,49,50,12,4,0,0,5,1,130
0010,Mapleton 1,0187,Mapleton Expeditionary School of the Arts,110 (11th),2,0,0,0,0,0,29,38,14,5,0,0,0,0,88
0010,Mapleton 1,0187,Mapleton Expeditionary School of the Arts,120 (12th),1,0,1,1,3,0,45,25,11,4,0,0,2,0,93
0010,Mapleton 1,0187,Mapleton Expeditionary School of the Arts,,4,4,5,3,9,6,250,220,57,34,1,0,11,6,610
0010,Mapleton 1,0212,Mapleton Early College High School,090 (9th),0,1,2,1,0,2,36,26,3,5,0,0,0,0,76
0010,Mapleton 1,0212,Mapleton Early College High School,100 (10th),1,0,2,0,0,0,43,21,2,3,0,0,0,2,74
0010,Mapleton 1,0212,Mapleton Early College High School,110 (11th),0,1,0,1,0,0,26,20,10,6,0,0,0,1,65
0010,Mapleton 1,0212,Mapleton Early College High School,120 (12th),0,0,2,2,0,0,22,23,4,1,0,0,0,1,55
0010,Mapleton 1,0212,Mapleton Early College High School,,1,2,6,4,0,2,127,90,19,15,0,0,0,4,270
0010,Mapleton 1,0263,Global Leadership Academy,090 (9th),0,0,0,0,1,0,34,44,4,4,0,0,0,0,87
0010,Mapleton 1,0263,Global Leadership Academy,100 (10th),0,0,0,1,0,1,39,34,2,2,0,0,0,0,79
0010,Mapleton 1,0263,Global Leadership Academy,110 (11th),0,0,0,0,0,1,27,35,1,2,0,0,0,0,66
0010,Mapleton 1,0263,Global Leadership Academy,120 (12th),0,0,0,0,1,0,22,13,0,0,0,0,1,0,37
0010,Mapleton 1,0263,Global Leadership Academy,,0,0,0,1,2,2,122,126,7,8,0,0,1,0,269
0010,Mapleton 1,0309,Academy High School,090 (9th),0,0,1,5,1,3,48,61,1,12,0,2,3,0,137
0010,Mapleton 1,0309,Academy High School,100 (10th),0,1,1,1,1,0,35,66,2,6,0,0,1,2,116
0010,Mapleton 1,0309,Academy High School,110 (11th),0,0,0,0,0,0,42,42,3,10,0,0,0,2,99
0010,Mapleton 1,0309,Academy High School,120 (12th),0,0,2,0,0,2,43,40,2,5,0,0,1,1,96
0010,Mapleton 1,0309,Academy High School,,0,1,4,6,2,5,168,209,8,33,0,2,5,5,448
0010,Mapleton 1,0502,Meadow Community School,007 (Full Day K),0,0,2,3,0,0,17,14,2,8,0,0,0,0,46
0010,Mapleton 1,0502,Meadow Community School,010 (1st),1,0,0,1,2,0,14,17,3,7,0,0,0,1,46
0010,Mapleton 1,0502,Meadow Community School,020 (2nd),0,0,3,1,0,0,12,18,2,7,0,0,1,0,44
0010,Mapleton 1,0502,Meadow Community School,030 (3rd),0,0,0,1,1,1,10,13,2,6,0,0,1,1,36
0010,Mapleton 1,0502,Meadow Community School,040 (4th),0,0,1,1,0,1,19,14,4,4,0,0,0,1,45
0010,Mapleton 1,0502,Meadow Community School,050 (5th),0,0,0,0,0,0,22,15,1,2,0,0,3,0,43
0010,Mapleton 1,0502,Meadow Community School,060 (6th),0,0,0,1,0,1,19,19,2,2,0,0,0,0,44
0010,Mapleton 1,0502,Meadow Community School,070 (7th),0,0,1,1,2,0,26,13,1,5,0,0,1,1,51
0010,Mapleton 1,0502,Meadow Community School,080 (8th),0,0,0,2,0,0,20,23,0,5,0,0,0,1,51
0010,Mapleton 1,0502,Meadow Community School,,1,0,7,11,5,3,159,146,17,46,0,0,6,5,406
0010,Mapleton 1,0503,York International,007 (Full Day K),0,0,0,3,2,1,28,30,6,4,0,0,1,1,76
0010,Mapleton 1,0503,York International,010 (1st),1,0,1,0,0,0,19,20,1,2,0,0,1,0,45
0010,Mapleton 1,0503,York International,020 (2nd),0,0,1,2,1,0,25,33,4,6,0,0,0,0,72
