year,districtcode,schoolcode,mergecode,black,hispanic,white,totalenroll
17,10,0,10-0,0.0,66.67,33.33,15
17,10,1796,10-1796,3.43,20.94,65.49,1194
17,10,187,10-187,2.49,71.39,22.14,402
17,10,212,10-212,1.63,69.8,22.45,245
17,10,263,10-263,0.5,91.46,6.53,199
17,10,309,10-309,3.91,77.01,12.18,435
17,10,503,10-503,0.38,82.31,12.69,260
17,10,6315,10-6315,0.0,74.14,20.69,58
17,10,695,10-695,0.0,71.74,19.57,92
17,100,118,100-118,1.67,60.54,33.95,598
17,100,368,100-368,2.08,75.0,18.75,48
17,1000,203,1000-203,7.48,28.04,50.47,107
17,1000,3110,1000-3110,13.08,27.77,45.9,1865
17,1010,1616,1010-1616,3.49,12.79,75.0,172
17,1010,1870,1010-1870,4.03,25.6,62.04,1512
17,1010,1885,1010-1885,6.08,33.45,51.01,296
17,1010,2202,1010-2202,6.4,25.66,56.59,2124
17,1010,2400,1010-2400,6.35,33.33,49.21,189
17,1010,2528,1010-2528,7.11,41.12,42.64,197
17,1010,269,1010-269,7.73,31.4,52.17,207
17,1010,5146,1010-5146,17.32,38.56,36.6,306
17,1010,5948,1010-5948,14.2,39.7,35.54,1345
17,1010,6680,1010-6680,7.93,33.35,48.38,1817
17,1010,871,1010-871,8.76,24.82,52.55,137
17,1020,1590,1020-1590,2.84,12.08,75.53,1267
17,1020,9057,1020-9057,4.58,21.57,61.76,306
17,1030,5468,1030-5468,1.18,8.28,85.4,507
17,1040,110,1040-110,5.68,10.23,80.68,88
17,1040,1630,1040-1630,1.54,8.8,83.95,648
17,1040,209,1040-209,0.0,16.81,76.11,113
17,1040,2195,1040-2195,2.85,12.13,75.56,1195
17,1040,5126,1040-5126,4.52,12.66,73.0,1548
17,1040,6937,1040-6937,2.79,12.48,73.59,1579
17,1040,7240,1040-7240,4.25,17.36,64.94,1694
17,1040,76,1040-76,2.91,12.3,74.5,1341
17,1040,8779,1040-8779,1.82,8.33,80.73,384
17,1050,2642,1050-2642,4.1,29.1,63.52,244
17,1060,1346,1060-1346,13.11,29.51,49.18,61
17,1060,6626,1060-6626,0.0,0.0,100.0,11
