COUNTY CODE,COUNTY NAME,DISTRICT CODE,"DISTRICT NAME	",SCHOOL CODE,SCHOOL NAME,PK-12 COUNT,FREE LUNCH,REDUCED LUNCH,NOT ELIGIBLE,FREE AND REDUCED,% FREE,% REDUCED,% FREE AND REDUCED
01,ADAMS,0010,MAPLETON 1,0000,Not a school,24,0,0,0,0,0.00%,0.00%,0.0000
01,ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,583,294,72,216,366,50.43%,12.35%,0.6278
01,ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,253,114,31,108,145,45.06%,12.25%,0.5731
01,ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,592,427,64,99,491,72.13%,10.81%,0.8294
01,ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,382,186,47,148,233,48.69%,12.30%,0.6099
01,ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,471,292,74,102,366,62.00%,15.71%,0.7771
01,ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,529,290,58,176,348,54.82%,10.96%,0.6578
01,ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,765,383,144,238,527,50.07%,18.82%,0.6889
01,ADAMS,0010,MAPLETON 1,0504,WELBY MONTESSORI SCHOOL,259,134,27,98,161,51.74%,10.42%,0.6216
01,ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,551,287,34,205,321,52.09%,6.17%,0.5826
01,ADAMS,0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,412,218,52,139,270,52.91%,12.62%,0.6553
01,ADAMS,0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,452,290,41,116,331,64.16%,9.07%,0.7323
01,ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,488,297,61,130,358,60.86%,12.50%,0.7336
01,ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,"2,375",600,295,"1,478",895,25.26%,12.42%,0.3768
01,ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,49,18,5,26,23,36.73%,10.20%,0.4694
01,ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,485,283,95,107,378,58.35%,19.59%,0.7794
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,538,121,41,376,162,22.49%,7.62%,0.3011
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,"1,267",111,47,"1,109",158,8.76%,3.71%,0.1247
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,736,18,12,706,30,2.45%,1.63%,0.0408
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0070,ADAMS12 FIVE STAR PRESCHOOL,995,303,38,654,341,30.45%,3.82%,0.3427
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,269,106,22,141,128,39.41%,8.18%,0.4758
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,608,157,46,405,203,25.82%,7.57%,0.3339
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1020,BRIGHT HORIZONS PRE-KINDERGARTEN SCHOOL,41,0,0,0,0,0.00%,0.00%,0.0000
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,431,197,56,178,253,45.71%,12.99%,0.5870
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,"1,054",225,83,746,308,21.35%,7.87%,0.2922
