COUNTY CODE,COUNTY NAME,DISTRICT CODE,"DISTRICT NAME	",SCHOOL CODE,SCHOOL NAME,K-12 COUNT,FREE LUNCH,REDUCED LUNCH,NOT ELIGIBLE,FREE AND REDUCED,% FREE,% REDUCED,% FREE AND REDUCED
01,ADAMS,0010,MAPLETON 1,0000,Not a school,7,0,0,0,0,0.0%,0.0%,0.0000
01,ADAMS,0010,MAPLETON 1,0187,MAPLETON EXPEDITIONARY SCHOOL OF THE ARTS,650,348,68,231,416,53.5%,10.5%,0.6400
01,ADAMS,0010,MAPLETON 1,0212,MAPLETON EARLY COLLEGE HIGH SCHOOL,273,144,35,94,179,52.7%,12.8%,0.6557
01,ADAMS,0010,MAPLETON 1,0263,GLOBAL LEADERSHIP ACADEMY,587,440,53,92,493,75.0%,9.0%,0.8399
01,ADAMS,0010,MAPLETON 1,0309,ACADEMY HIGH SCHOOL,404,203,55,146,258,50.2%,13.6%,0.6386
01,ADAMS,0010,MAPLETON 1,0501,MONTEREY COMMUNITY SCHOOL,428,257,68,102,325,60.0%,15.9%,0.7593
01,ADAMS,0010,MAPLETON 1,0502,MEADOW COMMUNITY SCHOOL,444,257,63,119,320,57.9%,14.2%,0.7207
01,ADAMS,0010,MAPLETON 1,0503,YORK INTERNATIONAL,734,380,139,214,519,51.8%,18.9%,0.7071
01,ADAMS,0010,MAPLETON 1,0504,WELBY COMMUNITY SCHOOL,200,106,26,68,132,53.0%,13.0%,0.6600
01,ADAMS,0010,MAPLETON 1,0505,ACHIEVE ACADEMY,458,300,37,121,337,65.5%,8.1%,0.7358
01,ADAMS,0010,MAPLETON 1,0506,EXPLORE ELEMENTARY,365,198,46,121,244,54.2%,12.6%,0.6685
01,ADAMS,0010,MAPLETON 1,0507,ADVENTURE ELEMENTARY,330,235,36,59,271,71.2%,10.9%,0.8212
01,ADAMS,0010,MAPLETON 1,0509,CLAYTON PARTNERSHIP SCHOOL,473,275,54,144,329,58.1%,11.4%,0.6956
01,ADAMS,0010,MAPLETON 1,1796,COLORADO CONNECTIONS ACADEMY,2420,714,281,"1,414",995,29.5%,11.6%,0.4112
01,ADAMS,0010,MAPLETON 1,6315,NORTH VALLEY SCHOOL FOR YOUNG ADULTS,72,36,5,31,41,50.0%,6.9%,0.5694
01,ADAMS,0010,MAPLETON 1,9036,VALLEY VIEW K-8,452,263,77,112,340,58.2%,17.0%,0.7522
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0014,GLACIER PEAK ELEMENTARY SCHOOL,513,119,34,360,153,23.2%,6.6%,0.2982
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0057,ROCKY TOP MIDDLE SCHOOL,1356,105,63,"1,185",168,7.7%,4.6%,0.1239
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0059,MERIDIAN ELEMENTARY SCHOOL,771,20,9,742,29,2.6%,1.2%,0.0376
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0070,ADAMS12 FIVE STAR PRESCHOOL,0,0,0,0,0,0.0%,0.0%,0.0000
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0210,VANTAGE POINT,279,115,23,133,138,41.2%,8.2%,0.4946
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,0301,ARAPAHOE RIDGE ELEMENTARY SCHOOL,634,182,50,402,232,28.7%,7.9%,0.3659
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1020,BRIGHT HORIZONS PRE-KINDERGARTEN SCHOOL,0,0,0,0,0,0.0%,0.0%,0.0000
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1388,CENTENNIAL ELEMENTARY SCHOOL,422,244,41,137,285,57.8%,9.7%,0.6754
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1480,CENTURY MIDDLE SCHOOL,1062,257,95,708,352,24.2%,8.9%,0.3315
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1519,STARGATE CHARTER SCHOOL,837,13,0,824,13,1.6%,0.0%,0.0155
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1878,CORONADO HILLS ELEMENTARY SCHOOL,527,384,69,70,453,72.9%,13.1%,0.8596
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1914,COTTON CREEK ELEMENTARY SCHOOL,618,130,32,456,162,21.0%,5.2%,0.2621
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,1937,COYOTE RIDGE ELEMENTARY SCHOOL,551,18,3,530,21,3.3%,0.5%,0.0381
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2361,EAGLEVIEW ELEMENTARY SCHOOL,590,97,33,460,130,16.4%,5.6%,0.2203
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2410,TARVER ELEMENTARY SCHOOL,485,95,18,372,113,19.6%,3.7%,0.2330
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2576,CHERRY DRIVE ELEMENTARY SCHOOL,388,146,49,192,195,37.6%,12.6%,0.5026
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2578,SKYVIEW ELEMENTARY SCHOOL,502,164,64,271,228,32.7%,12.7%,0.4542
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2580,HUNTERS GLEN ELEMENTARY SCHOOL,453,94,43,315,137,20.8%,9.5%,0.3024
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2582,ROCKY MOUNTAIN ELEMENTARY SCHOOL,489,331,66,91,397,67.7%,13.5%,0.8119
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2584,RIVERDALE ELEMENTARY SCHOOL,410,168,57,185,225,41.0%,13.9%,0.5488
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,2918,FEDERAL HEIGHTS ELEMENTARY SCHOOL,561,458,45,56,503,81.6%,8.0%,0.8966
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,3439,GLOBAL VILLAGE ACADEMY,976,317,141,516,458,32.5%,14.4%,0.4693
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4000,HILLCREST ELEMENTARY SCHOOL,456,316,55,82,371,69.3%,12.1%,0.8136
01,ADAMS,0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HIGH SCHOOL,2025,319,133,"1,571",452,15.8%,6.6%,0.2232
