COUNTY CODE,COUNTY NAME,DISTRICT CODE,"DISTRICT NAME	",SCHOOL CODE,SCHOOL NAME, K-12 COUNT , FREE LUNCH , REDUCED LUNCH , NOT ELIGIBLE , FREE AND REDUCED COUNT ,% FREE,% REDUCED,% FREE AND REDUCED,FRL % RANGE
1,ADAMS,10,Mapleton 1,0,Not in a school,6, * , * , * , * , * , * ,*, * 
1,ADAMS,10,Mapleton 1,187,Mapleton Expeditionary School of the Arts,610,310,86,214,396,50.80%,14.10%,0.649,50%-75%
1,ADAMS,10,Mapleton 1,212,Mapleton Early College High School,270,119,50,101,169,44.10%,18.50%,0.626,50%-75%
1,ADAMS,10,Mapleton 1,263,Global Leadership Academy,269,148,40,81,188,55.00%,14.90%,0.699,50%-75%
1,ADAMS,10,Mapleton 1,309,Academy High School,448,216,68,164,284,48.20%,15.20%,0.634,50%-75%
1,ADAMS,10,Mapleton 1,502,Meadow Community School,406,257,45,104,302,63.30%,11.10%,0.744,50%-75%
1,ADAMS,10,Mapleton 1,503,York International,972,457,178,337,635,47.00%,18.30%,0.653,50%-75%
1,ADAMS,10,Mapleton 1,504,Welby Community School,323,183,45,95,228,56.70%,13.90%,0.706,50%-75%
1,ADAMS,10,Mapleton 1,505,Achieve Academy,420,248,52,120,300,59.00%,12.40%,0.714,50%-75%
1,ADAMS,10,Mapleton 1,506,Explore Pk-8,464,222,64,178,286,47.80%,13.80%,0.616,50%-75%
1,ADAMS,10,Mapleton 1,507,Adventure Elementary,356,193,44,119,237,54.20%,12.40%,0.666,50%-75%
1,ADAMS,10,Mapleton 1,509,Clayton Partnership School,532,288,95,149,383,54.10%,17.90%,0.72,50%-75%
1,ADAMS,10,Mapleton 1,695,Big Picture College and Career Academy,113,58,13,42,71,51.30%,11.50%,0.628,50%-75%
1,ADAMS,10,Mapleton 1,1796,Colorado Connections Academy,2532,628,132,"1,772",760,24.80%,5.20%,0.3,25%-50%
1,ADAMS,10,Mapleton 1,2768,Preschool on Poze,0, * , * , * , * , * , * ,*, * 
1,ADAMS,10,Mapleton 1,3590,Global Intermediate Academy,292,182,46,64,228,62.30%,15.80%,0.781,75%-100%
1,ADAMS,10,Mapleton 1,3623,Global Primary Academy,198,112,35,51,147,56.60%,17.70%,0.742,50%-75%
1,ADAMS,10,Mapleton 1,6315,North Valley School for Young Adults,77,39,5,33,44,50.60%,6.50%,0.571,50%-75%
1,ADAMS,10,Mapleton 1,8823,Trailside Academy,435,227,56,152,283,52.20%,12.90%,0.651,50%-75%
1,ADAMS,20,Adams 12 Five Star Schools,14,Glacier Peak Elementary School,393,107,40,246,147,27.20%,10.20%,0.374,25%-50%
1,ADAMS,20,Adams 12 Five Star Schools,57,Rocky Top Middle School,1032,112,47,873,159,10.90%,4.60%,0.154,0% - 25%
1,ADAMS,20,Adams 12 Five Star Schools,59,Meridian Elementary School,531,42,11,478,53,7.90%,2.10%,0.1,0% - 25%
1,ADAMS,20,Adams 12 Five Star Schools,70,Adams12 Five Star Preschool,0, * , * , * , * , * , * ,*, * 
1,ADAMS,20,Adams 12 Five Star Schools,210,Vantage Point,344,168,38,138,206,48.80%,11.00%,0.599,50%-75%
1,ADAMS,20,Adams 12 Five Star Schools,301,Arapahoe Ridge Elementary School,456,197,43,216,240,43.20%,9.40%,0.526,50%-75%
1,ADAMS,20,Adams 12 Five Star Schools,1388,Centennial Elementary School,365,206,68,91,274,56.40%,18.60%,0.751,75%-100%
1,ADAMS,20,Adams 12 Five Star Schools,1480,Century Middle School,941,277,108,556,385,29.40%,11.50%,0.409,25%-50%
1,ADAMS,20,Adams 12 Five Star Schools,1519,Stargate Charter School,1486, * , * , * , * , * , * ,*, * 
1,ADAMS,20,Adams 12 Five Star Schools,1878,Coronado Hills Elementary School,474,302,88,84,390,63.70%,18.60%,0.823,75%-100%
1,ADAMS,20,Adams 12 Five Star Schools,1914,Cotton Creek Elementary School,505,91,31,383,122,18.00%,6.10%,0.242,0% - 25%
1,ADAMS,20,Adams 12 Five Star Schools,1937,Coyote Ridge Elementary School,398, * , * , * , * , * , * ,*, * 
1,ADAMS,20,Adams 12 Five Star Schools,2361,Eagleview Elementary School,509,105,35,369,140,20.60%,6.90%,0.275,25%-50%
1,ADAMS,20,Adams 12 Five Star Schools,2410,Tarver Elementary School,405,71,29,305,100,17.50%,7.20%,0.247,0% - 25%
1,ADAMS,20,Adams 12 Five Star Schools,2576,Cherry Drive Elementary School,290,107,29,154,136,36.90%,10.00%,0.469,25%-50%
1,ADAMS,20,Adams 12 Five Star Schools,2578,Skyview Elementary School,392,124,53,215,177,31.60%,13.50%,0.452,25%-50%
1,ADAMS,20,Adams 12 Five Star Schools,2580,Hunters Glen Elementary School,359,91,25,243,116,25.30%,7.00%,0.323,25%-50%
1,ADAMS,20,Adams 12 Five Star Schools,2582,Rocky Mountain Elementary School,319,228,49,42,277,71.50%,15.40%,0.868,75%-100%
1,ADAMS,20,Adams 12 Five Star Schools,2584,Riverdale Elementary School,380,150,55,175,205,39.50%,14.50%,0.539,50%-75%
1,ADAMS,20,Adams 12 Five Star Schools,2918,Federal Heights Elementary School,412,321,50,41,371,77.90%,12.10%,0.9,75%-100%
1,ADAMS,20,Adams 12 Five Star Schools,4000,Hillcrest Elementary School,410,257,92,61,349,62.70%,22.40%,0.851,75%-100%
1,ADAMS,20,Adams 12 Five Star Schools,4108,Horizon High School,2067,289,118,"1,660",407,14.00%,5.70%,0.197,0% - 25%
1,ADAMS,20,Adams 12 Five Star Schools,4172,Hulstrom Options K-8 School,653,39,33,581,72,6.00%,5.10%,0.11,0% - 25%
1,ADAMS,20,Adams 12 Five Star Schools,4187,Silver Hills Middle School,1048,500,152,396,652,47.70%,14.50%,0.622,50%-75%
1,ADAMS,20,Adams 12 Five Star Schools,4699,New America School - Thornton,260,136,25,99,161,52.30%,9.60%,0.619,50%-75%
1,ADAMS,20,Adams 12 Five Star Schools,5043,Legacy High School,2417,339,125,"1,953",464,14.00%,5.20%,0.192,0% - 25%
1,ADAMS,20,Adams 12 Five Star Schools,5058,Leroy Drive Elementary School,365,212,62,91,274,58.10%,17.00%,0.751,75%-100%
1,ADAMS,20,Adams 12 Five Star Schools,5418,Malley Drive Elementary School,381,231,52,98,283,60.60%,13.60%,0.743,50%-75%
1,ADAMS,20,Adams 12 Five Star Schools,5706,McElwain Elementary School,371,264,47,60,311,71.20%,12.70%,0.838,75%-100%
1,ADAMS,20,Adams 12 Five Star Schools,5814,Thornton Middle School ,908,620,134,154,754,68.30%,14.80%,0.83,75%-100%
1,ADAMS,20,Adams 12 Five Star Schools,5816,Thornton High School,1544,826,231,487,"1,057",53.50%,15.00%,0.685,50%-75%
1,ADAMS,20,Adams 12 Five Star Schools,6060,Mountain Range High School,1853,503,176,"1,174",679,27.10%,9.50%,0.366,25%-50%
1,ADAMS,20,Adams 12 Five Star Schools,6150,Mountain View Elementary School,511,112,32,367,144,21.90%,6.30%,0.282,25%-50%
1,ADAMS,20,Adams 12 Five Star Schools,6342,Shadow Ridge Middle School,815,267,107,441,374,32.80%,13.10%,0.459,25%-50%
1,ADAMS,20,Adams 12 Five Star Schools,6355,North Mor Elementary School,358,210,57,91,267,58.70%,15.90%,0.746,50%-75%
1,ADAMS,20,Adams 12 Five Star Schools,6376,North Star Elementary School,311,239,39,33,278,76.80%,12.50%,0.894,75%-100%
1,ADAMS,20,Adams 12 Five Star Schools,6398,Northglenn Middle School,838,588,120,130,708,70.20%,14.30%,0.845,75%-100%
1,ADAMS,20,Adams 12 Five Star Schools,6402,Northglenn High School,2039,"1,040",274,725,"1,314",51.00%,13.40%,0.644,50%-75%
1,ADAMS,20,Adams 12 Five Star Schools,6802,Prospect Ridge Academy,1434, * , * , * , * , * , * ,*, * 
1,ADAMS,20,Adams 12 Five Star Schools,6956,Pathways Future Center,392,159,26,207,185,40.60%,6.60%,0.472,25%-50%
