year,mergecode,lowincome
17,10-187,63.3
17,10-212,60.4
17,10-263,76.9
17,10-309,54.5
17,10-501,79.7
17,10-502,76.7
17,10-503,65.5
17,10-504,72.4
17,10-505,66.7
17,10-506,69.4
17,10-507,79.1
17,10-509,71.0
17,10-695,72.8
17,10-1796,31.3
17,10-3590,84.6
17,10-3623,80.1
17,10-6315,43.1
17,10-9036,74.7
17,20-14,37.2
17,20-57,12.9
17,20-59,4.2
17,20-210,56.6
17,20-301,41.3
17,20-1388,72.1
17,20-1480,32.9
17,20-1519,3.5
17,20-1878,86.6
17,20-1914,25.3
17,20-1937,5.5
17,20-2361,25.3
17,20-2410,27.1
17,20-2576,49.9
17,20-2578,45.4
17,20-2580,27.2
17,20-2582,83.5
17,20-2584,51.0
17,20-2918,91.7
17,20-4000,83.8
17,20-4108,22.7
17,20-4172,10.4
17,20-4187,57.1
17,20-5043,19.6
17,20-5058,76.5
17,20-5418,80.0
17,20-5706,79.8
17,20-5814,83.1
17,20-5816,40.3
17,20-6060,35.3
17,20-6150,25.7
17,20-6342,44.4
17,20-6355,82.5
17,20-6376,83.7
17,20-6398,83.6
17,20-6402,31.4
17,20-6802,1.6
17,20-6956,50.9
17,20-7155,16.1
17,20-7795,10.5
17,20-8211,40.7
17,20-8225,47.9
17,20-8275,18.5
17,20-8310,74.5
17,20-8361,83.5
17,20-8842,83.0
17,20-9431,14.6
17,20-9444,26.2
17,20-9494,66.6
17,20-9682,59.1
17,30-20,88.0
17,30-22,78.7
17,30-24,80.2
17,30-186,88.0
17,30-1426,89.3
17,30-2308,87.8
17,30-4516,85.0
17,30-4536,86.8
17,30-5982,86.4
17,30-6534,88.4
17,30-7500,85.6
17,40-700,37.3
17,40-1013,15.0
17,40-1021,44.9
17,40-1022,37.3
17,40-1052,24.5
17,40-2399,25.5
17,40-2945,16.5
17,40-3900,47.2
17,40-4950,13.4
17,40-5615,44.2
17,40-6294,78.6
17,40-6395,56.9
17,40-6638,59.9
17,40-6702,37.0
17,40-7129,33.4
17,40-7131,38.8
17,40-7714,37.0
17,40-8032,38.6
17,40-8060,71.9
17,40-8130,57.2
17,40-8820,23.1
17,40-9230,65.2
17,40-9426,21.1
17,50-770,42.0
17,50-774,38.3
17,50-775,19.8
17,60-8328,32.8
17,60-8332,24.5
17,60-8334,20.6
17,70-1622,83.2
17,70-2876,90.8
17,70-3144,89.1
17,70-3792,85.2
17,70-3931,73.9
17,70-4334,49.7
17,70-4465,88.4
17,70-5388,88.4
17,70-5834,77.8
17,70-7305,89.6
17,70-7810,80.2
17,70-7812,82.4
17,70-7860,83.5
17,70-7952,86.8
17,70-8406,84.4
17,70-8798,86.2
17,70-9236,87.5
17,70-9466,79.8
17,100-114,61.5
17,100-115,68.1
17,100-118,54.0
17,100-368,69.5
17,110-7626,61.4
17,110-7630,57.7
17,120-206,53.9
17,120-1514,55.7
17,120-1556,68.8
17,120-1652,78.4
17,120-2746,64.7
17,120-2750,32.5
17,120-2752,81.1
17,120-9620,81.5
17,123-3054,91.9
17,123-7837,92.0
17,123-7842,92.7
17,123-8123,71.7
17,130-16,14.8
17,130-18,24.9
17,130-141,23.4
17,130-242,23.5
17,130-243,7.3
17,130-348,45.4
17,130-442,20.7
17,130-714,16.1
17,130-1155,16.2
17,130-1273,28.9
17,130-1510,10.3
17,130-1551,15.6
17,130-1566,14.0
17,130-1568,15.7
17,130-1570,12.4
17,130-1571,4.9
17,130-1572,17.5
17,130-1614,55.5
17,130-1916,4.4
17,130-1970,18.5
17,130-2094,17.1
17,130-2292,16.3
17,130-2357,32.0
17,130-2428,74.8
