year,mergecode,droprate
19,4153-4710,1.23
19,4153-4711,1.28
19,4153-89607,27.78
19,4154-4716,0.5
19,4154-4717,5.4
19,4155-4720,0.43
19,4155-4721,1.49
19,4155-92686,25.64
19,4156-4723,3.42
19,4156-4724,6.59
19,4157-4727,1.36
19,4157-4728,4.01
19,4158-4731,7.66
19,4158-4734,2.46
19,4158-4735,7.69
19,4158-4737,8.54
19,4159-4739,20.0
19,4159-4740,3.06
19,4159-4741,1.37
19,4159-88386,7.32
19,4160-4742,2.7
19,4161-4743,7.69
19,4162-4744,0.0
19,4163-4745,0.0
19,4167-4748,0.0
19,4168-4749,1.09
19,4168-4750,0.0
19,4168-4751,2.53
19,4169-4753,6.42
19,4169-4754,4.56
19,4170-4756,5.64
19,4170-4757,2.95
19,4171-4758,6.25
19,4171-4759,8.33
19,4172-4760,2.56
19,4173-4761,1.89
19,4173-4762,0.78
19,4174-4770,3.36
19,4174-4771,1.42
19,4174-4773,4.18
19,4175-4781,0.77
19,4175-4783,1.76
19,4175-440989,22.22
19,4176-4784,0.0
19,4177-4785,0.0
19,4180-4788,1.4
19,4180-4789,0.79
19,4181-4790,0.0
19,4185-4795,0.0
19,4186-4796,0.0
19,4188-4798,0.0
19,4190-4800,2.7
19,4191-4801,9.9
19,4191-4802,0.9
19,4191-85876,0.7
19,4191-85877,3.64
19,4192-4803,17.35
19,4192-4817,2.26
19,4192-4819,1.17
19,4192-4820,2.46
19,4192-90191,2.04
19,4192-230656,14.89
19,4193-4822,0.0
19,4193-4823,2.49
19,4194-4824,0.0
19,4194-4825,1.11
19,4195-4828,4.9
19,4196-4831,2.67
19,4196-4832,1.61
19,4196-92913,24.36
19,4197-4837,5.7
19,4197-4838,6.76
19,4197-78916,22.41
19,4199-4839,0.0
19,4201-4841,0.0
19,4202-4842,1.2
19,4204-4845,0.16
19,4205-4849,0.0
19,4207-4851,0.0
19,4208-4855,4.19
19,4208-85831,1.16
19,4209-4856,1.03
19,4209-4860,4.6
19,4209-10822,6.92
19,4209-91196,15.09
19,4210-4863,16.67
19,4210-4864,2.0
19,4210-89776,19.12
19,4211-4869,2.08
19,4212-4870,0.0
19,4212-4873,4.17
19,4213-4874,0.0
19,4213-4875,0.0
19,4214-4876,0.0
19,4215-4877,0.0
19,4216-4878,15.7
19,4217-4879,0.0
19,4218-4883,3.62
19,4218-4884,1.69
19,4218-4885,3.36
19,4218-216045,33.33
19,4219-4888,0.61
19,4219-4889,0.91
19,4220-4891,2.37
19,4220-81056,1.67
19,4220-92296,29.03
19,4221-4893,2.79
19,4221-90064,28.26
19,4222-4894,0.0
19,4224-4896,0.0
19,4225-4897,6.25
19,4228-4902,0.0
19,4228-4903,0.78
19,4230-4906,1.54
19,4230-92081,0.42
19,4234-6822,0.0
19,4234-6823,0.0
19,4234-80410,21.62
19,4234-90797,0.0
19,4234-549878,0.0
19,4234-969999,15.71
19,4235-4967,1.82
19,4235-4969,2.59
19,4235-4970,2.14
19,4235-4971,0.25
19,4235-4973,2.16
19,4235-4974,2.53
19,4235-4975,1.3
19,4235-4977,1.05
19,4235-4979,0.39
19,4235-4980,3.14
19,4235-4981,4.13
19,4235-4982,2.04
19,4235-4983,3.71
19,4235-4984,1.19
19,4235-78917,3.16
19,4235-78930,7.62
19,4235-78932,32.3
19,4235-79489,1.77
19,4235-89593,0.53
19,4235-90303,0.71
19,4235-90753,0.36
19,4236-4986,0.54
19,4236-4987,5.96
19,4236-89676,1.28
19,4236-91264,16.55
19,4237-4989,0.0
19,4237-4990,0.0
19,4237-4991,0.0
19,4237-4992,0.0
19,4237-4993,0.0
19,4237-4994,0.0
19,4237-4995,0.0
19,4237-4996,0.54
19,4237-4997,0.0
