year,mergecode,districtcode,schoolcode,black,hispanic,white,totalenroll
21,1000166-1000972,1000166,1000972,10.98,48.17,32.32,164
21,7355-91260,7355,91260,0.0,50.0,0.0,24
21,7355-7360,7355,7360,0.0,22.92,45.83,48
21,7355-7356,7355,7356,14.55,44.55,24.55,110
21,79053-79123,79053,79123,0.0,82.8,0.0,93
21,449790-742847,449790,742847,0.0,0.0,0.0,16
21,92980-1000276,92980,1000276,0.0,20.0,69.09,55
21,89949-90271,89949,90271,10.48,68.76,13.42,477
21,90273-90274,90273,90274,8.45,84.51,0.0,142
21,91303-91304,91303,91304,8.1,75.7,8.66,358
21,91305-91306,91305,91306,2.82,42.12,38.12,425
21,91307-91308,91307,91308,3.94,32.15,49.11,507
21,92325-92326,92325,92326,10.72,73.09,10.5,457
21,92327-91323,92327,91323,7.14,38.57,38.29,350
21,92716-70692,92716,70692,0.0,67.07,0.0,82
21,346763-92248,346763,92248,6.19,83.63,5.31,226
21,92987-635758,92987,635758,0.0,44.84,34.08,223
21,522074-860177,522074,860177,3.13,23.51,58.94,4211
21,89869-89870,89869,89870,21.77,8.06,27.02,248
21,90199-90200,90199,90200,9.03,60.65,22.58,155
21,90199-90770,90199,90770,0.0,87.78,8.15,540
21,85540-85541,85540,85541,0.0,21.51,72.04,93
21,90878-1000378,90878,1000378,13.05,58.03,23.27,1027
21,90878-911531,90878,911531,4.64,85.03,7.29,1316
21,90878-1000119,90878,1000119,16.06,56.06,18.92,1395
21,90878-1000118,90878,1000118,16.14,44.47,27.45,787
21,90878-1000379,90878,1000379,20.9,54.97,17.32,866
21,90878-92197,90878,92197,5.89,76.6,11.45,594
21,79961-79094,79961,79094,5.23,65.29,20.6,631
21,92768-92769,92768,92769,7.02,71.4,17.42,1154
21,78897-81130,78897,81130,0.0,26.19,60.95,210
21,78897-78898,78897,78898,0.0,32.53,43.98,166
21,78897-79986,78897,79986,0.0,35.32,49.25,201
21,79213-10795,79213,10795,0.0,65.52,25.0,116
21,6364-5891,6364,5891,0.0,54.11,41.56,231
21,4297-5462,4297,5462,0.0,19.64,70.83,168
21,4325-5496,4325,5496,0.0,75.6,23.37,291
21,79437-79438,79437,79438,0.0,51.06,42.86,329
21,79437-88180,79437,88180,0.0,35.58,60.74,163
21,4289-5454,4289,5454,10.37,67.46,15.71,1687
21,4289-932049,4289,932049,6.56,41.62,43.58,1432
21,4289-79799,4289,79799,11.27,58.23,21.03,1731
21,4289-78926,4289,78926,10.02,37.7,37.7,1907
21,4289-87903,4289,87903,5.53,41.82,45.05,1645
21,4249-5187,4249,5187,0.0,92.7,0.0,137
21,4409-5831,4409,5831,0.0,73.68,12.55,247
21,4409-6292,4409,6292,0.0,69.81,21.7,106
21,5978-10797,5978,10797,0.0,0.0,0.0,17
21,4280-1000261,4280,1000261,0.0,81.11,0.0,90
21,4280-5381,4280,5381,7.11,74.11,10.91,788
21,4280-5384,4280,5384,14.39,69.61,8.12,862
21,4280-6030,4280,6030,17.88,67.05,10.43,604
21,4280-5385,4280,5385,5.42,74.79,7.5,960
21,4280-5391,4280,5391,14.43,70.72,4.33,485
21,4280-5386,4280,5386,6.69,81.87,2.92,822
21,4280-1000259,4280,1000259,8.51,74.47,7.45,188
21,4280-5387,4280,5387,6.64,86.5,2.17,874
21,4280-5388,4280,5388,7.44,82.89,2.22,900
21,4280-5383,4280,5383,1.86,91.97,2.21,859
21,4280-1000041,4280,1000041,2.33,92.86,3.16,602
21,4280-5390,4280,5390,7.25,81.42,2.11,759
21,4280-79203,4280,79203,7.32,80.4,3.35,806
21,4280-1000042,4280,1000042,43.54,46.94,0.0,147
21,4280-5392,4280,5392,14.45,68.31,3.7,893
21,79969-79970,79969,79970,13.86,66.34,16.83,101
21,4347-5521,4347,5521,4.36,25.45,59.27,275
21,4161-4743,4161,4743,0.0,23.21,66.07,56
21,4418-5859,4418,5859,0.0,61.54,24.62,260
21,4418-84336,4418,84336,0.0,59.66,29.31,290
21,79215-78788,79215,78788,2.99,89.54,5.98,736
21,80995-80996,80995,80996,0.0,94.38,2.29,480
21,79883-6346,79883,6346,0.0,40.16,45.67,127
21,79874-78813,79874,78813,9.84,71.04,12.02,183
21,79872-78901,79872,78901,5.31,30.43,44.44,207
21,79873-78900,79873,78900,13.89,67.36,9.03,144
21,79875-78817,79875,78817,10.97,61.85,18.45,401
21,80989-80990,80989,80990,22.13,67.83,2.25,488
21,88334-88335,88334,88335,5.43,87.6,3.36,387
21,79877-6347,79877,6347,5.65,56.05,29.84,248
21,79879-6348,79879,6348,4.5,88.89,3.44,378
21,4348-242454,4348,242454,3.79,22.27,66.82,449
21,4348-92348,4348,92348,4.1,26.95,59.57,512
21,4348-5522,4348,5522,2.09,11.81,75.49,669
21,4348-509281,4348,509281,2.44,19.7,70.27,2624
21,4348-865358,4348,865358,5.18,22.07,60.14,444
21,4348-92885,4348,92885,3.91,29.16,56.17,2455
21,4348-91778,4348,91778,0.0,18.95,71.69,438
21,4348-90769,4348,90769,2.34,15.29,76.31,2440
21,4348-91173,4348,91173,6.76,27.3,53.92,740
21,79461-81178,79461,81178,4.81,38.96,44.08,7030
21,4406-91755,4406,91755,3.36,44.15,43.88,743
21,4406-6055,4406,6055,10.87,60.72,16.75,1021
21,4406-5805,4406,5805,12.87,57.36,18.45,645
21,4406-5808,4406,5808,2.32,29.82,57.32,1509
21,4406-5802,4406,5802,0.0,21.55,68.9,283
21,4406-5799,4406,5799,0.0,38.72,56.16,625
21,4406-5796,4406,5796,7.59,52.32,27.85,237
21,4406-5794,4406,5794,5.86,43.22,36.26,273
21,4406-5795,4406,5795,13.96,52.45,20.0,265
21,4406-79378,4406,79378,1.51,24.54,66.64,1520
21,4406-5797,4406,5797,18.35,43.76,26.35,425
21,4406-5804,4406,5804,4.97,66.59,19.86,443
21,4406-5806,4406,5806,2.46,29.86,57.68,690
21,4406-5798,4406,5798,0.0,44.01,45.07,284
21,4406-5792,4406,5792,7.26,34.19,49.57,234
21,4406-5800,4406,5800,0.0,21.9,69.84,315
21,4406-79282,4406,79282,0.0,17.81,68.84,292
21,4406-5807,4406,5807,2.19,24.65,63.94,868
21,4406-5803,4406,5803,0.0,35.38,46.15,65
21,4406-5801,4406,5801,0.0,50.2,41.63,245
21,4406-12976,4406,12976,0.0,15.58,75.64,353
21,4406-5793,4406,5793,0.0,17.19,71.49,442
21,4506-6188,4506,6188,0.0,71.43,26.02,196
21,90532-90635,90532,90635,0.0,13.51,72.21,770
21,4178-4786,4178,4786,0.0,0.0,0.0,12
21,4443-5925,4443,5925,0.0,36.77,57.29,892
21,4443-5923,4443,5923,0.0,41.49,51.09,552
21,4443-5922,4443,5922,0.0,34.89,57.09,536
21,4443-5920,4443,5920,0.0,44.5,46.49,555
21,4443-79631,4443,79631,0.0,34.69,56.91,369
21,79426-79432,79426,79432,0.0,95.78,0.0,237
21,92312-92313,92312,92313,2.59,24.95,57.12,541
21,90917-90999,90917,90999,3.47,15.69,50.55,548
21,92314-92315,92314,92315,0.0,13.3,70.6,534
21,91878-91879,91878,91879,1.96,12.99,70.11,562
21,92656-92708,92656,92708,4.35,13.62,46.35,712
21,91758-91785,91758,91785,2.17,16.49,59.45,831
21,90857-90994,90857,90994,0.0,9.25,69.38,1081
21,92704-92707,92704,92707,4.72,33.21,44.34,530
21,90915-91001,90915,91001,5.28,28.3,46.23,530
21,90916-91000,90916,91000,1.95,15.32,68.94,718
21,89486-89487,89486,89487,5.58,24.28,55.58,556
21,134379-156568,134379,156568,0.0,29.11,60.76,79
21,4331-6344,4331,6344,0.0,16.98,73.77,324
21,85816-5503,85816,5503,5.87,85.04,5.11,528
21,87403-87404,87403,87404,0.0,15.2,72.0,125
21,90779-90780,90779,90780,5.57,53.4,27.42,485
21,91131-91132,91131,91132,0.0,15.16,80.97,310
21,91958-92598,91958,92598,0.0,54.15,29.76,205
21,91958-92984,91958,92984,0.0,49.31,33.33,144
21,4346-5520,4346,5520,0.0,82.11,0.0,95
21,79947-79950,79947,79950,9.55,62.64,20.93,712
21,79947-81187,79947,81187,11.36,48.26,30.15,889
21,79947-91805,79947,91805,0.0,93.43,4.04,396
21,87407-81179,87407,81179,4.74,16.19,63.02,3083
21,8336-92289,8336,92289,0.0,65.71,0.0,35
21,8336-8348,8336,8348,0.0,0.0,0.0,16
21,8336-8341,8336,8341,0.0,50.0,0.0,38
21,8336-8340,8336,8340,0.0,0.0,0.0,16
21,8326-8327,8326,8327,11.92,53.89,21.24,193
21,90758-91184,90758,91184,10.12,34.77,43.79,998
21,90758-91246,90758,91246,9.54,33.92,43.64,566
21,92566-92567,92566,92567,0.0,29.87,55.84,77
21,85749-85750,85749,85750,2.2,14.29,75.09,546
21,4345-5519,4345,5519,4.65,31.59,52.68,839
21,4274-5354,4274,5354,0.0,67.67,28.95,266
21,4187-4797,4187,4797,0.0,0.0,56.0,25
21,4471-6101,4471,6101,0.0,43.97,53.45,116
21,4471-6103,4471,6103,0.0,50.0,44.74,76
21,4471-6102,4471,6102,0.0,50.0,47.3,74
21,92932-996075,92932,996075,0.0,0.0,0.0,12
21,92932-92933,92932,92933,0.0,0.0,76.47,34
21,4272-91985,4272,91985,12.66,75.44,6.58,395
21,4272-87619,4272,87619,11.38,60.07,21.02,571
21,4272-90028,4272,90028,8.15,57.44,25.55,994
21,4272-79670,4272,79670,12.87,57.19,22.75,668
21,4272-79792,4272,79792,13.67,57.94,21.44,863
21,4272-5348,4272,5348,14.93,73.98,4.98,442
21,4272-5349,4272,5349,16.37,65.48,14.95,281
21,4272-5347,4272,5347,4.52,89.38,4.52,819
21,4272-78924,4272,78924,12.27,60.5,19.66,595
21,79929-80006,79929,80006,0.0,98.53,0.0,68
21,4508-6192,4508,6192,0.0,88.54,0.0,96
21,6361-6065,6361,6065,4.8,36.58,30.3,812
21,81078-81079,81078,81079,1.58,5.8,25.77,1137
21,90508-90509,90508,90509,2.39,16.75,45.61,627
21,90841-91055,90841,91055,3.12,4.74,20.77,992
21,90842-91056,90842,91056,3.57,3.82,9.77,1177
21,90862-90863,90862,90863,0.0,11.96,65.03,878
21,91280-91343,91280,91343,2.86,8.32,32.38,769
21,91309-91766,91309,91766,4.66,23.43,39.8,922
21,91339-92030,91339,92030,6.79,7.18,23.59,780
21,91949-91997,91949,91997,6.27,14.86,46.56,814
21,92318-92319,92318,92319,3.64,25.35,39.22,714
21,92320-92321,92320,92321,0.0,15.16,70.96,706
21,92349-92350,92349,92350,12.35,28.54,25.51,494
21,92734-92735,92734,92735,13.0,25.27,25.27,277
21,92736-92737,92736,92737,18.15,31.16,26.63,661
21,92863-92864,92863,92864,1.95,7.79,31.66,616
21,92865-92866,92865,92866,4.25,3.85,10.93,494
21,92997-93010,92997,93010,6.73,9.86,20.19,639
21,273398-103670,273398,103670,3.61,9.49,27.26,664
21,549803-139682,549803,139682,22.73,45.17,15.62,352
21,783027-893297,783027,893297,2.38,7.14,21.65,462
21,934316-469376,934316,469376,3.0,8.76,22.93,833
21,4412-90822,4412,90822,0.0,0.0,0.0,52
21,4412-5847,4412,5847,0.0,0.0,0.0,208
21,4412-5846,4412,5846,0.0,0.0,0.0,136
21,4412-948673,4412,948673,0.0,0.0,0.0,232
21,4412-5844,4412,5844,0.0,5.12,0.0,332
21,4468-6088,4468,6088,0.0,28.76,60.18,226
21,4468-6089,4468,6089,0.0,32.68,63.41,205
21,79204-10729,79204,10729,11.57,30.58,38.02,484
21,4294-10730,4294,10730,6.68,32.91,54.53,629
21,90885-91791,90885,91791,6.74,17.25,58.76,371
21,4268-81141,4268,81141,17.42,66.29,5.2,442
21,4268-5320,4268,5320,35.06,50.83,5.39,482
21,4268-5321,4268,5321,13.32,62.93,9.27,518
21,4268-92301,4268,92301,0.0,61.54,0.0,26
21,4268-5319,4268,5319,17.66,67.18,4.59,719
21,7340-7341,7340,7341,0.0,0.0,0.0,14
21,4481-6116,4481,6116,0.0,32.57,59.87,304
21,79983-79507,79983,79507,12.93,46.06,33.12,317
21,10972-78803,10972,78803,0.0,6.93,81.99,433
21,4355-5537,4355,5537,2.0,16.8,75.65,649
21,4355-5538,4355,5538,0.0,21.44,64.91,513
21,4355-88341,4355,88341,2.32,10.53,80.63,475
