year,mergecode,districtcode,black,hispanic,white,totalenroll,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,state,year_21
17,92768-92769arizona,92768arizona,4.44,91.11,3.25,585,88.0,1.43,40094003499,0.0,0.0,1.0,0.0,1,arizona,0
18,92768-92769arizona,92768arizona,5.45,89.96,3.59,807,88.0,1.04,40094003499,0.0,0.0,1.0,0.0,1,arizona,0
19,92768-92769arizona,92768arizona,5.73,89.43,3.0,1135,88.0,1.66,40094003499,0.0,0.0,1.0,0.0,1,arizona,0
21,92768-92769arizona,92768arizona,7.02,71.4,17.42,1154,88.0,4.74,40094003499,0.5,0.5,0.0,0.75,1,arizona,1
17,4289-5454arizona,4289arizona,10.86,64.91,19.5,1667,62.0,1.0,40045000001,0.0,0.0,1.0,0.0,0,arizona,0
18,4289-5454arizona,4289arizona,10.85,64.28,19.19,1761,60.0,1.0,40045000001,0.0,0.0,1.0,0.0,0,arizona,0
19,4289-5454arizona,4289arizona,11.09,64.81,17.98,1830,57.0,2.36,40045000001,0.0,0.0,1.0,0.0,0,arizona,0
21,4289-5454arizona,4289arizona,10.37,67.46,15.71,1687,59.0,3.55,40045000001,0.4,0.6,0.0,0.8,0,arizona,1
17,4289-79799arizona,4289arizona,13.89,50.91,27.38,1764,50.0,1.32,40045002273,0.0,0.0,1.0,0.0,0,arizona,0
18,4289-79799arizona,4289arizona,12.57,54.16,26.19,1695,46.0,0.89,40045002273,0.0,0.0,1.0,0.0,0,arizona,0
19,4289-79799arizona,4289arizona,11.41,57.07,24.1,1647,45.0,0.99,40045002273,0.0,0.0,1.0,0.0,0,arizona,0
21,4289-79799arizona,4289arizona,11.27,58.23,21.03,1731,44.0,2.22,40045002273,0.4,0.6,0.0,0.8,0,arizona,1
17,4289-78926arizona,4289arizona,11.46,36.94,40.39,2347,27.0,1.1,40045001884,0.0,0.0,1.0,0.0,0,arizona,0
18,4289-78926arizona,4289arizona,11.63,37.12,40.75,2287,28.0,0.93,40045001884,0.0,0.0,1.0,0.0,0,arizona,0
19,4289-78926arizona,4289arizona,11.28,36.61,40.73,2136,25.0,0.93,40045001884,0.0,0.0,1.0,0.0,0,arizona,0
21,4289-78926arizona,4289arizona,10.02,37.7,37.7,1907,22.0,2.93,40045001884,0.4,0.6,0.0,0.8,0,arizona,1
17,4289-87903arizona,4289arizona,6.03,36.87,49.52,1991,24.0,0.75,40045002592,0.0,0.0,1.0,0.0,0,arizona,0
18,4289-87903arizona,4289arizona,6.03,36.83,49.33,2023,22.0,0.67,40045002592,0.0,0.0,1.0,0.0,0,arizona,0
19,4289-87903arizona,4289arizona,6.41,38.28,47.9,1902,23.0,1.06,40045002592,0.0,0.0,1.0,0.0,0,arizona,0
21,4289-87903arizona,4289arizona,5.53,41.82,45.05,1645,20.0,2.0,40045002592,0.4,0.6,0.0,0.8,0,arizona,1
17,4409-6292arizona,4409arizona,0.0,72.31,10.0,130,82.0,4.79,40052003063,0.0,0.0,1.0,0.0,0,arizona,0
18,4409-6292arizona,4409arizona,0.0,75.63,11.76,119,87.0,2.21,40052003063,0.0,0.0,1.0,0.0,0,arizona,0
19,4409-6292arizona,4409arizona,0.0,71.85,19.26,135,77.0,1.28,40052003063,0.0,0.0,1.0,0.0,0,arizona,0
21,4409-6292arizona,4409arizona,0.0,69.81,21.7,106,66.0,9.09,40052003063,0.2,0.8,0.0,0.9,0,arizona,1
17,4280-5384arizona,4280arizona,12.83,72.24,8.62,951,88.0,0.83,40060000008,0.0,0.0,1.0,0.0,0,arizona,0
18,4280-5384arizona,4280arizona,12.07,72.18,8.72,895,93.0,0.8,40060000008,0.0,0.0,1.0,0.0,0,arizona,0
19,4280-5384arizona,4280arizona,12.46,71.58,8.51,1316,87.0,1.03,40060000008,0.0,0.0,1.0,0.0,0,arizona,0
21,4280-5384arizona,4280arizona,14.39,69.61,8.12,862,89.0,3.85,40060000008,0.3,0.7,0.0,0.85,0,arizona,1
17,4280-5387arizona,4280arizona,4.83,89.6,2.69,1077,91.0,0.96,40060000012,0.0,0.0,1.0,0.0,0,arizona,0
