year,mergecode,districtcode,droprate,black,white,hispanic,totalenroll,lowincome,charter,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,state,year_21
17,0010-0187colorado,0010colorado,3.3,1.89,22.98,70.58,792,63.3,0,80555001857,0.0,0.0,1.0,0.0,colorado,0
18,0010-0187colorado,0010colorado,1.9,2.7,21.97,70.62,851,69.9,0,80555001857,0.0,0.0,1.0,0.0,colorado,0
19,0010-0187colorado,0010colorado,1.06,2.47,19.98,72.62,851,66.3,0,80555001857,0.0,0.0,1.0,0.0,colorado,0
21,0010-0187colorado,0010colorado,2.4,2.23,15.44,76.63,719,64.9,0,80555001857,0.0,0.1,0.9,0.1,colorado,1
17,0010-0212colorado,0010colorado,2.1,1.79,22.5,70.0,280,60.4,0,80555001858,0.0,0.0,1.0,0.0,colorado,0
18,0010-0212colorado,0010colorado,2.2,1.43,19.35,70.97,279,66.7,0,80555001858,0.0,0.0,1.0,0.0,colorado,0
19,0010-0212colorado,0010colorado,1.73,0.69,20.42,71.97,289,63.0,0,80555001858,0.0,0.0,1.0,0.0,colorado,0
21,0010-0212colorado,0010colorado,2.7,0.68,14.86,78.72,296,62.6,0,80555001858,0.0,0.1,0.9,0.1,colorado,1
17,0010-0263colorado,0010colorado,0.7,1.11,8.86,88.56,271,76.9,0,80555001860,0.0,0.0,1.0,0.0,colorado,0
18,0010-0263colorado,0010colorado,4.3,0.71,6.05,90.75,281,83.6,0,80555001860,0.0,0.0,1.0,0.0,colorado,0
19,0010-0263colorado,0010colorado,3.5,1.05,6.29,90.91,286,76.5,0,80555001860,0.0,0.0,1.0,0.0,colorado,0
21,0010-0263colorado,0010colorado,1.9,1.86,4.95,91.64,323,69.9,0,80555001860,0.0,0.1,0.9,0.1,colorado,1
17,0010-0309colorado,0010colorado,2.3,3.62,12.95,77.14,525,54.5,0,80555001872,0.0,0.0,1.0,0.0,colorado,0
18,0010-0309colorado,0010colorado,2.4,3.2,12.0,78.6,500,65.8,0,80555001872,0.0,0.0,1.0,0.0,colorado,0
19,0010-0309colorado,0010colorado,4.07,1.74,9.88,83.33,516,64.1,0,80555001872,0.0,0.0,1.0,0.0,colorado,0
