year,mergecode,droprate,totalenroll
18,668-0114,9.7,113.0
18,616-0203,2.1,1000.0
18,710-0109,1.5,2467.0
18,757-0110,3.3,455.0
18,658-0214,0.5,3200.0
18,722-0379,12.4,89.0
18,761-0403,29.9,224.0
18,693-0101,2.0,1200.0
18,620-0295,1.4,2714.0
18,891-5001,40.7,113.0
18,721-0391,10.8,315.0
18,633-0101,1.7,2235.0
18,713-0182,4.2,1095.0
18,644-5067,4.6,1326.0
18,628-0115,1.9,1947.0
18,694-2060,2.2,455.0
18,647-4062,2.3,1478.0
18,732-0194,1.4,1071.0
18,7820618-0618,36.5,1282.0
18,631-0290,3.3,1485.0
18,667-0189,39.8,754.0
18,611-0198,7.7,1312.0
18,633-0381,0.7,2143.0
18,615-0502,3.3,606.0
18,755-0275,3.1,1484.0
18,721-3054,1.3,769.0
18,625-0411,1.2,1083.0
18,667-3750,5.0,2380.0
18,755-0112,2.3,1043.0
18,658-0195,1.5,2600.0
18,759-0176,3.6,889.0
18,715-0207,24.2,91.0
18,623-1052,3.0,1067.0
18,667-0182,0.7,3429.0
18,629-0102,2.8,1536.0
18,634-0195,3.8,1447.0
18,761-0182,5.6,1661.0
18,658-0190,0.6,3333.0
18,721-4060,1.9,1474.0
18,672-0299,1.2,1833.0
18,615-0182,1.2,2250.0
18,667-1050,4.9,3224.0
18,631-0115,5.2,1885.0
18,761-0186,4.5,1356.0
18,625-0210,3.8,658.0
18,679-0108,2.2,727.0
18,633-0707,1.4,2571.0
18,764-0191,0.9,1556.0
18,755-0175,1.3,1385.0
18,747-0199,1.8,1778.0
18,607-0101,2.8,1893.0
18,644-0176,4.9,1163.0
18,792-0273,2.3,2304.0
18,751-0101,2.0,1600.0
18,667-5550,2.5,3000.0
18,647-1058,3.8,1263.0
18,648-4050,3.1,2129.0
18,706-5062,5.7,895.0
18,722-0192,5.3,1302.0
18,613-1050,2.9,1034.0
18,680-0199,3.1,903.0
18,727-5050,1.0,1200.0
18,7820119-0119,31.3,3093.0
18,660-0106,1.0,2500.0
18,755-0212,36.0,267.0
18,706-5052,3.9,1256.0
18,747-0111,2.0,1450.0
18,644-1070,5.2,1885.0
18,669-0189,1.6,1188.0
18,633-0188,1.5,2000.0
18,605-0189,2.0,1250.0
18,653-0189,4.3,791.0
18,741-0387,3.3,1394.0
18,681-0196,1.4,857.0
18,668-2052,2.6,1462.0
18,667-0185,6.3,2587.0
18,648-0212,3.5,1771.0
18,636-0183,2.5,1000.0
18,667-1214,20.2,421.0
18,733-0201,3.1,419.0
18,648-0175,4.4,1773.0
18,608-0198,3.1,1645.0
18,633-2066,7.4,2405.0
18,741-1052,2.4,1292.0
18,644-0202,6.0,1550.0
18,707-0173,2.9,2724.0
18,684-0192,3.4,1618.0
18,689-0105,3.0,1833.0
18,767-2050,1.1,1455.0
18,660-0291,3.8,1947.0
18,726-0208,26.3,76.0
18,761-0106,5.4,463.0
18,761-1409,4.3,953.0
18,631-1056,4.6,1478.0
18,721-3756,2.8,643.0
18,766-1050,2.0,1650.0
18,710-0292,2.0,1750.0
18,631-0378,21.0,1162.0
18,660-0191,1.3,2308.0
18,666-0401,3.2,469.0
18,618-0190,3.4,1029.0
18,635-0112,18.4,136.0
18,7820613-0613,29.6,2402.0
18,660-0205,0.6,2333.0
18,710-2552,2.2,1955.0
18,638-0389,3.1,3323.0
18,644-2054,7.4,1149.0
18,776-3050,3.3,2273.0
18,623-0109,2.3,1391.0
18,645-0292,13.9,72.0
18,721-1052,3.0,1067.0
18,710-0106,2.6,1962.0
18,611-0286,3.1,806.0
18,648-0100,0.9,1556.0
18,612-0115,13.2,76.0
18,716-2050,4.3,395.0
18,734-0202,37.0,27.0
18,737-3052,1.7,588.0
18,656-0182,0.8,1750.0
18,667-4052,2.1,2333.0
18,707-0295,2.9,1586.0
18,667-0176,1.8,3056.0
18,611-0105,3.9,1410.0
18,772-0110,15.5,445.0
18,607-3052,2.7,2111.0
18,625-5070,2.2,1182.0
18,633-4066,7.3,2822.0
18,667-1114,14.4,403.0
18,690-0110,3.9,385.0
18,643-0116,21.6,125.0
18,625-0117,1.1,1364.0
18,644-0497,4.5,1733.0
18,644-4054,6.8,1618.0
18,761-0212,3.8,816.0
18,609-0291,1.8,889.0
18,631-0104,3.0,1933.0
18,636-4050,1.5,1867.0
18,754-0204,2.9,345.0
18,629-5556,2.4,1792.0
18,667-1817,34.2,161.0
18,667-0103,4.1,4122.0
18,733-0107,13.7,95.0
18,633-1054,3.7,3054.0
18,628-0106,1.2,2000.0
18,665-1050,3.1,1258.0
18,644-0103,5.3,1755.0
18,610-0106,17.6,85.0
18,676-0116,19.3,269.0
18,722-0176,3.0,1900.0
18,631-0377,5.4,1444.0
18,660-0386,21.0,348.0
18,692-5050,1.7,3000.0
18,711-2052,4.2,1048.0
18,637-0111,2.9,966.0
18,675-0307,1.8,1722.0
18,761-2664,45.4,293.0
18,652-0176,1.5,867.0
18,611-0186,3.0,1200.0
18,754-0105,2.4,792.0
18,667-4556,0.7,3286.0
18,669-0105,18.1,464.0
18,667-1710,1.5,2933.0
18,635-3052,1.5,667.0
18,667-2558,0.6,2833.0
18,658-5050,1.6,2688.0
18,699-4050,3.3,455.0
18,633-0103,3.1,1581.0
18,761-4058,9.0,1100.0
18,675-0295,3.6,1639.0
18,625-0101,3.3,848.0
18,7820412-0412,12.7,1898.0
18,7820108-0108,40.2,3711.0
18,627-0111,19.7,117.0
18,675-0104,1.5,1267.0
18,721-0100,3.5,1371.0
18,656-0105,1.1,1545.0
18,631-4058,3.5,2029.0
18,660-3066,1.5,1733.0
18,667-0195,2.9,3379.0
18,710-0101,1.6,1688.0
18,644-2055,4.8,1417.0
18,664-0106,2.1,1190.0
18,761-1413,7.9,696.0
18,675-0101,1.5,1600.0
18,669-1552,1.3,1308.0
18,729-0105,2.3,913.0
18,706-0203,1.5,1533.0
18,722-0380,8.4,226.0
18,675-0804,9.0,356.0
18,784-0111,2.2,455.0
18,667-1814,3.2,2906.0
18,761-0315,7.4,811.0
18,669-1556,1.5,1200.0
18,611-0386,4.2,929.0
18,698-0104,5.1,431.0
18,633-1069,3.1,2387.0
18,625-2052,5.4,1093.0
