year,mergecode,districtcode,black,hispanic,white,lowincome
17,601-0103,601,20,13,63,65
17,605-0189,605,68,2,25,75
17,606-0199,606,2,10,86,56
17,607-0101,607,13,19,59,51
17,607-3052,607,15,15,60,49
17,608-0114,608,15,14,66,54
17,608-0198,608,7,11,78,48
17,610-0101,610,12,10,76,84
17,611-0105,611,59,4,29,99
17,611-0186,611,88,2,7,99
17,611-0198,611,89,2,6,99
17,611-0204,611,46,9,41,99
17,611-0286,611,96,1,2,99
17,611-0386,611,94,2,2,99
17,613-1050,613,3,2,93,68
17,615-0182,615,16,8,67,25
17,615-0502,615,23,2,71,66
17,616-0203,616,12,5,79,46
17,616-2054,616,49,7,38,59
17,618-0190,618,34,3,60,87
17,620-0295,620,24,7,60,41
17,622-2052,622,16,8,71,54
17,622-5054,622,27,9,58,57
17,623-0109,623,2,3,91,33
17,623-1052,623,6,6,82,59
17,623-4052,623,3,3,91,43
17,625-0101,625,89,2,5,75
17,625-0210,625,92,1,2,82
17,625-0411,625,17,4,67,28
17,625-2052,625,89,3,5,79
17,625-3056,625,72,15,8,71
17,625-5060,625,65,4,21,64
17,625-5070,625,66,10,16,62
17,628-0106,628,3,7,88,15
17,628-0115,628,9,17,66,23
17,628-0176,628,9,17,68,24
17,628-0191,628,7,11,76,21
17,628-0197,628,11,16,66,26
17,628-5050,628,9,21,66,36
17,629-0102,629,56,25,14,92
17,629-5556,629,49,24,21,92
17,631-0104,631,83,12,1,99
17,631-0115,631,75,20,1,100
17,631-0190,631,79,14,2,99
17,631-0290,631,71,20,2,99
17,631-0377,631,80,14,1,99
17,631-1054,631,44,42,4,100
17,631-1056,631,70,20,3,99
17,631-2052,631,89,6,1,100
17,631-4058,631,69,15,2,100
17,633-0101,633,28,15,46,31
17,633-0103,633,24,17,54,35
17,633-0175,633,6,5,68,4
17,633-0188,633,7,6,77,6
17,633-0192,633,11,6,79,9
17,633-0209,633,18,8,68,19
17,633-0373,633,28,19,39,41
17,633-0381,633,9,8,73,9
17,633-0707,633,35,9,50,20
17,633-0807,633,62,3,32,100
17,633-1054,633,42,34,16,59
17,633-1064,633,69,16,10,60
17,633-1069,633,40,19,27,47
17,633-2056,633,35,16,39,40
17,633-2066,633,31,62,4,82
17,633-3056,633,64,25,8,74
17,633-4066,633,60,31,7,74
17,634-0195,634,32,17,48,56
17,634-0308,634,31,19,47,90
17,635-1554,635,26,24,47,95
17,636-0112,636,37,14,39,38
17,636-0183,636,15,5,75,39
17,636-0189,636,17,6,64,24
17,636-4050,636,21,9,61,34
17,637-0111,637,33,8,54,59
17,638-0196,638,13,8,74,23
17,638-0389,638,23,10,59,34
17,638-5054,638,26,6,63,43
17,639-0193,639,24,2,69,94
17,640-0196,640,55,3,38,98
17,644-0103,644,97,1,0,66
17,644-0105,644,96,2,0,70
17,644-0172,644,95,3,1,100
17,644-0176,644,94,4,1,73
17,644-0202,644,93,6,1,76
17,644-0276,644,82,8,1,77
17,644-0497,644,96,2,1,61
17,644-0500,644,92,4,4,85
17,644-0810,644,81,12,2,49
17,644-1070,644,63,11,9,57
17,644-2054,644,98,1,0,100
17,644-2055,644,46,13,23,41
17,644-3060,644,26,32,33,39
17,644-3070,644,95,3,1,100
17,644-4053,644,61,4,2,100
17,644-4054,644,6,86,1,82
17,644-4069,644,92,4,1,100
17,644-5052,644,31,26,29,37
17,644-5055,644,16,25,49,25
17,644-5067,644,97,1,0,63
17,647-4062,647,86,1,10,100
17,648-0100,648,55,10,30,43
17,648-0175,648,54,24,17,72
17,648-0187,648,27,8,59,37
17,648-0212,648,77,10,9,63
17,648-4050,648,64,12,17,61
17,651-0197,651,9,6,80,26
17,651-0390,651,21,7,67,37
17,652-0176,652,32,9,56,59
17,653-0189,653,48,6,43,87
17,656-0192,656,56,16,20,34
17,656-0398,656,58,11,18,40
17,658-0107,658,3,11,78,11
17,658-0195,658,2,12,81,18
17,658-5050,658,3,24,66,27
