year,mergecode,districtcode,black,hispanic,white,lowincome,droprate,totalenroll,charter,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,state,year_21
17,601-0103georgia,601georgia,20.0,13.0,63.0,65.0,3.6,1028,0,130006000000.0,0.0,0.0,1.0,0.0,georgia,0
18,601-0103georgia,601georgia,21.0,12.0,63.0,90.0,2.4,1042,0,130006000000.0,0.0,0.0,1.0,0.0,georgia,0
19,601-0103georgia,601georgia,22.0,12.0,61.0,90.0,1.5,1000,0,130006000000.0,0.0,0.0,1.0,0.0,georgia,0
21,601-0103georgia,601georgia,23.0,15.0,58.0,90.0,1.2,1083,0,130006000000.0,0.0,0.0,1.0,0.0,georgia,1
17,605-0189georgia,605georgia,68.0,2.0,25.0,75.0,1.4,1357,0,130021000000.0,0.0,0.0,1.0,0.0,georgia,0
18,605-0189georgia,605georgia,71.0,2.0,23.0,65.0,2.0,1250,0,130021000000.0,0.0,0.0,1.0,0.0,georgia,0
19,605-0189georgia,605georgia,72.0,2.0,22.0,93.0,2.3,1261,0,130021000000.0,0.0,0.0,1.0,0.0,georgia,0
21,605-0189georgia,605georgia,73.0,3.0,19.0,93.0,2.3,1304,0,130021000000.0,0.0,0.5,0.5,0.5,georgia,1
17,606-0199georgia,606georgia,2.0,10.0,86.0,56.0,1.8,1000,0,130024000000.0,0.0,0.0,1.0,0.0,georgia,0
18,606-0199georgia,606georgia,2.0,9.0,87.0,53.0,2.0,950,0,130024000000.0,0.0,0.0,1.0,0.0,georgia,0
19,606-0199georgia,606georgia,2.0,9.0,87.0,51.0,2.0,900,0,130024000000.0,0.0,0.0,1.0,0.0,georgia,0
21,606-0199georgia,606georgia,2.0,9.0,85.0,40.0,3.5,886,0,130024000000.0,0.1,0.0,0.9,0.05,georgia,1
17,607-0101georgia,607georgia,13.0,19.0,59.0,51.0,2.5,1880,0,130029000000.0,0.0,0.0,1.0,0.0,georgia,0
18,607-0101georgia,607georgia,14.0,20.0,57.0,52.0,2.8,1893,0,130029000000.0,0.0,0.0,1.0,0.0,georgia,0
19,607-0101georgia,607georgia,15.0,21.0,56.0,54.0,2.1,2000,0,130029000000.0,0.0,0.0,1.0,0.0,georgia,0
21,607-0101georgia,607georgia,16.0,21.0,54.0,40.0,3.0,2033,0,130029000000.0,0.5,0.1,0.4,0.35,georgia,1
17,607-3052georgia,607georgia,15.0,15.0,60.0,49.0,3.1,2097,0,130029000000.0,0.0,0.0,1.0,0.0,georgia,0
18,607-3052georgia,607georgia,15.0,17.0,57.0,52.0,2.7,2111,0,130029000000.0,0.0,0.0,1.0,0.0,georgia,0
19,607-3052georgia,607georgia,14.0,18.0,57.0,50.0,1.7,2235,0,130029000000.0,0.0,0.0,1.0,0.0,georgia,0
21,607-3052georgia,607georgia,15.0,20.0,57.0,34.0,4.1,2049,0,130029000000.0,0.5,0.1,0.4,0.35,georgia,1
17,608-0114georgia,608georgia,15.0,14.0,66.0,54.0,2.1,1714,0,130033000000.0,0.0,0.0,1.0,0.0,georgia,0
18,608-0114georgia,608georgia,15.0,15.0,63.0,52.0,1.2,1667,0,130033000000.0,0.0,0.0,1.0,0.0,georgia,0
19,608-0114georgia,608georgia,16.0,17.0,61.0,51.0,0.9,1556,0,130033000000.0,0.0,0.0,1.0,0.0,georgia,0
21,608-0114georgia,608georgia,15.0,19.0,59.0,44.0,2.0,1550,0,130033000000.0,0.0,0.0,1.0,0.0,georgia,1
17,608-0198georgia,608georgia,7.0,11.0,78.0,48.0,2.4,1708,0,130033000000.0,0.0,0.0,1.0,0.0,georgia,0
18,608-0198georgia,608georgia,7.0,13.0,76.0,45.0,3.1,1645,0,130033000000.0,0.0,0.0,1.0,0.0,georgia,0
19,608-0198georgia,608georgia,7.0,15.0,75.0,44.0,0.9,1556,0,130033000000.0,0.0,0.0,1.0,0.0,georgia,0
21,608-0198georgia,608georgia,8.0,14.0,73.0,43.0,1.5,1533,0,130033000000.0,0.0,0.0,1.0,0.0,georgia,1
17,610-0101georgia,610georgia,12.0,10.0,76.0,84.0,2.7,852,0,130039000000.0,0.0,0.0,1.0,0.0,georgia,0
18,610-0101georgia,610georgia,13.0,8.0,75.0,84.0,2.5,840,0,130039000000.0,0.0,0.0,1.0,0.0,georgia,0
19,610-0101georgia,610georgia,13.0,9.0,74.0,83.0,1.4,857,0,130039000000.0,0.0,0.0,1.0,0.0,georgia,0
