,schoolcode,totalenrolled,white,black,hispanic,lowincome,dropout,year
0,010010010260001,226,97.8,0.4,0.4,44.2,0.7,2017
2,010010020260001,277,98.2,0.7,0.4,20.9,0,2017
4,010010030260001,241,96.7,0.0,0.0,36.9,0.8,2017
8,010010040260001,228,97.4,0.4,1.3,28.1,0.4,2017
11,010011720220003,1873,84.6,7.5,2.6,45.4,1.9,2017
21,010050010260001,184,96.2,0.0,1.1,37.0,1.6,2017
24,010090150260007,838,38.4,8.9,50.2,78.2,0.5,2017
26,010090640260003,138,94.9,0.0,4.3,44.2,1.4,2017
28,010092620260002,137,92.7,2.9,2.9,48.2,2.9,2017
31,010690010260001,151,94.0,0.0,0.7,42.4,0,2017
34,010690060260001,171,97.1,0.6,0.0,31.0,3.5,2017
36,010690110260001,51,100.0,0.0,0.0,51.0,0,2017
39,010690270260001,146,93.8,0.0,1.4,32.2,0,2017
41,010691170220014,1007,82.0,6.1,2.9,48.1,3.5,2017
49,010750030260002,79,98.7,1.3,0.0,49.4,3.8,2017
51,010750040260002,115,97.4,0.0,0.0,60.0,3.5,2017
54,010750100260009,316,98.4,0.6,0.3,42.7,2.2,2017
57,010750120260001,142,95.8,0.0,1.4,52.1,1.4,2017
60,010860010260001,185,98.4,0.0,0.0,37.3,1.6,2017
62,010860020260001,58,100.0,0.0,0.0,48.3,0,2017
65,030030010260001,104,90.4,5.8,1.9,35.6,1.9,2017
68,030030020260001,537,89.0,3.7,2.4,39.1,1.5,2017
73,030110010260002,91,100.0,0.0,0.0,13.2,0,2017
76,030110030260006,778,95.0,0.5,1.4,44.7,2.6,2017
81,030110040260002,82,97.6,0.0,0.0,24.4,0,2017
84,030110080260006,407,97.5,0.0,0.5,47.7,0.7,2017
88,030110140240001,163,93.3,0.6,2.5,60.1,1.1,2017
90,030250100260001,258,97.7,0.8,0.4,41.1,2.7,2017
92,030250200260001,159,95.6,0.0,3.8,49.1,3.3,2017
94,030250300260001,173,98.8,0.0,0.0,34.1,0.9,2017
96,030250400260001,715,93.8,0.6,3.1,30.6,1.1,2017
101,030250500260001,337,99.7,0.3,0.0,10.1,0,2017
104,030262010260003,95,92.6,0.0,3.2,43.2,1.1,2017
107,030262020260002,124,95.2,0.0,0.8,41.1,1.6,2017
110,030262030260001,423,95.3,0.2,1.2,49.6,1.4,2017
113,030262040260002,232,99.1,0.4,0.4,62.5,2.3,2017
115,030680020260001,145,95.9,1.4,0.7,42.8,1.4,2017
119,030680030260001,498,94.6,1.6,2.4,43.6,2.2,2017
123,030680120260001,420,93.3,1.0,1.9,52.6,1,2017
128,030680220260001,296,97.0,0.0,0.3,43.9,0,2017
130,040041000260001,1263,49.1,2.8,44.4,52.3,0.6,2017
131,040041000260002,1505,64.3,3.5,27.4,37.6,0.9,2017
140,040042000260003,524,67.2,1.5,25.8,48.9,0.6,2017
146,041011220220002,2093,75.6,4.5,12.1,52.7,1.2,2017
167,041012050250001,1859,28.8,42.7,18.8,49.0,5.2,2017
168,041012050250002,1990,33.2,23.3,27.6,48.3,7.5,2017
169,041012050250003,1721,37.1,23.6,30.4,37.4,3,2017
170,041012050250004,1629,28.6,23.2,41.0,50.5,4.7,2017
181,04101205025201C,315,10.5,59.4,24.8,27.0,3.2,2017
211,041012070160001,2073,85.9,1.7,6.6,20.3,0.8,2017
212,041013200260001,276,62.7,4.3,28.6,67.4,1.4,2017
217,041013210260001,244,91.0,0.4,5.3,22.1,1.2,2017
220,041013220260001,152,92.8,0.0,2.0,22.4,1.3,2017
223,041013230260001,455,84.8,6.2,5.5,22.6,1.1,2017
417,050162020170001,3285,44.1,29.4,18.0,40.5,0.6,2017
418,050162030170001,2960,84.9,0.6,3.8,3.5,0,2017
419,050162030170002,1037,80.6,0.7,4.2,2.8,0,2017
420,050162070170001,1854,36.6,4.7,22.7,46.1,0.5,2017
421,050162070170003,2401,84.0,0.5,8.4,7.6,0.1,2017
422,050162070170004,1995,45.5,2.9,38.0,38.0,0.7,2017
423,050162110170001,2313,50.6,3.8,16.4,27.2,0.1,2017
424,050162110170002,2687,60.5,1.9,9.3,15.3,0.3,2017
425,050162110170003,2626,41.0,4.8,44.1,53.5,1.9,2017
426,050162110170004,2147,51.6,5.6,21.9,33.2,0.5,2017
427,050162110170006,1855,33.7,12.2,30.2,49.6,0.2,2017
428,050162140170002,1918,42.9,2.9,42.3,34.5,0.8,2017
429,050162140170004,1895,72.1,1.6,13.8,12.4,0.4,2017
430,050162140170005,2152,75.8,1.1,12.1,9.4,1.1,2017
431,050162140170006,1726,31.1,2.5,59.4,41.2,0.6,2017
432,050162140170007,1925,52.6,2.9,35.8,26.4,0.9,2017
433,050162140170008,1968,59.3,1.7,26.5,18.2,1.1,2017
434,050162190170002,2030,39.6,9.7,12.5,31.8,0,2017
435,050162190170003,2486,44.9,3.9,16.0,31.5,0.4,2017
436,050162250170001,2010,77.2,0.5,4.7,6.1,0,2017
437,050162250170002,2972,63.7,1.7,12.5,19.9,0.1,2017
561,060162000130001,3294,53.9,22.5,11.3,19.2,0.1,2017
562,060162010170001,3456,1.5,1.7,96.2,92.3,8,2017
563,060162010170002,3518,10.1,6.8,80.6,82.6,3,2017
564,060162010170003,1209,1.6,1.6,96.3,95.0,0.2,2017
565,060162040170001,3980,72.8,4.0,19.1,14.2,0.1,2017
566,060162080170001,1619,55.5,5.7,34.2,20.0,0.7,2017
567,060162090170001,1622,1.8,44.0,52.2,62.8,1.8,2017
568,060162090170002,1850,2.6,47.1,44.3,24.6,1.4,2017
569,060162090170003,742,5.3,28.7,61.2,38.7,0,2017
570,060162120160001,1781,40.2,1.4,52.5,53.2,0.7,2017
571,060162120160002,1513,15.4,1.9,78.6,58.2,1.1,2017
572,060162340160001,846,70.3,0.4,22.2,32.4,0.5,2017
573,060164010260001,890,45.7,2.7,48.0,48.1,1.2,2017
802,070162050170001,1848,0.5,78.7,19.5,9.6,1.1,2017
803,070162050170002,1208,0.6,96.8,2.1,7.1,1,2017
804,070162050170003,1796,2.7,83.4,11.5,8.5,0.3,2017
805,070162060170001,1654,4.1,44.5,47.5,85.7,0.6,2017
806,070162060170002,1295,17.6,58.1,17.8,74.6,2.3,2017
807,070162100170001,1360,81.7,1.3,10.5,12.6,0.3,2017
808,070162150170001,1358,2.2,64.4,32.0,85.1,0.3,2017
809,070162150170002,1740,11.8,64.5,18.5,66.4,0.5,2017
810,070162170160001,1831,38.4,13.3,40.8,41.6,1.1,2017
811,070162180160001,1792,8.1,31.9,57.7,99.6,0.6,2017
812,070162180160004,1575,46.2,27.9,20.9,99.4,0.2,2017
813,070162180160007,1723,49.3,24.3,23.0,99.5,0.2,2017
814,070162200170001,1779,64.6,2.1,25.4,49.7,0.7,2017
816,070162270170002,1046,1.7,93.0,4.0,74.8,0.5,2017
818,070162280160001,1425,19.9,25.5,49.4,41.4,1.3,2017
819,070162280160002,1100,47.2,26.1,18.5,31.9,0.8,2017
820,070162280160003,1110,0.8,89.0,4.8,56.1,2.5,2017
821,070162280160004,1324,61.3,8.9,20.2,28.9,0.5,2017
822,070162290160001,1724,64.4,6.6,26.7,38.5,0.6,2017
823,070162300130001,3001,77.0,4.8,9.7,11.9,0.4,2017
824,070162300130002,2286,75.3,4.3,15.7,28.3,0.5,2017
825,070162300130003,2137,77.6,4.6,11.4,17.7,0.5,2017
826,070162310160001,855,47.0,32.6,16.0,22.3,0.6,2017
827,070162330160001,2723,18.6,68.6,7.5,22.7,0.3,2017
828,07016901025001C,522,1.5,94.3,2.3,55.7,0,2017
829,080083080260001,283,92.6,0.4,4.9,31.8,0.5,2017
831,080083140260001,341,86.5,1.8,7.9,48.7,2.6,2017
834,080083990260002,174,94.8,0.6,1.1,25.3,1.7,2017
838,080431190220003,203,95.6,0.5,2.0,22.7,0.5,2017
841,080431200220002,239,82.0,2.5,13.4,37.2,0.4,2017
844,080432050260001,204,96.1,0.0,1.0,30.9,0.9,2017
846,080432060260003,190,96.3,0.5,0.0,36.8,1.1,2017
849,080432100260002,144,86.8,4.2,3.5,43.1,1.4,2017
852,080432110260002,59,98.3,0.0,0.0,23.7,1.7,2017
855,080891450220001,1189,55.6,21.7,10.2,57.1,2.7,2017
864,080892000260001,133,97.0,0.0,3.0,24.1,1.5,2017
867,080892010260001,379,91.8,1.1,3.2,28.8,0,2017
869,080892020260001,226,94.7,3.1,1.3,38.9,1.8,2017
872,080892030260001,101,95.0,0.0,3.0,16.8,0,2017
875,090100010260001,276,92.8,1.4,1.4,33.0,1.1,2017
877,090100030260001,957,91.1,1.4,2.3,17.9,0.6,2017
882,090100040260001,1429,39.3,36.0,8.3,54.4,0.5,2017
883,090100040260002,1235,46.0,28.4,13.6,46.4,1.6,2017
899,090100070260007,555,93.2,0.5,0.2,25.2,0.2,2017
903,090100080260001,166,94.6,1.2,0.6,25.3,1.2,2017
905,090101160220001,1103,38.2,37.2,11.9,61.9,1.2,2017
923,090101930170001,786,47.2,25.4,18.1,62.6,5.5,2017
927,090103050160001,468,92.3,1.3,1.3,6.4,1.1,2017
928,090270050260001,328,92.4,0.0,1.5,32.3,0.6,2017
931,090270100260001,463,92.7,0.9,5.6,38.4,2.4,2017
935,11012002C260001,418,95.7,0.7,0.5,29.7,3.6,2017
939,11012003C260001,177,96.6,1.1,1.7,58.8,0.9,2017
941,11012004C260001,426,95.8,0.9,2.1,44.4,0.3,2017
943,110150010260001,806,89.0,3.2,4.7,39.7,3.5,2017
949,110150020260001,1072,88.2,4.0,3.7,50.3,1.3,2017
953,110150050260002,75,100.0,0.0,0.0,33.3,0,2017
955,110180030260001,325,96.6,0.9,0.0,42.2,3.2,2017
957,110180770260001,274,97.1,0.0,0.0,29.2,2.2,2017
960,110213010260001,313,93.6,1.0,2.6,24.9,0.6,2017
963,110213020260001,194,95.9,0.0,0.5,29.9,0.5,2017
966,110213050260001,284,96.5,1.1,0.4,35.9,0.4,2017
970,110213060260001,346,56.9,0.3,41.9,37.3,0.5,2017
972,110230010260001,199,93.0,1.0,0.5,46.2,2.6,2017
974,110230030260001,106,99.1,0.0,0.9,48.1,0,2017
978,110230060260001,98,100.0,0.0,0.0,22.4,0,2017
984,110238000800001,616,97.2,0.0,1.1,41.7,0.8,2017
985,110703000260004,318,93.4,0.6,2.5,41.2,0.6,2017
988,110703020260001,163,97.5,0.0,0.0,36.8,0.6,2017
991,110870010260002,148,99.3,0.0,0.0,36.5,0,2017
993,11087003A260001,210,99.5,0.0,0.5,66.2,1.9,2017
995,110870040260001,323,98.1,0.0,0.6,33.1,1.2,2017
999,11087005A260001,105,98.1,0.0,0.0,33.3,1,2017
1001,110870210260001,246,93.9,3.3,0.8,41.1,18.4,2017
1005,120130100260002,50,96.0,0.0,4.0,40.0,2,2017
