,schoolcode,white,black,hispanic,lowincome,elapass,totalenrolled,totaltested,year,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,countycode,districtcode,state,year_21
0,010010010260001,97.8,0.4,0.4,44.2,40.0,226,117,2017,173099003226,0.0,0.0,1.0,0.0,0,0100il,01001001026il,il,0
1,010010010260001,96.7,0.0,0.0,43.9,42.9,246,35,2018,173099003226,0.0,0.0,1.0,0.0,0,0100il,01001001026il,il,0
2,010010010260001,95.4,0.0,0.4,46.4,29.4,239,34,2019,173099003226,0.0,0.0,1.0,0.0,0,0100il,01001001026il,il,0
3,010010010260001,96.3,0.0,0.0,36.9,22.0,241,41,2021,173099003226,0.0,0.0,1.0,0.0,0,0100il,01001001026il,il,1
4,010010020260001,98.2,0.7,0.4,20.9,37.8,277,128,2017,172277002524,0.0,0.0,1.0,0.0,0,0100il,01001002026il,il,0
5,010010020260001,98.6,0.0,0.0,22.4,37.0,281,46,2018,172277002524,0.0,0.0,1.0,0.0,0,0100il,01001002026il,il,0
6,010010020260001,97.6,0.3,0.0,20.5,32.6,288,49,2019,172277002524,0.0,0.0,1.0,0.0,0,0100il,01001002026il,il,0
7,010010020260001,95.2,0.0,0.0,22.2,26.6,270,45,2021,172277002524,0.1,0.0,0.9,0.05,0,0100il,01001002026il,il,1
8,010010030260001,96.7,0.0,0.0,36.9,30.0,241,61,2017,170822000431,0.0,0.0,1.0,0.0,0,0100il,01001003026il,il,0
9,010010030260001,96.3,0.0,0.0,42.0,32.6,245,52,2018,170822000431,0.0,0.0,1.0,0.0,0,0100il,01001003026il,il,0
10,010010030260001,98.3,0.0,0.0,42.2,26.7,237,60,2019,170822000431,0.0,0.0,1.0,0.0,0,0100il,01001003026il,il,0
11,010010030260001,96.9,0.0,0.0,39.3,26.5,257,49,2021,170822000431,0.0,0.0,1.0,0.0,0,0100il,01001003026il,il,1
12,010010040260001,97.4,0.4,1.3,28.1,27.8,228,54,2017,172559002771,0.0,0.0,1.0,0.0,0,0100il,01001004026il,il,0
13,010010040260001,99.0,0.0,0.0,27.3,35.7,209,56,2018,172559002771,0.0,0.0,1.0,0.0,0,0100il,01001004026il,il,0
14,010010040260001,98.5,0.0,1.0,34.0,20.4,200,49,2019,172559002771,0.0,0.0,1.0,0.0,0,0100il,01001004026il,il,0
15,010010040260001,96.6,0.0,0.0,34.7,20.5,176,39,2021,172559002771,0.3,0.1,0.6,0.25,0,0100il,01001004026il,il,1
16,010011720220003,84.6,7.5,2.6,45.4,34.0,1873,416,2017,173300005053,0.0,0.0,1.0,0.0,0,0100il,01001172022il,il,0
17,010011720220003,82.3,7.8,2.6,50.3,29.7,1753,407,2018,173300005053,0.0,0.0,1.0,0.0,0,0100il,01001172022il,il,0
18,010011720220003,81.7,6.7,3.5,48.7,30.3,1742,406,2019,173300005053,0.0,0.0,1.0,0.0,0,0100il,01001172022il,il,0
19,010011720220003,79.9,6.9,3.3,46.1,28.5,1852,425,2021,173300005053,1.0,0.0,0.0,0.5,0,0100il,01001172022il,il,1
20,010050010260001,96.2,0.0,1.1,37.0,40.0,184,55,2017,172730002893,0.0,0.0,1.0,0.0,0,0100il,01005001026il,il,0
21,010050010260001,95.9,0.0,0.0,42.6,44.2,195,43,2018,172730002893,0.0,0.0,1.0,0.0,0,0100il,01005001026il,il,0
22,010050010260001,96.0,0.5,1.5,38.8,29.7,201,37,2019,172730002893,0.0,0.0,1.0,0.0,0,0100il,01005001026il,il,0
23,010050010260001,96.8,0.0,0.0,35.6,34.6,216,52,2021,172730002893,0.8,0.1,0.1,0.5,0,0100il,01005001026il,il,1
24,010090150260007,38.4,8.9,50.2,78.2,19.6,838,529,2017,170531000216,0.0,0.0,1.0,0.0,0,0100il,01009015026il,il,0
25,010090150260007,38.6,10.2,49.2,72.4,15.8,891,114,2018,170531000216,0.0,0.0,1.0,0.0,0,0100il,01009015026il,il,0
26,010090150260007,36.9,10.0,51.7,78.2,16.1,896,115,2019,170531000216,0.0,0.0,1.0,0.0,0,0100il,01009015026il,il,0
27,010090150260007,32.1,10.8,54.1,70.3,11.4,837,105,2021,170531000216,0.9,0.1,0.0,0.55,0,0100il,01009015026il,il,1
28,010090640260003,94.9,0.0,4.3,44.2,17.4,138,90,2017,174041004070,0.0,0.0,1.0,0.0,0,0100il,01009064026il,il,0
29,010090640260003,93.3,0.0,0.0,48.1,20.0,135,15,2018,174041004070,0.0,0.0,1.0,0.0,0,0100il,01009064026il,il,0
30,010090640260003,92.4,0.0,4.8,50.3,0.0,145,13,2019,174041004070,0.0,0.0,1.0,0.0,0,0100il,01009064026il,il,0
31,010090640260003,90.8,0.0,0.0,50.0,11.1,142,18,2021,174041004070,1.0,0.0,0.0,0.5,0,0100il,01009064026il,il,1
32,010092620260002,92.7,2.9,2.9,48.2,16.7,137,36,2017,170010505357,0.0,0.0,1.0,0.0,0,0100il,01009262026il,il,0
33,010092620260002,95.0,0.0,0.0,46.8,26.7,141,30,2018,170010505357,0.0,0.0,1.0,0.0,0,0100il,01009262026il,il,0
34,010092620260002,98.4,0.0,1.6,41.1,35.5,129,31,2019,170010505357,0.0,0.0,1.0,0.0,0,0100il,01009262026il,il,0
35,010092620260002,98.4,0.0,0.0,46.3,16.7,123,30,2021,170010505357,0.2,0.0,0.8,0.1,0,0100il,01009262026il,il,1
36,010690010260001,94.0,0.0,0.7,42.4,15.8,151,92,2017,171575001885,0.0,0.0,1.0,0.0,0,0106il,01069001026il,il,0
37,010690010260001,92.5,0.0,0.0,36.7,38.5,147,13,2018,171575001885,0.0,0.0,1.0,0.0,0,0106il,01069001026il,il,0
38,010690010260001,94.9,0.5,0.0,33.2,28.6,217,21,2019,171575001885,0.0,0.0,1.0,0.0,0,0106il,01069001026il,il,0
39,010690010260001,95.9,0.0,0.0,27.2,20.6,169,29,2021,171575001885,0.7,0.0,0.3,0.35,0,0106il,01069001026il,il,1
40,010690060260001,97.1,0.6,0.0,31.0,35.0,171,75,2017,174128004145,0.0,0.0,1.0,0.0,0,0106il,01069006026il,il,0
41,010690060260001,96.5,0.0,0.0,28.5,42.3,172,26,2018,174128004145,0.0,0.0,1.0,0.0,0,0106il,01069006026il,il,0
42,010690060260001,95.8,1.2,0.6,38.2,25.7,165,35,2019,174128004145,0.0,0.0,1.0,0.0,0,0106il,01069006026il,il,0
43,010690060260001,94.5,0.0,0.0,44.1,25.1,145,32,2021,174128004145,0.6,0.0,0.4,0.3,0,0106il,01069006026il,il,1
