year,mergecode,mathpass,elapass,totaltest,totalenroll,white,black,hispanic,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,districtcode,state,year_21
17,010010010260001,42.5,40.0,117,226,97.8,0.4,0.4,44.2,0.7,173099003226,0.0,0.0,1.0,0.0,01001001026il,il,0
18,010010010260001,31.5,42.9,35,246,96.7,0.0,0.0,43.9,0.0,173099003226,0.0,0.0,1.0,0.0,01001001026il,il,0
19,010010010260001,14.7,29.4,34,239,95.4,0.0,0.4,46.4,0.6,173099003226,0.0,0.0,1.0,0.0,01001001026il,il,0
21,010010010260001,19.5,22.0,41,241,96.3,0.0,0.0,36.9,4.6,173099003226,0.0,0.0,1.0,0.0,01001001026il,il,1
17,010010020260001,37.8,37.8,128,277,98.2,0.7,0.4,20.9,0.0,172277002524,0.0,0.0,1.0,0.0,01001002026il,il,0
18,010010020260001,26.0,37.0,46,281,98.6,0.0,0.0,22.4,0.5,172277002524,0.0,0.0,1.0,0.0,01001002026il,il,0
19,010010020260001,42.9,32.6,49,288,97.6,0.3,0.0,20.5,3.0,172277002524,0.0,0.0,1.0,0.0,01001002026il,il,0
21,010010020260001,37.8,26.6,45,270,95.2,0.0,0.0,22.2,2.2,172277002524,0.1,0.0,0.9,0.05,01001002026il,il,1
17,010010030260001,18.3,30.0,61,241,96.7,0.0,0.0,36.9,0.8,170822000431,0.0,0.0,1.0,0.0,01001003026il,il,0
18,010010030260001,28.8,32.6,52,245,96.3,0.0,0.0,42.0,1.2,170822000431,0.0,0.0,1.0,0.0,01001003026il,il,0
19,010010030260001,21.7,26.7,60,237,98.3,0.0,0.0,42.2,3.7,170822000431,0.0,0.0,1.0,0.0,01001003026il,il,0
21,010010030260001,24.5,26.5,49,257,96.9,0.0,0.0,39.3,2.7,170822000431,0.0,0.0,1.0,0.0,01001003026il,il,1
17,010010040260001,25.9,27.8,54,228,97.4,0.4,1.3,28.1,0.4,172559002771,0.0,0.0,1.0,0.0,01001004026il,il,0
18,010010040260001,26.8,35.7,56,209,99.0,0.0,0.0,27.3,0.0,172559002771,0.0,0.0,1.0,0.0,01001004026il,il,0
19,010010040260001,16.3,20.4,49,200,98.5,0.0,1.0,34.0,1.5,172559002771,0.0,0.0,1.0,0.0,01001004026il,il,0
21,010010040260001,10.2,20.5,39,176,96.6,0.0,0.0,34.7,3.4,172559002771,0.3,0.1,0.6,0.25,01001004026il,il,1
17,010011720220003,26.4,34.0,416,1873,84.6,7.5,2.6,45.4,1.9,173300005053,0.0,0.0,1.0,0.0,01001172022il,il,0
