year,mergecode,totalenroll,white,black,hispanic,lowincome,droprate,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,districtcode,state,year_21
17,010010010260001,226,97.8,0.4,0.4,44.2,0.7,173099003226,0.0,0.0,1.0,0.0,0,01001001026il,il,0
18,010010010260001,246,96.7,0.0,0.0,43.9,0.0,173099003226,0.0,0.0,1.0,0.0,0,01001001026il,il,0
19,010010010260001,239,95.4,0.0,0.4,46.4,0.6,173099003226,0.0,0.0,1.0,0.0,0,01001001026il,il,0
21,010010010260001,241,96.3,0.0,0.0,36.9,4.6,173099003226,0.0,0.0,1.0,0.0,0,01001001026il,il,1
17,010010020260001,277,98.2,0.7,0.4,20.9,0.0,172277002524,0.0,0.0,1.0,0.0,0,01001002026il,il,0
18,010010020260001,281,98.6,0.0,0.0,22.4,0.5,172277002524,0.0,0.0,1.0,0.0,0,01001002026il,il,0
19,010010020260001,288,97.6,0.3,0.0,20.5,3.0,172277002524,0.0,0.0,1.0,0.0,0,01001002026il,il,0
21,010010020260001,270,95.2,0.0,0.0,22.2,2.2,172277002524,0.1,0.0,0.9,0.05,0,01001002026il,il,1
17,010010030260001,241,96.7,0.0,0.0,36.9,0.8,170822000431,0.0,0.0,1.0,0.0,0,01001003026il,il,0
18,010010030260001,245,96.3,0.0,0.0,42.0,1.2,170822000431,0.0,0.0,1.0,0.0,0,01001003026il,il,0
19,010010030260001,237,98.3,0.0,0.0,42.2,3.7,170822000431,0.0,0.0,1.0,0.0,0,01001003026il,il,0
21,010010030260001,257,96.9,0.0,0.0,39.3,2.7,170822000431,0.0,0.0,1.0,0.0,0,01001003026il,il,1
17,010010040260001,228,97.4,0.4,1.3,28.1,0.4,172559002771,0.0,0.0,1.0,0.0,0,01001004026il,il,0
18,010010040260001,209,99.0,0.0,0.0,27.3,0.0,172559002771,0.0,0.0,1.0,0.0,0,01001004026il,il,0
19,010010040260001,200,98.5,0.0,1.0,34.0,1.5,172559002771,0.0,0.0,1.0,0.0,0,01001004026il,il,0
21,010010040260001,176,96.6,0.0,0.0,34.7,3.4,172559002771,0.3,0.1,0.6,0.25,0,01001004026il,il,1
17,010011720220003,1873,84.6,7.5,2.6,45.4,1.9,173300005053,0.0,0.0,1.0,0.0,0,01001172022il,il,0
18,010011720220003,1753,82.3,7.8,2.6,50.3,1.8,173300005053,0.0,0.0,1.0,0.0,0,01001172022il,il,0
19,010011720220003,1742,81.7,6.7,3.5,48.7,2.4,173300005053,0.0,0.0,1.0,0.0,0,01001172022il,il,0
21,010011720220003,1852,79.9,6.9,3.3,46.1,5.5,173300005053,1.0,0.0,0.0,0.5,0,01001172022il,il,1
17,010050010260001,184,96.2,0.0,1.1,37.0,1.6,172730002893,0.0,0.0,1.0,0.0,0,01005001026il,il,0
18,010050010260001,195,95.9,0.0,0.0,42.6,1.0,172730002893,0.0,0.0,1.0,0.0,0,01005001026il,il,0
19,010050010260001,201,96.0,0.5,1.5,38.8,2.4,172730002893,0.0,0.0,1.0,0.0,0,01005001026il,il,0
21,010050010260001,216,96.8,0.0,0.0,35.6,5.1,172730002893,0.8,0.1,0.1,0.5,0,01005001026il,il,1
17,010090150260007,838,38.4,8.9,50.2,78.2,0.5,170531000216,0.0,0.0,1.0,0.0,0,01009015026il,il,0
18,010090150260007,891,38.6,10.2,49.2,72.4,2.4,170531000216,0.0,0.0,1.0,0.0,0,01009015026il,il,0
19,010090150260007,896,36.9,10.0,51.7,78.2,8.1,170531000216,0.0,0.0,1.0,0.0,0,01009015026il,il,0
21,010090150260007,837,32.1,10.8,54.1,70.3,5.7,170531000216,0.9,0.1,0.0,0.55,0,01009015026il,il,1
17,010090640260003,138,94.9,0.0,4.3,44.2,1.4,174041004070,0.0,0.0,1.0,0.0,0,01009064026il,il,0
18,010090640260003,135,93.3,0.0,0.0,48.1,1.6,174041004070,0.0,0.0,1.0,0.0,0,01009064026il,il,0
19,010090640260003,145,92.4,0.0,4.8,50.3,3.8,174041004070,0.0,0.0,1.0,0.0,0,01009064026il,il,0
21,010090640260003,142,90.8,0.0,0.0,50.0,10.5,174041004070,1.0,0.0,0.0,0.5,0,01009064026il,il,1
17,010092620260002,137,92.7,2.9,2.9,48.2,2.9,170010505357,0.0,0.0,1.0,0.0,0,01009262026il,il,0
18,010092620260002,141,95.0,0.0,0.0,46.8,0.7,170010505357,0.0,0.0,1.0,0.0,0,01009262026il,il,0
19,010092620260002,129,98.4,0.0,1.6,41.1,3.6,170010505357,0.0,0.0,1.0,0.0,0,01009262026il,il,0
21,010092620260002,123,98.4,0.0,0.0,46.3,2.3,170010505357,0.2,0.0,0.8,0.1,0,01009262026il,il,1
17,010690010260001,151,94.0,0.0,0.7,42.4,0.0,171575001885,0.0,0.0,1.0,0.0,0,01069001026il,il,0
18,010690010260001,147,92.5,0.0,0.0,36.7,3.7,171575001885,0.0,0.0,1.0,0.0,0,01069001026il,il,0
19,010690010260001,217,94.9,0.5,0.0,33.2,4.8,171575001885,0.0,0.0,1.0,0.0,0,01069001026il,il,0
21,010690010260001,169,95.9,0.0,0.0,27.2,1.1,171575001885,0.7,0.0,0.3,0.35,0,01069001026il,il,1
17,010690060260001,171,97.1,0.6,0.0,31.0,3.5,174128004145,0.0,0.0,1.0,0.0,0,01069006026il,il,0
18,010690060260001,172,96.5,0.0,0.0,28.5,2.8,174128004145,0.0,0.0,1.0,0.0,0,01069006026il,il,0
19,010690060260001,165,95.8,1.2,0.6,38.2,1.7,174128004145,0.0,0.0,1.0,0.0,0,01069006026il,il,0
21,010690060260001,145,94.5,0.0,0.0,44.1,1.9,174128004145,0.6,0.0,0.4,0.3,0,01069006026il,il,1
17,010690110260001,51,100.0,0.0,0.0,51.0,0.0,172568002776,0.0,0.0,1.0,0.0,0,01069011026il,il,0
18,010690110260001,53,100.0,0.0,0.0,56.6,0.0,172568002776,0.0,0.0,1.0,0.0,0,01069011026il,il,0
19,010690110260001,47,97.9,0.0,0.0,51.1,5.6,172568002776,0.0,0.0,1.0,0.0,0,01069011026il,il,0
21,010690110260001,47,95.7,0.0,0.0,63.8,9.6,172568002776,0.9,0.0,0.1,0.45,0,01069011026il,il,1
17,010690270260001,146,93.8,0.0,1.4,32.2,0.0,171083001324,0.0,0.0,1.0,0.0,0,01069027026il,il,0
18,010690270260001,164,94.5,0.0,0.0,36.6,0.0,171083001324,0.0,0.0,1.0,0.0,0,01069027026il,il,0
19,010690270260001,180,93.3,0.0,2.8,37.2,0.8,171083001324,0.0,0.0,1.0,0.0,0,01069027026il,il,0
21,010690270260001,190,93.2,0.0,0.0,32.1,1.8,171083001324,0.0,0.0,1.0,0.0,0,01069027026il,il,1
17,010691170220014,1007,82.0,6.1,2.9,48.1,3.5,172028002280,0.0,0.0,1.0,0.0,0,01069117022il,il,0
18,010691170220014,986,79.5,7.5,3.3,47.4,6.7,172028002280,0.0,0.0,1.0,0.0,0,01069117022il,il,0
19,010691170220014,970,78.5,7.2,3.4,47.8,11.7,172028002280,0.0,0.0,1.0,0.0,0,01069117022il,il,0
21,010691170220014,916,77.6,8.8,3.4,47.4,8.2,172028002280,0.0,0.0,1.0,0.0,0,01069117022il,il,1
17,010750030260002,79,98.7,1.3,0.0,49.4,3.8,173189003346,0.0,0.0,1.0,0.0,0,01075003026il,il,0
18,010750030260002,77,98.7,0.0,0.0,49.4,5.2,173189003346,0.0,0.0,1.0,0.0,0,01075003026il,il,0
19,010750030260002,74,100.0,0.0,0.0,60.8,9.9,173189003346,0.0,0.0,1.0,0.0,0,01075003026il,il,0
21,010750030260002,93,98.9,0.0,0.0,59.1,5.5,173189003346,0.27,0.0,0.73,0.14,0,01075003026il,il,1
17,010750040260002,115,97.4,0.0,0.0,60.0,3.5,171779002073,0.0,0.0,1.0,0.0,0,01075004026il,il,0
18,010750040260002,101,93.1,0.0,0.0,65.3,8.0,171779002073,0.0,0.0,1.0,0.0,0,01075004026il,il,0
19,010750040260002,84,95.2,4.8,0.0,100.0,8.3,171779002073,0.0,0.0,1.0,0.0,0,01075004026il,il,0
21,010750040260002,95,100.0,0.0,0.0,0.0,7.5,171779002073,0.3,0.0,0.7,0.15,0,01075004026il,il,1
17,010750100260009,316,98.4,0.6,0.3,42.7,2.2,173171003332,0.0,0.0,1.0,0.0,0,01075010026il,il,0
18,010750100260009,336,97.3,0.0,0.0,40.2,1.8,173171003332,0.0,0.0,1.0,0.0,0,01075010026il,il,0
19,010750100260009,323,96.9,0.6,1.2,36.5,4.6,173171003332,0.0,0.0,1.0,0.0,0,01075010026il,il,0
21,010750100260009,323,97.8,0.0,0.0,38.1,5.8,173171003332,0.9,0.0,0.1,0.45,0,01075010026il,il,1
17,010750120260001,142,95.8,0.0,1.4,52.1,1.4,170138705910,0.0,0.0,1.0,0.0,0,01075012026il,il,0
18,010750120260001,146,94.5,0.0,0.0,55.5,0.7,170138705910,0.0,0.0,1.0,0.0,0,01075012026il,il,0
19,010750120260001,140,95.7,0.0,1.4,62.1,5.2,170138705910,0.0,0.0,1.0,0.0,0,01075012026il,il,0
21,010750120260001,124,96.8,0.0,0.0,50.8,6.5,170138705910,0.7,0.0,0.3,0.35,0,01075012026il,il,1
17,010860010260001,185,98.4,0.0,0.0,37.3,1.6,174266004288,0.0,0.0,1.0,0.0,0,01086001026il,il,0
18,010860010260001,178,98.3,0.0,0.0,40.4,0.0,174266004288,0.0,0.0,1.0,0.0,0,01086001026il,il,0
19,010860010260001,182,97.3,0.0,1.6,37.4,2.2,174266004288,0.0,0.0,1.0,0.0,0,01086001026il,il,0
21,010860010260001,165,97.6,0.0,0.0,46.1,2.8,174266004288,0.6,0.0,0.4,0.3,0,01086001026il,il,1
17,010860020260001,58,100.0,0.0,0.0,48.3,0.0,170660000348,0.0,0.0,1.0,0.0,0,01086002026il,il,0
18,010860020260001,64,100.0,0.0,0.0,53.1,0.0,170660000348,0.0,0.0,1.0,0.0,0,01086002026il,il,0
19,010860020260001,64,96.9,0.0,1.6,51.6,1.5,170660000348,0.0,0.0,1.0,0.0,0,01086002026il,il,0
21,010860020260001,73,91.8,0.0,0.0,54.8,0.0,170660000348,0.4,0.0,0.6,0.2,0,01086002026il,il,1
17,030030010260001,104,90.4,5.8,1.9,35.6,1.9,172745002912,0.0,0.0,1.0,0.0,0,03003001026il,il,0
18,030030010260001,108,88.9,0.0,0.0,41.7,0.9,172745002912,0.0,0.0,1.0,0.0,0,03003001026il,il,0
19,030030010260001,121,92.6,1.7,2.5,42.1,6.1,172745002912,0.0,0.0,1.0,0.0,0,03003001026il,il,0
21,030030010260001,111,90.1,0.0,0.0,55.0,2.6,172745002912,0.4,0.0,0.6,0.2,0,03003001026il,il,1
17,030030020260001,537,89.0,3.7,2.4,39.1,1.5,171773002067,0.0,0.0,1.0,0.0,0,03003002026il,il,0
18,030030020260001,524,90.3,2.3,2.1,36.1,1.1,171773002067,0.0,0.0,1.0,0.0,0,03003002026il,il,0
19,030030020260001,539,90.2,2.2,1.7,36.4,2.9,171773002067,0.0,0.0,1.0,0.0,0,03003002026il,il,0
21,030030020260001,547,90.7,0.0,0.0,43.3,2.7,171773002067,0.9,0.0,0.1,0.45,0,03003002026il,il,1
17,030110010260002,91,100.0,0.0,0.0,13.2,0.0,172676002858,0.0,0.0,1.0,0.0,0,03011001026il,il,0
18,030110010260002,90,98.9,0.0,0.0,17.8,5.6,172676002858,0.0,0.0,1.0,0.0,0,03011001026il,il,0
19,030110010260002,80,96.3,0.0,1.3,26.3,3.6,172676002858,0.0,0.0,1.0,0.0,0,03011001026il,il,0
21,030110010260002,89,93.3,0.0,0.0,43.8,1.1,172676002858,0.1,0.0,0.9,0.05,0,03011001026il,il,1
17,030110030260006,778,95.0,0.5,1.4,44.7,2.6,173870003938,0.0,0.0,1.0,0.0,0,03011003026il,il,0
18,030110030260006,761,95.5,0.0,1.3,41.5,1.3,173870003938,0.0,0.0,1.0,0.0,0,03011003026il,il,0
19,030110030260006,755,93.6,0.3,1.7,43.7,5.5,173870003938,0.0,0.0,1.0,0.0,0,03011003026il,il,0
21,030110030260006,761,93.2,0.0,1.7,41.0,1.7,173870003938,0.6,0.3,0.1,0.6,0,03011003026il,il,1
