year,mergecode,white,black,hispanic,lowincome,elapass,totalenroll,totaltest,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,districtcode,state,year_21
17,010010010260001,97.8,0.4,0.4,44.2,40.0,226,117,173099003226,0.0,0.0,1.0,0.0,0,01001001026il,il,0
18,010010010260001,96.7,0.0,0.0,43.9,42.9,246,35,173099003226,0.0,0.0,1.0,0.0,0,01001001026il,il,0
19,010010010260001,95.4,0.0,0.4,46.4,29.4,239,34,173099003226,0.0,0.0,1.0,0.0,0,01001001026il,il,0
21,010010010260001,96.3,0.0,0.0,36.9,22.0,241,41,173099003226,0.0,0.0,1.0,0.0,0,01001001026il,il,1
17,010010020260001,98.2,0.7,0.4,20.9,37.8,277,128,172277002524,0.0,0.0,1.0,0.0,0,01001002026il,il,0
18,010010020260001,98.6,0.0,0.0,22.4,37.0,281,46,172277002524,0.0,0.0,1.0,0.0,0,01001002026il,il,0
19,010010020260001,97.6,0.3,0.0,20.5,32.6,288,49,172277002524,0.0,0.0,1.0,0.0,0,01001002026il,il,0
21,010010020260001,95.2,0.0,0.0,22.2,26.6,270,45,172277002524,0.1,0.0,0.9,0.05,0,01001002026il,il,1
17,010010030260001,96.7,0.0,0.0,36.9,30.0,241,61,170822000431,0.0,0.0,1.0,0.0,0,01001003026il,il,0
18,010010030260001,96.3,0.0,0.0,42.0,32.6,245,52,170822000431,0.0,0.0,1.0,0.0,0,01001003026il,il,0
19,010010030260001,98.3,0.0,0.0,42.2,26.7,237,60,170822000431,0.0,0.0,1.0,0.0,0,01001003026il,il,0
21,010010030260001,96.9,0.0,0.0,39.3,26.5,257,49,170822000431,0.0,0.0,1.0,0.0,0,01001003026il,il,1
17,010010040260001,97.4,0.4,1.3,28.1,27.8,228,54,172559002771,0.0,0.0,1.0,0.0,0,01001004026il,il,0
18,010010040260001,99.0,0.0,0.0,27.3,35.7,209,56,172559002771,0.0,0.0,1.0,0.0,0,01001004026il,il,0
19,010010040260001,98.5,0.0,1.0,34.0,20.4,200,49,172559002771,0.0,0.0,1.0,0.0,0,01001004026il,il,0
21,010010040260001,96.6,0.0,0.0,34.7,20.5,176,39,172559002771,0.3,0.1,0.6,0.25,0,01001004026il,il,1
17,010011720220003,84.6,7.5,2.6,45.4,34.0,1873,416,173300005053,0.0,0.0,1.0,0.0,0,01001172022il,il,0
18,010011720220003,82.3,7.8,2.6,50.3,29.7,1753,407,173300005053,0.0,0.0,1.0,0.0,0,01001172022il,il,0
19,010011720220003,81.7,6.7,3.5,48.7,30.3,1742,406,173300005053,0.0,0.0,1.0,0.0,0,01001172022il,il,0
21,010011720220003,79.9,6.9,3.3,46.1,28.5,1852,425,173300005053,1.0,0.0,0.0,0.5,0,01001172022il,il,1
17,010050010260001,96.2,0.0,1.1,37.0,40.0,184,55,172730002893,0.0,0.0,1.0,0.0,0,01005001026il,il,0
18,010050010260001,95.9,0.0,0.0,42.6,44.2,195,43,172730002893,0.0,0.0,1.0,0.0,0,01005001026il,il,0
19,010050010260001,96.0,0.5,1.5,38.8,29.7,201,37,172730002893,0.0,0.0,1.0,0.0,0,01005001026il,il,0
21,010050010260001,96.8,0.0,0.0,35.6,34.6,216,52,172730002893,0.8,0.1,0.1,0.5,0,01005001026il,il,1
17,010090150260007,38.4,8.9,50.2,78.2,19.6,838,529,170531000216,0.0,0.0,1.0,0.0,0,01009015026il,il,0
18,010090150260007,38.6,10.2,49.2,72.4,15.8,891,114,170531000216,0.0,0.0,1.0,0.0,0,01009015026il,il,0
19,010090150260007,36.9,10.0,51.7,78.2,16.1,896,115,170531000216,0.0,0.0,1.0,0.0,0,01009015026il,il,0
21,010090150260007,32.1,10.8,54.1,70.3,11.4,837,105,170531000216,0.9,0.1,0.0,0.55,0,01009015026il,il,1
17,010090640260003,94.9,0.0,4.3,44.2,17.4,138,90,174041004070,0.0,0.0,1.0,0.0,0,01009064026il,il,0
18,010090640260003,93.3,0.0,0.0,48.1,20.0,135,15,174041004070,0.0,0.0,1.0,0.0,0,01009064026il,il,0
19,010090640260003,92.4,0.0,4.8,50.3,0.0,145,13,174041004070,0.0,0.0,1.0,0.0,0,01009064026il,il,0
21,010090640260003,90.8,0.0,0.0,50.0,11.1,142,18,174041004070,1.0,0.0,0.0,0.5,0,01009064026il,il,1
17,010092620260002,92.7,2.9,2.9,48.2,16.7,137,36,170010505357,0.0,0.0,1.0,0.0,0,01009262026il,il,0
18,010092620260002,95.0,0.0,0.0,46.8,26.7,141,30,170010505357,0.0,0.0,1.0,0.0,0,01009262026il,il,0
