RCDTS,County ,Dist # ,District Name/ School Name,City,ELA,Math, totalenrolled 
010010010260000,Adams,0010,Payson CUSD 1,Payson,40,42.5,554
010010010260001,Adams,0010,Seymour High School,Payson,40,42.5,226
010010010262002,Adams,0010,Seymour Elementary School,Payson,,,328
010010020260000,Adams,0020,Liberty CUSD 2,Liberty,37.8,37.8,594
010010020260001,Adams,0020,Liberty High School,Liberty,37.8,37.8,277
010010020262002,Adams,0020,Liberty Elementary School,Liberty,,,316
010010030260000,Adams,0030,Central CUSD 3,Camp Point,30,18.3,856
010010030260001,Adams,0030,Central High School,Camp Point,30,18.3,241
010010030261001,Adams,0030,Central Junior High School,Camp Point,,,277
010010030262008,Adams,0030,Central 3-4 Middle School,Golden,,,134
010010040260000,Adams,0040,CUSD 4,Mendon,27.8,25.9,680
010010040260001,Adams,0040,Unity High School,Mendon,27.8,25.9,228
010010040262006,Adams,0040,Unity Elementary School,Mendon,,,205
010010040262007,Adams,0040,Unity Middle School,Mendon,,,247
010011720220000,Adams,1720,Quincy SD 172,Quincy,34,26.4,6757
010011720220003,Adams,1720,Quincy Sr High School,Quincy,34,26.4,1873
010011720221003,Adams,1720,Quincy Jr High School,Quincy,,,1388
010011720222004,Adams,1720,Adams Elementary School,Quincy,,,355
010011720222006,Adams,1720,Dewey Elementary School,Quincy,,,233
010011720222007,Adams,1720,Ellington Elementary School,Quincy,,,310
010011720222008,Adams,1720,Berrian School,Quincy,,,191
010011720222009,Adams,1720,Madison School,Quincy,,,354
010011720222016,Adams,1720,Monroe Elementary School,Quincy,,,240
010011720222017,Adams,1720,Washington Elementary School,Quincy,,,229
010011720222019,Adams,1720,Baldwin Intermediate,Quincy,,,1003
010050010260000,Brown,0010,Brown County CUSD 1,Mount Sterling,40,30.9,744
010050010260001,Brown,0010,Brown County High School,Mount Sterling,40,30.9,184
010050010261002,Brown,0010,Brown County Middle School,Mt Sterling,,,222
010050010262002,Brown,0010,Brown County Elementary School,Mount Sterling,,,327
010090150260000,Cass,0150,Beardstown CUSD 15,Beardstown,19.6,18.6,1546
010090150260007,Cass,0150,Beardstown Jr/Sr High School,Beardstown,19.6,18.6,838
010090150262003,Cass,0150,Gard Elementary School,Beardstown,,,524
010090640260000,Cass,0640,Virginia CUSD 64,Virginia,17.4,8.7,294
010090640260003,Cass,0640,Virginia Jr/ Sr High School,Virginia,17.4,8.7,138
010090640262001,Cass,0640,Virginia Elem School,Virginia,,,156
010092620260000,Cass,2620,A-C Central CUSD 262,Ashland,16.7,11.1,445
010092620260002,Cass,2620,A-C Central High School,Ashland,16.7,11.1,137
010092620261002,Cass,2620,A-C Central Middle School,Ashland,,,133
010092620262001,Cass,2620,A-C Central Elementary School,Chandlerville,,,170
010690010260000,Morgan,0010,Franklin CUSD 1,Franklin,15.8,21.1,298
010690010260001,Morgan,0010,Franklin Jr/Sr High School,Franklin,15.8,21.1,151
010690010262004,Morgan,0010,Alexander Elem School,Alexander,,,90
010690060260000,Morgan,0060,Waverly CUSD 6,Waverly,35,20,364
010690060260001,Morgan,0060,Waverly Jr/Sr  High School,Waverly,35,20,171
010690060262002,Morgan,0060,Waverly Elementary School,Waverly,,,191
010690110260000,Morgan,0110,Meredosia-Chambersburg CUSD 11,Meredosia,0,21.4,206
010690110260001,Morgan,0110,Meredosia-Chambersburg High Sch,Meredosia,0,21.4,51
010690110261001,Morgan,0110,Meredosia-Chambersburg Jr High,Meredosia,,,50
010690110262003,Morgan,0110,Meredosia-Chambersburg Elem Sch,Meredosia,,,104
010690270260000,Morgan,0270,Triopia CUSD 27,Concord,27.3,22.7,357
010690270260001,Morgan,0270,Triopia Jr-Sr High School,Concord,27.3,22.7,146
010690270262002,Morgan,0270,Triopia Grade School,Concord,,,208
010691170220000,Morgan,1170,Jacksonville SD 117,Jacksonville,29.1,20.2,3456
010691170220014,Morgan,1170,Jacksonville High School,Jacksonville,29.5,20.5,1007
010691170221013,Morgan,1170,Jonathan Turner Jr High School,Jacksonville,,,515
010691170222001,Morgan,1170,Eisenhower Elem School,Jacksonville,,,369
010691170222005,Morgan,1170,Washington Elem School,Jacksonville,,,290
010691170222006,Morgan,1170,Lincoln Elem School,Jacksonville,,,292
010691170222007,Morgan,1170,South Jacksonville Elem School,South Jacksonvill,,,342
010691170222008,Morgan,1170,North Jacksonville School,Jacksonville,,,225
010691170222009,Morgan,1170,Murrayville-Woodson Elem School,Murrayville,,,166
010750030260000,Pike,0030,Pleasant Hill CUSD 3,Pleasant Hill,22.7,13.6,304
010750030260002,Pike,0030,Pleasant Hill High School,Pleasant Hill,22.7,13.6,79
010750030262001,Pike,0030,Pleasant Hill Elem School,Pleasant Hill,,,223
010750040260000,Pike,0040,Griggsville-Perry CUSD 4,Griggsville,19.2,11.5,394
010750040260002,Pike,0040,Griggsville-Perry High School,Griggsville,20,12,115
010750040261002,Pike,0040,Griggsville-Perry Middle School,Perry,,,99
010750040262001,Pike,0040,Griggsville-Perry Primary School,Griggsville,,,176
010750100260000,Pike,0100,Pikeland CUSD 10,Pittsfield,30.8,30.8,1278
010750100260009,Pike,0100,Pittsfield High School,Pittsfield,31.2,31.2,316
010750100262010,Pike,0100,Pikeland Community School,Pittsfield,,,583
010750120260000,Pike,0120,Western CUSD 12,Barry,42.1,31.6,566
010750120260001,Pike,0120,Western High School,Barry,42.1,31.6,142
010750120261001,Pike,0120,Western Jr High School,Kinderhook,,,179
010750120262001,Pike,0120,Western Barry Elem,Barry,,,242
010860010260000,Scott,0010,Winchester CUSD 1,Winchester,28.3,21.7,635
010860010260001,Scott,0010,Winchester High School,Winchester,28.3,21.7,185
010860010262002,Scott,0010,Winchester Elem School,Winchester,,,447
010860020260000,Scott,0020,Scott-Morgan CUSD 2,Bluffs,30.8,15.4,221
010860020260001,Scott,0020,Bluffs High School,Bluffs,30.8,15.4,58
010860020261001,Scott,0020,Bluffs Junior High School,Bluffs,,,31
010860020262001,Scott,0020,Bluffs Elementary School,Bluffs,,,131
030030010260000,Bond,0010,Mulberry Grove CUSD 1,Mulberry Grove,26.1,21.7,391
