year,mergecode,totaltest,elapass
17,25-29,177,72.32
17,35-23,63,74.6
17,125-47,572,82.69
17,225-91,568,79.58
17,235-101,392,51.79
17,235-102,448,59.38
17,235-105,341,32.55
17,235-177,359,39.28
17,235-219,514,56.61
17,255-49,231,76.19
17,255-81,168,45.83
17,255-285,120,57.5
17,255-297,236,39.41
17,255-394,82,84.15
17,365-397,520,59.23
17,365-399,385,63.38
17,370-410,68,52.94
17,395-445,131,57.25
17,515-489,132,53.79
17,615-539,127,71.65
17,630-512,483,84.89
17,665-553,254,69.29
17,670-573,143,59.44
17,750-621,82,64.63
17,755-637,94,62.77
17,775-645,84,73.81
17,815-689,111,58.56
17,875-701,280,50.0
17,940-765,77,49.35
17,940-777,224,64.29
17,940-813,52,57.69
17,1000-833,103,51.46
17,1010-809,61,63.93
17,1010-821,172,65.7
17,1010-849,524,62.21
17,1125-897,55,56.36
17,1125-933,241,55.19
17,1150-957,66,72.73
17,1160-977,87,57.47
17,1170-997,249,40.16
17,1180-1021,66,72.73
17,1300-1059,98,67.35
17,1315-1069,46,93.48
17,1375-1121,71,77.46
17,1405-1125,183,36.61
17,1560-7213,299,65.55
17,1600-1179,227,55.07
17,1620-1177,149,64.43
17,1655-1263,80,57.5
17,1655-1267,82,57.32
17,1730-1268,160,51.88
17,1805-1317,92,58.7
17,1820-1325,143,58.04
17,1835-1345,269,55.02
17,1875-1369,210,70.95
17,1885-1372,63,65.08
17,1895-1375,104,54.81
17,1900-1386,62,70.97
17,1910-1389,215,78.14
17,1940-1401,63,66.67
17,1970-1421,335,40.3
17,2040-1545,71,63.38
17,2100-1583,85,68.24
17,2110-1588,143,60.14
17,2120-1593,278,68.71
17,2155-1613,135,57.04
17,2260-1701,149,54.36
17,2270-1715,442,54.52
17,2275-1733,338,56.8
17,2285-1737,214,70.09
17,2305-1749,418,51.44
17,2305-1750,365,56.44
17,2315-1821,448,48.66
17,2395-1889,293,57.34
17,2400-1925,447,56.38
17,2400-1930,429,76.22
17,2435-2053,54,50.0
17,2440-2005,72,68.06
17,2455-2022,83,54.22
