Corp ID,Corp Name,Schl ID,Schl Name,American Indian,Asian,Black,Hispanic,Multiracial,Native Hawaiian or Other Pacific Islander,White,Paid meals,Free/Reduced price meals,Grand Total
15,Adams Central Community Schools,13,Adams Central Middle School,1,3,3,6,3,,253,202,67,269
15,Adams Central Community Schools,20,Adams Central Elementary School,,4,8,25,9,,566,450,162,612
15,Adams Central Community Schools,21,Adams Central High School,2,8,,9,1,,358,300,78,378
25,North Adams Community Schools,29,Bellmont Senior High School,8,6,6,88,12,,571,469,222,691
25,North Adams Community Schools,33,Bellmont Middle School,1,,9,57,18,,380,214,251,465
25,North Adams Community Schools,37,Northwest Elementary,,3,10,39,16,2,290,135,225,360
25,North Adams Community Schools,41,Southeast Elementary School,,1,9,38,14,1,230,96,197,293
35,South Adams Schools,17,South Adams Middle School,1,7,4,36,2,,260,174,136,310
35,South Adams Schools,23,South Adams High School,3,6,2,43,5,,310,238,131,369
35,South Adams Schools,25,South Adams Elementary School,2,6,3,74,13,,521,354,265,619
125,M S D Southwest Allen County Schls,45,Aboite Elementary School,1,38,8,20,25,,376,407,61,468
125,M S D Southwest Allen County Schls,46,Whispering Meadow Elementary Sch,2,35,39,34,34,2,339,389,96,485
125,M S D Southwest Allen County Schls,47,Homestead Senior High School,5,94,134,117,85,2,1911,2075,273,2348
125,M S D Southwest Allen County Schls,63,Summit Middle School,4,21,21,44,32,,584,586,120,706
125,M S D Southwest Allen County Schls,64,Lafayette Meadow School,2,7,18,20,18,,493,457,101,558
125,M S D Southwest Allen County Schls,67,Woodside Middle School,3,60,55,51,48,3,813,893,140,1033
125,M S D Southwest Allen County Schls,68,Haverhill Elementary School,1,5,10,17,16,,342,333,58,391
125,M S D Southwest Allen County Schls,71,Deer Ridge Elementary,,29,14,17,15,1,338,383,31,414
125,M S D Southwest Allen County Schls,72,Covington Elementary School,1,26,80,36,42,1,601,632,155,787
225,Northwest Allen County Schools,69,Arcola School,2,,,13,11,,152,121,57,178
225,Northwest Allen County Schools,79,Maple Creek Middle School,1,46,15,40,24,1,696,727,96,823
225,Northwest Allen County Schools,87,Hickory Center Elementary School,2,14,6,17,36,,371,392,54,446
225,Northwest Allen County Schools,89,Huntertown Elementary School,1,5,7,31,30,1,548,455,168,623
225,Northwest Allen County Schools,90,Carroll Middle School,3,22,18,49,41,,800,736,197,933
225,Northwest Allen County Schools,91,Carroll High School,4,68,51,88,84,1,1984,1962,318,2280
225,Northwest Allen County Schools,92,Perry Hill Elementary School,,10,13,20,25,,432,421,79,500
225,Northwest Allen County Schools,94,Oak View Elementary School,,22,10,27,24,,387,442,28,470
225,Northwest Allen County Schools,95,Cedar Canyon Elementary School,,23,10,36,19,,479,531,36,567
225,Northwest Allen County Schools,96,Eel River Elementary School,,13,16,26,39,,436,438,92,530
225,Northwest Allen County Schools,145,Allen Co Youth Services Center,,,4,4,2,,2,,12,12
235,Fort Wayne Community Schools,100,Allen Co Juvenile Center,,1,9,1,5,,9,22,3,25
235,Fort Wayne Community Schools,101,North Side High School,8,115,353,258,173,2,763,500,1172,1672
235,Fort Wayne Community Schools,102,R Nelson Snider High School,7,67,425,147,146,,1058,985,865,1850
235,Fort Wayne Community Schools,105,South Side High School,3,90,516,412,117,2,269,304,1105,1409
235,Fort Wayne Community Schools,107,Blackhawk Middle School,5,39,151,59,68,,454,460,316,776
235,Fort Wayne Community Schools,118,Jeff H Towles Intermediate School,4,15,146,138,44,,249,302,294,596
235,Fort Wayne Community Schools,119,Jefferson Middle School,5,23,94,71,56,,469,378,340,718
235,Fort Wayne Community Schools,121,Kekionga Middle School,,27,155,123,58,3,150,117,399,516
235,Fort Wayne Community Schools,125,Lakeside Middle School,,54,137,45,74,3,184,119,378,497
235,Fort Wayne Community Schools,126,Lane Middle School,2,22,227,126,68,,234,260,419,679
235,Fort Wayne Community Schools,127,Memorial Park Middle School,3,13,154,156,54,1,220,236,365,601
235,Fort Wayne Community Schools,128,Miami Middle School,1,81,199,99,38,,133,148,403,551
