year,mergecode,districtcode,white,black,hispanic,lowincome,totalenroll
19,15-13,15,93.43,1.04,4.15,25.61,289
19,15-20,15,90.97,0.95,4.91,27.1,631
19,15-21,15,93.58,1.34,1.34,19.79,374
19,25-29,25,82.66,1.88,11.42,35.55,692
19,25-33,25,81.49,3.28,10.15,53.43,335
19,25-37,25,79.28,4.12,9.16,62.55,753
19,35-17,35,81.29,1.08,14.03,42.09,278
19,35-23,35,85.07,1.41,9.58,38.31,355
19,35-25,35,84.53,0.49,11.89,41.37,614
19,125-45,125,83.92,1.25,3.97,15.03,479
19,125-46,125,67.77,12.64,6.23,22.89,546
19,125-47,125,80.78,4.95,5.45,14.44,2424
19,125-63,125,84.82,2.65,5.85,18.25,718
19,125-64,125,87.5,3.35,3.7,14.79,568
19,125-67,125,75.43,7.42,5.68,18.5,1038
19,125-68,125,83.01,3.83,5.26,19.38,418
19,125-71,125,78.87,3.52,5.16,11.5,426
19,125-72,125,74.47,11.83,5.39,22.13,854
19,225-69,225,87.37,0.0,7.37,33.16,190
19,225-79,225,84.79,2.0,5.66,15.76,901
19,225-87,225,84.15,1.17,2.1,19.81,429
19,225-89,225,82.67,1.37,5.93,33.13,658
19,225-90,225,84.06,2.95,4.8,24.13,916
19,225-91,225,85.36,2.45,4.02,17.95,2412
19,225-92,225,83.3,3.2,4.44,17.41,563
19,225-94,225,84.46,1.79,3.19,8.37,502
19,225-95,225,81.85,3.84,4.54,9.25,573
19,225-96,225,81.14,1.9,5.02,20.24,578
19,235-100,235,16.67,50.0,16.67,0.0,6
19,235-101,235,43.42,22.32,16.65,62.58,1550
19,235-102,235,52.69,23.44,10.75,41.94,1860
19,235-105,235,19.44,32.03,31.22,69.15,1358
19,235-107,235,56.02,21.5,8.11,43.12,814
19,235-118,235,43.07,23.04,21.37,49.25,599
19,235-119,235,59.32,14.19,13.11,47.84,740
19,235-121,235,25.68,31.51,26.05,72.86,549
19,235-125,235,33.03,29.91,13.03,71.01,545
19,235-126,235,34.02,32.51,18.32,64.6,726
19,235-127,235,35.23,26.95,26.95,61.53,616
19,235-128,235,19.32,35.38,19.66,74.53,585
19,235-129,235,45.55,16.47,18.49,69.41,595
19,235-133,235,37.28,23.44,27.46,73.21,448
19,235-134,235,37.73,34.22,17.53,59.43,599
19,235-136,235,16.2,30.91,32.22,89.39,537
19,235-137,235,5.49,47.26,36.5,85.02,474
19,235-141,235,16.55,30.34,33.1,83.1,290
19,235-149,235,45.19,22.45,16.03,78.43,343
19,235-151,235,43.64,26.27,16.1,43.22,236
19,235-153,235,30.3,34.95,12.12,69.9,495
19,235-154,235,71.67,13.93,4.64,25.54,646
19,235-157,235,36.03,23.97,13.28,69.14,580
19,235-161,235,53.6,9.53,21.82,68.86,472
19,235-162,235,50.74,17.9,8.21,60.26,609
19,235-164,235,41.05,28.12,11.66,57.83,626
19,235-177,235,34.84,31.56,16.65,62.24,1369
19,235-178,235,17.36,25.74,32.4,77.67,645
19,235-186,235,56.81,9.01,15.94,60.97,433
19,235-189,235,36.41,27.19,23.5,66.36,434
19,235-193,235,24.67,50.67,12.67,61.67,300
19,235-197,235,26.27,20.9,34.33,61.49,335
19,235-205,235,41.56,28.69,11.18,66.46,474
19,235-209,235,72.39,8.08,10.1,43.1,297
19,235-217,235,21.74,30.89,19.91,71.62,437
19,235-219,235,56.5,16.39,15.01,47.44,2032
19,235-221,235,61.75,8.57,16.53,63.35,502
19,235-233,235,68.04,10.73,5.25,44.52,438
19,235-239,235,59.55,13.57,12.56,51.26,398
19,235-240,235,41.04,22.13,19.19,60.64,714
19,235-241,235,43.64,29.55,19.55,52.27,220
19,235-249,235,5.18,44.82,20.98,82.9,386
19,235-253,235,18.85,34.61,29.83,74.46,419
19,235-257,235,30.48,22.26,32.88,79.79,292
19,235-265,235,46.5,19.75,22.22,76.13,243
19,235-269,235,61.07,11.89,9.43,50.2,488
19,235-270,235,41.2,24.34,19.65,62.32,682
19,235-273,235,37.4,22.52,9.92,66.12,484
19,235-275,235,42.36,24.79,17.15,49.59,484
19,255-43,255,6.9,29.06,15.38,87.41,826
19,255-49,255,87.29,1.77,4.17,19.21,1416
19,255-53,255,89.25,0.69,4.51,20.62,577
19,255-81,255,63.75,7.5,8.12,57.12,800
19,255-83,255,75.56,9.11,6.89,69.56,450
19,255-281,255,69.28,12.13,9.98,66.54,511
19,255-285,255,85.13,3.4,4.25,33.14,706
19,255-291,255,88.85,2.7,2.82,22.55,816
19,255-294,255,4.83,29.52,12.21,90.84,393
19,255-297,255,48.26,30.01,10.07,65.38,1063
19,255-301,255,75.17,8.2,6.21,66.3,451
19,255-305,255,69.86,14.38,6.62,71.0,438
19,255-310,255,9.73,28.69,16.28,84.4,596
19,255-318,255,78.26,2.17,13.04,36.96,46
19,255-323,255,90.99,1.1,3.12,39.52,544
19,255-394,255,41.21,10.54,13.74,64.54,313
19,365-328,365,56.75,2.19,29.74,76.82,548
19,365-346,365,81.25,1.42,6.53,27.56,352
19,365-353,365,86.0,0.22,9.85,44.86,457
19,365-354,365,66.33,6.12,16.33,68.37,98
19,365-357,365,57.33,1.6,22.93,43.73,750
19,365-363,365,68.73,2.3,19.26,42.93,566
19,365-366,365,91.94,0.81,4.03,40.86,372
19,365-369,365,73.36,4.26,12.79,75.95,657
19,365-371,365,69.42,5.03,12.27,63.38,497
19,365-375,365,60.05,1.59,11.64,38.89,378
19,365-377,365,57.81,0.94,37.34,72.66,640
19,365-390,365,76.57,3.54,10.06,45.26,875
19,365-392,365,56.26,1.65,12.0,21.72,967
19,365-395,365,66.47,1.68,22.04,47.66,835
19,365-397,365,70.19,2.57,17.06,33.4,2063
19,365-399,365,82.31,2.92,8.27,32.14,1475
19,370-409,370,94.85,0.21,3.22,44.64,466
19,370-410,370,92.91,0.23,2.75,34.78,437
