year,mergecode,totaltest,mathpass,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,charter,districtcode,white,black,hispanic,lowincome,totalenroll,year_21,state
17,25-29indiana,177,55.37,180768001314,0.0,0.0,1.0,0.0,0,25indiana,82.63,0.87,12.74,32.13,691,0,indiana
18,25-29indiana,167,49.1,180768001314,0.0,0.0,1.0,0.0,0,25indiana,82.79,1.34,12.17,34.42,674,0,indiana
19,25-29indiana,164,35.98,180768001314,0.0,0.0,1.0,0.0,0,25indiana,82.66,1.88,11.42,35.55,692,0,indiana
21,25-29indiana,153,42.48,180768001314,0.11,0.08,0.82,0.13,0,25indiana,83.0,1.24,11.75,33.85,647,1,indiana
17,35-23indiana,63,57.14,181026001642,0.0,0.0,1.0,0.0,0,35indiana,84.01,0.54,11.65,35.5,369,0,indiana
18,35-23indiana,84,48.81,181026001642,0.0,0.0,1.0,0.0,0,35indiana,84.5,1.17,12.28,39.18,342,0,indiana
19,35-23indiana,86,43.02,181026001642,0.0,0.0,1.0,0.0,0,35indiana,85.07,1.41,9.58,38.31,355,0,indiana
21,35-23indiana,85,32.94,181026001642,0.0,0.0,1.0,0.0,0,35indiana,85.96,0.86,9.74,34.1,349,1,indiana
17,125-47indiana,572,52.97,180003000002,0.0,0.0,1.0,0.0,0,125indiana,81.39,5.71,4.98,11.63,2348,0,indiana
18,125-47indiana,570,54.21,180003000002,0.0,0.0,1.0,0.0,0,125indiana,81.31,5.16,4.4,11.61,2343,0,indiana
19,125-47indiana,566,55.48,180003000002,0.0,0.0,1.0,0.0,0,125indiana,80.78,4.95,5.45,14.44,2424,0,indiana
21,125-47indiana,637,56.83,180003000002,0.03,0.16,0.81,0.18,0,125indiana,77.83,5.31,7.19,15.42,2503,1,indiana
17,225-91indiana,570,47.54,180825001414,0.0,0.0,1.0,0.0,0,225indiana,87.02,2.24,3.86,13.95,2280,0,indiana
18,225-91indiana,594,55.56,180825001414,0.0,0.0,1.0,0.0,0,225indiana,86.23,2.36,3.82,17.79,2411,0,indiana
19,225-91indiana,615,51.22,180825001414,0.0,0.0,1.0,0.0,0,225indiana,85.36,2.45,4.02,17.95,2412,0,indiana
21,225-91indiana,560,59.64,180825001414,0.0,0.1,0.9,0.1,0,225indiana,84.61,2.26,4.81,18.06,2475,1,indiana
17,235-101indiana,379,25.86,180363000550,0.0,0.0,1.0,0.0,0,235indiana,45.63,21.11,15.43,70.1,1672,0,indiana
18,235-101indiana,373,30.56,180363000550,0.0,0.0,1.0,0.0,0,235indiana,43.19,23.11,15.39,75.24,1644,0,indiana
19,235-101indiana,333,23.42,180363000550,0.0,0.0,1.0,0.0,0,235indiana,43.42,22.32,16.65,62.58,1550,0,indiana
21,235-101indiana,310,17.74,180363000550,0.77,0.23,0.0,0.62,0,235indiana,40.79,23.4,17.58,68.78,1547,1,indiana
17,235-102indiana,450,29.56,180363000556,0.0,0.0,1.0,0.0,0,235indiana,57.19,22.97,7.95,46.76,1850,0,indiana
18,235-102indiana,459,26.8,180363000556,0.0,0.0,1.0,0.0,0,235indiana,55.25,23.43,9.6,49.18,1895,0,indiana
19,235-102indiana,445,27.19,180363000556,0.0,0.0,1.0,0.0,0,235indiana,52.69,23.44,10.75,41.94,1860,0,indiana
21,235-102indiana,438,26.71,180363000556,0.3,0.7,0.0,0.85,0,235indiana,49.73,22.46,14.1,47.87,1830,1,indiana
17,235-105indiana,345,15.07,180363000562,0.0,0.0,1.0,0.0,0,235indiana,19.09,36.62,29.24,78.42,1409,0,indiana
18,235-105indiana,357,13.17,180363000562,0.0,0.0,1.0,0.0,0,235indiana,18.41,33.43,31.3,81.44,1358,0,indiana
19,235-105indiana,315,12.38,180363000562,0.0,0.0,1.0,0.0,0,235indiana,19.44,32.03,31.22,69.15,1358,0,indiana
21,235-105indiana,287,12.2,180363000562,0.07,0.93,0.0,0.97,0,235indiana,18.94,29.96,34.35,73.22,1415,1,indiana
17,235-177indiana,360,21.11,180363000568,0.0,0.0,1.0,0.0,0,235indiana,39.4,29.03,16.34,67.99,1340,0,indiana
18,235-177indiana,324,16.36,180363000568,0.0,0.0,1.0,0.0,0,235indiana,37.37,29.64,17.09,69.69,1346,0,indiana
19,235-177indiana,300,13.67,180363000568,0.0,0.0,1.0,0.0,0,235indiana,34.84,31.56,16.65,62.24,1369,0,indiana
21,235-177indiana,294,17.01,180363000568,0.72,0.28,0.0,0.64,0,235indiana,32.9,31.18,16.42,67.03,1395,1,indiana
17,235-219indiana,508,29.13,180363000552,0.0,0.0,1.0,0.0,0,235indiana,61.33,15.16,13.02,50.74,2097,0,indiana
18,235-219indiana,490,26.73,180363000552,0.0,0.0,1.0,0.0,0,235indiana,58.9,15.58,14.41,54.61,2124,0,indiana
19,235-219indiana,499,28.06,180363000552,0.0,0.0,1.0,0.0,0,235indiana,56.5,16.39,15.01,47.44,2032,0,indiana
21,235-219indiana,407,24.82,180363000552,0.75,0.25,0.0,0.62,0,235indiana,50.73,18.62,15.93,52.64,2046,1,indiana
17,255-49indiana,232,47.84,180285000349,0.0,0.0,1.0,0.0,0,255indiana,88.96,1.99,3.45,16.1,1304,0,indiana
18,255-49indiana,238,48.74,180285000349,0.0,0.0,1.0,0.0,0,255indiana,88.49,1.92,3.84,16.53,1355,0,indiana
19,255-49indiana,229,52.84,180285000349,0.0,0.0,1.0,0.0,0,255indiana,87.29,1.77,4.17,19.21,1416,0,indiana
21,255-49indiana,235,55.32,180285000349,0.03,0.05,0.92,0.07,0,255indiana,87.71,2.07,4.07,17.66,1399,1,indiana
17,255-81indiana,167,26.95,180285000344,0.0,0.0,1.0,0.0,0,255indiana,67.02,11.13,6.28,48.3,764,0,indiana
18,255-81indiana,145,26.9,180285000344,0.0,0.0,1.0,0.0,0,255indiana,62.41,8.73,8.23,54.68,790,0,indiana
19,255-81indiana,149,20.13,180285000344,0.0,0.0,1.0,0.0,0,255indiana,63.75,7.5,8.12,57.12,800,0,indiana
21,255-81indiana,136,25.0,180285000344,0.0,0.05,0.95,0.05,0,255indiana,56.87,8.65,9.29,52.67,786,1,indiana
17,255-285indiana,119,26.05,180285000361,0.0,0.0,1.0,0.0,0,255indiana,78.9,5.07,4.79,34.52,730,0,indiana
18,255-285indiana,143,23.08,180285000361,0.0,0.0,1.0,0.0,0,255indiana,83.04,4.38,4.79,34.47,731,0,indiana
19,255-285indiana,121,38.02,180285000361,0.0,0.0,1.0,0.0,0,255indiana,85.13,3.4,4.25,33.14,706,0,indiana
21,255-285indiana,139,37.41,180285000361,0.03,0.05,0.92,0.07,0,255indiana,89.14,2.26,4.09,25.39,709,1,indiana
17,255-297indiana,240,10.0,180285000353,0.0,0.0,1.0,0.0,0,255indiana,50.99,29.59,9.76,61.64,1014,0,indiana
18,255-297indiana,246,20.33,180285000353,0.0,0.0,1.0,0.0,0,255indiana,50.37,29.3,9.62,65.66,1092,0,indiana
19,255-297indiana,249,26.91,180285000353,0.0,0.0,1.0,0.0,0,255indiana,48.26,30.01,10.07,65.38,1063,0,indiana
21,255-297indiana,202,9.9,180285000353,0.0,0.03,0.97,0.03,0,255indiana,53.29,21.29,8.96,58.65,1306,1,indiana
17,255-394indiana,82,48.78,180285002532,0.0,0.0,1.0,0.0,0,255indiana,47.73,13.31,12.01,55.19,308,0,indiana
18,255-394indiana,82,37.8,180285002532,0.0,0.0,1.0,0.0,0,255indiana,45.11,9.78,13.56,61.51,317,0,indiana
19,255-394indiana,83,44.58,180285002532,0.0,0.0,1.0,0.0,0,255indiana,41.21,10.54,13.74,64.54,313,0,indiana
21,255-394indiana,79,55.7,180285002532,0.03,0.05,0.92,0.07,0,255indiana,36.9,8.63,13.99,57.74,336,1,indiana
17,365-397indiana,528,46.4,180036000066,0.0,0.0,1.0,0.0,0,365indiana,74.27,2.18,12.99,32.08,2017,0,indiana
18,365-397indiana,487,46.61,180036000066,0.0,0.0,1.0,0.0,0,365indiana,72.06,2.52,14.76,32.13,2026,0,indiana
19,365-397indiana,503,44.14,180036000066,0.0,0.0,1.0,0.0,0,365indiana,70.19,2.57,17.06,33.4,2063,0,indiana
21,365-397indiana,496,40.32,180036000066,0.16,0.26,0.58,0.34,0,365indiana,66.75,2.15,20.91,33.35,2090,1,indiana
17,365-399indiana,384,40.1,180036000065,0.0,0.0,1.0,0.0,0,365indiana,83.18,2.61,6.98,31.55,1534,0,indiana
18,365-399indiana,317,34.7,180036000065,0.0,0.0,1.0,0.0,0,365indiana,83.56,2.24,7.66,34.06,1515,0,indiana
19,365-399indiana,348,39.94,180036000065,0.0,0.0,1.0,0.0,0,365indiana,82.31,2.92,8.27,32.14,1475,0,indiana
21,365-399indiana,311,34.73,180036000065,0.16,0.26,0.58,0.34,0,365indiana,82.11,2.62,9.2,32.14,1565,1,indiana
17,370-410indiana,68,30.88,180357000509,0.0,0.0,1.0,0.0,0,370indiana,93.59,0.24,2.38,33.73,421,0,indiana
18,370-410indiana,56,37.5,180357000509,0.0,0.0,1.0,0.0,0,370indiana,92.47,0.46,2.97,40.18,438,0,indiana
19,370-410indiana,70,22.86,180357000509,0.0,0.0,1.0,0.0,0,370indiana,92.91,0.23,2.75,34.78,437,0,indiana
21,370-410indiana,86,25.58,180357000509,0.0,0.14,0.86,0.14,0,370indiana,93.06,0.0,2.24,36.12,490,1,indiana
17,395-445indiana,131,49.62,180048000097,0.0,0.0,1.0,0.0,0,395indiana,90.44,0.55,6.81,43.08,910,0,indiana
18,395-445indiana,128,48.44,180048000097,0.0,0.0,1.0,0.0,0,395indiana,90.35,0.67,6.73,44.0,891,0,indiana
19,395-445indiana,133,33.08,180048000097,0.0,0.0,1.0,0.0,0,395indiana,89.71,0.7,7.37,42.92,855,0,indiana
21,395-445indiana,137,38.69,180048000097,0.0,0.1,0.9,0.1,0,395indiana,86.78,0.49,9.18,39.9,817,1,indiana
17,515-489indiana,131,27.48,180057000102,0.0,0.0,1.0,0.0,0,515indiana,95.52,0.36,2.15,46.95,558,0,indiana
18,515-489indiana,137,20.44,180057000102,0.0,0.0,1.0,0.0,0,515indiana,94.46,0.18,2.58,52.03,542,0,indiana
19,515-489indiana,112,20.54,180057000102,0.0,0.0,1.0,0.0,0,515indiana,94.52,0.39,1.96,51.27,511,0,indiana
21,515-489indiana,114,25.44,180057000102,0.03,0.03,0.95,0.04,0,515indiana,92.23,0.28,3.61,46.32,721,1,indiana
17,615-539indiana,128,41.41,181299002066,0.0,0.0,1.0,0.0,0,615indiana,95.06,0.12,3.09,30.86,810,0,indiana
18,615-539indiana,125,31.2,181299002066,0.0,0.0,1.0,0.0,0,615indiana,95.22,0.13,2.64,32.2,795,0,indiana
19,615-539indiana,138,23.91,181299002066,0.0,0.0,1.0,0.0,0,615indiana,95.39,0.38,2.43,30.47,781,0,indiana
21,615-539indiana,123,39.02,181299002066,0.27,0.0,0.73,0.14,0,615indiana,94.52,0.6,3.1,32.74,840,1,indiana
17,630-512indiana,487,66.32,180283000341,0.0,0.0,1.0,0.0,0,630indiana,86.36,1.86,3.88,5.17,1935,0,indiana
18,630-512indiana,472,63.14,180283000341,0.0,0.0,1.0,0.0,0,630indiana,85.34,2.2,4.05,5.76,1998,0,indiana
19,630-512indiana,487,66.12,180283000341,0.0,0.0,1.0,0.0,0,630indiana,83.78,2.13,4.6,6.54,2065,0,indiana
21,630-512indiana,484,69.21,180283000341,0.22,0.36,0.42,0.47,0,630indiana,82.79,2.08,4.53,5.6,2161,1,indiana
17,665-553indiana,254,42.52,180579001041,0.0,0.0,1.0,0.0,0,665indiana,89.55,2.25,4.82,34.22,976,0,indiana
18,665-553indiana,229,38.43,180579001041,0.0,0.0,1.0,0.0,0,665indiana,87.91,2.38,5.95,35.58,1009,0,indiana
19,665-553indiana,215,42.79,180579001041,0.0,0.0,1.0,0.0,0,665indiana,88.49,1.75,6.17,34.12,973,0,indiana
21,665-553indiana,229,42.36,180579001041,0.36,0.15,0.49,0.33,0,665indiana,83.38,3.15,8.16,33.63,1017,1,indiana
17,670-573indiana,146,20.55,180096000169,0.0,0.0,1.0,0.0,0,670indiana,94.09,0.3,1.82,46.97,660,0,indiana
18,670-573indiana,162,27.78,180096000169,0.0,0.0,1.0,0.0,0,670indiana,92.93,0.0,2.11,42.11,665,0,indiana
19,670-573indiana,146,31.51,180096000169,0.0,0.0,1.0,0.0,0,670indiana,94.35,0.0,2.26,44.75,619,0,indiana
21,670-573indiana,114,27.19,180096000169,0.19,0.03,0.78,0.12,0,670indiana,92.71,0.18,2.91,40.26,549,1,indiana
17,750-621indiana,82,47.56,180129000203,0.0,0.0,1.0,0.0,0,750indiana,93.8,0.85,3.66,33.52,355,0,indiana
18,750-621indiana,73,56.16,180129000203,0.0,0.0,1.0,0.0,0,750indiana,91.98,0.93,3.7,29.01,324,0,indiana
19,750-621indiana,80,62.5,180129000203,0.0,0.0,1.0,0.0,0,750indiana,93.83,0.62,3.09,29.94,324,0,indiana
21,750-621indiana,65,35.38,180129000203,0.29,0.24,0.47,0.38,0,750indiana,92.17,0.3,4.52,34.94,332,1,indiana
17,755-637indiana,93,30.11,180270000326,0.0,0.0,1.0,0.0,0,755indiana,88.14,0.23,10.47,40.0,430,0,indiana
18,755-637indiana,96,44.79,180270000326,0.0,0.0,1.0,0.0,0,755indiana,86.78,0.24,9.86,44.95,416,0,indiana
19,755-637indiana,115,45.22,180270000326,0.0,0.0,1.0,0.0,0,755indiana,84.45,0.93,12.06,45.71,431,0,indiana
21,755-637indiana,103,48.54,180270000326,0.0,0.0,1.0,0.0,0,755indiana,85.59,1.33,10.2,45.45,451,1,indiana
17,775-645indiana,84,41.67,180894001491,0.0,0.0,1.0,0.0,0,775indiana,90.44,1.4,4.9,38.46,429,0,indiana
18,775-645indiana,62,50.0,180894001491,0.0,0.0,1.0,0.0,0,775indiana,90.02,0.89,5.76,42.79,451,0,indiana
19,775-645indiana,69,31.88,180894001491,0.0,0.0,1.0,0.0,0,775indiana,89.41,0.9,5.86,40.54,444,0,indiana
21,775-645indiana,76,38.16,180894001491,0.05,0.05,0.89,0.08,0,775indiana,88.82,0.86,6.24,47.31,465,1,indiana
17,815-689indiana,112,51.79,181068001755,0.0,0.0,1.0,0.0,0,815indiana,90.57,0.9,5.84,30.69,668,0,indiana
18,815-689indiana,114,36.84,181068001755,0.0,0.0,1.0,0.0,0,815indiana,90.31,0.88,7.05,32.16,454,0,indiana
19,815-689indiana,112,31.25,181068001755,0.0,0.0,1.0,0.0,0,815indiana,89.52,0.91,7.29,32.8,439,0,indiana
21,815-689indiana,83,32.53,181068001755,0.0,0.0,1.0,0.0,0,815indiana,89.67,0.0,6.81,37.56,426,1,indiana
17,875-701indiana,279,31.9,180603001060,0.0,0.0,1.0,0.0,0,875indiana,57.65,1.13,36.11,51.01,1235,0,indiana
18,875-701indiana,303,37.29,180603001060,0.0,0.0,1.0,0.0,0,875indiana,55.74,0.98,38.11,53.03,1220,0,indiana
19,875-701indiana,262,48.85,180603001060,0.0,0.0,1.0,0.0,0,875indiana,50.04,1.31,42.82,54.22,1219,0,indiana
21,875-701indiana,288,23.61,180603001060,0.41,0.11,0.49,0.31,0,875indiana,47.64,3.25,43.22,51.43,1291,1,indiana
17,1000-833indiana,104,18.27,180192000249,0.0,0.0,1.0,0.0,0,1000indiana,76.14,9.11,6.51,56.18,461,0,indiana
18,1000-833indiana,112,12.5,180192000249,0.0,0.0,1.0,0.0,0,1000indiana,72.27,9.09,8.41,60.0,440,0,indiana
19,1000-833indiana,88,18.18,180192000249,0.0,0.0,1.0,0.0,0,1000indiana,73.52,9.59,8.45,61.42,438,0,indiana
21,1000-833indiana,104,19.23,180192000249,0.03,0.16,0.82,0.17,0,1000indiana,69.97,9.63,11.61,39.09,353,1,indiana
17,1010-809indiana,63,34.92,180394000672,0.0,0.0,1.0,0.0,0,1010indiana,94.64,0.27,2.14,43.7,373,0,indiana
18,1010-809indiana,54,42.59,180394000672,0.0,0.0,1.0,0.0,0,1010indiana,93.6,0.0,3.78,49.42,344,0,indiana
19,1010-809indiana,43,23.26,180394000672,0.0,0.0,1.0,0.0,0,1010indiana,94.75,0.0,2.92,48.1,343,0,indiana
21,1010-809indiana,44,15.91,180394000672,0.0,0.17,0.83,0.17,0,1010indiana,93.5,0.0,2.17,43.65,323,1,indiana
17,1010-821indiana,174,42.53,180394000663,0.0,0.0,1.0,0.0,0,1010indiana,81.32,3.02,11.21,39.37,696,0,indiana
18,1010-821indiana,151,30.46,180394000663,0.0,0.0,1.0,0.0,0,1010indiana,82.61,3.3,9.34,41.24,696,0,indiana
19,1010-821indiana,172,20.93,180394000663,0.0,0.0,1.0,0.0,0,1010indiana,82.2,3.33,9.55,39.94,691,0,indiana
