year,mergecode,totaltest,mathpass
21,15-21,80,47.5
21,25-29,153,42.48
21,35-23,85,32.94
21,125-47,637,56.83
21,225-91,560,59.64
21,235-101,310,17.74
21,235-102,438,26.71
21,235-105,287,12.2
21,235-177,294,17.01
21,235-219,407,24.82
21,255-49,235,55.32
21,255-81,136,25.0
21,255-285,139,37.41
21,255-297,202,9.9
21,255-394,79,55.7
21,365-397,496,40.32
21,365-399,311,34.73
21,370-410,86,25.58
21,395-445,137,38.69
21,515-489,114,25.44
21,615-539,123,39.02
21,630-512,484,69.21
21,665-553,229,42.36
21,670-573,114,27.19
21,750-621,65,35.38
21,755-637,103,48.54
21,775-645,76,38.16
21,815-689,83,32.53
21,875-701,288,23.61
21,935-765,71,38.03
21,935-813,47,46.81
21,945-777,182,26.37
21,1000-833,104,19.23
21,1000-1007,226,12.39
21,1010-809,44,15.91
21,1010-821,161,17.39
21,1010-849,401,17.21
21,1125-897,59,42.37
21,1125-933,214,42.99
21,1150-957,62,32.26
21,1160-977,95,26.32
21,1170-997,203,7.39
21,1180-1021,69,43.48
21,1300-1059,90,33.33
21,1315-1069,55,72.73
21,1375-1121,62,32.26
21,1405-1125,153,26.14
21,1560-7213,273,43.96
21,1600-1179,171,20.47
21,1620-1177,170,36.47
21,1655-1263,75,29.33
21,1655-1267,69,27.54
21,1730-1268,167,24.55
21,1805-1317,91,42.86
21,1820-1325,155,25.16
21,1835-1345,232,43.1
21,1875-1369,186,59.14
21,1885-1372,78,23.08
21,1895-1375,87,39.08
21,1900-1386,61,31.15
21,1910-1389,181,43.09
21,1940-1401,65,44.62
21,1970-1421,299,19.06
21,2040-1545,76,43.42
21,2100-1583,104,60.58
21,2110-1588,106,36.79
21,2120-1593,273,44.32
21,2155-1613,124,44.35
21,2260-1701,148,28.38
21,2270-1715,341,24.93
21,2275-1733,336,38.99
21,2285-1737,198,54.04
21,2305-1752,49,0.0
21,2305-1754,450,17.11
21,2315-1821,400,31.75
21,2395-1889,222,25.68
21,2400-1925,398,27.89
21,2400-1930,425,49.65
21,2435-2053,41,34.15
21,2440-2005,79,51.9
21,2455-2022,78,25.64
21,2475-2083,176,28.41
21,2645-2173,105,26.67
21,2650-2159,57,24.56
21,2725-2233,53,32.08
21,2735-2249,126,23.02
21,2765-2211,170,61.18
21,2815-2293,115,51.3
21,2825-2321,84,38.1
21,2855-2333,193,21.76
21,2865-2351,178,12.92
21,2920-2419,58,60.34
21,2940-2435,68,42.65
21,2950-2437,102,19.61
21,2960-2445,29,41.38
21,2980-2429,67,19.4
21,3005-2487,906,64.35
21,3005-2499,782,65.86
21,3025-2477,164,30.49
21,3030-2493,653,60.64
21,3055-2463,74,39.19
21,3060-2505,1304,77.53
21,3070-2517,745,53.29
21,3115-2565,276,41.3
21,3125-2595,315,36.83
21,3135-2569,334,40.42
