DistrictofResidenceEntityName,DistrictofResidenceEntityID,SchoolEntityName,SchoolEntityID,SchoolCTDS,PS,KG,1,2,3,4,5,6,7,8,9,10,11,12,Total,
Arizona,,,,           _,17763,79772,82061,85581,88861,89141,88041,87014,86686,86302,85898,85239,80407,85422,1030653,
A Center for Creative Education,79457,,,           _,*,11,*,*,14,11,*,*,*,*,*,*,*,*,64,
A Center for Creative Education,79457,Verde Valley Montessori School - A Center for Creative Education,79458,138761101,*,11,*,*,14,11,*,*,*,*,*,*,*,*,64,
ACCEL,7355,,,           _,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
ACCEL,7355,ACCEL Metro Campus,7356,072164001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
AIBT Non-Profit Charter High School - Phoenix,79053,,,           _,*,*,*,*,*,*,*,*,*,*,13,32,53,142,240,
AIBT Non-Profit Charter High School - Phoenix,79053,RCB Medical Arts Academy,79123,078793201,*,*,*,*,*,*,*,*,*,*,13,32,53,142,240,
ASU Preparatory Academy,89949,,,           _,*,75,*,76,75,89,*,*,*,*,*,*,*,*,389,
ASU Preparatory Academy,89949,ASU Preparatory Academy - Casa Grande HS,635758,118716001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,89949,ASU Preparatory Academy- Phoenix Elementary,90271,078546102,*,75,74,76,75,89,*,*,*,*,*,*,*,*,389,
ASU Preparatory Academy,91303,,,           _,*,*,*,*,*,*,*,*,*,*,118,102,95,93,408,
ASU Preparatory Academy,91303,ASU Preparatory Academy- Phoenix High School,91304,078207001,*,*,*,*,*,*,*,*,*,*,118,102,95,93,408,
ASU Preparatory Academy,91305,,,           _,*,*,*,*,*,*,*,*,*,*,77,60,61,37,235,
ASU Preparatory Academy,91305,ASU Preparatory Academy-Polytechnic High School,91306,078208001,*,*,*,*,*,*,*,*,*,*,77,60,61,37,235,
ASU Preparatory Academy,91305,Prestige School at Rite of Passage,90438,072107003,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,91307,,,           _,*,*,76,74,75,74,*,*,*,*,*,*,*,*,368,
ASU Preparatory Academy,91307,ASU Preparatory Academy-Polytechnic Elementary,91308,078205001,*,*,76,74,75,74,*,*,*,*,*,*,*,*,368,
ASU Preparatory Academy,92325,,,           _,*,*,*,*,*,*,90,90,89,90,*,*,*,*,359,
ASU Preparatory Academy,92325,ASU Preparatory Academy - Phoenix Middle School,92326,078250001,*,*,*,*,*,*,90,90,88,90,*,*,*,*,358,
ASU Preparatory Academy,92325,Breakthrough Academy,92368,072172001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
ASU Preparatory Academy,92327,,,           _,*,*,*,*,*,*,76,74,75,75,*,*,*,*,300,
ASU Preparatory Academy,92327,ASU Preparatory Academy-Polytechnic Middle School,91323,078251001,*,*,*,*,*,*,76,74,75,75,*,*,*,*,300,
ASU Preparatory Academy - Casa Grande,92987,,,           _,*,*,*,*,*,*,*,*,*,*,29,15,*,*,62,
ASU Preparatory Academy - Casa Grande,92987,ASU Preparatory Academy - Casa Grande HS,635758,118716001,*,*,*,*,*,*,*,*,*,*,29,15,*,*,62,
"AZ Compass Schools, Inc.",89869,,,           _,*,*,*,*,*,*,*,*,32,29,24,22,28,21,156,
"AZ Compass Schools, Inc.",89869,AZ Aspire Academy,92933,072142001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
"AZ Compass Schools, Inc.",89869,AZ Compass Prep School,89870,078542101,*,*,*,*,*,*,*,*,32,29,23,22,28,21,155,
"AZ Compass Schools, Inc.",89869,"Education Works, Inc",91345,072125001,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,
AZ Dept of Juvenile Corrections,8326,,,           _,*,*,*,*,*,*,*,*,*,*,*,15,56,90,164,
AZ Dept of Juvenile Corrections,8326,Adobe Mountain School,8327,211001001,*,*,*,*,*,*,*,*,*,*,*,15,56,90,164,
"Academy Del Sol, Inc.",90199,,,           _,*,100,97,78,87,67,47,57,63,34,*,*,*,*,630,
"Academy Del Sol, Inc.",90199,Academy Del Sol,90200,108734001,*,24,29,11,15,*,*,*,*,*,*,*,*,*,99,
"Academy Del Sol, Inc.",90199,Academy Del Sol - Hope,90770,108734002,*,76,68,67,72,57,37,57,63,34,*,*,*,*,531,
"Academy Of Excellence, Inc.",4296,,,           _,*,15,13,12,*,*,*,11,11,*,*,*,*,*,92,
"Academy Of Excellence, Inc.",4296,Academy Of Excellence,5461,078604101,*,15,13,12,*,*,*,11,11,*,*,*,*,*,92,
"Academy of Building Industries, Inc.",85540,,,           _,*,*,*,*,*,*,*,*,*,*,20,29,31,41,121,
"Academy of Building Industries, Inc.",85540,Academy of Building Industries,85541,088704201,*,*,*,*,*,*,*,*,*,*,20,29,31,41,121,
"Academy of Mathematics and Science South, Inc.",90878,,,           _,*,89,63,54,56,52,50,60,50,31,*,*,*,*,505,
"Academy of Mathematics and Science South, Inc.",90878,Academy of Mathematics and Science South,92197,078242001,*,89,63,54,56,52,50,60,50,31,*,*,*,*,505,
"Academy of Mathematics and Science, Inc.",79961,,,           _,*,56,65,63,59,44,31,44,34,23,*,*,*,*,419,
"Academy of Mathematics and Science, Inc.",79961,Academy of Math and Science,79094,108713101,*,56,65,63,59,44,31,44,34,23,*,*,*,*,419,
"Academy of Mathematics and Science, Inc.",92768,,,           _,*,84,97,76,55,59,58,55,56,45,*,*,*,*,585,
"Academy of Mathematics and Science, Inc.",92768,Academy of Math and Science Camelback,92769,078270001,*,84,97,76,55,59,58,55,56,45,*,*,*,*,585,
"Academy of Tucson, Inc.",78897,,,           _,*,52,64,51,59,58,50,70,73,67,38,41,37,39,699,
"Academy of Tucson, Inc.",78897,Academy of Tucson Elementary School,81130,108665102,*,52,64,51,59,58,*,*,*,*,*,*,*,*,284,
"Academy of Tucson, Inc.",78897,Academy of Tucson High School,78898,108665201,*,*,*,*,*,*,*,*,*,*,38,41,37,39,155,
"Academy of Tucson, Inc.",78897,Academy of Tucson Middle School,79986,108665101,*,*,*,*,*,*,50,70,73,67,*,*,*,*,260,
Academy with Community Partners  Inc,79213,,,           _,*,*,*,*,*,*,*,*,*,*,*,*,43,57,128,
Academy with Community Partners  Inc,79213,Academy with Community Partners,10795,078794201,*,*,*,*,*,*,*,*,*,*,*,*,43,57,128,
Accelerated Elementary and Secondary Schools,6364,,,           _,*,12,15,13,16,11,14,14,25,18,*,11,12,*,176,
Accelerated Elementary and Secondary Schools,6364,Accelerated Learning Laboratory,5891,108767001,*,12,15,13,16,11,14,14,25,18,*,11,12,*,176,
"Accelerated Learning Center, Inc.",4297,,,           _,*,*,*,*,*,*,*,*,*,*,*,*,31,128,183,
"Accelerated Learning Center, Inc.",4297,Accelerated Learning Center,5462,078979201,*,*,*,*,*,*,*,*,*,*,*,*,31,128,183,
Acclaim Charter School,4325,,,           _,*,42,43,51,46,42,38,46,52,38,*,*,*,*,398,
Acclaim Charter School,4325,ACCLAIM Academy,5496,078701101,*,42,43,51,46,42,38,46,52,38,*,*,*,*,398,
