year,districtcode,schoolcode,elapass,mathpass,totaltest,mergecode
17,7,40,35.42,31.25,48,7-40
17,14,40,21.43,15.31,98,14-40
17,63,40,32.14,35.71,28,63-40
17,70,40,46.67,53.33,60,70-40
17,84,40,50.0,33.33,12,84-40
17,91,60,36.96,26.09,46,91-60
17,105,40,26.92,15.38,26,105-40
17,112,40,43.88,53.06,98,112-40
17,119,40,55.32,50.0,94,119-40
17,126,60,30.43,30.43,92,126-60
17,140,70,32.81,35.42,192,140-70
17,147,20,36.52,31.3,345,147-20
17,147,30,52.17,45.52,391,147-30
17,147,40,47.68,43.71,302,147-40
17,147,420,63.64,54.55,33,147-420
17,147,430,69.23,74.36,39,147-430
17,147,450,35.71,28.57,28,147-450
17,147,460,72.73,36.36,11,147-460
17,147,490,18.18,13.64,22,147-490
17,147,850,40.74,25.93,54,147-850
17,154,40,29.55,25.0,88,154-40
17,161,40,53.85,53.85,26,161-40
17,170,20,23.39,30.99,171,170-20
17,182,20,43.78,47.79,249,182-20
17,196,40,31.91,25.53,47,196-40
17,203,60,45.0,38.33,60,203-60
17,217,40,34.48,41.38,29,217-40
17,217,410,27.27,18.18,11,217-410
17,231,40,53.64,39.09,110,231-40
17,238,100,19.3,24.56,57,238-100
17,245,40,37.93,48.28,58,245-40
17,280,40,41.04,41.43,251,280-40
17,287,40,71.79,33.33,39,287-40
17,308,30,35.53,17.11,76,308-30
17,315,40,11.76,5.88,34,315-40
17,336,40,44.26,38.11,244,336-40
17,350,40,45.83,34.72,72,350-40
17,364,40,50.0,33.33,18,364-40
17,413,200,19.51,16.53,369,413-200
17,422,20,45.63,42.72,103,422-20
17,427,40,47.37,36.84,19,427-40
17,434,40,25.42,29.66,118,434-40
17,441,40,50.0,21.43,14,441-40
17,469,60,65.31,53.06,49,469-60
17,476,40,19.67,20.49,122,476-40
17,485,11,27.59,20.69,29,485-11
17,490,40,24.0,40.0,25,490-40
17,497,40,22.22,27.16,81,497-40
17,602,40,32.1,29.63,81,602-40
17,609,40,42.31,26.92,52,609-40
17,623,40,31.58,10.53,19,623-40
17,637,40,33.9,45.76,59,637-40
17,658,40,24.0,38.67,75,658-40
17,700,40,44.44,27.78,72,700-40
17,714,20,71.64,67.46,335,714-20
17,714,60,65.75,67.58,327,714-60
17,721,40,30.83,21.67,120,721-40
17,735,40,25.0,30.56,36,735-40
17,777,20,45.97,39.11,248,777-20
17,840,40,27.27,18.18,11,840-40
17,870,40,25.35,26.76,71,870-40
17,882,40,45.83,41.67,24,882-40
17,896,40,51.72,39.66,58,896-40
17,903,40,31.03,27.59,58,903-40
17,910,40,23.47,26.53,98,910-40
17,980,40,42.5,45.0,40,980-40
17,994,40,37.5,37.5,16,994-40
17,1015,20,85.51,72.1,276,1015-20
17,1029,40,51.76,52.94,85,1029-40
17,1071,400,37.29,22.03,59,1071-400
17,1080,400,39.13,40.58,69,1080-400
17,1085,40,33.68,27.37,95,1085-40
17,1092,60,37.76,35.4,339,1092-60
17,1120,40,19.35,35.48,31,1120-40
17,1127,40,32.14,33.93,56,1127-40
17,1134,60,37.08,35.96,89,1134-60
17,1141,40,38.94,30.09,113,1141-40
17,1155,40,49.12,35.09,57,1155-40
17,1162,40,45.33,34.67,75,1162-40
17,1169,60,26.09,28.26,46,1169-60
17,1176,40,35.82,32.84,67,1176-40
17,1183,40,40.95,36.19,105,1183-40
17,1204,40,18.18,18.18,22,1204-40
17,1218,60,27.42,27.42,62,1218-60
17,1232,40,36.0,46.0,50,1232-40
17,1246,40,38.18,43.64,55,1246-40
17,1253,40,21.89,16.57,169,1253-40
17,1260,60,35.0,41.25,80,1260-60
17,1260,420,66.67,50.0,6,1260-420
17,1295,40,42.22,60.0,45,1295-40
17,1309,40,57.89,39.47,38,1309-40
17,1316,40,52.51,42.86,259,1316-40
17,1376,120,56.44,58.67,225,1376-120
17,1376,450,66.67,57.14,21,1376-450
17,1376,460,64.29,35.71,42,1376-460
17,1376,470,83.33,69.44,36,1376-470
17,1380,20,29.81,23.6,161,1380-20
17,1407,80,48.11,40.57,106,1407-80
17,1414,20,64.35,54.98,331,1414-20
17,1421,40,35.14,43.24,37,1421-40
17,1428,40,45.45,47.47,99,1428-40
17,1491,40,36.36,45.45,22,1491-40
17,1499,40,46.05,46.05,76,1499-40
17,1526,90,40.2,36.27,102,1526-90
17,1540,40,45.11,34.59,133,1540-40
17,1554,340,57.82,52.84,422,1554-340
17,1554,400,43.14,36.45,299,1554-400
17,1561,40,37.84,35.14,37,1561-40
17,1568,80,36.96,23.19,138,1568-80
17,1582,40,30.43,4.35,23,1582-40
17,1600,60,36.17,36.17,47,1600-60
17,1631,40,53.33,53.33,30,1631-40
17,1638,40,52.09,48.37,215,1638-40
17,1638,800,14.29,14.29,7,1638-800
17,1645,40,38.37,44.19,86,1645-40
17,1659,40,41.13,30.65,124,1659-40
17,1666,40,30.0,20.0,10,1666-40
17,1673,60,36.59,21.95,41,1673-60
17,1694,40,39.13,36.96,138,1694-40
17,1729,40,40.0,40.0,65,1729-40
17,1736,40,51.72,37.93,29,1736-40
17,1813,40,48.39,33.87,62,1813-40
17,1855,60,29.41,23.53,17,1855-60
17,1862,140,31.78,28.34,494,1862-140
17,1883,80,40.91,38.64,220,1883-80
17,1900,60,56.09,44.48,353,1900-60
17,1939,40,11.76,23.53,34,1939-40
17,1945,60,39.53,39.53,43,1945-60
17,1945,850,40.0,20.0,30,1945-850
17,1953,60,38.41,42.03,138,1953-60
17,2009,40,26.42,26.42,106,2009-40
17,2016,120,9.38,34.38,32,2016-120
17,2058,180,60.18,56.89,334,2058-180
17,2114,120,60.0,31.11,45,2114-120
17,2128,20,37.78,28.89,45,2128-20
17,2135,60,7.14,32.14,28,2135-60
17,2142,60,14.29,14.29,7,2142-60
17,2177,20,65.67,60.82,268,2177-20
17,2198,80,46.3,44.44,54,2198-80
17,2212,40,50.0,50.0,10,2212-40
17,2217,40,60.24,53.61,166,2217-40
17,2226,40,20.0,10.0,10,2226-40
17,2233,80,41.51,39.62,53,2233-80
17,2233,400,22.92,8.33,96,2233-400
