year,districtcode,schoolcode,droprate,totalenroll,mergecode
19,7,40,0.00,318,7-40
19,14,40,1.67,479,14-40
19,63,40,2.70,74,63-40
19,70,40,0.31,325,70-40
19,84,40,0.00,78,84-40
19,91,60,2.48,161,91-60
19,105,40,0.00,119,105-40
19,112,40,1.84,435,112-40
19,119,40,0.63,480,119-40
19,140,70,1.57,766,140-70
19,147,440,30.77,13,147-440
19,147,490,0.00,80,147-490
19,147,20,1.83,1366,147-20
19,147,450,0.00,86,147-450
19,147,30,1.31,1674,147-30
19,147,420,0.00,167,147-420
19,147,430,0.00,127,147-430
19,147,460,0.00,64,147-460
19,147,40,3.44,1104,147-40
19,154,40,1.31,381,154-40
19,161,40,1.04,96,161-40
19,2450,20,0.05,2127,2450-20
19,170,20,3.08,650,170-20
19,170,400,5.00,20,170-400
19,182,20,1.10,1002,182-20
19,196,40,2.42,165,196-40
19,203,60,0.29,344,203-60
19,217,40,0.71,140,217-40
19,217,410,0.00,68,217-410
19,231,40,0.42,480,231-40
19,245,40,0.00,247,245-40
19,280,40,0.97,928,280-40
19,287,40,0.00,116,287-40
19,308,30,0.29,347,308-30
19,308,9410,15.00,20,308-9410
19,315,40,0.00,104,315-40
19,336,40,0.76,1051,336-40
19,336,850,23.96,96,336-850
19,4263,60,0.00,93,4263-60
19,350,40,0.36,276,350-40
19,364,40,0.00,169,364-40
19,413,200,1.65,1574,413-200
19,422,20,0.22,447,422-20
19,427,40,0.00,66,427-40
19,434,40,2.90,552,434-40
19,6013,20,0.63,478,6013-20
19,441,450,0.00,10,441-450
19,441,40,2.70,74,441-40
19,2240,20,2.02,99,2240-20
19,476,40,1.22,492,476-40
19,485,11,0.00,263,485-11
19,497,40,1.60,375,497-40
19,602,40,0.35,283,602-40
19,609,40,0.43,232,609-40
19,623,40,0.70,143,623-40
19,637,40,0.52,192,637-40
19,658,40,0.30,331,658-40
19,700,40,0.31,320,700-40
19,721,40,0.41,728,721-40
19,735,40,3.68,136,735-40
19,777,20,0.85,1063,777-20
19,840,40,0.00,88,840-40
19,870,40,2.63,228,870-40
19,882,40,0.00,171,882-40
19,896,40,0.37,270,896-40
19,896,400,0.00,17,896-400
19,903,40,0.39,258,903-40
19,903,9410,7.14,14,903-9410
19,910,40,0.89,447,910-40
19,980,40,0.00,269,980-40
19,994,40,0.00,103,994-40
19,1029,40,1.32,304,1029-40
