year,districtcode,schoolcode,black,lowincome,hispanic,white,mergecode
21,7,20,1.13,75.71,64.97,32.49,7-20
21,7,40,1.48,61.58,50.74,46.8,7-40
21,14,40,1.15,70.05,6.91,87.56,14-40
21,14,130,2.41,52.41,7.68,82.89,14-130
21,14,210,2.39,70.17,8.11,83.77,14-210
21,63,20,0.0,43.8,5.84,90.51,63-20
21,63,40,1.03,36.08,5.15,91.75,63-40
21,63,60,1.25,35.0,2.5,88.75,63-60
21,70,20,0.85,54.93,6.76,87.89,70-20
21,70,40,2.3,47.37,8.22,87.5,70-40
21,84,20,0.0,44.71,5.88,92.94,84-20
21,84,40,0.0,34.29,2.86,94.29,84-40
21,91,60,0.39,63.18,13.95,80.62,91-60
21,91,80,0.87,63.85,13.99,81.34,91-80
21,105,20,1.68,59.22,23.46,71.51,105-20
21,105,40,0.0,49.55,22.52,77.48,105-40
21,105,250,0.0,52.94,30.59,69.41,105-250
21,112,40,2.45,37.35,3.47,84.49,112-40
21,112,60,1.44,43.65,3.84,84.41,112-60
21,112,80,1.27,40.95,5.24,84.6,112-80
21,112,100,2.03,44.72,6.5,80.08,112-100
21,119,20,1.07,50.13,4.8,90.4,119-20
21,119,40,0.85,37.23,2.55,92.77,119-40
21,119,50,0.72,44.44,3.58,91.4,119-50
21,119,60,1.55,44.58,2.79,90.71,119-60
21,126,20,0.62,33.02,2.49,93.46,126-20
21,126,60,1.17,28.95,3.8,92.69,126-60
21,126,80,0.32,31.17,1.3,97.08,126-80
21,126,100,0.0,38.39,1.79,95.54,126-100
21,126,140,0.0,22.54,4.23,91.55,126-140
21,126,200,0.0,32.14,3.57,92.86,126-200
21,140,50,1.01,67.74,7.06,85.28,140-50
21,140,70,1.3,53.67,6.87,86.02,140-70
21,140,100,0.0,48.73,4.57,89.34,140-100
21,140,180,1.44,75.12,5.74,83.73,140-180
21,140,280,2.82,74.65,8.45,78.17,140-280
21,140,9100,0.0,54.72,4.72,95.28,140-9100
21,147,20,4.38,41.82,13.85,65.28,147-20
21,147,30,5.9,29.55,9.25,72.44,147-30
21,147,40,7.8,52.48,12.23,59.04,147-40
21,147,60,5.71,57.78,16.19,49.52,147-60
21,147,80,7.69,85.31,15.38,54.55,147-80
21,147,100,9.13,55.22,7.39,70.87,147-100
21,147,110,2.36,20.77,4.71,70.88,147-110
21,147,120,3.9,28.07,8.19,77.39,147-120
21,147,130,2.38,34.8,6.45,72.67,147-130
21,147,135,4.82,21.69,3.61,78.31,147-135
21,147,145,0.0,20.78,3.9,86.36,147-145
21,147,150,6.43,58.52,8.68,50.48,147-150
21,147,155,0.0,55.47,75.0,22.66,147-155
21,147,160,5.4,57.55,7.19,63.31,147-160
21,147,165,3.49,42.21,10.19,68.27,147-165
21,147,180,5.18,65.25,17.74,41.22,147-180
21,147,190,6.27,54.86,26.02,52.98,147-190
21,147,195,2.06,31.27,6.74,80.9,147-195
21,147,200,3.03,31.01,5.45,77.0,147-200
21,147,210,0.6,14.46,3.01,86.75,147-210
21,147,220,0.98,18.05,5.85,88.54,147-220
21,147,240,11.53,62.03,11.53,58.31,147-240
21,147,250,7.62,44.05,13.2,66.91,147-250
21,147,260,8.09,56.66,13.58,52.74,147-260
21,147,280,4.4,70.13,10.06,55.03,147-280
21,147,300,5.18,43.2,13.75,64.08,147-300
21,147,320,3.31,51.43,13.47,59.16,147-320
21,147,340,2.89,48.38,15.16,72.92,147-340
21,147,410,8.05,63.64,17.14,51.69,147-410
21,147,420,3.6,25.18,4.32,84.89,147-420
21,147,430,1.4,16.08,6.99,83.22,147-430
21,147,440,7.27,30.91,12.73,76.36,147-440
21,147,450,13.58,20.99,4.94,76.54,147-450
21,147,460,1.49,25.37,1.49,91.04,147-460
21,147,490,1.49,37.31,11.94,83.58,147-490
21,147,800,0.0,0.0,100.0,0.0,147-800
21,147,850,5.35,43.8,7.79,73.4,147-850
21,154,40,0.26,68.12,59.9,39.59,154-40
21,154,190,0.0,83.04,85.96,13.06,154-190
21,154,290,0.28,80.56,74.93,23.1,154-290
21,161,20,0.0,39.6,3.36,91.95,161-20
21,161,40,0.0,40.0,6.25,92.5,161-40
21,161,250,0.0,46.97,1.52,96.97,161-250
21,170,20,0.94,63.21,3.46,66.51,170-20
21,170,30,0.65,71.34,4.96,63.58,170-30
21,170,80,1.63,67.63,3.25,58.77,170-80
21,170,120,0.0,85.06,2.3,97.7,170-120
21,170,9100,0.0,0.0,0.0,44.44,170-9100
21,182,20,3.83,35.58,9.17,72.78,182-20
21,182,45,3.13,40.46,7.08,74.52,182-45
21,182,50,1.79,31.55,4.56,79.56,182-50
21,182,55,1.17,36.26,6.14,79.82,182-55
21,182,60,2.41,49.01,8.52,72.44,182-60
21,196,20,0.6,44.05,13.1,83.33,196-20
21,196,40,0.0,29.08,6.38,92.2,196-40
21,196,60,0.0,50.0,13.51,86.49,196-60
21,203,40,0.0,28.42,4.29,93.57,203-40
21,203,60,0.51,26.01,5.3,92.42,203-60
21,203,9100,0.0,40.0,0.0,100.0,203-9100
21,217,20,1.35,52.25,2.25,94.14,217-20
21,217,40,1.18,52.07,4.73,91.12,217-40
21,217,200,1.74,63.48,5.22,87.83,217-200
21,217,410,0.0,32.88,0.0,97.26,217-410
21,231,40,0.87,25.49,3.92,90.63,231-40
21,231,70,1.17,30.64,3.51,90.88,231-70
21,231,90,0.54,26.81,6.43,90.08,231-90
21,238,60,0.0,63.29,5.21,88.22,238-60
21,238,100,0.35,56.4,2.08,89.97,238-100
21,238,120,0.0,63.41,4.35,86.96,238-120
21,245,20,0.0,35.02,3.11,91.83,245-20
21,245,40,0.29,31.47,2.65,94.71,245-40
21,280,20,1.63,53.02,9.79,77.65,280-20
21,280,40,1.32,42.29,9.8,81.83,280-40
21,280,60,1.82,51.37,12.16,74.47,280-60
21,280,110,1.97,53.44,4.92,83.61,280-110
21,280,120,0.0,51.92,13.46,82.69,280-120
21,280,140,1.89,50.94,3.77,86.79,280-140
21,280,150,0.66,28.48,7.28,84.11,280-150
21,280,160,0.0,52.94,11.76,82.35,280-160
21,280,180,2.95,73.77,13.44,72.79,280-180
21,287,20,0.87,15.22,3.48,94.35,287-20
21,287,40,0.43,17.95,0.85,97.86,287-40
21,308,20,20.0,0.0,15.0,60.0,308-20
21,308,30,13.08,52.02,7.79,76.32,308-30
21,308,100,0.0,55.17,3.45,93.1,308-100
21,308,120,1.59,58.73,0.0,90.48,308-120
21,308,140,15.03,61.11,7.52,71.9,308-140
21,308,160,19.63,63.7,10.37,64.81,308-160
21,308,810,3.42,65.75,6.16,82.88,308-810
21,308,9410,0.0,0.0,7.69,92.31,308-9410
21,315,20,0.0,69.86,11.0,8.61,315-20
21,315,30,0.0,72.29,6.02,16.87,315-30
21,315,40,2.88,68.27,1.92,18.27,315-40
21,315,60,0.0,0.0,0.0,100.0,315-60
21,336,20,2.91,51.94,21.19,69.25,336-20
21,336,40,1.91,44.99,18.21,75.59,336-40
21,336,80,3.27,63.27,32.36,60.0,336-80
21,336,100,2.53,65.06,23.22,65.75,336-100
21,336,110,1.76,43.53,13.53,80.88,336-110
21,336,150,5.03,47.49,14.53,77.65,336-150
