year,mergecode,NCESSchoolID,hybridper,virtualper,inpersonper,schoolmode,totaltest,mathpass,elapass,totalenroll,droprate,districtcode,black,lowincome,hispanic,white,year_21,state
17,1015-20wisconsin,550246000270,0.0,0.0,1.0,0.0,276,72.1,85.51,1121,0.0,1015wisconsin,0.89,5.68,2.22,92.18,0,wisconsin
18,1015-20wisconsin,550246000270,0.0,0.0,1.0,0.0,264,61.36,72.35,1101,0.0,1015wisconsin,1.19,5.78,2.57,91.1,0,wisconsin
19,1015-20wisconsin,550246000270,0.0,0.0,1.0,0.0,280,58.21,68.93,1107,0.0,1015wisconsin,0.99,6.96,3.25,90.33,0,wisconsin
21,1015-20wisconsin,550246000270,0.0,0.0,1.0,0.0,279,54.48,65.59,1077,0.0,1015wisconsin,1.02,11.06,5.02,88.38,1,wisconsin
17,1029-40wisconsin,550243000267,0.0,0.0,1.0,0.0,85,52.94,51.76,340,0.29,1029wisconsin,0.28,11.65,4.83,92.9,0,wisconsin
18,1029-40wisconsin,550243000267,0.0,0.0,1.0,0.0,83,54.22,50.6,323,1.55,1029wisconsin,0.62,8.7,5.28,91.61,0,wisconsin
19,1029-40wisconsin,550243000267,0.0,0.0,1.0,0.0,71,45.07,43.66,304,1.32,1029wisconsin,1.29,11.0,7.77,88.67,0,wisconsin
21,1029-40wisconsin,550243000267,0.0,0.0,1.0,0.0,69,28.99,37.68,298,0.34,1029wisconsin,0.67,18.52,10.1,86.53,1,wisconsin
17,105-40wisconsin,550024000024,0.0,0.0,1.0,0.0,26,15.38,26.92,179,0.0,105wisconsin,0.48,42.38,21.9,77.14,0,wisconsin
18,105-40wisconsin,550024000024,0.0,0.0,1.0,0.0,30,60.0,60.0,117,2.56,105wisconsin,0.0,53.1,22.12,76.99,0,wisconsin
19,105-40wisconsin,550024000024,0.0,0.0,1.0,0.0,31,16.13,35.48,119,0.0,105wisconsin,0.0,47.62,22.22,77.78,0,wisconsin
21,105-40wisconsin,550024000024,0.9,0.0,0.1,0.45,36,22.22,25.0,111,0.0,105wisconsin,0.0,49.55,22.52,77.48,1,wisconsin
17,1071-400wisconsin,550005802763,0.0,0.0,1.0,0.0,59,22.03,37.29,233,1.29,1071wisconsin,0.0,35.96,3.07,90.79,0,wisconsin
18,1071-400wisconsin,550005802763,0.0,0.0,1.0,0.0,39,38.46,48.72,237,0.0,1071wisconsin,0.42,39.83,2.12,91.53,0,wisconsin
19,1071-400wisconsin,550005802763,0.0,0.0,1.0,0.0,74,20.27,39.19,228,0.44,1071wisconsin,0.45,42.27,1.82,90.0,0,wisconsin
21,1071-400wisconsin,550005802763,0.78,0.0,0.22,0.39,48,18.75,25.0,222,1.35,1071wisconsin,0.48,51.43,1.43,91.43,1,wisconsin
17,1080-400wisconsin,550006102807,0.0,0.0,1.0,0.0,69,40.58,39.13,245,0.0,1080wisconsin,1.62,35.22,0.81,92.71,0,wisconsin
18,1080-400wisconsin,550006102807,0.0,0.0,1.0,0.0,52,30.77,38.46,238,0.0,1080wisconsin,0.82,36.63,0.82,93.0,0,wisconsin
19,1080-400wisconsin,550006102807,0.0,0.0,1.0,0.0,48,35.42,41.67,227,0.88,1080wisconsin,0.87,38.86,1.75,92.14,0,wisconsin
21,1080-400wisconsin,550006102807,0.0,0.0,1.0,0.0,58,24.14,32.76,250,0.0,1080wisconsin,1.18,45.28,1.18,91.34,1,wisconsin
17,1085-40wisconsin,550252000279,0.0,0.0,1.0,0.0,95,27.37,33.68,383,1.31,1085wisconsin,0.26,20.93,8.27,89.92,0,wisconsin
18,1085-40wisconsin,550252000279,0.0,0.0,1.0,0.0,97,28.87,43.3,390,0.77,1085wisconsin,0.26,20.1,7.47,90.98,0,wisconsin
19,1085-40wisconsin,550252000279,0.0,0.0,1.0,0.0,87,27.59,36.78,385,2.08,1085wisconsin,0.27,24.66,9.12,89.54,0,wisconsin
21,1085-40wisconsin,550252000279,0.0,0.0,1.0,0.0,88,19.32,29.55,387,1.03,1085wisconsin,1.05,30.63,10.47,86.13,1,wisconsin
17,1092-60wisconsin,550255000282,0.0,0.0,1.0,0.0,339,35.4,37.76,1527,2.16,1092wisconsin,1.63,33.2,2.48,92.63,0,wisconsin
18,1092-60wisconsin,550255000282,0.0,0.0,1.0,0.0,384,29.43,34.11,1506,1.99,1092wisconsin,1.81,30.17,2.74,91.37,0,wisconsin
19,1092-60wisconsin,550255000282,0.0,0.0,1.0,0.0,344,27.03,37.5,1517,2.7,1092wisconsin,1.41,32.28,2.35,90.99,0,wisconsin
21,1092-60wisconsin,550255000282,0.3,0.2,0.5,0.35,365,25.48,39.73,1454,0.55,1092wisconsin,1.73,34.72,2.63,89.6,1,wisconsin
17,112-40wisconsin,550027000026,0.0,0.0,1.0,0.0,98,53.06,43.88,419,0.0,112wisconsin,2.15,24.58,3.1,86.87,0,wisconsin
18,112-40wisconsin,550027000026,0.0,0.0,1.0,0.0,98,39.8,38.78,419,0.72,112wisconsin,2.42,32.69,5.08,85.96,0,wisconsin
19,112-40wisconsin,550027000026,0.0,0.0,1.0,0.0,100,25.0,22.0,435,1.84,112wisconsin,2.06,31.19,3.9,85.32,0,wisconsin
21,112-40wisconsin,550027000026,0.7,0.0,0.3,0.35,124,41.13,48.39,496,0.6,112wisconsin,2.45,37.35,3.47,84.49,1,wisconsin
17,1120-40wisconsin,550258000290,0.0,0.0,1.0,0.0,31,35.48,19.35,121,0.83,1120wisconsin,0.0,43.64,0.0,99.09,0,wisconsin
18,1120-40wisconsin,550258000290,0.0,0.0,1.0,0.0,31,29.03,38.71,117,0.0,1120wisconsin,0.0,46.9,0.88,97.35,0,wisconsin
19,1120-40wisconsin,550258000290,0.0,0.0,1.0,0.0,25,20.0,28.0,110,0.91,1120wisconsin,0.0,51.3,0.0,97.39,0,wisconsin
21,1120-40wisconsin,550258000290,1.0,0.0,0.0,0.5,28,17.86,14.29,102,0.0,1120wisconsin,0.0,58.42,1.98,94.06,1,wisconsin
17,1127-40wisconsin,550261000292,0.0,0.0,1.0,0.0,56,33.93,32.14,185,0.54,1127wisconsin,0.53,37.57,4.23,88.36,0,wisconsin
18,1127-40wisconsin,550261000292,0.0,0.0,1.0,0.0,37,45.95,48.65,186,1.08,1127wisconsin,0.0,32.45,4.26,91.49,0,wisconsin
19,1127-40wisconsin,550261000292,0.0,0.0,1.0,0.0,48,22.92,45.83,180,0.56,1127wisconsin,0.0,33.52,2.84,94.32,0,wisconsin
21,1127-40wisconsin,550261000292,0.1,0.0,0.9,0.05,47,12.77,40.43,173,0.0,1127wisconsin,0.0,40.83,2.37,96.45,1,wisconsin
17,1134-60wisconsin,550264000296,0.0,0.0,1.0,0.0,89,35.96,37.08,361,0.28,1134wisconsin,2.47,24.11,14.52,80.55,0,wisconsin
18,1134-60wisconsin,550264000296,0.0,0.0,1.0,0.0,88,23.86,29.55,346,0.58,1134wisconsin,2.03,30.23,14.83,81.1,0,wisconsin
19,1134-60wisconsin,550264000296,0.0,0.0,1.0,0.0,81,12.35,32.1,364,0.27,1134wisconsin,1.9,32.07,16.3,78.8,0,wisconsin
21,1134-60wisconsin,550264000296,0.4,0.2,0.4,0.4,104,12.5,23.08,379,0.0,1134wisconsin,2.63,44.21,17.37,76.84,1,wisconsin
