,drop_ga_virtual
0,-2.5205074456458306e-05
1,-0.00034605760267532776
2,-0.000753022308213046
3,-0.0025243091710605093
4,-0.0018600644110624183
5,-0.0018973892644211967
6,0.0029691881274352626
7,-0.0029065654813523203
8,0.004690242820604572
9,0.0016498405304771746
10,-0.0015193817999532295
11,0.012457634186196952
12,0.003463036951312695
13,0.0018258029028902145
14,-0.004606457462460201
15,0.0022917736418403755
16,0.0027082652594018846
17,0.0024231331000473446
18,0.00010097102052421394
19,0.01771898202548181
20,0.0009680207863912048
21,-0.0005160772854766734
22,-0.0012738835667647458
23,-0.0047027623354478805
24,-9.309232286302136e-05
25,-2.9324280521825626e-05
26,-0.002003458587578773
27,-0.006589721290753972
28,9.684985702545332e-05
29,0.001506909754783139
30,-0.0004872692580083289
31,0.004897473415986635
32,-0.0011536454268654612
33,-0.0009223174710393643
34,-6.027810075171029e-05
35,-0.00914813971180365
36,0.0035599918694871977
37,0.0008941475713417642
38,-0.00044614705014586883
39,0.010322329579713041
40,0.0014729534842979266
41,-0.002369952118897553
42,-0.00016507500526079366
43,-0.0035039950192916284
44,-0.0012910893656846087
45,-0.0005323938932926085
46,-0.0023467721055900944
47,-0.01676741707673632
48,0.00023952733805868525
49,0.0003033625632316383
50,-0.0016345584447538663
51,-0.0022013851853973426
52,0.0003753996358012515
53,-0.0004045055573492597
54,0.00023918627261831365
55,0.0009182075438806116
56,-0.0025200401821927096
57,0.0008414136650403966
58,-0.006020875012625511
59,-0.02237894488723901
60,-0.0005799448528847536
61,-7.043718873543661e-05
62,-0.0017517041321951964
63,-0.007761096955676273
64,-0.005011843334308093
65,0.0036660716794765453
66,-0.0008454745086802473
67,-0.0076900525430304125
68,8.201536130588576e-05
69,6.003882230880471e-05
70,-0.00022788796111467666
71,-0.00029872651878418995
72,-4.6810865780161e-05
73,-0.00012686693508879608
74,-4.258434670285591e-05
75,-0.00013792513328516115
76,4.084442801806827e-06
77,-0.00011680006324706239
78,-5.833628144930427e-05
79,-0.0006410879695187143
80,-5.34023437877744e-05
81,0.0001742801144965696
82,-7.346702737275975e-05
83,0.0004551365754799192
84,0.00011115848616064346
85,3.274328146139576e-05
86,0.001164475902732761
87,0.00015774626221061095
88,1.1683193686056893e-05
89,5.74013696855963e-06
90,3.936951118446339e-05
91,-3.8134108296935457e-05
92,0.0009519303605832437
93,-0.00043152827925768716
94,0.0012176005915116486
95,0.005695379560445104
96,0.00016690641669525074
97,-0.00023854569215254787
98,-0.00017004933160793113
99,-0.0007152686124433438
100,-0.0018956842391669223
101,-0.0016967392368501468
102,0.0013587185544427231
103,-0.0075981956952051975
104,0.0002150793056371335
105,0.0001318737690589885
106,0.0005674648654567096
107,-0.0011675103123862652
108,-0.00023514902828787205
109,-0.00021990756000108997
110,-0.0005863601036185905
111,-0.003590477087681878
112,0.00044232017758555396
113,-0.00012590298300194027
114,0.0008688512953354932
115,0.0011650532850611694
116,0.000813289380583976
117,-0.00013503610760224406
118,0.0010105805051731987
119,0.00491464040247534
120,-0.0008638002610341638
121,-0.0008172844135655258
122,0.0014720878889108904
123,0.000486671031433317
124,8.740846174264346e-05
125,0.0003326366865234819
126,0.002117960613309429
127,0.005588824312190112
128,7.146389709272247e-06
129,-0.00030684023287892167
130,-0.0015458176136739794
131,-0.0030198626557266053
132,0.00012745185822867242
133,-9.20080014070957e-05
134,-0.00037710714109413475
135,-0.0003691270247936747
136,-0.001256739210304666
137,-0.0007868955903205851
138,0.00016322513354609098
139,-0.0069016530178306
140,0.00020624016555055027
141,-0.0030149586652675154
142,0.003200783961854542
143,-1.436767625251628e-05
144,0.0005554662511328367
145,-0.00013126479277752922
146,0.0006278025381681832
147,0.003223516527570611
148,0.00015133659023214394
149,0.00016967772760956726
150,4.9201729624911086e-05
151,-0.0018187909272165406
152,-0.0010369381418496105
153,0.0006963898748802482
154,0.002930326293088931
155,0.010548546335565255
156,-0.001666668253617448
157,0.0015105015225129052
158,0.003231850684347715
159,0.010833763996378556
160,-0.00019960281901248682
161,0.0002769544750731375
162,0.005751016784264835
163,0.019240003942658825
164,-0.0005826387414886695
165,-0.0002633490115527243
166,0.0024114817297925598
167,0.007160254723357859
168,0.0011191243377757917
169,0.00029394107501392447
170,0.0012632823071137037
171,0.008986732823951618
172,0.0021440621116552423
173,0.000652271536047439
174,-0.0004995479283319127
175,0.006894757364839694
176,4.028135752590218e-05
177,0.00180294162764169
178,0.0031705602876393848
179,0.014891869596060802
180,0.0002730980885500008
181,0.00749381356425624
182,-0.010299985159937464
183,-0.008795821848438825
184,0.0021753515960563794
185,0.0025841777034931895
186,-0.009286078887261164
187,-0.012929637985377966
188,-3.352615856101161e-05
189,-4.9214623489472914e-05
190,-0.00033189636383791805
191,-0.00025798539336056793
192,-0.0003661419816527873
193,1.3950541291367394e-05
194,-8.10624294441127e-05
195,-0.0011389804342128323
196,-0.00136818019985366
197,-0.000710077113287349
198,0.006729005967648108
199,0.014339415529027543
200,-0.0021970184333979935
201,-0.0005608617156122105
202,0.0022506153749333444
203,-0.002624808854949442
204,-0.0018716795086799987
205,-0.0018858857228176316
206,0.0019655203697928223
207,-0.00426953372887182
208,-0.003133752507849622
209,0.0001669805835890737
210,0.003065881805712928
211,-4.7168061582475176e-05
212,-0.0005723217991578029
213,-1.3918895364233379e-05
214,0.00010256864945828329
215,-0.0020429399395436774
216,-0.0026142506793304177
217,-0.0003637345266006997
218,0.002813329109054594
219,0.0005964887627534495
220,6.694509515076153e-05
221,-0.0014530377088804696
222,0.000858263485317214
223,-0.0008943876496362621
224,-0.0005419909478485559
225,-0.0007498674363381443
226,-0.00011775747387982685
227,-0.003822161281653111
228,-0.0010700819036084973
229,0.0009484528375187322
230,0.0014528059966045163
231,0.004977767741177638
232,-0.0005802768633147784
233,-0.000390775177966042
234,0.0012311151942847804
235,0.0008963159756812093
236,3.687097547571203e-05
237,-7.433554470488753e-06
238,-2.535015752292266e-05
239,-0.0002505959783245344
240,-1.6948105828260463e-05
241,-0.00012623736731566626
242,-0.0007856864435723634
243,-0.0022308543789831686
244,-9.027336180871509e-05
245,-0.00033351464412009475
246,0.0002770403558312628
247,-0.0006377331978934539
248,0.00033172750447671786
249,-0.0017287906655140937
250,8.00237882815574e-05
251,0.00019673312848274486
252,0.00038374504968132503
253,-0.0003341852178589536
254,-0.0017912363228269371
