,drop_wi_virtual
0,-4.533387828393607e-05
1,-0.0006555045010513567
2,-0.0012300053235769646
3,-0.004392152610000163
4,-0.001228604445773235
5,-0.001292889373808196
6,0.002177464675009558
7,-0.0020153687848849153
8,0.003020858539121941
9,0.0010700635688452066
10,-0.000922291041349673
11,0.007906773197727287
12,0.0023162787580922875
13,0.0012326373856659464
14,-0.0031815601394954247
15,0.001553718423834663
16,0.0017499075829832658
17,0.0016232299621474497
18,6.836710306643709e-05
19,0.011765726185809141
20,0.0008137243419341051
21,-0.00046620030321196015
22,-0.0015127353804317545
23,-0.004495954921096059
24,-0.00010545641926159566
25,-2.776523661798823e-05
26,-0.00213803300430888
27,-0.0069185590782195735
28,0.00011549319842117783
29,0.0015056642484570753
30,-0.0005383530489266473
31,0.005384486516483391
32,-0.0013092004395461438
33,-0.0010548813880675463
34,-6.945728188744612e-05
35,-0.010458494800876562
36,0.0032206839425929414
37,0.0009028444613025944
38,-0.0004776878740619398
39,0.010194036191097286
40,0.0026767450035727145
41,-0.004054718637498654
42,-0.0004392029581151067
43,-0.0068729007668520544
44,-0.0006558572190946734
45,-0.0005950838214792281
46,-0.003722630440982333
47,-0.019852475740080283
48,0.00026966427559887805
49,0.0004838171887688201
50,-0.002075684001905808
51,-0.002819001237326886
52,0.00037489523676992944
53,-0.00023129839981938892
54,0.00021860463077088467
55,0.0007730841866363604
56,-0.002371901485816736
57,0.0008678937024169538
58,-0.00513125751969982
59,-0.021013448778601493
60,-0.0007264615120964978
61,-6.83405747419878e-05
62,-0.001545142772183416
63,-0.00805082051703675
64,-0.004841392272354786
65,0.005514782170430393
66,-0.001588822130482606
67,-0.010587432670919375
68,-0.00015596915496883225
69,0.00021401291518094212
70,0.00015081497142596951
71,0.0006118438499574041
72,0.00010702709942218541
73,7.275243494608555e-05
74,-0.00013894392275570698
75,0.0005368776331933662
76,5.451432571031207e-07
77,-0.00021920944997684576
78,-9.60470807690423e-05
79,-0.0011500750830901007
80,-4.4901906675620415e-05
81,0.0004185009240647432
82,-0.00018690855741156692
83,0.0007952642205870968
84,6.6979195015057e-06
85,1.4642709522428452e-05
86,0.0006673000420680938
87,0.00011991306266253894
88,-6.792917177714597e-05
89,1.072444002677183e-05
90,7.413629978786285e-05
91,-0.00010029308775608976
92,0.0010400199877271918
93,-0.0006926293101127062
94,0.0018704049720931377
95,0.007816094531833134
96,0.00013729606552983923
97,-0.0002840962610752924
98,-0.00027583184573969766
99,-0.0008470033659571701
100,-0.005560924082643523
101,-0.0049705116993547845
102,0.003962227468911173
103,-0.022230729393117765
104,-0.0005856223531683477
105,0.0002579400834627022
106,0.000688959612651062
107,-0.0020331065712309395
108,-0.0001325130047366397
109,-0.00016496588558856184
110,-0.00043258072723376367
111,-0.0023562182098071423
112,0.000273488927546566
113,-0.0003991925168647379
114,0.0007643036882451569
115,0.0010348804809111743
116,0.001029216734487596
117,-0.00010565058404754434
118,0.0006980203146093203
119,0.004326572907838927
120,-0.0006483628891716062
121,-0.0006375399178155189
122,0.0011911695602406288
123,0.000378807586983788
124,7.201100889775863e-05
125,0.000286446172175765
126,0.0018599747166045616
