,elapass_black_hybridper_inf
0,3.129367847935559e-05
1,-8.325841983143582e-05
2,0.00022854818084763919
3,0.0010886720140097785
4,-0.00028925088306204483
5,0.0002290848312295474
6,-2.3253155067364486e-05
7,-4.1581294982926466e-05
8,0.00041844812927638157
9,0.00014211477342398568
10,-0.00010730581737508959
11,0.0006757890250169378
12,0.0015269586568967637
13,-0.00010083242847233992
14,6.250292683132595e-05
15,0.002789785935095261
16,0.005315202515400312
17,-0.000609615014490263
18,-0.0036925889890765265
19,0.004026501318705327
20,4.960779032487802e-05
21,-6.899701570387833e-05
22,0.0001292480237313307
23,5.3477229616102976e-05
24,0.0004965309469266252
25,1.1618748219322442e-05
26,-7.81300904725123e-06
27,0.0007606684139073809
28,0.0008911128542943896
29,-0.00022508692412054492
30,7.359156900191478e-05
31,-0.0013964432637282376
32,-0.00014875073988834635
33,7.260229448225838e-05
34,-4.787652458784481e-05
35,5.124319395566566e-06
36,0.0014580278159911175
37,0.0006225809198995138
38,-0.0011163187054774358
39,0.0004964020044820821
40,0.000554375765430544
41,8.276586340864399e-05
42,0.00012879112461083414
43,0.00030024416252590535
44,-0.0022069473708943195
45,0.0008285792443298405
46,1.851349350333351e-05
47,-9.656147157802312e-06
48,0.0003982092395051865
49,0.00012816051397988387
50,-0.0005019758997718127
51,-0.00125591222058133
52,0.00012677771875329395
53,-0.00035494517949927375
54,0.00014560415711092873
55,-0.000543349805750468
56,0.0005704051333802748
57,0.00011745849868564039
58,-0.0003059986825129118
59,0.0012018446428380966
60,-5.821315682366147e-05
61,-8.234910983157513e-05
62,9.844277123635111e-05
63,-3.2662721962357797e-05
64,0.0012325868791440283
65,-0.00047070734215099287
66,-0.002302567640021398
67,-0.00403505883007682
68,0.0010213597776942086
69,0.0007906841437103098
70,-0.0008979908834329127
71,0.0006303209469461455
72,0.0016536102332446005
73,-0.0035904060110940545
74,0.0017498618574969358
75,-0.0010932951338133488
76,5.93205494735047e-06
77,-0.00216541924777327
78,-7.815068340837823e-06
79,-0.0076135331228207054
80,-8.321582625086938e-05
81,4.660402606387137e-06
82,0.0015718812693523495
83,0.004709994051399963
84,0.0003154318136363682
85,2.17211633015948e-06
86,-0.00044198411826878883
87,0.00012453510247398175
88,-1.829130232855062e-05
89,-2.2633458780728944e-05
90,-2.9448520993994213e-05
91,1.1081951346969194e-05
92,3.3801844479042566e-05
93,0.0002941328276368677
94,-0.0005836974237934324
95,-0.0013143850223540036
96,-3.857651763004605e-05
97,-0.000277316874595015
98,3.1181289887220834e-05
99,-0.0005111825574094259
100,-5.659129669300653e-05
101,-0.00016825930166382302
102,-4.7709209294403416e-05
103,-0.0009284353292571868
104,-0.00029606458820207875
105,-7.272510439504786e-05
106,-0.00013964566023301925
107,-0.0017039994207157677
108,0.0004791205936959307
109,-0.00015764296047095287
110,0.0001379721553434044
111,0.0026688155158702824
112,0.0001858627120603496
113,-7.566492558108796e-05
114,0.00011564369887015542
115,0.00045582988448079957
116,-2.3921399966891062e-05
117,-0.00011514701804400894
118,2.5503159148386347e-05
119,0.00011606408510644088
120,2.065269208469441e-06
121,-4.669168028538337e-05
122,-0.0001846449996675419
123,8.95182416667795e-06
124,-0.000366802501964453
125,0.00030097562420581387
126,0.00025731321519973846
127,0.0007937305726934482
128,-0.00039617378847041417
129,0.00024008181721006438
130,-0.0006134291183921308
131,-1.7553707079441892e-05
132,6.028481514922658e-05
133,0.0002861784248744089
134,-3.6851100374177867e-06
135,0.001006124353996797
136,-5.245505584241501e-05
137,0.00038546701114144444
138,-0.00015589564686020182
139,0.0002606274429506627
140,-0.00010688060449035604
141,7.253915085237611e-05
142,-3.788902193803419e-05
143,-0.00011253412963502814
144,-0.000110606494412954
145,0.00021294600507049943
146,-4.445673980770371e-05
147,6.811908159047697e-05
148,0.00023396263680360835
149,-3.4115738684276305e-05
150,-0.0001721739033730027
151,0.00031721369523085384
152,0.0009996679873299616
153,-3.7742368609642394e-05
154,-0.000449898426575676
155,0.0008532718576305772
156,0.00015010845036056704
157,-3.466867454971994e-05
158,-8.669009795623595e-05
159,-0.00036463120981897494
160,0.0005342434133346233
161,0.00022320436153147648
162,-8.721431753159941e-05
163,0.0013508967579266631
164,0.00023763077309420122
165,0.0003879912229474101
166,-0.00022911765037365297
167,0.0007057260310176295
168,0.00041635843032417183
169,-0.0001801614543400902
170,-9.69891664990064e-05
171,4.76659792387629e-05
172,0.0006313209515579527
173,-0.00023020968079437077
174,0.00015385097640933658
175,0.0015809729204726277
176,7.756061693598167e-05
177,0.00017800735534083682
178,-4.6218385782903944e-05
179,0.00017174089835858441
180,-8.978020867553442e-05
181,0.00011276031826480006
182,-0.00035604290258064796
183,-0.00015320197032292872
184,0.000688909345533945
185,0.00012736005544439216
186,-0.0002930479307911704
187,0.001927910537959237
188,1.545912078685042e-06
189,2.7026108160341573e-07
190,-5.497113673225752e-07
191,0.0002456759920387002
192,-5.063022913994337e-05
193,-0.00019462606000652301
194,6.468387977860877e-05
195,-0.00034183781841204755
196,6.809424728516167e-05
197,4.029614991784774e-05
198,-0.0002261983248332011
199,-0.0003982203286666428
200,2.847300840054376e-05
201,8.294882498896693e-05
202,-3.379276041479427e-05
203,4.3854843198744114e-05
204,0.00010337218121715665
205,-0.00032642835369562777
206,0.00015065437859766031
207,-0.0005359153731723704
208,2.413729249659845e-05
209,5.785115016525051e-05
210,-0.0004012773754870828
211,9.870245816929697e-05
212,0.0002481262678793858
213,0.00013241582386746455
214,-0.0010683490524928177
215,-0.00032418149433513
216,-8.962583218996882e-06
217,-2.4981129071620603e-05
218,-2.746657190327254e-06
219,-0.00010393853144441498
220,-9.39886076620708e-05
221,0.00018882608365443091
222,-0.00015002661017175624
223,-0.00102993000132907
224,0.00013643021434692337
225,-7.862360369478953e-06
226,5.8885128497918195e-08
227,0.00020622274733318133
228,-0.0004936235457631238
229,0.0004815993167109042
230,5.4720454232356906e-05
231,0.0015065078884117524
232,0.00027062693952513726
233,5.295727607712269e-05
234,6.53551577427177e-05
235,0.0010412129940807597
236,0.0001449794056487475
237,-0.0005404606765179637
238,0.000593930919006054
239,0.0009552909423593966
240,-0.0005113664295229549
241,3.0307156145821645e-05
242,0.00025482137086495004
243,-0.0005112228753832668
244,0.0008074503578041635
245,0.00032375549633507586
246,-0.000538110962489324
247,0.0028944524955982196
248,0.00035868382363281467
249,-7.7714250942593e-05
250,7.50172712263734e-05
251,0.0009552014145817751
252,-0.0009024966081037332
253,0.00014262569011715446
254,-0.0003694145188326814
255,0.0016300447100673241
256,-4.383772038546815e-05
257,0.00027048748963268534
258,0.0002746154869492723
259,0.001952539485693219
260,0.0006083994073049975
261,8.0753735321393e-05
262,-7.110465351392967e-05
263,0.0006849232558182306
264,-6.18929269610275e-05
