,elapass_wi_virtualper_inf
0,-0.00012838652547062554
1,-3.87983975004195e-05
2,0.00012796760541833096
3,0.00041704173885017044
4,-0.0002478020563557536
5,0.0001257650610129419
6,-5.5206645492605845e-05
7,-2.1892132587346358e-05
8,-7.41259523243409e-05
9,-0.0003436894995297424
10,9.821764944117973e-05
11,-0.0004628155007860703
12,-0.0007096783165670041
13,5.929947896527215e-05
14,-0.00010462739630063823
15,-0.0017916319418617536
16,-9.318154482733937e-05
17,-3.8319229483109405e-05
18,0.00044088379725884514
19,-9.884556413195543e-05
20,-0.0002792397337326248
21,-4.4721147607753285e-05
22,-8.131504015534314e-05
23,-6.219905677208006e-05
24,-7.792321630983743e-05
25,-3.911568648497731e-06
26,-2.7347174791577002e-05
27,-0.00011987050396601091
28,-0.0007216351671051043
29,9.848199497875665e-07
30,4.8941715146039634e-05
31,0.0011847615722051605
32,0.0004222315732700158
33,6.711966421768333e-05
34,0.00019104443878498024
35,0.00011026803708138577
36,-0.000111804452196311
37,4.592016119210162e-05
38,-0.00032232935595842945
39,2.560864603911995e-05
40,-0.0004011568053582273
41,-6.765587800808143e-05
42,-7.959878188996695e-05
43,-0.00022948991704364592
44,-0.002133644696658925
45,0.0010022962065186632
46,3.506026300587172e-05
47,-1.0274643366907198e-05
48,0.0004604763758635166
49,0.00016926780334951285
50,-0.0013350714578896938
51,-0.001905539134051422
52,-0.00015749141920352378
53,0.00039195185383501373
54,-0.0002615818224380784
55,0.000763516674822933
56,-0.0006241032199941087
57,-0.0002061900902192968
58,0.0004766477313425835
59,-0.0017485200293123361
60,5.956131941245753e-05
61,2.378676349615953e-05
62,9.046908270484493e-05
63,-0.0002464506524465792
64,-0.0003921197386460598
65,7.64662187979066e-05
66,-6.63863374494617e-05
67,0.0005602883469989848
68,0.0002850045550121166
69,0.00017391770858690377
70,-0.0007218189027476481
71,0.00023695813739657104
72,0.00045895121602127805
73,-0.0005871398931621269
74,0.0005663543994227035
75,-0.0002792205778479343
76,-1.3431444077180975e-06
77,-1.836683415529333e-05
78,-9.040369487437101e-07
79,0.00028144704211528776
80,-3.4477669688197924e-05
81,2.7468547651952157e-06
82,0.0012015524535304507
83,0.0028028272160914532
84,-0.00010403373148833557
85,-2.8639029787952576e-05
86,-0.0003327446526076819
87,1.2897647681990702e-05
88,0.00026108590481509344
89,-5.642586571639143e-05
90,-9.142680587568453e-05
91,7.268637364582968e-05
92,-1.330405880984544e-05
93,-1.2733101033058459e-05
94,2.7815670054146734e-05
95,0.00014896216074953514
96,-0.00015908941701261683
97,6.977445454716401e-05
98,3.24744272363174e-05
99,-0.0005279339673976767
100,0.00011347119987977375
101,0.00017461962770081948
102,0.00011777001407895643
103,0.0016199583366066394
104,7.549193405464534e-05
105,0.00022805516309104144
106,0.0005991814494475608
107,0.002526654047181674
108,0.0013658800647946673
109,-0.00016651999990028476
110,0.0011820246138864305
111,0.006707460226588142
112,-0.00024835049236418175
113,0.000132579312841977
114,-0.00022657430011147268
115,-0.0007591149273209027
116,0.00011926261262528318
117,-0.0006427485276992865
118,-0.0005842647235332944
119,-0.003647289169566626
120,9.003973240659849e-05
121,0.00017905325547547412
122,6.894448139164187e-06
123,-6.603433152409353e-08
124,3.9028954632737646e-05
125,-9.926228741116899e-05
126,-0.00013266771075388573
127,-0.00023245975216099876
128,-0.000725000309822316
129,0.00010437209546436385
130,-0.00018357467001267947
131,3.166793040386643e-05
132,-2.8831281238050286e-06
133,-0.0003177839551481282
134,2.442088433310577e-05
135,-0.0011488411463304576
136,0.00041473022494210556
137,-0.001826891298751953
138,0.0010134484124180924
139,-0.0015814458911808389
140,4.8278086899498584e-05
141,-9.68326184154306e-06
142,2.5262479044221537e-05
143,4.575217529325736e-05
144,4.3274284435214794e-05
145,-0.0001034031252663906
146,3.248023456683339e-05
147,-3.635232763022961e-05
148,-0.001987892081989403
149,-9.71297625116829e-05
150,-0.0003748151786108402
151,-0.001426543216312719
152,-1.757824842250597e-05
153,2.3106309202633683e-05
154,3.29761902297547e-05
155,-0.00019203407093933418
156,0.00010779256527983495
157,-6.7192762214410215e-06
158,-5.258149305583199e-05
159,-0.00017621172797248282
160,-0.00021203881002621847
161,-0.00012421820922718882
162,2.162148152653781e-05
163,-0.0005913992119444759
164,-0.00043261833764672103
165,-0.0008348691078213027
166,0.0006788429503034111
167,-0.0015461052213416751
168,-0.0005997247905946408
169,0.00016929650672076454
170,0.0003860069501076994
171,-7.427061730564077e-05
172,-0.0008195774415904373
173,0.0002135455315512993
174,-0.00019156882630179086
175,-0.0018205219476459308
176,7.427991144157128e-05
177,0.0001764582755623409
178,-0.00011462972569697725
179,0.00018860169577363144
180,-7.668202138991203e-05
181,0.0002648511656302206
182,0.0002062317441125135
183,-6.176251980130471e-05
184,0.00030947504969135685
185,0.00012030810753446365
186,-1.4521904198994248e-05
187,0.0007106783145268194
188,-9.02941498055485e-06
189,-0.0010333638025013796
190,-8.321843376760925e-05
191,-0.004160054622531907
192,-2.821276936388833e-05
193,-0.00022051467823050097
194,-0.00010063993854094201
195,-0.00011615550450042913
196,1.1898665090918305e-05
197,-1.517944062932658e-05
198,-3.172167816408605e-05
199,1.6864082056113976e-06
200,-7.932209149083635e-05
201,-0.00010709735374584016
202,0.00023863681913388135
203,-0.0001139221286249708
204,0.0003857727539916425
205,-0.0005050398769921964
206,8.230181966604926e-05
207,-0.0006955830763453833
208,5.363720612603952e-06
209,8.828485913732771e-05
210,0.0004301503444339168
211,-4.437851586862744e-05
212,-0.00010758800484686737
213,0.00011366708637358864
214,-0.0007797458395989326
215,-0.00011749444148075995
216,-1.0882167919790817e-07
217,-2.5925680105460514e-06
218,1.608775417261906e-07
219,-4.8273316734484865e-06
220,-8.022150016366095e-05
221,-7.709856297856055e-05
222,-5.0925746072470504e-05
223,-3.1398222281832324e-05
224,0.00023581613402188508
225,-1.9359018501340453e-05
226,-3.4534301643328263e-06
227,0.00028747324654769074
228,-0.0008206122280699898
229,0.00021777406664309334
230,0.00029002884093365985
231,0.00169218228817552
232,7.376952766208367e-05
233,2.6005933381491908e-05
234,-8.252254671336451e-05
235,-3.815268956422542e-05
236,-0.00019589323290424758
237,0.0005656416941986493
238,-0.000702532166843696
239,-0.0011348734741332249
