,mathpass_in_hybridper_inf
0,-0.005769521110912652
1,-0.0016315921171940562
2,0.004994040224091287
3,-0.003317401165974441
4,-6.301500886715516e-05
5,-7.858327390477164e-05
6,-0.00010280592563468216
7,0.0007896148348763403
8,-0.00204497348240642
9,-0.0018732190538935998
10,0.0015245148717938327
11,-0.011681233219805336
12,-0.001275979758750019
13,0.0007981531828529303
14,-0.004062126444859941
15,-0.013772089404843334
16,0.0007593788223323977
17,0.0004150718938107128
18,-4.059073983340392e-06
19,0.001658550700986371
20,-6.75249193837187e-06
21,0.0002735944418515493
22,-0.0015811306754826672
23,-0.0020647870090810807
24,0.0013137766669925827
25,0.001081036016099359
26,0.0004205626547403203
27,0.0021435743909263864
28,0.0020667266219592043
29,-1.9452803614857096e-05
30,-0.0016220710075351126
31,-0.002055563621233269
32,0.00012428533714248447
33,-0.0003275955268971754
34,-1.1098364519087715e-05
35,0.0013100317425453537
36,0.0002598715011978733
37,-0.002702228097675603
38,-0.0026394884031419627
39,-0.013565131965226952
40,-0.0009559952065867142
41,0.0032327829546778316
42,-0.005097163599160252
43,-0.006002413291300067
44,-5.956002992654213e-05
45,0.0014662150522090915
46,-0.0012390494712413455
47,0.0007044223147684092
48,0.0016024013409114027
49,0.001786081211665563
50,-0.002891788881661739
51,0.0014110610884010939
52,-0.0001675903371451899
53,0.00011211565215685876
54,-4.796048290030328e-05
55,0.00045008054706657813
56,-0.010221537375674883
57,0.004916188744389757
58,0.015982792158755425
59,0.03487510436766148
60,0.006368839410922601
61,0.011553982046147736
62,-0.004048476680315317
63,0.04287924850447512
64,0.0030776939048348987
65,0.011990444609290957
66,-0.008695277696384255
67,0.017862702680863807
68,0.008246322793869304
69,-0.0004975532812784104
70,-0.006002729346913733
71,0.005565204399055983
72,0.004082387455637572
73,-0.0035206584806366007
74,-0.00950562828410114
75,-0.032447691465493804
76,-0.00047536401591539003
77,0.00014053112215566658
78,-2.704640379038343e-05
79,-0.0013204483974372668
80,0.00016433876924538143
81,-0.000685606510865198
82,0.0006433663673399975
83,0.0001974996962945834
84,0.00032214596567432395
85,9.681033004627324e-06
86,-0.00013571680644705014
87,0.00012297821816001494
88,-0.0002526000369632653
89,-0.0011883115071781112
90,0.0005720012137635043
91,-0.0026112778526693327
92,0.00044151519166936106
93,0.0017910995171783793
94,-0.0008276333400050944
95,0.005505552907766491
96,0.004640224358779371
97,0.0008209120046497006
98,-0.0037072833532492545
99,0.012261853841443389
100,-0.0016579854532669874
101,0.006495572468358427
102,0.0054761265848344365
103,0.04025974581802928
104,-0.00010095495564966746
105,0.00040780586032521256
106,-0.0009079897864802873
107,-0.001795357614023503
108,-3.2029220908752443e-07
109,-0.0006243839020820867
110,-0.0006354700044448375
111,-0.0025654201994426236
112,-0.00021460490791600894
113,-0.0005474071660772434
114,-1.7366129431763948e-05
115,-0.00032879773994910674
116,-0.0005449234061719875
117,-0.005974263790610363
118,0.005218310850135282
119,-0.0036417554416981125
120,0.001093366222210624
121,-7.951419882111014e-05
122,-5.305686866577031e-05
123,-0.0001971152397561708
124,5.6746218540350105e-05
125,-0.00020367738097578877
126,-0.0011028009292617716
127,-0.002805370910065675
128,0.0001660851368607264
129,-0.000589980552508739
130,0.003132933923476076
131,0.008996713347612748
132,-0.0005561648737035712
133,-0.0006189670008356122
134,0.0007649271537037
135,-0.002053475799679056
136,0.00032476576433224466
137,-0.00040449818115291877
138,0.00023637655773824597
139,0.0008937515954417076
140,-0.0008268664855858642
141,0.0003808031417741289
142,0.00022262136072900339
143,0.00017481039625609205
144,0.000622355339472486
145,3.404168222859955e-05
146,3.9623546121299153e-05
147,0.002438260787499419
148,-0.00011424655461955622
149,7.010660009973459e-05
150,0.0002990177583159291
151,0.0001281372709804136
152,-0.000661933118822605
153,0.0006217794029749864
154,0.0009663781696377067
155,0.0009341503958237822
156,-0.0008514484981938478
157,-0.0014689857827794332
158,0.0025529928929179397
159,-0.0009754902208653448
160,-0.0009179254621615285
161,0.0009910671355849437
162,-6.874977545958847e-06
163,0.0009062118623277786
164,-0.0005483381704771297
165,0.0019207450075630075
166,-0.0002549637554267144
167,0.003669325279403449
168,-1.1891030657195671e-05
169,-0.0001374644135693211
170,0.00025880855615474245
171,-0.00019126980938824603
172,-0.0005606772953891345
173,-6.960015366456282e-05
174,0.00046434670888608213
175,-0.0013661199211660517
176,-0.000416341104098075
177,-0.0007556421567529963
178,-0.00018124402579891794
179,-0.005145092208757774
180,1.1614742665472832e-05
181,-0.0035518771396509737
182,-0.0004464193149041678
183,-0.013244139218827009
184,1.2576010487925491e-05
185,-0.00014036447611728934
186,-0.00028621808757987275
187,-0.0007037260910199929
188,-0.000332756013725682
189,5.13402601740595e-05
190,9.426888631674454e-05
191,-0.00043172459910185263
192,-0.0001557274978447881
193,3.954066354370503e-05
194,8.871943784924723e-09
195,-0.0003947433548511653
196,0.003574184682815952
197,0.006005604657463947
198,-0.0027205512681777702
199,0.020572850124039817
200,0.00011742790697701748
201,-0.00012654428430359624
202,-4.887969021009117e-05
203,5.0967469689546196e-05
204,0.0009596886669124313
205,-0.0010754618485901883
206,3.81014162948212e-05
207,0.0005629306375664453
208,-4.1744869715876505e-05
209,-4.379023435885449e-05
210,2.291534069073065e-05
211,0.0004920690933756166
212,0.0014250432953962075
213,-7.107345799040477e-05
214,0.0015764653724051104
215,0.007970763703659683
216,-2.624923107260186e-05
217,0.00038684031150045754
218,0.00031882705030320733
219,0.001028480074721132
220,0.004197308454458959
221,-0.00011861629010881794
222,-0.006934739018276945
223,-0.005847974368147016
224,3.2581278808567784e-05
225,0.0005633760048066046
226,-0.0006283321762778467
227,-0.00041951785302573057
228,-0.0011558156546639508
229,0.006675658641452863
230,-0.002622555101122737
231,0.006998269265719561
232,0.03291555136259427
233,0.01910305107758916
234,-0.03952503209817042
235,0.06235532839396792
236,0.0009750088939442852
237,-0.0017589975072299082
238,0.003685866509872515
239,0.00899874663438459
240,-0.0005387935383679398
241,-0.0012672063885159196
242,0.0005128032694791413
243,-0.00234404508725903
244,0.00029859796901690985
245,-1.673361339606493e-05
246,-0.000274126147937702
247,-0.0004547968491174232
248,-9.289518423489555e-05
249,-0.00013829446329912114
250,0.00010599052330405052
251,0.0004525473696343761
252,0.004085041531838242
253,0.000950172812976337
254,-0.006426871535727944
255,-0.010608690041077205
256,0.015674769980517044
257,-0.028299492943976077
258,0.024840156104461487
259,0.04198423749842874
260,-9.24046205498284e-06
261,-6.34925225439426e-05
262,-4.99309179521243e-06
263,-9.240728730098807e-05
264,0.0004681229618429439
265,0.0008821238043165292
266,0.00047428557790066137
267,0.005132876496520239
268,-0.0001953638240396969
269,0.00022368024291713514
270,0.0004608180720106049
271,0.00032706320249910456
272,-0.014307573368248335
273,0.011828287162562562
274,0.0031378783464103047
275,0.0033831641946030816
276,6.809001015731551e-05
277,-0.00011755759742105443
278,-0.0002034349619519175
279,-9.291149309245953e-05
280,6.693474713352758e-05
281,-0.0007094600913633354
282,-7.884161971897992e-06
283,-0.0006154423390769762
284,-0.0013991800831478017
285,0.0007838283464905463
286,0.000923154145015829
287,0.0018022453820283548
288,-0.0007282248682526672
289,-0.0011072000302165344
290,0.0023594495002357903
291,0.0016283732747273466
292,-0.0011196051349755174
293,-0.0008676522952581466
294,0.0010807012875269895
295,-0.0006090084766222943
296,0.00023394826733441287
297,-0.00015450821368930318
298,-0.000901246050635652
299,-0.0018723650273572293
300,-0.00030124597192102045
301,-0.0006455487340081428
302,0.0003278196392028128
303,-0.0013251407382981783
304,-0.0011402553646819374
305,0.0013731224487887842
306,-4.557563608932732e-06
307,-0.0003646401583350311
308,0.000242211132856943
309,0.0007285852525570962
310,0.00027461623199979507
311,0.00018268946542692312
312,-0.0005381185491631403
313,0.0003026996822406901
314,0.010807616466876281
315,0.031099375125871888
316,-0.00036487541590193026
317,-0.00029616990281583076
318,-0.00044146062003909214
319,-0.0004253717456998467
320,0.0029316185398717445
321,-0.012495130326239666
322,0.0008550306261204867
323,-0.027210155796264793
324,0.0011017763446526819
325,-0.00267899810059158
326,0.001154856934386783
327,-0.0025857787684295938
328,-0.0012458639425644348
329,-0.0024536664892111123
330,0.00015443262405078192
331,-0.010591585642435779
332,0.012451573856743251
333,0.028349702443916457
334,-0.024647889590099732
335,0.047017770737081035
336,0.0055858049545092795
337,0.0028205428360036804
338,-0.012133837897469295
339,-0.010963014818506584
340,0.0007582312990264083
341,-0.0004713015499687996
342,-0.0007564896996165499
343,-0.00023131238852636373
344,2.365854710529894e-05
345,-0.0006344804455311521
346,0.0001986783351489818
347,-0.00011500184503680335
348,-2.9415899220779227e-05
349,-0.0016193029151537102
350,0.0008439691567941645
351,-0.0025946920160602933
352,0.053665185117626496
353,-0.047726726391443125
354,-0.044237175989801
355,-0.11678047494759775
356,0.010205193730262069
357,-0.004425049262438999
358,-0.0013133438583487148
359,0.014385771792314372
360,0.00023593386816688012
361,-0.00029030905115814065
362,0.00023879615331706507
363,-0.0016246539190902297
364,0.0004963305563395623
365,-0.00020610686509115033
366,0.0007246115826646292
367,0.0030449002684406635
368,0.0002574526966228141
369,-0.0005578240647409364
370,4.620672491026453e-05
371,-0.0009737418903952226
372,-0.00011783441546419383
373,0.00018499473060765056
374,-4.335215913006642e-06
375,9.114512652771693e-05
376,0.0016682096681480355
377,-0.0005617237234044954
378,-6.694850847135945e-06
379,-0.002226904687723278
380,0.0004937756870228826
381,0.0010773676106177257
382,-0.0019063529328667314
383,-0.004070253981260905
384,0.006952856274454005
385,-0.0042368065078504345
386,0.0026126355624709404
387,0.015360673235526558
388,-0.00012563962503590095
389,0.0005103915197352005
390,-0.00020935409319777356
391,-0.0008486981814005662
392,-0.0037046390076771484
393,-0.0033681150149862237
394,0.001576829407867034
395,-0.007206641698736789
396,-5.806815110606003e-05
397,-0.0004385370356329346
398,0.0004988723589834089
399,-0.0009546060782489958
400,3.4784137438808586e-07
401,0.00010557380711915954
402,7.341266528834359e-05
403,-2.483342249757353e-06
404,-0.00010090258575020762
405,-0.0001734063986534822
406,0.00034229280791732116
407,-0.0005346342482064649
408,0.00014964469443685784
409,-0.0008904173140646633
410,-0.0001318318131713376
411,-0.001096914155614824
412,0.00179839103240089
413,-0.002371897643924714
414,0.0013875840956074656
415,0.0055345998848561765
416,0.00017250892779850646
417,-0.0006598337990173177
418,0.00039416176136136753
419,-0.00013850984229337685
420,-0.0006134044341475624
421,3.922544584491187e-05
422,-0.0007934468830170959
423,-0.0020396944715817284
424,-0.00022445121209054234
425,5.4673391390311284e-05
426,-5.815129507820638e-05
427,0.0002864411475801723
428,-2.089117893011746e-05
429,-0.00032041066698643167
430,4.170687374843499e-05
431,7.773695076477384e-05
432,-3.216246372274936e-05
433,-0.001025857841940406
434,-0.0004739252503843394
435,-0.0021971723830948764
436,-0.000624645658892028
437,0.00014341839742050436
438,-0.0002577611593330258
439,-0.0020368929162336443
440,0.002613604028403242
441,0.004795493380485191
442,-0.0025297991217308785
443,0.02063971421882437
444,-0.0017252084293689076
445,-0.003349263234466572
446,0.0008507361031939982
447,-0.013126182098340915
448,0.0003350306441151809
449,-0.00033361189671581666
450,2.0276048524427488e-05
451,0.00018893484119388972
452,0.003261289199480514
453,-0.0014104988750982812
454,0.001375765377917672
455,0.01052930832102595
456,-0.00045893494543781954
457,0.0010842947696130532
458,-0.001000609246091777
459,-0.003099469622039027
460,-0.0006603820286025574
461,0.0006062188887758651
462,-0.0011754019180570709
463,-0.00886480928826092
464,-0.000472410038745084
465,0.00018263011026649958
466,0.00011155274562358068
467,-0.0008553069720439764
468,0.001194227106695373
469,-0.00020026333651092313
470,-0.00022049957746181085
471,0.0012207261177272126
472,-0.008540266102082342
473,0.0009320591338447337
474,0.00465242224362415
475,-0.007915500084524525
476,-0.0014246542410490384
477,-0.002529515807955871
478,9.183993938923521e-05
479,-0.007865789425483171
480,-0.003772317499476573
481,0.0036415256585442288
482,0.0025074977231376526
483,0.003082079849160656
484,-0.00012275026433704756
485,0.00016641675180045169
486,-4.1541366264030716e-05
487,-3.506780482113e-05
488,-0.0010066067317429234
489,-0.002029750642215407
490,-0.010749694421406783
491,-0.042845035184432355
492,0.011457952279373317
493,0.002209227039031037
494,-0.010598424960593393
495,0.005072018288433342
496,0.0008725229136673836
497,0.0008925995013985222
498,-0.00011444376437382616
499,0.00460775756045004
500,0.0007753932356116625
501,-0.00025687498592614306
502,5.2560848821512296e-05
503,0.0010910374189197615
504,-0.00012813220451928786
505,0.0002833085897185426
506,0.00036375990474789635
507,0.0012131847762939984
508,9.290874655687276e-05
509,-0.00011246065272413566
510,-9.825731052111863e-05
511,8.298721137076374e-05
512,-0.0022787385572720035
513,-0.00015059552187092351
514,3.111517052759696e-05
515,-0.0058769637583183385
516,5.418261497129787e-06
517,-5.583764949451577e-05
518,-0.0001553961375156248
519,0.00012839914963748897
520,0.0003004702155778508
521,8.87488742947974e-05
522,-0.00018066543515906874
523,-0.00097727808341889
524,0.0001407875121697296
525,-0.0007250486249516058
526,-0.0005962383269829927
527,-0.0016700909739836443
528,8.59314045821682e-05
529,1.4278452772181499e-05
530,0.0008627615819407396
531,0.0021279054231598204
532,6.185175475171425e-05
533,-0.00026460201928050385
534,-0.00019454886581141186
535,-0.0011204761145919753
536,-0.0004280044377849762
537,-0.0016188017431172025
538,-0.0009089728713080666
539,-0.00888081060008154
540,-0.015426043956440745
541,0.01319632036504715
542,0.0008707971954365926
543,-0.016646135421709934
544,0.0004861058265945881
545,0.0016272218913678386
546,-0.002272435981999052
547,0.003569336907572193
548,-0.000988231980282108
549,0.002479598630381169
550,-3.3865339838115516e-05
551,-0.0021011987326368265
552,0.00838081702541039
553,-0.0068147881671138605
554,0.005956293280994516
555,0.023956605700282754
556,-0.0028258978738567573
557,0.0033627566606117595
558,0.000341973751304682
559,0.0022782849462618248
560,-0.0004828399422166046
561,-0.00037032780763761303
562,0.00046499312349750576
563,-0.0005955189751284276
564,0.000883897736834486
565,-0.002343927944413275
566,-0.0002474298160849875
567,-0.004546000764102394
568,5.299888113347355e-05
569,6.165873813062106e-07
570,-4.662584518349546e-05
571,6.966573899772443e-05
572,-0.0022129034112623232
573,9.348653788945314e-06
574,0.00392089404525742
575,0.0045241667288842356
576,-0.0166558975067313
577,-0.006224079554614859
578,0.01844420498563031
579,-0.01972159333597788
580,-0.00014318971741824563
581,-0.00027394760873497055
582,-0.0007915241975462975
583,-0.001290014044901088
584,0.0032187207481771895
585,-0.001367422261123385
586,0.000641048538393626
587,0.007120792051077622
588,1.1217776804070263e-05
589,-7.414166503605022e-05
590,-0.0004668874627603843
591,-0.0007196244893424207
592,0.0003093242472347395
593,0.0003622024475169037
594,-0.000439781142553846
595,-8.633526732990517e-05
596,0.000364321733532636
597,-0.0007564312241960982
598,0.0005645781025599495
599,3.721357404249986e-05
600,0.006600789497572581
601,-0.007428874859250308
602,0.0007199122317566939
603,-0.0031241268290741133
604,-0.00023001607801613217
605,7.789286014088776e-05
606,0.0007560486601497284
607,-0.0028939957422721096
608,0.0012041004985344492
609,-0.0004470180064830178
610,-0.0013282958413160218
611,0.0009742940738810545
612,-0.004887602086452241
613,-0.020222771072828806
614,0.012866748954045378
615,-0.043607189886448815
616,0.0004685837380093572
617,0.0037201779727008668
618,-0.0027620178660603695
619,-0.0010031803764903098
620,-0.00401346877122079
621,0.012319432513088
622,-0.004816319052613102
623,0.013552787776557164
624,0.0234691873172099
625,-0.01773907731243211
626,0.01575185890029166
627,0.07798799461121513
628,-0.018353423376851277
629,-0.01683371959247044
630,0.03318029947038967
631,-0.021474360077754193
632,0.00515504840057757
633,0.0018058451098375541
634,-0.004414950314880994
635,0.004247144787640025
636,0.027134318107469642
637,-0.005399288155786527
638,-0.044500669632709274
639,-0.06336899728972167
640,0.000986891766445687
641,-0.011723810857600454
642,0.015843573743113563
643,0.016862160322592433
644,-0.0001816817524161009
645,0.0005242785123445988
646,0.0003895700371917222
647,-0.0019322494208735281
648,-0.005016029047430034
649,-0.0004769885547725759
650,0.003986301946655317
651,-0.0028890697063738368
652,-8.995522101203294e-05
653,0.00058554378661926
654,-6.009341652221148e-05
655,0.0003332790927252001
656,7.210620370676502e-05
657,7.999381233161055e-05
658,6.419454828822322e-06
659,7.427682750586723e-05
660,-0.00028439517926499126
661,-0.0007810847943227701
662,0.00037642487495040736
663,-0.0026368305466182803
664,-0.0048313188208413856
665,-0.0013224386441007666
666,0.00024977097788351143
667,-0.009352101372573538
668,7.136177100858728e-05
669,-0.0007972376565651783
670,0.0005188399201245091
671,-0.0006626526074763422
672,1.0338939097830524e-05
673,-0.00017116351573804133
674,0.0005451890796924538
675,0.0005555140191065406
676,-6.14594280003956e-05
677,-0.001485362112337967
678,-0.00010595364773851424
679,-0.005311897508859982
680,9.994968894086367e-06
681,0.0002634370509185409
682,-0.0002971816776422183
683,0.0006289548949958656
684,-0.0003139092775413624
685,0.0002259685334682536
686,3.859067276759631e-05
687,-0.0008687737959620361
688,-0.000598468388027037
689,0.0010077986105457447
690,-0.00010926980905697726
691,0.00014742490821948934
692,-0.013386847026547952
693,0.00232429166328879
694,-0.001033798790118275
695,-0.03311385247829666
696,-0.0010248018435493828
697,-0.003722973559216842
698,0.0012873695513313111
699,-0.011960727996517305
700,-0.000257452612988104
701,0.0001458635004781093
702,-0.0009140742566533293
703,-0.0018296247929095355
704,-0.00022100108973722242
705,-0.0005115354833375342
706,-0.0002443952519155625
707,-0.002472771067541693
708,7.092463839441116e-05
709,0.0009720235826275064
710,-0.0010208672949702992
711,-0.000771786224382749
712,0.007392030336550344
713,-0.008837765351372017
714,0.001877036126906441
715,0.0016049273823984767
716,0.006149806365669934
717,-0.0066460161442275225
718,-0.0015845943055281394
719,-0.004700249298317299
720,-0.000869549951463059
721,-0.0003286977958381159
722,0.0006055502536823488
723,-0.0022129344687617583
724,0.0002874409191203993
725,-5.507188075496407e-05
726,-8.411580815161814e-05
727,0.0001468422139627803
728,0.012369382896399026
729,-0.003337254701147008
730,-0.004460081081586467
731,0.012152881080946936
732,-0.00020582797345209924
733,-0.0014261531583773827
734,0.0009192446689534371
735,-0.005506590606601093
736,-4.7217024703248675e-05
737,-0.00021437999641472742
738,-0.00023600691558170486
739,-0.0019235964842786097
740,-0.00012372491355055405
741,9.218404475810593e-06
742,0.0007689516842200788
743,-0.0004666805786454073
