,mathpass_in_virtualper_inf
0,-0.0007653870625633621
1,5.25172694685972e-05
2,-0.0012980312882027965
3,0.00011051399672886182
4,-0.00014890754651684384
5,-0.0001056265928881224
6,-0.0001440029555788321
7,0.0010552324884967202
8,0.011900834750562599
9,0.004025780638803297
10,-0.0030055378258465365
11,0.03207200672309371
12,-0.004693711935383776
13,0.0025610891480634056
14,-0.01116701214976668
15,-0.0434008397283914
16,0.0007574757662697922
17,0.0003657213444159838
18,-1.8696592020151762e-05
19,0.001599367004988436
20,0.00014568451836552383
21,-0.00015965211132607914
22,-0.000219111625478716
23,0.0008173109815805023
24,0.0010507173379488092
25,0.000930013185161388
26,0.00038189461305116135
27,0.0017251980654982694
28,0.003613295264975623
29,-0.00047205011478167425
30,-0.0028427840128945675
31,-0.0045347468744912816
32,7.607388757794743e-05
33,1.1477702357753177e-05
34,-5.355478377183784e-06
35,0.0010778271619484314
36,0.00029543866626601076
37,-0.0029510933937312803
38,-0.003013601228301831
39,-0.015250272147610622
40,-0.0010396449174450214
41,0.00374258053202874
42,-0.005416071866554793
43,-0.006586692343405212
44,9.442678126501639e-05
45,-0.001980823817896701
46,0.00151518411165172
47,-0.0009706513114623018
48,-0.0015097209018873506
49,-0.0012485545424106822
50,0.002312053062698354
51,-0.0011435446889596066
52,2.024422569477791e-05
53,-0.00028864514519238754
54,-0.00024971102734084927
55,-0.0009781676868342879
56,0.0038512385908821257
57,-0.002221971435149342
58,-0.0076913956227838
59,-0.015228516977437913
60,0.007174913249537675
61,0.012590633923989278
62,-0.004428811069824257
63,0.047315939238670904
64,-0.0007137461759438978
65,-0.002380479191226515
66,0.0020307217349639648
67,-0.003951659601763069
68,-0.0033627530671010183
69,0.00019173089658732848
70,0.0029414398836798347
71,-0.002363614853045932
72,0.0004714338584479678
73,-0.00039697991881515547
74,-9.918253363441487e-05
75,-0.002626502416116686
76,-0.0005021599557548883
77,0.00015800394313850066
78,1.226361294902371e-05
79,-0.001562533008149195
80,5.792133783529449e-06
