,mathpass_wi_virtualper_inf
0,-0.0008844148046921305
1,-4.316421797746897e-05
2,-0.0007540684890845706
3,-8.278166633415114e-05
4,-0.0007611037424955095
5,-0.00032647146232553457
6,-3.652391919871082e-05
7,-0.001405440820441891
8,-0.0015963960239461224
9,-0.0013146754743936435
10,0.0006807412386733383
11,-0.00708907750709876
12,0.001209226812078584
13,-0.000495727656783033
14,0.0020010668845379573
15,0.009054400789688905
16,9.395117483527756e-06
17,-0.00011440955019750646
18,-5.331135105138512e-05
19,-7.436331333867931e-05
20,-0.0002688094895523614
21,1.9710614562269302e-05
22,-0.0002811168539505691
23,-0.001488276981321597
24,0.0013073329980235816
25,0.0005383916366513609
26,0.0006082524242623116
27,0.0014694421739789838
28,1.3150319197284524e-05
29,-1.793990176569681e-06
30,-0.00043583224030577944
31,-0.0002250229319694423
32,-0.00013393480069407644
33,-0.00041956492638744216
34,9.897659595596131e-06
35,-0.002356052202266513
36,-0.00022485366521346744
37,0.0011009016563709897
38,0.00028245085045834254
39,0.005340779850843453
40,0.000446563788875122
41,-0.001732413162324011
42,0.0023704257763465858
43,0.0029105656631820903
44,-4.8975402660425996e-05
45,0.0008609762151237762
46,-0.0010560993870269984
47,0.000538338764026872
48,0.0008333899051430155
49,0.0010970054648531153
50,-0.002005413225477406
51,0.0008619902616186897
52,6.541089317073937e-05
53,3.899676273078755e-05
54,-0.00013089145230880757
55,-0.0004433129586177319
56,-0.001818186011395531
57,0.0007104977000793483
58,0.0014856983415035864
59,0.0048117414035786605
60,-0.00017681846549339982
61,-0.000548824065932189
62,5.0566876733361064e-05
63,-0.0012502411564292632
64,4.6392606152738175e-06
65,0.00035826754798750087
66,1.1764468517404458e-05
67,0.00018118988115144432
68,0.0013655115943781548
69,-5.207923445182561e-05
70,-0.00026467003116021086
71,0.0005880795767666165
72,-0.0004270746006426997
73,0.0004785672895625732
74,0.0024490524738419697
75,0.005317253008563094
76,-8.80419788691269e-05
77,3.480242681985188e-06
78,-0.0004029743253118195
79,0.0008354646169256503
80,-6.40018878309864e-05
81,0.00017847448789341068
82,-0.0003757717096615101
83,-8.100609868925638e-05
84,-9.907046158370107e-06
85,5.965671816088793e-05
86,7.961435099280486e-05
87,-9.520049556118918e-05
88,-0.00018600661659492107
89,-0.0003228245863880159
90,0.00029499856440886175
91,-0.0013611067966126822
92,0.0004610553091963544
93,0.001249823797102693
94,-0.0007176339398187843
95,0.004832346995748244
96,0.0015514027263106391
97,0.0004932424597126973
98,-0.0025509645870666897
99,0.006983403754389845
100,-0.0007415282783837018
101,0.0022024945100158383
102,0.00232430546480724
103,0.01630134499734049
104,-7.52362163845691e-05
105,0.0002414501889511065
106,-0.0007338997720676054
107,-0.0012794646422810093
108,2.925978300215798e-06
109,-0.000880280426386527
110,-0.0009763641596578447
111,-0.00538253122564006
112,-5.7510362177754547e-05
113,0.00015106104681203588
114,-0.00010855452974402544
115,2.069517596080847e-05
116,-7.744887280920166e-05
117,-0.0010526716140294874
118,0.0010934109502821886
119,-0.0006374806466879905
120,0.0007581067295591379
121,0.0001868463677140014
122,3.719675517453121e-05
123,-6.519747761549044e-05
124,9.141560004791428e-06
125,-0.00010050227073078113
126,-0.0006223407279009608
127,-0.0013414547732691646
128,0.0002399664261058634
129,-0.000859802569202404
130,0.004516572607750725
131,0.013028710680861734
132,-0.000180676099691909
133,-0.00011620799039641761
134,0.00016349400678729333
135,-0.0004726417053333493
136,1.2445980566275176e-06
137,-5.38891186300819e-05
138,3.163940911534174e-05
139,9.015574411945103e-05
140,-0.0007527975338733284
141,0.00016322313633203102
142,-0.00025002192964376915
143,6.262593539408792e-05
144,-5.911716565889665e-05
145,1.3326757715621877e-05
146,1.937110688135543e-06
147,0.00034909817176369663
148,0.0003214937855445634
149,-6.677086458621642e-05
150,-3.274395405328781e-05
151,-0.00010053689615891316
152,-0.0002855649749400345
153,0.0003408764640103941
154,0.00020701357149042197
155,0.00037402912398444105
156,-0.0010158514900904315
157,-0.0013425862740456555
158,0.002060539249205946
159,-0.0009202966649911018
160,-0.0008045755526004908
161,0.0008783956464096302
162,-4.9239051463032245e-06
163,0.0007304196686287464
164,-0.00039423810733016216
165,0.0010964469633802825
166,-0.00015757855894074207
167,0.002338955329493539
168,-0.00016207815640928831
169,0.0003223971511235733
170,-6.35376852039446e-05
171,0.00033563417277840987
172,0.00046669770409515454
173,1.3618726534302611e-05
174,0.00010115036575076231
175,0.0002705877928341815
176,0.0008170809585390513
177,0.0002741571722212304
178,2.739370581330179e-05
179,0.002846093761062357
180,2.9695777090454166e-05
181,-0.0068746182548122
182,-0.0007825165612118369
183,-0.02673412166670256
184,-3.802410827256501e-05
185,0.00020104256324608702
186,-0.00012365527333045725
187,0.00040462038184169554
188,0.00018874952658899687
189,3.767011770680544e-06
190,-5.222386303704065e-05
191,0.00013640979965741807
192,3.7708618356541724e-05
193,-1.5788138135167525e-05
194,5.347033166357164e-05
195,0.00032869412767064926
196,-0.0006395300330916802
197,-0.0006773157781885732
198,0.0003916008274625697
199,-0.0030139945916208776
200,-6.002976927653623e-05
201,3.201588070739096e-05
202,-3.355434822432925e-05
203,1.7738030698180001e-06
204,7.0968592354636e-05
205,4.670289940889037e-05
206,-0.000351473751733313
207,-0.00011156219999148309
208,0.00014877405214057965
209,-0.00041665305936415244
210,5.231250402390291e-07
211,-0.00036556991453021116
212,8.366786431741691e-05
213,-1.0248861395331096e-05
214,0.00016153019796400945
215,0.0008251722130285974
216,0.0006870085851830123
217,-0.000576719065383655
218,0.00017335850336919876
219,-0.0008943802194746381
220,-0.0007822584248935126
221,4.259474492482265e-06
222,-0.00018137751514782306
223,0.00035556575404031273
224,7.907226719774467e-05
225,-0.0001405171556538813
226,-0.00041879065505794484
227,0.0001447101332092573
228,-0.0006346511347264734
229,0.0036322011456989887
230,-0.0014592100661769852
231,0.0038434363577126173
232,0.0010007184302682458
233,0.001377456465055482
234,-0.007824634959857088
235,0.006397745895866148
236,0.0005056665460549859
237,-0.0008095890851046022
238,0.001663268725565063
239,0.004310597645748156
240,0.0010274285680142933
241,0.00048039463468037134
242,0.0003710726897095057
243,0.001284382688349753
244,0.0001474238837204785
245,-0.00011066675295947339
246,-0.0003652359813757744
247,-0.0017336202765342434
248,-0.00031819734475424587
249,7.389110630298852e-05
250,3.621873026423797e-05
251,-0.0004540767865563226
252,0.0035823138202907058
253,0.000881646210603695
254,-0.0066943986840216066
255,-0.009953593886057283
256,-0.002404395490268885
257,0.0032340744045038046
258,-0.0028317420570914643
259,-0.005329378249618271
260,9.239071123607155e-06
261,-0.000301192079345884
262,-2.7382532647059932e-05
263,-0.0005752593822731001
264,7.186987706852761e-05
265,0.0003804008563949298
266,2.9224358715165136e-05
267,0.001053233288102325
268,0.0004108878150403596
269,-6.524361351615654e-05
270,-0.00048391627438582817
271,-0.00030753816542339763
272,-0.0010913988535407267
273,0.0004930275786341992
274,0.00012646169042058842
275,0.0001811016606991348
276,-0.0006706923179903686
277,0.0014346254377594634
278,-0.0012949560284968196
279,-0.0021562104351778586
280,-7.514082520330643e-06
281,-0.00031946508728364153
282,-8.660930958159358e-05
283,-2.3154175405899538e-06
284,0.00011271739246975548
285,-3.595887815915295e-05
286,-0.00013232708945106985
287,-0.00016533568057098514
288,-0.0005283180291201132
289,-0.0006816859800993774
290,0.0015857741123893982
291,0.0010872592141493841
292,-0.0004571640901335058
293,-0.0004371820893484273
294,1.6378761327601796e-05
295,-0.00020778891604968206
296,3.341774086725504e-05
297,7.113171048683772e-05
298,4.9324922091053134e-05
299,0.00023461818525062617
300,0.00033786132784683763
301,0.00039217755848532906
302,0.00018855025543813622
303,0.0006136565454958851
304,0.0014832576387243412
305,0.0002129212136785476
306,6.416630360414049e-07
307,0.00011971865677878229
308,0.0003212642306455267
309,5.445121958079245e-05
310,0.0009964305521643064
311,-0.00010216071473338275
312,-0.00010376198230641909
313,1.9528058944654198e-05
314,0.0008074100593262184
315,0.00337272686351666
316,-0.000426436349765523
317,3.117238496822866e-05
318,-6.426594910740624e-05
319,0.0005256203575071348
320,0.00033944940755195423
321,-0.0007278260314196077
322,2.3652432349373113e-05
323,-0.0017539863573087977
324,3.9817973219572804e-05
325,0.0006245423345927462
326,-0.0005122143306135402
327,0.0004466468873468216
328,7.747620242499352e-05
329,1.3729254995098338e-05
330,-2.3643421147613908e-06
331,0.0002917961630592158
332,0.0013776164126300763
333,0.0025390401799666364
334,-0.0016680297326642152
335,0.0041726422247532645
336,3.942339954471679e-05
337,-3.9747626311956905e-05
338,0.00014089994614969
339,6.780131298850544e-05
340,0.0007066479666821254
341,-0.0003154752900563953
342,-0.00040185121784421483
343,-0.00015836634436126683
344,-3.064975203087295e-05
345,8.993236341906694e-05
346,0.00012459692415046312
347,2.5725993088554484e-05
348,9.744411389534725e-05
349,0.00020615216696763308
350,0.00019683234169340624
351,0.0006475129456504743
352,0.004861226721445061
353,-0.004550318992573531
354,-0.004040491323571262
355,-0.010791741166267702
356,0.00046350957434341806
357,-0.0003457194359889436
358,-3.0549611584346976e-05
359,0.0007417918277815475
360,0.0003880531480235848
361,0.00027753549727251156
362,7.920614771715056e-05
363,0.0007397961190002837
364,0.002525988300470359
365,-0.0004501266989271456
366,0.0018867533007128462
367,0.009228285745222498
368,-0.0005492905013725931
369,-0.00011890025347691076
370,0.00017676555233173464
371,0.001249293464536997
372,-1.97069036550158e-05
373,-0.00014067256470203106
374,3.5100997378159984e-06
375,-4.2621723751747414e-05
376,0.0002684990886513569
377,7.134514025455338e-05
378,0.0001253271622984089
379,-7.715629305488814e-05
380,0.00014230308652643894
381,-8.516864560720144e-05
382,0.00042395673919828707
383,-0.00035114387053127624
384,-0.0002872070030941637
385,-0.00013937848326813732
386,0.0002309771808574518
387,0.00043739276538263557
388,0.00023955999454044308
389,-0.00031698025890416527
390,2.994345261500753e-05
391,0.0005670036492776049
392,-0.0007721655441103281
393,-4.236052370809442e-05
394,-0.0001260428173301965
395,-0.0004937722668705665
396,2.9732940473695905e-05
397,0.0002096038594008262
398,7.809825590257625e-05
399,0.0002310115197509364
400,-2.604046262214348e-05
401,-0.000627346563143824
402,0.0005108192289825599
403,9.32262977360439e-05
404,9.5303709918318e-05
405,6.412175928220035e-05
406,-0.0001381366055733776
407,0.0002663667257971286
408,-0.0002560145740679905
409,0.00019228778718727004
410,-1.5068210909867821e-06
411,0.00044730200603557266
412,0.003190691288592559
413,-0.0028284487464187206
414,0.0020283768055066966
415,0.00796195438390569
416,8.802491663242758e-05
417,0.00024988764503799227
418,0.00030636513743871537
419,-3.337636273621673e-05
420,-0.00039580788500060364
421,-9.307020236175775e-05
