,drop_black_virtual
0,-9.246306040615527e-05
1,-0.00029785269643868014
2,-9.292852904222763e-06
3,-0.0010211797098034002
4,0.001154781861693176
5,0.0011858269528145934
6,-0.0026105880465508674
7,0.0007394838340430272
8,-0.000785699047223938
9,2.926000884534949e-05
10,-0.0009158358284875216
11,-0.005062016529247152
12,-9.625136132683438e-05
13,0.00042753730442764273
14,-0.00026373001437622053
15,0.0003581717383112539
16,-7.163047558097349e-05
17,-0.00012074060307320264
18,-0.0017255558603119627
19,-0.006807014621959251
20,5.056354715667792e-05
21,-0.0001385336862325104
22,-5.293733405914939e-05
23,-0.0004883485031295115
24,6.262377863735408e-05
25,-1.4631746512976517e-05
26,-2.017133919624497e-05
27,0.00036607880554504634
28,-6.674731368227105e-05
29,0.00021285925752724928
30,8.600109378435034e-05
31,0.0007260130254257902
32,4.425084998639873e-05
33,-7.618928599650744e-05
34,4.205436252734616e-05
35,-0.00022375841035999233
36,0.00048595130800134094
37,0.00012070400409191407
38,3.4873093322107965e-05
39,0.0019740007072045576
40,0.0007145662337820647
41,-0.0014414661873184585
42,-1.6184613816402833e-05
43,-0.002362367124365076
44,0.0002277036187475145
45,-9.036797197814929e-05
46,0.00030898894080710296
47,0.0009117907234892849
48,-4.963901722851429e-07
49,3.500790383207413e-05
50,3.822705329117869e-05
51,-7.371766370100056e-05
52,-3.17880049214613e-05
53,0.00010273310099397324
54,-0.00039829359679519625
55,-0.00026446298698469474
56,0.0002220995377771141
57,0.00011675275936529591
58,0.00028789129167879594
59,0.0022719737781179993
60,0.0008452347025917522
61,-9.939647255196657e-05
62,0.0013496795105046224
63,0.005944421427868388
64,0.00010802473356649896
65,-5.2604112683265605e-05
66,-0.00012775573899322595
67,-0.0002347667270710686
68,-0.0005622086209794672
69,0.000909426596755291
70,-0.0002364187911042009
71,-0.0018343416336067996
72,-0.0007910545626106041
73,-0.0013360699752423138
74,-0.0011141571082579542
75,-0.010618420816634751
76,0.00036955841842297756
77,6.474983624113522e-05
78,-1.887268990208132e-05
79,0.0009181002486798634
80,-4.4032311417713524e-05
81,-7.34461647153602e-05
82,-0.00025610111024053025
83,-0.00028506244218417094
84,2.1215928514361927e-05
85,8.525174144769937e-05
86,-3.0293473143175835e-07
87,0.0002392769734800045
88,-0.00011489370692757281
89,3.106030175161533e-05
90,-6.10991371490415e-05
91,-4.1742828114537414e-05
92,-7.606581597230459e-05
93,6.138295064704135e-05
94,-5.9230704513354265e-05
95,6.008281343121971e-05
96,-6.761703077974099e-05
97,-3.2493776712054603e-06
98,-0.0004997648732563107
99,-9.796272572076931e-05
100,-2.268663110579673e-05
101,-1.3692425759829258e-05
102,-0.00011157416902520526
103,-1.1180614487405398e-06
104,0.00011825657420820105
105,-0.00018670163966238312
106,0.00026577579671676406
107,0.001397835578322158
108,-5.013169110318765e-07
109,5.183027333579192e-05
110,-2.7002493655550377e-05
111,6.244963690496835e-05
112,-0.005431702524780503
113,-0.007386959213094512
114,0.012467475457511349
115,-0.0018478319219149798
116,-0.01280733507114734
117,0.0022584080352117896
118,0.009822447519587203
119,-0.001914919787654427
120,-0.0031455247427537034
121,-0.0028084568954052586
122,0.003187540058276495
123,-0.009414688033040205
124,0.00028200974445783013
125,-6.540908950150814e-05
126,0.00016274759330070027
127,0.00016807783411312325
128,1.3623064834196095e-05
129,8.646702927011823e-05
130,0.00013692117487035802
131,0.0006090851351656343
132,0.00024087384686667714
133,-0.0001396176304109926
134,0.00010565822933591472
135,0.00038333305228566687
136,-0.0005371879103513535
137,-1.2848371230711095e-05
138,-7.1941817156318615e-06
139,-0.0006363278021575487
140,0.0001495168107455036
141,0.00012614379110534123
142,-0.00022016969071016
143,8.517268492459605e-05
144,-0.00010928102052107778
145,-0.00010371201169105626
146,-0.00013353746987516932
147,-0.0009307965786689378
148,0.00026154649743267137
149,-0.0003462170163997996
150,-0.0010703338026901567
151,-0.004102202564654642
152,-9.533286678432304e-05
153,2.3782149035389005e-06
154,0.00020175764720473227
155,0.00014035945505500494
156,-0.0016227420810673823
157,-0.0006371799917710252
158,0.00018667125280140027
159,-0.004647357245026037
160,-3.318018266141022e-05
161,-0.0007240243075525244
162,0.0002524829422258708
163,-0.00011266034815419031
164,0.00032385052990994344
165,6.49426291083568e-05
166,-2.0612276980789455e-05
167,0.001512256105895178
168,0.0001726356502641972
169,-0.0013474195820573358
170,0.00030357982990622507
171,-0.002444064533026281
172,-0.00011833319049609345
173,2.1855511613889322e-05
174,5.555002579876408e-05
175,0.0005640341720338567
176,-7.022678234820506e-05
177,2.8871750179249963e-05
178,3.271196238699486e-05
179,0.00024616498927091323
180,2.1733833068514437e-05
181,1.028103603314466e-05
182,0.00013804126539155198
183,-0.00022413238615578683
184,-9.53337255845661e-05
185,-7.893611594274834e-05
186,0.0005411565035558766
187,0.0009677861452957995
188,-3.337327807223104e-05
189,2.872138251662991e-05
190,-0.00032633281964097025
191,-0.0011883002737697237
192,0.0011280893731620287
193,0.00030075536380129187
194,0.0002741104095276719
195,0.005299616628899226
196,-7.223097212165986e-06
197,3.541540421363527e-05
198,-0.000324148897121542
199,-0.00014849019070200221
200,0.00015426389760101809
201,-0.0008326305225423312
202,0.0016834644358941476
203,0.0011464086765438002
204,-6.674026823124501e-05
205,-0.000296088291542686
206,0.001782390854335864
207,0.0017585500389741798
208,2.1071660045122934e-06
209,-3.550612461560958e-06
210,1.0771016367886426e-06
211,-1.2000315944279216e-05
212,0.00013691956104958588
213,-8.019202867377472e-06
214,-5.841695234716634e-06
215,0.00013936188690614088
216,-0.0002466798468275382
217,-0.0004142805984161216
218,-0.0004339333146196999
219,-0.003420876264623177
220,-0.0006125573364399153
221,-0.00012642806688277524
222,0.0001677629678222824
223,-0.00037692173886415595
224,0.0001933141635222779
225,0.00035039085170423834
226,4.958687917740822e-05
227,0.0016688561438129976
228,0.0005799273384956437
229,-0.0003449785631241658
230,-0.00011229553330372697
231,0.0009440661387608393
232,4.996209989985661e-06
233,0.00028542617454824486
234,0.001043266491847477
235,0.0033885177940361205
236,0.0004731926406677652
237,-0.0004189502627417562
238,0.0020047821695689015
239,0.008064483955738059
240,-5.177636778611693e-05
241,-3.2682182170623033e-06
242,2.2225705555318815e-05
243,-2.4121686306225082e-05
244,0.00035710731034087416
245,-0.0003708701925164511
246,1.850300079897123e-05
247,6.882587185220156e-05
248,-0.00018418208655776672
249,0.0002948894921913409
250,5.356037886949887e-05
251,0.00038937004069080337
252,7.09970139965231e-05
253,0.00012181728705706314
254,-5.120793429795217e-05
255,0.0005539470006667526
256,0.03472587857124925
257,0.014296359177730648
258,-0.01321615738149448
259,0.12863915224927655
260,-0.001936648166786924
261,0.0010681985372651582
262,0.004014103363413483
263,0.011542679199771972
264,-0.012128482017125743
265,-0.018864200996586596
266,0.013585090297927035
267,-0.052359431462766
268,-1.3125175351794458e-05
269,-3.025175929839173e-06
270,3.135247114478868e-05
271,2.5424164972639017e-05
272,9.655650872921655e-05
273,-7.088855797493793e-06
274,1.0246886529758332e-05
275,0.00019308071884112843
276,-1.3024679197386016e-05
277,5.9891481983863306e-06
278,-0.0006697826772973742
279,-0.0005033234520109777
280,6.237602232776241e-07
281,-0.0001249218211349363
282,4.7021489797197046e-05
283,-0.00026596171489491247
284,0.0002083540251992329
285,-1.5456487445308918e-05
286,6.815733708536122e-05
287,7.287791683891254e-05
288,7.413072176902665e-06
289,3.6134365640763553e-05
290,0.00018552712537245366
291,0.0007439169587920628
292,0.0001904841761492475
293,-3.101326095894483e-05
294,2.286963064436168e-05
295,0.0006186376427251493
296,0.00034002067297058644
297,0.00046395980621388537
298,0.0004930268293581447
299,0.0038731153444506476
300,-1.3208022211865801e-05
301,3.637523732643569e-05
302,-0.00011985205758018615
303,-0.00016468115648831692
304,1.2363589796478226e-05
305,4.653927798753814e-05
306,-0.00021535224859178383
307,-0.00021808191233157773
308,-1.0800210196556981e-05
