,drop_ga_hybrid
0,6.16830349736105e-06
1,7.716407280046946e-05
2,1.1474260696101085e-06
3,0.0001599144434899635
4,-1.9206581077136876e-05
5,-6.659671142273936e-05
6,1.6735392718851296e-05
7,-1.9033272651725753e-05
8,3.9485560614332625e-05
9,1.4522013183190777e-06
10,-2.2394121353128155e-05
11,-4.918385205285591e-05
12,-7.718518751971624e-06
13,6.28258084757437e-05
14,-3.247114892006606e-05
15,4.152885714327537e-05
16,-1.027535775893137e-05
17,-1.9634220532288247e-05
18,-0.0003698254953382445
19,-0.001174789671863688
20,8.994741316551258e-05
21,3.5848666475460906e-06
22,0.00029774154440285957
23,0.000155898079107298
24,6.753318541260064e-06
25,-6.862850924517532e-05
26,3.823339346999187e-06
27,-0.0001762178412499232
28,4.563505255533436e-06
29,6.0855403705152586e-05
30,5.253538741996522e-05
31,0.00017942819955002012
32,-8.545192449702419e-05
33,-8.593545465990705e-05
34,2.322100958335347e-05
35,-0.00044636997434355
36,0.0005175701899929579
37,2.4295514347471475e-05
38,-3.7189172980664103e-06
39,0.0007111302876948577
40,-0.0003864821485279119
41,0.0005950742296815313
42,3.126093803654094e-06
43,0.0008340465625451147
44,-0.000486009396631597
45,2.423020673441879e-05
46,0.00026359968906269253
47,-7.554875824607479e-05
48,3.726881237066794e-08
49,-4.8912796340397394e-05
50,0.00010745786109672211
51,0.0002747519430729702
52,-1.5703289163719088e-05
53,-5.506019926990724e-06
54,-8.951872253339715e-05
55,-6.641704738098227e-05
56,0.00041535318193049577
57,0.0003113644681910467
58,0.00025173842900038735
59,0.0033618843886730897
60,-0.0007361429004328801
61,5.516660232462093e-05
62,-0.0013632366872418627
63,-0.004884571043916211
64,5.304274164963821e-05
65,-3.241812330816417e-05
66,-8.236032928194593e-05
67,-0.0001962818335078975
68,-0.0009364006687614257
69,-0.0007131031681742762
70,0.00015986507252908533
71,0.0005470083609833843
72,-0.0002197364601109162
73,2.6520902466912758e-05
74,-5.702078215057844e-05
75,-0.0010949171779789228
76,-0.0009164373052210076
77,-0.0005238991159291227
78,0.00015807032330040577
79,-0.004326982591963466
80,-0.0005195445218128551
81,0.00032969980113978453
82,0.00042142932675718145
83,0.001400138414752809
84,0.00021754511876532432
85,0.0009591956263123753
86,0.00015963974016932058
87,0.003998454654674635
88,-0.00015651653247152552
89,-0.00023309497972315353
90,5.00473758106795e-05
91,-0.0010031228335016901
92,-0.0007869208827781814
93,0.0011853693726554763
94,0.000579304922564955
95,0.0034012860849320327
96,6.958827294109144e-05
97,2.5301663373796437e-05
98,0.0003561569947290669
99,1.8892743258856034e-05
100,-0.0004247146110930402
101,-7.382134539899601e-05
102,0.0005010156104603193
103,-0.00017515102219139246
104,-4.13558209635936e-05
105,0.00021072318723932724
106,-0.0005269099981314773
107,-0.0013004320595654281
108,-2.5375680855470946e-06
109,-4.6759942675589475e-05
110,2.5649743307790546e-06
111,-9.151598213418476e-05
112,0.0006582397185704161
113,0.0009117378892010707
114,-0.0013767109653219588
115,0.00021857964646092607
116,0.0015089014540542506
117,-0.00027200132919776986
118,-0.0012224327435746256
119,0.0002316259440464869
120,0.0003742138599119887
121,0.00034264039003375173
122,-0.0004037087132650236
123,0.0011559944653824466
124,-0.0013920957549977274
125,0.0002994634284935282
126,0.0006892234752835326
127,-0.00215065520409669
128,5.212414124291839e-05
129,0.00016158743100002764
130,0.0003837051389853641
131,0.0015035204249753856
132,-8.098942158606422e-05
133,0.00047716211938359247
134,-0.0001619699778397272
135,-0.0005470206499117052
136,-0.0011058795502654113
137,-4.94963966191749e-05
138,8.20345496833329e-05
139,-0.0028049571909953813
140,0.0005356142770288986
141,0.000451947425143178
142,-0.0009200325121947637
143,0.0003212483601227199
144,-0.00035950193868515275
145,-0.0005566090972215646
146,-0.0006571265383560187
147,-0.0040698520650162264
148,-2.076974493771065e-05
149,-1.7936129973954623e-05
150,-0.00032347687352702947
151,-0.0003257713253316756
152,-0.0007301071860485729
153,4.1383306573940306e-05
154,0.0007016663646245242
155,0.0009642828836293626
156,-0.00012105282457134597
157,-0.00013804147048706065
158,5.3678721230270415e-05
159,-0.0008949464494809731
160,-0.00042994549688099635
161,0.0008631711852834455
162,-0.0005637449552657846
163,0.00033237168449997046
164,-0.00028594234008447975
165,-2.1639396012279925e-05
166,-3.300962218835223e-08
167,-0.0004986457358651436
168,5.608433248307229e-05
169,0.00037326039758790654
170,-2.4680155923728858e-05
171,6.138673331434402e-05
172,5.2150483386411614e-05
173,-6.8203654993047e-06
174,0.0001707322669827385
175,-2.771308858856748e-05
176,-4.1002671363812516e-05
177,-2.6212266127927586e-05
178,-1.8410491510244192e-05
179,-4.3624069891882464e-05
180,-3.4847925224690916e-05
181,-9.571396169708264e-06
182,-0.0002107287269271774
183,0.0002285024812162094
184,-0.00012394243077704263
185,-2.5304247114421082e-05
186,3.2189647237719617e-05
187,0.00046261532319594596
188,9.145187177500334e-06
189,1.6430049409317868e-05
190,-0.0003779531831370431
191,-0.0006061475217939196
192,-0.00022188427418724002
193,-7.465350043773551e-05
194,-2.762543145682082e-05
195,-0.0009103557912188323
196,9.64524055685629e-05
197,-0.00013695400310689493
198,-0.0006291623546494657
199,-0.002066287389789011
200,0.00015845782438730558
201,-0.0003998563691983422
202,0.0005376135849096678
203,0.0005960404164021173
204,-0.00016845941460871865
205,-0.0003062743675185156
206,0.0006868037233593132
207,0.0014944461556389717
208,7.263402111018459e-05
209,-0.0009259436416626256
210,0.00048616191802189476
211,-0.001081418382942779
212,-0.0005078141467242866
213,-0.0002542758861430284
214,-5.192074342916693e-05
215,-0.0025137801308059648
216,-0.0006812093562594333
217,-0.0010918370555300346
218,-0.0011538465739607553
219,-0.009180733102727214
220,0.0007574275603334939
221,0.00026889978394909684
222,-0.0004203324274882903
223,0.0006652287048568621
224,0.000604949408852562
225,0.0011443803326496346
226,0.0002517850619837877
227,0.006080746193133106
228,0.003417596510069399
229,-0.001502199941588396
230,-0.0004832188016252705
231,0.00447470578292022
232,1.7429714722392105e-05
233,0.0011537077942818028
234,0.004764173540853848
235,0.013800552427342003
236,0.0015899070086440952
237,-0.0015144718072787418
238,0.012447504711730005
239,0.03358545071611056
240,0.00042584231523342
241,-0.0001369342084083626
242,0.0003534964811589462
243,0.00209876985961007
244,0.0013716383805140295
245,-0.0014188411809039133
246,8.836378189798505e-05
247,0.0002828467653116715
248,-0.0008043503708844418
249,0.0011415415937593794
250,0.000234307562662679
251,0.0016329949414881915
252,0.0003248978951557758
253,0.0003813306061118743
254,0.0004579670321243292
255,0.003358435347594054
256,-0.004814597472127778
257,-0.0020316854068073756
258,0.0019492470722774435
259,-0.018355633719209945
260,0.0002484979385702005
261,-0.00014076788187838388
262,-0.0005504306368200193
263,-0.0015264473532188862
264,0.0013116583654320185
265,0.0020886255445164074
266,-0.0016003448022944454
267,0.005893405390585213
268,9.604203810066816e-05
269,3.829122104703658e-05
270,-0.00022033922696009585
271,-0.000207596107809914
272,-0.00018770970901540047
273,-4.27558114782638e-05
274,-1.8492346884372977e-05
275,-0.0008024241680364543
276,-0.00011222337282382301
277,-2.0556532601757677e-05
278,-0.00020275301793443713
279,0.00043848411219183454
280,-1.9195599252366957e-06
281,0.0002927016096914911
282,-5.756329722186774e-05
283,0.0005289110950661766
284,-0.00022399028495715718
285,-0.00020979904518075995
286,-9.208630858666464e-05
287,-5.595341930446667e-05
288,-1.0266926477298318e-05
289,-0.00013338865755508955
290,1.2197734072665965e-05
291,-0.0009057391305078943
292,0.00013665388653259574
293,-1.0503004696183737e-05
294,7.40200512201032e-06
295,0.0002813106545551714
296,-0.000910392959326643
297,-0.0012714379110191718
298,-0.0011485686050895073
299,-0.009927767456087313
300,-3.644793463171459e-05
301,0.00012942471073490647
302,-0.00042436422281055765
303,-0.0005381747616280528
304,3.9487389152599525e-05
305,3.9523562887154735e-05
306,-0.00021984474788298942
307,-0.0002879832813498913
308,0.0002955749046495239
309,-0.0005553322226489493
310,-0.000677851529318978
311,-0.0029805401194703163
312,0.0011162424536101181
313,0.001015941906304756
314,-0.0001702144579355701
315,0.006501834119071953
316,-4.214383267956776e-05
317,0.0004947650452632168
318,0.0010353487607407108
319,0.005036011731339905
320,0.0009185029195943769
321,-0.0003819808524658306
322,-0.00041628051264837296
323,0.0005373546715346255
324,-3.670478986587412e-07
325,3.543547034250139e-05
326,-6.497480383991761e-05
327,6.053894800116032e-06
328,2.0417494054144232e-05
329,2.157121405581041e-06
330,6.0435795082730875e-06
331,9.834680432925053e-06
332,-3.8116341677957015e-06
333,1.2332765394265519e-06
334,1.0221610217926283e-05
335,5.598050382915331e-05
336,0.0004805846163227292
337,0.0001708206293658027
338,0.0005535606718837387
339,0.004904638799048718
340,2.1158002831699034e-05
341,-0.0012518197515168509
342,0.00026745711873238186
343,-0.003154280047553646
344,0.0003109687963324574
345,0.0013809588450019773
346,-0.0004877193113552325
347,0.0041237010169729756
348,-0.0007934845864440215
349,-0.000567316423160481
350,0.0017729953486198314
351,0.0012990865868530916
352,-6.865307330806689e-05
353,0.00015813890737665837
354,-0.0002831064752907637
355,0.0002891985137924822
356,-2.9982779988050773e-05
357,-0.00035245596052769183
358,0.00047587321042625365
359,-0.0003631113368753272
360,0.00037137725738341535
361,-1.7036495548846387e-05
362,-0.00026938543498166936
363,0.0010133924829243551
364,-0.005458841781880968
365,0.0004315329014162299
366,0.0028586114532343624
367,-0.006666884742845828
368,-0.0011182527161955613
369,-0.0018392726486442296
370,-0.0003661637807198555
371,-0.010268678119765616
372,-0.0048797341298846145
373,0.0016731358938815119
374,0.00030545089585136116
375,-0.007534530363493631
376,-0.0009008912588804129
377,-0.0004199714006946201
378,-0.0014176844470745896
379,-0.008845634804537745
380,-3.5708607528216785e-05
381,-2.209954247045566e-05
382,2.5980876406021006e-05
383,-8.003548782882541e-06
384,-2.7955096418736635e-05
385,-0.0003553551150510332
386,0.0005158169700538992
387,0.0007831896564102164
388,0.000634088617717502
389,0.0005490982695980647
390,-0.0009227419498261226
391,0.002952477466144118
392,0.00012073254227414485
393,-8.07519247110266e-06
394,0.0007475688631302347
395,0.0031047125515044167
396,0.0004158985356901085
397,-7.609502847424088e-05
398,0.0011765106820714037
399,0.004042945902511095
400,0.00014840227995250197
401,-5.257535952487803e-05
402,-0.000172746529418351
403,-0.0006255883232151964
404,0.00022234904690450843
405,-8.382839151022429e-05
406,-1.7620485676424066e-05
407,0.0009192702373022905
408,-2.475810751053672e-05
409,7.076056071184782e-05
