,drop_his_hybrid
0,0.00025599008350797776
1,0.0005773324462533922
2,1.3175748615313006e-05
3,0.0019228957637406464
4,0.0014787077969348073
5,0.00105718472567474
6,-0.0021439124671954212
7,0.0007191655904643683
8,-0.00047856423991895797
9,2.64205109352308e-05
10,-0.0009814378491804778
11,-0.004403074164563442
12,-7.151675871995196e-05
13,0.0003379727492956432
14,-0.00015354053505274768
15,0.0002520891287515251
16,-5.654289262397908e-05
17,-8.353667280071176e-05
18,-0.0015151997951150002
19,-0.005326847719595162
20,0.00036205797287652066
21,-0.000220438096016156
22,-0.00038677028579955485
23,-0.0019100486400727408
24,-0.00029460987046168525
25,-0.0003792258660067903
26,8.54276105565089e-05
27,-0.002481711216150462
28,-0.00011338766930490545
29,0.00026136479277706544
30,0.0005983902675643638
31,0.0019464987691297296
32,-0.0007368998574867026
33,-0.0005896568949142233
34,0.000501016764465202
35,-0.004544113698329067
36,0.002619381602014627
37,0.0005435644862989479
38,0.00013851238004892067
39,0.009054668179345502
40,0.00144112124502289
41,-0.002591701278426091
42,-6.330048714304467e-06
43,-0.0029696106658534923
44,0.0006375323937768259
45,-0.000261265740047211
46,-0.0010185948390107852
47,-0.004357173168308412
48,8.041080037939902e-06
49,3.11287038482969e-05
50,-0.0005056252470389933
51,-0.0009256907455760692
52,1.2857666155216625e-05
53,-1.1742719404666876e-05
54,-7.989693613223204e-05
55,-8.184289183406997e-07
56,-0.0010875960510496
57,-0.0009221956772717276
58,-0.0006055623939970198
59,-0.00891809958980266
60,-4.056811311443568e-05
61,0.00011641002224498044
62,-0.0012346060448240352
63,-0.004391293817922048
64,-0.0006212281835633326
65,-0.0003205732319202464
66,-0.0007854418320821088
67,-0.005567194488086494
68,-0.0025129637272950558
69,0.002394975725152199
70,-0.0002697773660809151
71,-0.004218838135886486
72,-0.0011118958407840569
73,-0.0015188186569937813
74,-0.001725306238519642
75,-0.014379191846418156
76,-0.000530516173050695
77,-0.0007533784542203055
78,0.0002329942197546709
79,-0.005075707646213455
80,-0.002448973049651635
81,0.0015925567413693801
82,0.0032353144030110217
83,0.007638964815904932
84,-0.00022878101951834923
85,-0.0009705708405732502
86,-0.00013285800029676158
87,-0.0038432320739383704
88,0.00010329186279112588
89,-9.038039069528305e-05
90,0.00011500180076867491
91,-0.00029699689195586697
92,0.0005058717997112825
93,-0.0008820070615845895
94,-0.0004093324558202022
95,-0.002371224244988765
96,0.0012842593215428772
97,0.0003324845754191372
98,-0.00033484422671570615
99,-0.001220973715134677
100,-0.00022002722145966156
101,-3.079403177305555e-05
102,0.000412730635477003
103,-0.00010278130366846275
104,0.000560219924216361
105,-0.0008266968228923278
106,0.0021661268857193884
107,0.0072891714471154615
108,7.533562111878542e-06
109,7.634738721708249e-05
110,-0.0001090885870476334
111,0.00038300191990471707
112,0.003250253505238725
113,0.004357918565540093
114,-0.006933118177495087
115,0.0010734925638445582
116,0.007612005678059761
117,-0.001319986307662893
118,-0.0056806592083502565
119,0.001121610709282444
120,0.001885200431408813
121,0.0016510907389058233
122,-0.0018513085102960006
123,0.0055425524123990525
124,0.00036755413052194647
125,6.734824761878888e-05
126,0.0013953286385540462
127,-0.0013231045127072407
128,0.000509901023724988
129,0.0018025198512013646
130,0.0037862007888328805
131,0.015527881697006165
132,-0.0024866232181801787
133,0.0034467670493784413
134,-0.0025071380696026326
135,-0.00661519551372057
136,0.006817875819972883
137,0.0003659253662548481
138,-0.0006153758236472229
139,0.01958189514486121
140,-0.001058514224809378
141,-0.0009359593066538547
142,0.0015616504638804936
143,-0.0006130384930731758
144,0.001997013672740935
145,0.0031246479846662374
146,0.003717738068709927
147,0.02284009381572095
148,-0.0010370712893206524
149,0.0012671510782694567
150,0.0031419360140681617
151,0.014574976200374182
152,-0.00022116122932561836
153,9.564588622932292e-06
154,-0.00010364870163172392
155,0.00015354115224243962
156,-0.0016482547957849076
157,-0.0010484495155658345
158,0.0005045871351101213
159,-0.008218141558437645
160,-0.0011868204406359963
161,0.0027788140550851293
162,-0.0012518387408118601
163,0.0009032650444582054
164,-0.003325038211075222
165,-0.00044342933574832103
166,0.00011865268908827275
167,-0.010932479151223296
168,-0.0014246109957915408
169,0.011214886973479608
170,-0.0024743682677283575
171,0.020142865112070894
172,-0.0001592145569496194
173,0.00010324201697831502
174,0.0015472367094231997
175,0.002997770382148326
176,-0.00021899276041764887
177,0.0002060483757841225
178,0.0015705271253174703
179,0.002467902013090935
180,-4.141475834769251e-05
181,-4.1444979097774304e-05
182,0.0030718658505200246
183,0.004322487542964592
184,-0.0004319489116168866
185,-0.00021712537232154255
186,0.0015555063943405738
187,0.0031796640043023996
188,-1.7235225971436143e-05
189,3.685135911083667e-05
190,-0.0006233984124670858
191,-0.0014929321809162394
192,0.0020118909084717103
193,0.0004597401562824114
194,0.00039263345786480437
195,0.008259602803456762
196,-4.707655777511967e-05
197,3.413781813640787e-05
198,0.00037770634223563567
199,0.0009424973414373412
200,0.00042670614923583853
201,-0.0015484795933656487
202,0.0027018144241340134
203,0.0022141370623665543
204,-0.00154215614677089
205,-0.002295448691749838
206,0.00840510274102986
207,0.013936688647032961
208,-0.00010470743843215291
209,0.0010438117020243297
210,-0.00042665335957770467
211,0.0012296593370710617
212,0.0006568979929752552
213,0.0008318765178690967
214,0.00013733546442238443
215,0.005841568018228396
216,-0.00043639853955416963
217,-0.0006814012756537514
218,-0.0007343779299687569
219,-0.005818312510549643
220,-0.00030648380414648
221,-6.0379411838530935e-05
222,0.00020199779720809434
223,-0.0002309346110528472
224,-1.4849964791782724e-05
225,5.461560718402942e-05
226,2.1677329618591905e-05
227,0.0002224062893897927
228,-0.007424690800327265
229,0.0033569584437298894
230,0.0010275207177364084
231,-0.009741751095365328
232,2.15139229289687e-06
233,0.00026075421758965433
234,0.0013421376977324226
235,0.003079543280206185
236,-0.00034955499827159665
237,0.00017957139804723567
238,-0.0001347708669017435
239,-0.0036969849698368063
240,-0.0009676218017295691
241,0.0003440057377146938
242,-0.0010575409318945444
243,-0.005421415632947897
244,-1.4366398192583815e-06
245,-0.00014110418030014455
246,9.489625098775224e-06
247,1.956165809284154e-05
248,-0.00025863881273518644
249,0.0001832037389051299
250,7.099616577719916e-05
251,0.0004285696991722869
252,-0.000941890888470072
253,-0.001352806730802854
254,-0.0018015222018984895
255,-0.011336586911503287
256,-0.02106093672193801
257,-0.008483022785374368
258,0.007734432391749669
259,-0.07655558022402599
260,0.00115822954637177
261,-0.0006248712815944637
262,-0.002315477679534687
263,-0.006775499166966594
264,0.007005719051920038
265,0.010714591159253856
266,-0.007709155719860219
267,0.02988201808040301
268,0.0002890356271984843
269,0.0001243491965169054
270,-0.0006843405012033625
271,-0.0006461186548693142
272,0.0003648269119752992
273,2.044531723972006e-05
274,1.2894810775205981e-05
275,0.0007550734607802036
276,-0.00034895679300241936
277,-0.00011188766766337039
278,0.0010653237182927263
279,0.0030734177053282122
280,-2.450887023536463e-05
281,0.0028407899208921063
282,-0.0008294369857912387
283,0.0063286171604880325
284,-4.9197639511071144e-05
285,-0.0013839539688830257
286,1.6611125551138805e-05
287,0.00018097203029087563
288,-1.6426491992930755e-05
289,-0.0001953207245259279
290,-2.8112886441424616e-06
291,-0.0014284612021333684
292,0.0011794353161312442
293,-0.00012336843337952237
294,0.00018677049283532352
295,0.0036208774389458096
296,0.0004215879654085174
297,-0.00023232695839007443
298,0.000645736962675588
299,0.0025668614968466907
300,-0.00035915933707414394
301,0.001835387932415019
302,-0.003360167791103149
303,-0.005382124774592751
304,0.0005402583666050866
305,0.0009748673013772373
306,-0.0025018394481851162
307,-0.004322722259799103
308,0.00013724174455351988
309,-0.0004283047663180396
310,-0.000362680463135914
311,-0.0017448297426099942
312,0.0016089382809261058
313,0.00149473149107316
314,-0.0002494412228668929
315,0.00949184829619159
316,-7.336042041455408e-05
317,0.000793720859895563
318,0.0012913592548954563
319,0.007728461577181377
320,0.0010554521541124367
321,-0.0004507337765515998
322,-0.0005141895969613771
323,0.000639553669717053
324,-1.5102973703182874e-05
325,-0.000315531662417788
326,0.0005201157251998157
327,-6.532949548717509e-05
328,1.2175658040990483e-05
329,-4.894646234448872e-06
330,1.4679025082296303e-05
331,-1.3118121803356267e-05
332,-6.978433134554252e-05
333,1.38703665380348e-05
334,0.0005085125526365257
335,0.001064668065582513
336,-0.0010069156285189562
337,-0.0005085089223503165
338,-0.0019077691851516613
339,-0.013559283506221107
340,4.940291208372452e-06
341,-0.0003216788513309745
342,6.990168968178974e-05
343,-0.0007909717292400146
344,-0.0004189992314628945
345,-0.0015406433794518776
346,0.0005037432065005423
347,-0.004770524777619476
348,-9.509706732290184e-05
349,-2.0408687624016034e-05
350,-0.00012399984190582947
351,3.254859608409928e-05
352,-0.0005342817589053628
353,0.00025450369354131715
354,-0.0006657027827704744
355,0.0004773847077944501
356,0.0002802274736378508
357,-0.008809354748485043
358,0.00600295390334962
359,-0.008154359491277536
360,0.002172496865283472
361,0.00021977707726911398
362,-0.0008226376421426533
363,0.004656841881622598
364,0.0016154952236385142
365,-0.0002614186189239597
366,-0.001360411048371963
367,0.0030473277268640115
368,0.00011647358722916226
369,0.0003601689826338553
370,0.00010411653406591141
371,0.0020647274165974004
372,0.0019314956345969107
373,-0.0010167712094768856
374,-0.00029596709125987206
375,0.0046627090303375035
376,0.0018599042694972625
377,0.00022428348499380616
378,0.00044009377017761826
379,0.0069357854571367086
380,0.0002786648020583091
381,-0.0003963114509165359
382,0.0005675050108938038
383,0.001750431412126384
384,-5.528598968419486e-05
385,-0.0005777162264409572
386,0.0005232016499398223
387,0.001255250288597145
388,0.009761412005671082
389,0.0033447494241302792
390,-0.008224371018416844
391,0.023830578361312693
392,0.00010173368474040778
393,-7.16433354723052e-06
394,0.0004505584331862323
395,0.0024139292877291027
396,0.000629248659307223
397,-0.0001740585737400863
398,0.0027172702452981277
399,0.008434815038555966
400,-0.0009362380455213028
401,-0.0010826747516104905
402,-0.002529823493152451
403,-0.0033568902152171062
404,0.0010312948231534858
405,-0.0002427168054546249
406,-5.462296540863988e-05
407,0.00304223547225126
408,0.001240576705589386
409,-0.001401542484148057
410,-0.004318352408164721
411,-0.015146814133314531
412,0.0005866806334250867
413,-0.00011484334503981887
414,-0.0014149475608899486
415,-0.0029415109555585048
416,-0.006741833773592376
417,-0.002492850979224609
418,-0.00012538611173187577
419,-0.028502544080456545
420,0.0028585183796999486
421,-0.0025220903813591797
422,0.0017604216754631026
423,0.006420576152259251
424,0.005632926016671404
425,0.004614570664812718
426,0.003014443471980731
427,0.04084632868493674
428,6.699154869371555e-05
429,-0.00010665169931498047
430,-4.691197972353679e-05
431,-0.00019774223795282817
432,-0.0001483493513056013
433,4.326544843728399e-05
434,-0.00010427578761974017
435,0.0005515534874480548
436,0.0001097024938789687
437,0.00011285402229542314
438,0.00018116367582388608
439,0.0015906292570087494
440,-0.00024941478363000365
441,0.0013829656929718677
442,-0.00045845928106558415
443,0.0025643996287186984
444,-0.00012904306691049707
445,-9.01644529750148e-05
446,-1.186621769109853e-05
447,0.00045886940276154963
448,-0.00010557075219875056
449,-4.831920545754686e-05
450,-6.606844293483091e-05
451,-7.742136515697413e-05
452,-0.0006839201593151884
453,-0.0021238223435036505
454,0.001683043991902804
455,-0.0031868605133432357
456,0.0001673502463118425
457,-0.0008305763077350402
458,2.786292869517263e-05
459,-0.0018943066212596571
460,0.0015830230668128506
461,-0.0002844467561418801
462,-0.0012170622834328986
463,-0.0014515820783851106
464,-0.000632133576958676
465,-0.0015337786509920749
466,-0.0017819911188384913
467,-0.01151327495389961
468,0.004264904521870623
469,-0.00028543439862708224
470,0.0019066166615211474
471,0.01697829750274571
472,-0.0001459592313203879
473,-2.2580405914048997e-05
474,0.0004309186049778364
475,0.0012585642358012904
476,-0.00032362147847901944
477,0.0008599533336275346
478,0.0011641981131972554
479,0.005294308995982341
480,0.0004198707377978932
481,-8.791475008816694e-05
482,0.00029759178902196364
483,0.002090191626360414
484,0.0007463473278510826
485,-0.0003178569459277113
486,0.0012820078089232703
487,0.004958166705150548
488,-0.00021152918214610656
489,0.002463513402837624
490,-0.0012370026058041359
491,0.005014618455185741
492,0.0027937429963002993
493,-0.001715215337834536
494,-0.0029760570665753176
495,-0.004585703001380551
496,-6.175799034396024e-05
497,0.00014885801399098012
498,6.16731305386451e-05
499,0.0003421739839161552
500,-3.7395845609295944e-07
501,-2.880493870703902e-05
502,-0.00012186903483640757
503,-0.00022522906349033579
504,-4.2854766910570714e-05
505,-2.224584349292585e-05
506,-2.9911922144186388e-05
507,2.161372466081073e-05
508,-0.01695460658074934
509,-0.01521082781930248
510,-0.0016132787954408745
511,-0.10848570391521078
512,-0.0029729723714891658
513,-0.010694551842750344
514,0.010244686529065104
515,-0.009650985184118046
516,-0.0028547040426694275
517,-0.0011077978223322797
518,0.0014627482612664538
519,-0.0057396252469503455
520,-0.0007403122983920906
521,0.0004010218532714114
522,2.0167441222721e-06
523,-0.001163599530799436
524,0.0004551375557922498
525,2.2854684561407687e-05
526,0.0003523126798264892
527,0.002278540753735722
528,0.00020030968394916247
529,8.218649564820659e-05
530,-0.0010633288745903568
531,-0.005591892246025332
532,-0.0002918475418351914
533,-0.0016831615816826624
534,-0.0007431061329819294
535,-0.007670958404854277
536,-0.00022794796405348162
537,-0.0016248261817473312
538,0.001960277489828841
539,-0.002023355391249622
540,-0.0021758725077842943
541,-0.00483618551213155
542,0.005544987903930973
543,-0.008189256030238411
544,0.0001712898492635506
545,-0.0003134436699235835
546,-0.00026169886068582967
547,-0.0024469366513610764
548,-0.00047476120752533327
549,-0.00018992895296556767
550,-0.00043986759741978604
551,-0.003481729294012166
552,-0.000469031674188041
553,6.549398955234178e-05
554,-4.118394311152301e-05
555,6.474366943039488e-05
556,0.00011855531498775576
557,5.169485432723203e-05
558,1.2993679615709276e-05
559,0.0005761449999482103
