,drop_wi_hybrid
0,-0.0002482694914477515
1,-0.000533866096032179
2,-2.059197106298726e-05
3,-0.0022214080596070643
4,0.0011430330242940558
5,0.0007489869666642065
6,-0.0009756436164025167
7,0.00046651583000617965
8,-0.000665903157214538
9,2.0545840691495162e-05
10,-0.00048525492158203563
11,-0.003481124760768737
12,-5.317913325517178e-05
13,0.0003534621015812162
14,-0.0001383630482260257
15,0.0002257952645294391
16,-4.304806884789841e-05
17,-6.257910141353482e-05
18,-0.0012123547733742127
19,-0.004108000040171044
20,0.00026539086717662565
21,5.346188167122692e-05
22,0.0003807446591283902
23,-9.540905737215363e-05
24,-8.015235081520959e-05
25,-2.752245862859118e-05
26,3.1334734648518473e-05
27,-0.0006363112376887502
28,-2.718918527599651e-05
29,1.787719191989159e-06
30,0.00020667246034793157
31,0.000493707070950257
32,-0.00043317277561134637
33,-0.0002212917156757468
34,5.798398382040739e-05
35,-0.0015795341121857681
36,0.0012155163227546065
37,4.758210481709986e-05
38,-9.68996123661241e-06
39,0.0016013393452287727
40,9.435053107513354e-05
41,0.00014287711192579924
42,-5.268154640846942e-06
43,-0.00033620655383113365
44,-0.001519456639771695
45,0.00010956639444855806
46,-0.0006817514297034184
47,-0.005405530965679974
48,8.7233602786091e-06
49,-7.045774563060867e-05
50,-0.0003606523162835262
51,-0.00045148296283635406
52,-3.837157191301692e-05
53,0.00021766738438628498
54,0.00012288935796209494
55,-0.00011292121161201453
56,0.0003442635769728861
57,0.0003301574749568109
58,-9.97228330630169e-05
59,0.0017444292993448367
60,-0.00044124472034887965
61,-4.36396563502602e-05
62,-0.0012493726382365126
63,-0.002168943824589072
64,-0.0002457786484258834
65,-3.567716647624975e-05
66,-4.4721670682644236e-05
67,-0.0010940951506174348
68,-0.004549229654777788
69,0.00010542186841868277
70,-1.082121873869991e-05
71,-0.002771718242472513
72,-0.0007377645172950235
73,-0.0002441836439439508
74,-0.00040400846169923616
75,-0.005233254353680553
76,-0.003831349050122205
77,-0.0017364063454165786
78,0.0005741592707146765
79,-0.015972982140613916
80,-0.002732293753793751
81,0.0017562365565443815
82,0.003528638477155472
83,0.00842387541500069
84,0.00024946821299307926
85,0.001182392782394059
86,0.00021539752357513112
87,0.004988571145278289
88,-0.0005906845775979267
89,-0.0013755799425489172
90,0.00047564890740631953
91,-0.005677554339701904
92,-0.0008030578027354658
93,0.0014468239241171275
94,0.0007880118259968106
95,0.004070111976270613
96,-0.0007144610268650262
97,-0.0001673301296900582
98,0.002698398023784766
99,0.001307493641205171
100,-0.000983204230516717
101,-0.00015100650086284157
102,0.0014019549457108223
103,-0.0004174210124906981
104,0.0002733073217395553
105,-0.00043870674728305214
106,0.0020003155786476926
107,0.004521765067252238
108,1.4293337775074016e-06
109,-6.450693681948402e-06
110,-9.522539589476177e-06
111,4.245288141060854e-05
112,0.0025254532341249234
113,0.0035043043612792463
114,-0.006213970826008054
115,0.0008864419229924919
116,0.005975364211728626
117,-0.0010786317721520472
118,-0.0047785291803004535
119,0.0009132829044963647
120,0.0014549919931592594
121,0.0013350012893833525
122,-0.0015479665360610849
123,0.004474634634091591
124,-0.0029030143477749583
125,0.0006158427707617586
126,0.0008771885215655726
127,-0.003938782356242777
128,0.0002749724615582895
129,0.000433197670571188
130,0.001081117380006237
131,0.004842370723245322
132,-0.0024035273325865325
133,0.0031496131032735836
134,-0.002101955775617032
135,-0.0059876386997382855
136,0.0012907672460141172
137,4.639498009738187e-05
138,-7.759524083508353e-06
139,0.0020801271418409697
140,0.00030426029568246163
141,0.0002066962939048719
142,-0.0005045310310985409
143,0.00016896656817953448
144,0.00042591174180256735
145,0.0004613056329713583
146,0.0003995348594125429
147,0.0034827592643399707
148,-0.0008926570107910159
149,0.001184724579889357
150,0.004503851054927741
151,0.01499533528268609
152,-0.0007989843854081557
153,5.162959243590769e-05
154,0.0005717111259886285
155,0.0010374654591110068
156,0.00020381375838619418
157,-0.0002038865641568991
158,0.0002257725380016424
159,-0.002093827509245878
160,-0.0012463133425574889
161,0.005122066625683408
162,-0.0030298232207045007
163,0.001498326146135144
164,-0.002883677985469552
165,-0.00039733803892036293
166,9.932069328093168e-05
167,-0.009474063849794712
168,-0.0009602557186046935
169,0.007305447356913937
170,-0.0015180265415082007
171,0.012998386497089499
172,5.297346309381413e-05
173,-1.7073168884130402e-05
174,0.00038539652086005917
175,6.799420930946229e-05
176,-8.103745556999871e-05
177,-0.00010312143006095181
178,-0.0002273690736242922
179,-0.0004373439273881771
180,-6.698557878542563e-05
181,-7.449796108925546e-06
182,-0.0008717357536726397
183,-0.0002677485024384202
184,-0.00028601846037379066
185,-4.2338785521959945e-05
186,2.2588259811906696e-06
187,0.000952454178010325
188,3.146681092492009e-05
189,7.248051636513224e-07
190,-0.0005731118720282782
191,-0.00033138793806791294
192,0.001474755493948675
193,0.0003373622570024219
194,0.00021301796124484422
195,0.005446490097322808
196,2.9597045669100383e-05
197,2.8174204881593595e-05
198,0.0006754818324971147
199,0.0006470992992611347
200,0.0005225032952772197
201,-0.0012405917464165018
202,8.259625174864043e-06
203,0.0013364100670627801
204,-0.0008669721696738191
205,-0.0011582166020389667
206,0.0018306779305384201
207,0.005970560773670479
208,4.6404440504912174e-05
209,-0.000661748583582431
210,0.00035587227648851456
211,-0.0007539651653680746
212,-0.00024991178365379367
213,2.6806487028625112e-05
214,4.940568278140094e-06
215,-0.0003084742288702396
216,-0.0009306975997269735
217,-0.0014592850835601129
218,-0.0015583029586781298
219,-0.012403804369901154
220,0.0011809017749103837
221,0.0002822133565537024
222,0.00010862757306587121
223,0.0006008170986125213
224,0.000522723693295885
225,0.0010411065027616075
226,0.00027514058343686224
227,0.0058085552503356975
228,0.00021567815229340195
229,7.433446653555548e-05
230,-6.723989186773401e-06
231,4.103852476428706e-05
232,1.8924959279011074e-05
233,0.0013197748845485786
234,0.005650749156141662
235,0.01582540935963378
236,0.0011661058720973342
237,-0.0011595112833863884
238,0.013120490539105592
239,0.028986538603834638
240,0.0005572176242830286
241,-0.0001685091314442679
242,0.0003605847530869047
243,0.0024985268856830755
244,0.0013625411347640165
245,-0.0013973678454604962
246,9.448296458935473e-05
247,0.00028748807225567336
248,-0.0009131986131138268
249,0.0012468048078678674
250,0.0002694267803707172
251,0.0018392309803801224
252,0.0003410701439747666
253,0.00017839537865496272
254,0.0006466240054231168
255,0.0032164023629419527
256,-0.01762518084531921
257,-0.007465416963897303
258,0.007058563661162168
259,-0.06703969146263326
260,0.0009588906579526075
261,-0.0005445067159624281
262,-0.0020936944674031822
263,-0.005867705590246635
264,0.00577470873396151
265,0.009185444984087826
266,-0.006690085081171962
267,0.025431210478087787
268,0.0004237539997602158
269,0.00016737323399416615
270,-0.0009523643803909943
271,-0.000906622618529617
272,-0.00030887776047376387
273,-2.7817183659621218e-05
274,-2.7616473569383877e-05
275,-0.0009467954093721425
276,-0.0008174295238974255
277,-0.0002678626620675489
278,0.003754135773994184
279,0.008175108101495163
280,-2.0962338012724178e-05
281,0.002684343143270164
282,-0.0007378784953825146
283,0.0056740089820334445
284,-0.00016519058271188993
285,-0.0010996733848191536
286,4.5285492296321944e-05
287,0.00013113124018369413
288,-2.4588852325920975e-05
289,-0.00019702683853221474
290,-9.751039839525939e-05
291,-0.0019971548922057864
292,0.001114859690556428
293,-0.00010036593873870346
294,0.00014303199883450583
295,0.003038464684144221
296,-0.0029557346770364636
297,-0.003599158889837992
298,-0.0033743077418286844
299,-0.029609129054336804
300,-7.95073400039149e-05
301,0.0002730423459166715
302,-0.0009496284971972808
303,-0.0011786860928492148
304,0.00020565023643073592
305,0.0003101675263448701
306,-0.0008480984793148783
307,-0.0014997869901089284
308,0.0005037018967700393
309,-0.0009832647761064555
310,-0.0013400913910604027
311,-0.005423215283226523
312,0.0023028430309024682
313,0.002077967156806637
314,-0.0003331099852302309
315,0.013138417411796261
316,-8.614482862639637e-05
317,0.0011132678364843124
318,0.0025005198030433667
319,0.011243120179898565
320,0.0016497601451103737
321,-0.0006804693569599667
322,-0.0007950988417054847
323,0.0009849563250622394
324,1.0709143721965998e-05
325,0.0003391958568427661
326,-0.0006207980895980547
327,6.961601405559793e-05
328,7.050703498257088e-05
329,1.0463626847394568e-05
330,-2.342601629513558e-05
331,6.061728129442339e-05
332,-2.438216147277695e-05
333,4.117006436552074e-06
334,0.00013405615485566886
335,0.0003157250364888637
336,0.00022740508751323578
337,5.353100718975415e-05
338,0.00023502330419804385
339,0.002000754339507979
340,2.8199685007431534e-05
341,-0.001638963467872061
342,0.0003618667842367269
343,-0.0042001046760518045
344,0.00019567281931428225
345,0.0008919836780204269
346,-0.0003303253392235075
347,0.0026867816111814102
348,-0.0010466791853518149
349,-0.00062253149278829
350,0.0020081626616150284
351,0.0015327684540085915
352,-0.00032899219836870515
353,0.0001332192413911898
354,-0.0004574500187087896
355,0.00032319441714770105
356,-2.1862540219812e-05
357,-0.002127112884901796
358,0.0015726787337881163
359,-0.0017766357885372007
360,0.00010175028244318263
361,-0.0001872379955707099
362,-0.0003586816869957316
363,0.0006081285341518499
364,-0.005848565694417761
365,0.00033720418097670776
366,0.002012390316024251
367,-0.005679193306975614
368,-0.0006720552761187939
369,-0.00157807564760618
370,-0.0002627807796052292
371,-0.007490547642555943
372,-0.004599706202629152
373,0.001461022403496536
374,0.00013307236095464432
375,-0.005937867474459594
376,-0.0005175234526141932
377,-0.00038045312346865045
378,-0.0010769388893068054
379,-0.0068762057276067195
380,0.00022383813201524704
381,-8.31285776973576e-05
382,0.00012683603159087533
383,0.00069685613746882
384,-7.554184271405709e-05
385,-0.0010531955295150178
386,0.0015375347868450745
387,0.0022388376360097224
388,0.00796645560333031
389,0.0034554079987137313
390,-0.006257287877617998
391,0.021034476796321224
392,0.00024239477548711931
