,drop_wi_virtual
0,3.817780084214399e-05
1,-0.00011459912528760327
2,-7.963351714132287e-06
3,-0.00043435281237409534
4,-0.0014882469020779795
5,-0.0016344111791668583
6,0.0036535726092375427
7,-0.0010068953892775493
8,0.0012693838345672803
9,-3.5878092675128494e-05
10,0.0008783035902426271
11,0.006352494547292042
12,0.00013828279837734803
13,-0.0006389474586798011
14,0.0003819041826417594
15,-0.0005225507983624257
16,0.00010752989124872159
17,0.0001826675995601056
18,0.002679867730942986
19,0.010358072843131581
20,0.0002798338543518933
21,-0.00017086267349260978
22,-0.0005824162198436845
23,-0.0018441392175778488
24,-0.0004659868649779906
25,-0.0003004318883042846
26,0.00010258590289179938
27,-0.00288309190799681
28,-8.193871853965425e-05
29,-6.006223888096036e-05
30,0.0004972745516654673
31,0.0011452857491852585
32,-0.0006786183567091822
33,-0.0005296800721944812
34,0.00047576343555424586
35,-0.0042042999663221715
36,0.0004210751627699775
37,8.059341343364483e-05
38,1.7475836707384893e-05
39,0.0013204259914867276
40,0.0013093133413962566
41,-0.002054545380384087
42,-8.570400187850774e-06
43,-0.002719820662027228
44,0.0012721829316118432
45,-0.00030126913607877797
46,-0.0024402987984432395
47,-0.008243040325405841
48,1.1654020990644289e-05
49,9.701296001113718e-05
50,-0.0008596551871323136
51,-0.0016462533469956372
52,0.00010315995287590514
53,-5.8809397683169204e-05
54,0.000327801478424129
55,0.00036801801385518166
56,-0.0017817927972389503
57,-0.0014474401048375706
58,-0.001160623344698487
59,-0.015104630345531509
60,-0.0013438112060443225
61,0.00028497839982614606
62,-0.0023926189723021303
63,-0.0123122096066672
64,-0.0005458904136519353
65,-0.00013118529858874398
66,-0.00012221687328598215
67,-0.0027770302157938158
68,-0.0010747338814839837
69,0.0028555500482734418
70,-0.000557088923697848
71,-0.004719301391092541
72,-0.00043820328565777957
73,-0.0005064135864082894
74,-0.0005142300028815398
75,-0.0049245043288687305
76,6.23753406887705e-05
77,-0.0002442207398178506
78,7.946062133242296e-05
79,-0.0013231158443966803
80,-1.1438536605534426e-05
81,2.978204643999991e-05
82,9.263927634184367e-05
83,0.0001349413751697468
84,4.820351440862839e-05
85,4.118572218414126e-05
86,3.394339743957452e-05
87,0.0006213769202141699
88,9.12826155960805e-05
89,-0.00020240288028456786
90,0.0001667908754178273
91,-0.0007070184356199869
92,-0.00010561561144011935
93,0.00036532872584509187
94,0.0003031997634966771
95,0.0010800551919589042
96,9.90213013777102e-05
97,4.915688119239674e-05
98,0.0005929875883172432
99,2.539126097770643e-05
100,-4.73682464332855e-05
101,5.39946834290017e-06
102,0.00030462440486253984
103,-3.77508519204978e-05
104,0.00024387086838081572
105,-0.0006655336033467633
106,0.001503394417828916
107,0.004556483473033523
108,-3.429021356590171e-07
109,-0.00033308520429674825
110,0.00010083104473416293
111,-0.0003734614651423159
112,-0.004343511729993845
113,-0.0059340129497438545
114,0.00946205121665946
115,-0.0014542560181374147
116,-0.010118156678673157
117,0.0017938663640323085
118,0.007866073399145055
119,-0.0015226371606305025
120,-0.002498914401856697
121,-0.0022450295672459663
122,0.002572151385002079
123,-0.007537884611688097
124,0.000589474172016489
125,-6.911152677238355e-05
126,0.0010397940481402942
127,-0.0004951123340901289
128,-0.00011445169396932216
129,-0.0001122348021278576
130,-0.00016674825276675773
131,-0.0012866175656872426
132,0.0002567371792678312
133,-0.00023874919347342978
134,0.0002895911096731007
135,0.0006250191831896303
136,0.0007088972711127648
137,4.689148258435493e-06
138,-1.9658918773178662e-06
139,0.000758683475882682
140,-0.00020736274860268426
141,-0.00022100928925243321
142,0.000264766591190347
143,-0.0001235447760804071
144,-1.861084157975261e-05
145,0.00010856279081230328
146,0.0002807038814106744
147,0.0008374926640817345
148,4.629838732489997e-05
149,-0.00018608255279895823
150,-0.0015256388224835714
151,-0.002763110181469798
152,0.0002262733516291949
153,-4.315779794031062e-06
154,-7.78602154780277e-05
155,-0.0001777340119683351
156,0.0003760888694306153
157,-5.619493543848041e-05
158,0.00014547728294829482
159,-0.0009208229601608039
160,0.0005454291261769098
161,-0.0014666234401410827
162,0.0013801625916135636
163,-0.0005836788673196859
164,0.0010260151221713574
165,0.00011524160362335145
166,-2.6427417296653544e-05
167,0.0028930452907314137
168,0.00033441449929992676
169,-0.0007427096099717066
170,0.00017758628486460394
171,-0.002410825062311427
172,-0.00033991658808207127
173,0.00011175909177466621
174,0.0011038638213288065
175,0.00307369894644413
176,-0.00032863521983404303
177,0.00021291315459874967
178,0.0013330562346151734
179,0.0024628305586886614
180,-1.0803684511326259e-05
181,-9.475267262629459e-06
182,0.0036054830525949198
183,0.003998586399209651
184,-0.0001562899627529497
185,-5.739198243495235e-05
186,0.00130449678717956
187,0.0016206668594358612
188,0.00014606820209614888
189,-9.981864872647839e-05
190,0.0011551308697817153
191,0.004458773924402244
192,0.0012344289689205274
193,0.0002735835937061304
194,0.00020242006326958706
195,0.004708810600452371
196,-0.00033955699521141396
197,0.0006049854993573098
198,0.0027970175219534242
199,0.008468695762500242
200,-0.000627747688673097
201,0.0030831539014418625
202,-0.0039091395347031835
203,-0.0035483778117430475
204,0.0004989221580524938
205,0.0009666987733562771
206,-0.00351514483309152
207,-0.0053652814066462
208,5.719585461781796e-06
209,-0.00012431414519163429
210,0.00017771621396957707
211,-0.0002146542487722069
212,-0.00021851337135691856
213,-0.00011382731241154739
214,-2.4429360048332924e-05
215,-0.0011275706955694677
