,ed_elapass_hybridper_inf
0,0.0002852421543073266
1,-5.053995013525536e-07
2,-0.0001215889004157695
3,-0.00010452949660741971
4,0.00024716763215564675
5,-0.0001986379992147583
6,5.543477184094088e-05
7,3.325246677897098e-05
8,-0.00010234335334158359
9,0.0002817675985506326
10,-0.00014755447064098386
11,0.00031073616862156006
12,-0.0007103144493421566
13,-3.3895686374374635e-06
14,9.11798561046216e-05
15,-0.0003514682696191171
16,-0.0018030314290196814
17,-0.0024623112586125984
18,-0.005445917883336491
19,-0.03559779872753258
20,-0.0010020999405477183
21,-9.629372718919378e-05
22,-0.00039004395004071864
23,-0.0051306288920181485
24,-0.0010125190351926426
25,0.0020214608616204513
26,0.0013595137310806553
27,0.009250878942593169
28,0.00753550037377347
29,-0.0006743082772355123
30,-0.004265094420673124
31,0.00757962559573192
32,0.001921135796255625
33,-0.0019692467348751
34,0.0010212173269115918
35,0.0034944599657784226
36,-0.0003913779207750323
37,8.941581892268856e-07
38,6.0149760572237665e-06
39,-0.000583323661625714
40,-0.000682465831968309
41,0.0002377915398639873
42,-4.132373165069198e-06
43,0.0013245563912845438
44,0.00015928386211066584
45,-5.660168340524059e-05
46,4.3128349164313434e-05
47,4.0530360752332946e-06
48,-0.0012740374302006635
49,-0.0005469639124259156
50,0.0010084750214714706
51,-0.0002791073848275196
52,-0.00041210992883145475
53,-7.726594305688402e-05
54,-9.467700685021858e-05
55,-0.00022663007098634507
56,0.002017933495944807
57,-0.0007199758584893491
58,7.651995774309434e-05
59,0.00018077799655170817
60,-0.00027801998640920747
61,-8.45114268751755e-05
62,0.00025742078850641734
63,0.0009120368638181082
64,-9.769527990796583e-05
65,0.0003037342501733237
66,-0.00011140260703421009
67,0.00041788975951079774
68,-0.00041930653387459193
69,-6.622863310447926e-05
70,0.00020897412975257458
71,-0.0008247323116197626
72,4.7789847045607543e-05
73,4.572309543169094e-05
74,-8.283639298408366e-05
75,2.7713869250972546e-05
76,-0.0006095820648349763
77,0.00026096170318898223
78,0.0013645051150162298
79,0.002270403193265028
80,-0.001049601330333572
81,-0.0007142352654330819
82,0.0008939202455827372
83,-0.0008413279570681742
84,-0.0008860972940822785
85,0.001907380733931424
86,-0.000875045507252804
87,0.0007819283849171078
88,6.398166816234355e-06
89,0.001689448383792891
90,2.2968937741441438e-05
91,0.005625121651756438
92,4.743664983715435e-05
93,-9.292970264269923e-06
94,-0.0009864284824831061
95,-0.002783041251357398
96,-0.00024496442146907873
97,4.952366006670962e-05
98,0.00039444409631365446
99,-9.500015013726943e-05
100,-1.1162233207081087e-05
101,1.5049662475081272e-05
102,2.8085911671933136e-05
103,-1.2947712377981818e-05
104,-1.552630583186484e-05
105,-0.0002180742471371812
106,0.00046254668246190376
107,0.0009523756635690676
108,0.0006004123561321219
109,0.00039573687862739853
110,0.00010905416629534015
111,-0.0034193111939346582
112,5.161699765510626e-05
113,0.0002512899276657982
114,-1.4263587844854395e-05
115,0.00049118779856305
116,4.97293975464741e-05
117,0.000189804911288238
118,4.992333639718115e-05
119,0.0009444251504302251
120,0.00026036474583054323
121,2.9422229684918566e-05
122,4.689813907784271e-05
123,0.001174955306105229
124,0.00012365991300677799
125,-7.105526016038671e-05
126,0.0008002163295928828
127,0.002139216752183676
128,-0.00014088022516994345
