,mathpass_black_hybridper_inf
0,-0.00038142511561678596
1,2.7683267500299112e-05
2,-0.0008341088760400635
3,9.21399867087798e-05
4,-0.00042254279133389726
5,-0.000327096060626846
6,-3.612234606028144e-05
7,-0.0010728405296156688
8,0.0018993470658325348
9,0.0001197015698332775
10,-0.00012644186126914997
11,0.0027500780391770314
12,0.003922733595733334
13,-0.00024386639692077047
14,8.955462139552818e-05
15,0.006252240902895042
16,4.0297252870237144e-05
17,0.0013558593678993122
18,-0.00017825866240174423
19,0.000568726832129055
20,-0.00022962667715394793
21,0.00017047904140210217
22,-0.0010757046346295052
23,-0.0031609892642595143
24,-0.0003853004110266695
25,-1.2800073488247859e-05
26,-2.3256201742956304e-05
27,-0.0010538849703568818
28,-0.004164331370242783
29,5.955636788970908e-05
30,0.0011612425069383945
31,-0.01009230863325299
32,-0.000162306440324157
33,4.1496642181541766e-05
34,-0.0017205142085088634
35,-0.0049333844752324245
36,0.0006239361250469244
37,0.0003909380624444723
38,1.6206645878795932e-05
39,0.001433845667234958
40,-1.2044747393626472e-05
41,-5.4052316902811674e-05
42,-0.00022026671293714126
43,0.0007948929756223614
44,-0.0001915324261909995
45,0.00042345615081494127
46,9.431924567054022e-06
47,0.00012262236845333852
48,0.0031759055783874305
49,-0.0005239633492821796
50,-0.001987645467019489
51,-0.0046963588081556035
52,-2.6498310132764433e-05
53,0.0003744767612268105
54,-2.9513031118780655e-05
55,0.0020447026243086007
56,-6.930437040530628e-05
57,0.00030701002491941
58,-0.00018836923601060285
59,0.001438398624799044
60,0.00013056851022332403
61,-0.00032819028656829406
62,-5.5337118375480326e-05
63,0.0004000486973328904
64,1.629687891433976e-06
65,-0.00033922441307614046
66,0.0003111600351247804
67,-0.000242297174239934
68,-0.00029841881123852693
69,-0.00018887784661905457
70,0.0005221580919639072
71,-0.00023295829866736188
72,-9.873586017340554e-05
73,-5.331603048294797e-05
74,-0.0001075894498953129
75,-6.649138357474141e-05
76,0.0010454171786421257
77,-0.0006950495752250089
78,-0.0022884339064012382
79,-0.004532072985272954
80,0.0008879460836366522
81,0.0015490592528858676
82,-0.00037197390071479794
83,0.005179190476330264
84,-0.00029755522312907687
85,-0.0010877684885424233
86,0.0007534770328215311
87,-0.0019736232027280265
88,-0.0016009843913791719
89,8.421659514139147e-05
90,0.0010879190842458045
91,-0.0011528027094549495
92,-0.00045939027997428904
93,0.00043744590720265573
94,0.0016165437577157174
95,0.004423124351088511
96,0.0012109975939532233
97,2.5213125121153632e-05
98,-0.0002815311532335327
99,0.0011666885797335176
100,1.0543222994631599e-05
101,1.1394470173581226e-05
102,-5.231970789515505e-05
103,2.1285426759316832e-06
104,-0.00024234324179233513
105,0.0001985782364673138
106,0.00032849308151136186
107,-0.0004426483173100736
108,-0.0035567494829014086
109,0.0010706284290765312
110,0.0019657127660080275
111,0.016108095767728103
112,-2.8142699903947247e-05
113,-0.00024454332655319053
114,3.7474503104147976e-05
115,-0.0003766114157006738
116,-0.00014011954793308673
117,-0.0006162548997447559
118,0.00014693049045466406
119,-0.0015103149952822754
120,-0.002477502481757035
121,-4.0170773424375166e-05
122,0.00015257996592565198
123,-0.002027078334137818
124,-6.356620717116973e-05
125,0.00019761745298232968
126,-0.00022599321431411617
127,0.0005725724487431266
128,2.208101751824439e-05
129,-5.076731346321363e-05
130,0.00018224565243027808
131,0.00034243390513297113
132,-7.660258978606433e-06
133,-5.036634592913904e-05
134,6.701676361052526e-05
135,0.00042125579451306096
136,-3.9463863667044435e-05
137,-0.00012715925763987526
138,-0.00030436915405420464
139,8.333296129139944e-06
140,8.544223263498253e-05
141,0.0006329119476598584
142,-0.0004345738937630955
143,0.00035817418102926537
144,0.0005196292942118739
145,0.00015905547638925453
146,6.203463840079624e-05
147,-1.716351127827327e-05
148,-5.3150616292945135e-05
149,2.6409116847990004e-05
150,-3.062931842460041e-05
151,0.0004056085268906346
152,-3.508974011841379e-05
153,0.00013142939420695052
154,-0.0005287561897646305
155,-0.0016685642788853115
156,0.0002025834295728833
157,5.4748733395382135e-05
158,-3.9206481332999287e-05
159,0.000284501808149081
160,-1.048893569470484e-05
161,1.0534149806405444e-05
162,-6.779427313063129e-06
163,-2.576221125284993e-05
164,-0.00014580984226509447
165,0.00011524649965283168
166,-4.7164689293858676e-05
167,2.4139168003712064e-05
168,-0.00040958946298141544
169,-1.6129233917476674e-05
170,-3.787480394549578e-06
171,-0.0010801041374327003
172,0.00017338601713075
173,-7.802882339713279e-05
174,-8.870912383166653e-06
175,-7.008870794938612e-05
176,0.000784504819232017
177,-0.00039033064039741325
178,-0.0002646175601571446
179,-0.0006278206113892328
180,0.00031785829946816155
181,0.00029942783524578275
182,-0.0003122927629835293
183,0.00018652613658841564
184,0.0003033782829185084
185,-0.0005570403112335814
186,2.5881775117231814e-06
187,-0.00026645823848395087
188,0.00013319263706846398
189,-0.0005726238836207917
190,7.298250695960617e-05
191,-0.0010288285911078223
192,-9.683900929438449e-05
193,0.00011543853652342146
194,1.2066679336031362e-05
195,0.00014428476827648483
196,0.00010931863073201553
197,-7.633640713918445e-06
198,-6.516730015619021e-05
199,5.846276355383633e-05
200,0.0004852029084296441
201,6.4128375325656054e-06
202,0.00011442531359319438
203,0.0019835251470593043
204,-2.3922228146786984e-05
205,0.0005335023152592302
206,5.047612704989402e-05
207,0.0027702618977629755
208,-1.8914159335075796e-05
209,6.283999543995503e-05
210,-3.3878686491156732e-06
211,0.00020243209726367078
212,0.00019730824014823486
213,-1.9418854192919145e-05
214,-7.570750099679322e-05
215,0.00024279657097089194
216,-2.7355836878628037e-05
217,1.0294634709902172e-05
218,-6.610279595469651e-07
219,-0.00010577556088604183
220,3.835593420578084e-05
221,-2.675178580713555e-05
222,0.00026967841961888963
223,-0.0006759219406216296
224,-1.7748162179997747e-05
225,-2.2235954430778303e-05
226,1.5880392651783426e-05
227,-3.7958831746974767e-06
228,-6.47150644836389e-05
229,-5.311061957418908e-05
230,-0.0002632355865602475
231,-0.00010382788500218276
232,0.0002539049595664212
233,-0.0005368348697598385
234,3.725551531320222e-07
235,-0.0005546203159131847
236,-6.737354507777977e-05
237,4.077738042865149e-06
238,-7.103981011433315e-06
239,-0.00038167601272184193
240,0.00026596095327721474
241,-0.00010045198107473135
242,5.4898733022227066e-05
243,-0.00026615858745455094
244,-0.00044276184066855523
245,1.5434694218710128e-05
246,-0.00021453295799127525
247,0.00036779236804508814
248,5.3838218419464964e-05
249,-4.9394014249916014e-05
250,5.6508312800615835e-05
251,0.0002411018326589769
252,0.00018896047149922465
253,-0.0012938757858256091
254,0.0005420130083541268
255,-0.0013645805039466
256,-0.001542069303868217
257,9.66154133485284e-05
258,-0.0023522844544668704
259,0.0005258550159350999
260,-0.00012671722837760972
261,0.00020971628810539025
262,-0.0008723456639227799
263,-0.0015222891097622549
