,mathpass_black_virtualper_inf
0,-0.00031220568882131517
1,0.00013036568380059028
2,-0.0011994646666623242
3,0.0002462649381623641
4,-0.0005049524725913023
5,-0.0001157925903044485
6,-1.2165809729688778e-05
7,-0.0007595111490261195
8,-0.0002073386147029259
9,-3.085236125510226e-05
10,5.3806089993138815e-05
11,-0.00048173184174884126
12,0.0007561798251141993
13,0.00031185546299565585
14,-0.0004570472009894237
15,-0.004082935099570955
16,9.871321272258736e-05
17,0.006727344641206085
18,0.00011706971006672388
19,0.01367328709680565
20,0.0012090864347030768
21,-0.0005402679580749145
22,0.001953481955573158
23,0.009230243430402124
24,0.002729408100893026
25,0.0006355329794916972
26,8.725351389649425e-05
27,0.009288188239148044
28,0.0010423293959051334
29,-2.3324717662995633e-05
30,-0.0005209180129607256
31,0.0036391736381354836
32,8.228079276900201e-05
33,-5.1794004492393415e-05
34,0.000834234771034358
35,0.0034516196160561466
36,0.0002517658139141499
37,0.00015664799186986675
38,6.251153927812941e-05
39,0.00043047642804779155
40,3.5437193006327728e-06
41,8.078887712757038e-05
42,-3.0678616804673214e-05
43,-0.0004389141924587165
44,-0.0010845790351751254
45,-0.0008809396666161769
46,3.664313286965185e-05
47,-0.002179416137962166
48,-0.0009351601604814882
49,0.0006163926435285088
50,0.0036839733620628945
51,0.004228434031831316
52,7.162401127825608e-06
53,8.723339913855635e-05
54,-7.088166184275847e-05
55,-0.0013130326999144628
56,-8.689227564778241e-05
57,0.0010368264701877395
58,0.0006448073492904543
59,0.004946891526511084
60,0.0006683498787286564
61,-0.0020914118531480657
62,0.0027067030462081918
63,0.0035902828521012825
64,-3.1765071961974403e-06
65,0.0013003891223204998
66,-0.0008278440021498527
67,0.0006401957914982111
68,0.0008365405960039401
69,0.0009507544426303854
70,-0.0014482260364509908
71,0.0007721355278680809
72,-4.064992140402609e-05
73,-0.00018336149907759695
74,-0.00010553538087606268
75,-0.00033788064412702026
76,-0.0008893831554807679
77,0.00036348261319925736
78,0.0012580977510726929
79,0.0028206665246889614
80,6.103881120023563e-05
81,-0.0003817627546353765
82,0.0002048638374365671
83,-0.0010186454942434345
84,-0.0001258797031365793
85,-0.0006449598421387422
86,0.0001655324326408684
87,-0.0008168284786081868
88,-0.00015297538057408805
89,-2.5137925682106553e-05
90,-0.000286177336486776
91,0.00017911548372623762
92,-0.0009826596348675046
93,0.0007755629283649239
94,0.002164338426232877
95,0.007550979651008659
96,0.0016894606716011155
97,-3.8616629988948525e-05
98,-0.00010356633615312777
99,0.0015659120926404795
100,-1.8297138769347675e-05
101,0.00021717593625946444
102,-0.0001186282101596087
103,-2.696416448561537e-05
104,-0.00045542924867591084
105,0.00012542184209997037
106,0.000226193758909432
107,-0.0003659765686513383
108,0.0007758765234587478
109,-0.0003166284550534999
110,-0.002721872278400099
111,-0.005743665196349459
112,-0.00010628004183680224
113,-0.0009898000294673998
114,0.00043265725752115027
115,-0.001907313739450971
116,0.0004582438591426001
117,0.0018430621021785889
118,-0.0006625955090445399
119,0.005155324518239983
120,0.0026985737899406694
121,0.00044061918269887643
122,-0.0018365386702685787
123,0.006437385132990373
124,-0.00019852887110985244
125,0.0019177554909958427
126,0.0016616215917950269
127,0.00949396827625069
128,-4.4923368844501684e-05
129,0.00032500587661028817
130,-0.0005099626415650037
131,-0.0011222643629390588
132,4.1101395378973287e-05
133,-0.0015025409310770264
134,-0.0009384058682651306
135,-0.007115007670031628
136,6.958248061630484e-05
137,-0.00010380596026729567
138,-0.00022810791637162544
139,9.335487610870887e-05
140,-5.669699878623053e-05
141,-0.000369252130811041
142,0.0003825382117276986
143,-0.0002459306270216215
144,-1.3019146160085188e-05
145,5.7232534769036274e-05
146,2.244695471667814e-05
147,1.5005338657651504e-05
148,2.9987853781516046e-05
149,-7.465308739131725e-05
150,-0.00016777011507251055
151,-0.0007431075169357633
152,0.0003929498474284109
153,-0.0009274736284689561
154,0.004603601548610768
155,0.014281561900494594
156,-2.7260237062772532e-05
157,-0.0002612832584148769
158,0.00010788071425545384
159,-0.00045386719918384774
160,-0.00015803614909537644
161,8.623316101232253e-05
162,-0.00010085377492450822
163,-0.00032523983508874686
164,0.00048356847402491435
165,3.988657051037617e-05
166,-1.3738940743590205e-05
167,-3.2310697516259995e-05
168,-0.0002570594761526609
169,-4.561749702714423e-06
170,-1.0545103595909207e-07
171,-0.00038501496711277456
172,0.000184700763118296
173,-7.942275800610816e-05
174,7.669045224752949e-06
175,-6.842776625094163e-05
176,0.0003463763356559055
177,-7.596738193912559e-05
178,0.00035578523385044867
179,-2.141889986907577e-05
180,-0.0007944636588505534
181,-0.001307936674195066
182,0.002217318857810819
183,-0.0007679590168273083
184,-0.0005579357470219258
185,0.0008843426188267639
186,-2.853263828449366e-05
187,0.0006902665136450435
188,-0.0002923185908429953
189,0.001477079095825985
190,-0.00020988834842767656
191,0.002602528396284627
192,-9.160718767636243e-05
193,8.853269955081468e-06
194,2.2549730823706636e-05
195,9.617786190187684e-05
196,0.00038317382767342627
197,1.3894113916027771e-06
198,-0.00016110783948762721
199,0.00037014010875717566
200,0.0008243601742808038
201,0.0001623986583603532
202,4.2588208356214016e-05
203,0.00261248170398321
204,9.597709586765853e-05
205,-0.007482591000329806
206,-0.0007871884153039517
207,-0.023967990675151218
208,-3.380820396885224e-05
209,8.01369907038937e-05
210,8.59851603388805e-05
211,0.0004294936713906433
212,0.0003388288269742664
213,-4.1507592909191064e-05
214,-6.90126040762249e-05
215,0.0003767371461860052
216,-8.777654872772063e-05
217,-4.271515348509073e-06
218,6.454975837749163e-07
219,-6.621251614267512e-05
220,-0.00044204257772685455
221,-0.0011587676976026625
222,0.0005885489417816594
223,-0.003934816339179261
224,-8.733471913022999e-05
225,1.4021010394325208e-05
226,3.783866541503179e-05
227,-2.523357406685973e-05
228,-0.0005027286214021
229,-0.00032227849856183885
230,1.7876765976423252e-06
231,-9.021560817597779e-05
232,0.00028448411475002366
233,-0.0005524329657379941
234,-1.1266709898599107e-06
235,-0.0006764764867447155
236,0.0001333437134321095
237,3.3300262202743774e-07
238,9.45409020189606e-05
239,0.00038093677218454755
240,0.0001169004240698226
241,-5.661372963232062e-05
242,2.5287187567162273e-07
243,-0.00018117522130300362
244,5.678142035524291e-05
245,1.1850604118140522e-05
246,-0.0001380485163404085
247,0.00010455351970920917
248,7.270210432066129e-05
249,-0.00015743534072786477
250,4.785109464296217e-05
251,0.00035904328365969645
252,-0.00026637359225290306
253,0.0031283220773128803
254,-0.001144160607065024
255,0.00271764840572599
256,0.0005740519378314565
257,0.0006213213659167232
258,-0.0005532951708767574
259,0.0014054607336532316
260,0.0003619829744646702
261,-0.0007156715589036808
262,0.0011861739169386368
263,0.0034302695589482177
264,0.0009342143137271277
265,0.0005278380882451572
266,-0.00038579327115548635
267,0.0019842549549703957
268,-9.725275020736708e-05
269,-1.45134929401741e-05
270,-0.0001020733065175422
271,-0.0008193257148253684
272,-0.00018181064010255472
273,3.06701347713918e-05
274,-0.00010048322685249041
275,-0.0005640574374201291
276,0.0028202626699697564
277,0.0009769158360593633
278,-0.007570197208715644
279,-0.009725503668357482
280,-0.0020833424079188855
281,0.005412518242205378
282,-0.005380926901482292
283,-0.0069670628395309435
284,0.00010804042055614356
285,-0.00022149364454924792
286,-3.859656816328273e-06
287,-0.0004087144244921953
288,4.36257260775726e-05
289,1.0906745524681154e-05
290,4.6932289403228274e-05
291,0.0003561737371726263
292,0.0005905796293716223
293,-0.00027283880031483824
294,-0.00028645047702143873
295,-0.00038376433287755
296,0.0001271400015691531
297,-3.0397228751190736e-05
298,-5.0681160150864844e-05
299,-4.384686685973907e-05
300,-0.0010964694281391126
301,0.0016291467905579194
302,-0.0009681135301416668
303,-0.001943106784696767
304,-1.0992057888472198e-05
305,0.00045308939157207
306,-9.455307393709721e-05
307,0.0004425293537367796
308,0.0001044440630906129
309,-0.00015080346874616325
310,-0.00024033211058653532
311,-0.00029401550818297764
312,-0.0003683000070711351
313,-0.000711235751833705
314,0.0012391028726369468
315,0.0010008130889074924
316,-0.00046443736880341944
317,-0.00019977139748624415
318,0.0004965480693975579
319,-0.00022324980029938535
320,-0.0003370055920747152
321,4.723031948599598e-05
322,-0.00015457247731534722
323,0.0008831190295410792
324,0.0002631231359142171
325,0.00010023667081099239
326,-9.665160428363685e-05
327,0.000588812654392637
328,0.00048633310583230855
329,-0.000747463147636281
330,5.219954603712348e-06
331,0.00013704064617710068
332,-0.00028755590565167724
333,-0.0004728711059489285
334,-0.0008231404048913443
335,0.0002956104460893214
336,-2.3332784749901163e-05
337,1.084326317231392e-05
338,0.0005085148670020875
339,0.0012683949785365879
340,-0.0004930466015760822
341,6.0315501619325126e-05
342,0.00021283240792494402
343,0.0008880221075263917
344,4.090064693543682e-05
345,-0.00010524524722694509
346,4.356634726609373e-05
347,-0.0006203376966073628
348,-0.00032499333786096537
349,0.0009447466362202314
350,-0.00045967381007100313
351,0.0008848059664333552
352,3.238320146079307e-05
353,-2.3706387167043928e-05
354,-3.530215193807202e-08
355,5.1799817670802394e-05
356,0.00042733964818809553
357,-6.728331397836096e-06
358,-0.001159509833429083
359,0.0013663552956388397
360,0.0004520913657945056
361,0.0017478232840673084
362,0.00028034043530487864
363,0.002255070843529225
364,-0.0003295898393876462
365,-0.00028541789534406684
366,0.0009043088147095958
367,0.0008169567549967283
368,0.0019881194544008507
369,0.0003430282688500585
370,-0.0008187890668976694
371,0.0027944950280703665
372,0.0002953228870774383
373,-0.0002180580717175923
374,-0.00029384853160535764
375,-6.63896860109361e-05
376,0.005163096312992415
377,-0.0004241373342759239
378,0.0006122700626476164
379,0.018453068972622732
380,0.003154038666433216
381,0.001226398759557341
382,-0.0053693023861085655
383,0.0037865514116803933
384,-7.106057095642155e-05
385,0.00020770862648576783
386,-0.00038326140568000513
387,5.539712692361075e-05
388,9.785069233898579e-05
389,0.0009088555649330739
390,-0.0002286327270519901
391,0.0020737532095790826
392,0.00010564918524361262
393,-0.000584920550595323
394,-0.0002342032588991231
395,-0.0005830279895087132
396,-7.64037365902113e-05
397,0.0002534659424029531
398,1.370163189522235e-05
399,-0.0004039855985830754
400,0.00046552178713511495
401,0.00023434256310267838
402,-1.8401961334707804e-05
403,0.001449252566595844
404,0.0024547677920799785
405,-0.0006585245675776106
406,0.0013867392606453132
407,0.009060324624251286
408,0.00011913642860006547
409,0.0002304556150061491
410,0.00027071133831637
