,mathpass_ed_hybridper_inf
0,0.0003331312164935615
1,1.2818853258702334e-06
2,0.0005194547793384925
3,-2.3564455057269285e-05
4,0.0003255976230572271
5,0.00027125727450696415
6,2.008088884135568e-05
7,0.0009546907639443212
8,-0.0003805547800256873
9,0.00038221953570944403
10,-0.00016962732929287372
11,0.0011001652265013762
12,-0.0016654779913295927
13,-8.450045027139654e-06
14,0.0001512771919736462
15,-0.0007536558859056201
16,-0.0008809478877154191
17,-0.020231937910329945
18,-0.001549704590573166
19,-0.07560022535969109
20,-0.0002642348193632621
21,5.4302393001267884e-05
22,-0.00012091162630606297
23,-0.0011872151099609541
24,0.001150108152972753
25,0.00031071611238293445
26,0.00011084583144758147
27,0.005217864160015647
28,-0.00522203656739613
29,7.395972746982773e-05
30,0.0013046967845619672
31,-0.012185421344515727
32,-0.0008911808464000122
33,0.00018464050921906676
34,-0.004087074918937009
35,-0.018143228234257323
36,-0.000492505846960709
37,-0.0003010302746805113
38,1.3411764345506075e-05
39,-0.0011858026185966575
40,9.967663635494519e-06
41,6.414094208839882e-05
42,-2.871844744089195e-06
43,-0.0008298657874219565
44,0.00029959536974802424
45,-0.00029380821032276696
46,8.005103652770279e-05
47,3.427166980690303e-05
48,-0.0025134393227245963
49,0.00046181654163015407
50,0.001569055779920712
51,0.003823192353841037
52,1.9881893974675894e-05
53,-0.00035328179565259285
54,2.3119456541063316e-05
55,-0.0016023100817695248
56,5.594907379657639e-05
57,-0.00033300550892039843
58,8.051075799152867e-05
59,-0.001467891353134874
60,-0.00016818994461321494
61,0.0003954068716453842
62,-0.00021434663597047783
63,-0.0006289376989514939
64,-1.1251993737188402e-06
65,0.00025060827234278665
66,-0.0002181430923761691
67,0.00017097674392852277
68,0.0002444608658034218
69,0.00016317472941536273
70,-0.0004300354859222573
71,0.00019367843079613333
72,6.828117123454863e-05
73,2.9653204664616992e-05
74,7.474534695523335e-05
75,3.8765583624571874e-05
76,-0.0007136011291594184
77,0.0004796137755713016
78,0.0015752834237050593
79,0.0031152352236298105
