,mathpass_ed_virtualper_inf
0,0.0011905258555998752
1,-5.45075750289545e-05
2,0.0012768796763721188
3,-1.383862723903751e-05
4,0.0007230857119179949
5,7.286432260348875e-05
6,7.44749584515333e-05
7,0.0002880201227984469
8,-0.0030541253668937233
9,-0.0009462159348470954
10,0.0004384852986690618
11,-0.007046512236573711
12,-0.004442660254773869
13,-1.4574565197462696e-06
14,7.009123705471989e-05
15,-0.004176055954727631
16,2.5143498366362866e-05
17,-0.0029387444362638797
18,0.0003764749524468654
19,0.002059927596076197
20,-0.0008496336956308608
21,0.00035056245355026593
22,-0.0003403275870538646
23,-0.004871745701599436
24,-0.0033098507408767038
25,-0.0009857555590299437
26,-0.00019055089563003714
27,-0.013652008359789292
28,-1.969136697972517e-05
29,3.784186288178811e-06
30,-0.0002481188133211018
31,0.0004829533765928239
32,-2.4996767853003863e-05
33,2.3698972565715722e-05
34,0.0015822049671090483
35,0.0012717797915880922
36,-0.0006253611751530682
37,-0.0002466887860260091
38,-6.947680630439926e-05
39,-0.0010224094123394095
40,-5.161039520736448e-06
41,-0.00011322540181348342
42,0.0007678261341249462
43,0.0011411075905953887
44,-0.00032082826761489866
45,0.00040124787405000726
46,-0.0005353220325296964
47,0.0005088048882597715
48,-0.0001550150909643231
49,-0.0006392027009934539
50,-0.002151869479223816
51,-0.00259568203335716
52,-1.0022391000456554e-05
53,0.0007105812353980441
54,8.815998597491588e-05
55,0.002624698567767959
56,5.5488254914095625e-05
57,-0.00025249087398142815
58,0.0001163790024999416
59,-0.0012445557827637694
60,-0.00017281238575010224
61,0.0011236817794292749
62,-0.0008827103007224227
63,-0.0013049445838376609
64,1.405146875449774e-06
65,-0.00094887372049665
66,0.0005285736839020487
67,-0.00039000059119886747
68,-0.0006700089807175111
69,-0.0010013100507843084
70,0.0014115859732926046
71,-0.0007316474180956093
72,4.4666174077837244e-05
73,0.0003974933678290928
74,0.00023642142387748997
75,0.0008481206264249903
76,0.000854614973198557
77,-0.00015752788758223465
78,-0.0004748818150083871
79,-0.0017219291872044718
80,-0.002590189733611194
81,-0.004556583021485597
82,0.0015943214443917223
83,-0.016931188533098617
84,9.474575207610723e-05
85,0.00038370749137421915
86,-0.0001794280035987173
87,0.0006013794445252165
88,0.0003757270933069095
89,3.641670531751268e-05
90,-0.00024084546365757588
91,-9.517549225882348e-06
92,0.0005246055871360278
93,-0.00017636858015392036
94,-0.0013479617051545105
95,-0.003536394499573346
96,-0.0012943926895001392
97,-3.064079560190353e-05
98,0.00011394554265606413
99,-0.00077926608274179
100,-8.929113862519745e-06
101,-0.0002966105712620365
102,0.00012517423848666353
103,1.673092957163326e-05
104,0.0005475359406824339
105,-8.138832444209527e-05
106,-9.128998395623806e-05
107,0.000277234502262098
108,0.0011425102541449477
109,-0.00029098660183050364
110,0.005215415614594574
111,-0.0004967331527287497
112,0.0001394792439069902
113,0.0008802876832703149
114,-0.0005111838224813749
115,0.002101949524127517
116,-0.0002807300999591656
117,-0.0014475193182764718
118,0.0006389250944058891
119,-0.003968558370700537
120,-7.127195905214474e-05
121,-0.00037561691635368787
122,0.0015216222065848905
123,-0.003971929692501595
124,0.00025720713609197354
125,-0.0021619646147736744
126,-0.0013813457514591974
127,-0.009994322068664008
128,2.3270133518866196e-05
129,-0.0002629134253955001
130,0.00038595021681321417
131,0.0008043857033089054
132,-1.2491159517880338e-05
133,0.0017015772701613875
134,0.0011614167295499187
135,0.006600260401031512
136,4.0300062473646716e-05
137,0.00046458196600314416
138,0.00024333431647476593
139,0.00010469992150328086
140,4.0038519766161065e-05
141,-7.657916423502853e-05
142,-0.00019861386273702073
143,9.712667077819913e-05
144,-0.000584122570039853
145,1.1232049298347673e-05
146,3.4269588422502204e-05
147,7.368780159635856e-05
148,2.7911066806938438e-05
149,5.100725357281096e-05
150,0.00028603890102641625
151,0.0004311755980391568
152,-0.0003334943972399712
153,0.0007347129906854629
154,-0.0038767928094810243
155,-0.011788800810059933
156,-0.00010041592034214555
157,0.00025874237224879517
158,-0.00013865716973063537
159,0.00037602681106436417
160,4.1840421482540736e-05
161,0.0001990928019273685
162,-2.795341609761775e-05
163,-0.00018001468389121182
164,-0.0001361945263837692
165,-0.0002984578833156462
166,-0.00010578869817948106
167,-5.20581174380395e-05
168,0.00027265093349037087
169,-8.576827092238577e-06
170,5.547767572063216e-07
171,0.00021334052571214421
172,-0.00018427432074929025
173,2.5515030097249575e-05
174,-0.00020501684202137185
175,-8.101775978657868e-06
176,-0.0006830162302300667
177,-0.0001732688710112854
178,-0.00042283966761023554
179,-6.462015512561689e-05
180,0.0003455969898864575
181,0.0011766307815894393
182,-0.002153968744612212
183,0.0006132133271659486
184,0.0002609452661102048
185,-0.0004965141263456557
186,2.8427022738552795e-05
187,-0.0004941879635070084
188,0.00017877043657821718
189,-0.0009843976216005437
190,0.00016735315422870288
191,-0.0018041497017030614
192,0.00011950854855120672
193,2.6338538461809982e-05
194,-0.00018761887674137353
195,5.659851688864293e-07
