,mathpass_in_hybridper_inf
0,-0.001993186121395496
1,-0.0005419246861213007
2,0.0017460190382387253
3,-0.0011420793274235779
4,-6.807072309880531e-05
5,1.8520707119233555e-05
6,-3.24675001728657e-05
7,0.0002823507813732037
8,-8.611949643617424e-05
9,-0.0002814468030969928
10,0.0002532513449922204
11,-0.0016460123941729311
12,-0.0016959644165176562
13,0.0003736928001602686
14,-0.000410109935145821
15,-0.0067583209965330375
16,-0.0012350891842246206
17,-0.02838982452769076
18,-0.0024899888943476917
19,-0.11044055935515654
20,-0.0007827126186030452
21,0.000348463975933342
22,-0.001873547192338199
23,-0.006809992635747645
24,0.000914533853041618
25,0.0003775289114302405
26,0.00012964094772713693
27,0.0054546300632954065
28,-0.011090688895583425
29,0.00015941951738620658
30,0.003013884944889143
31,-0.02669813401686642
32,-0.0025913144477854072
33,0.0005591304368255588
34,-0.013978967582464552
35,-0.05642652506517881
36,0.0003114309383513516
37,0.0001345418224339024
38,-7.564728697874853e-05
39,0.0008189660536688834
40,2.543423768481359e-06
41,6.082582373971879e-05
42,-0.0004960339455342798
43,-0.0006561808492830182
44,0.0008202831649491461
45,0.0004705855606303813
46,0.00010732857493119048
47,0.0013348632915204202
48,0.00032413243698399514
49,4.94264369081369e-05
50,-0.0006206247467308791
51,-0.0004819206762523734
52,-1.218062749912179e-06
53,-0.00021136199785531555
54,1.0825883520378563e-05
55,-9.62201578254016e-06
56,8.115811716693109e-05
57,-0.0011694948719307102
58,-0.0009314614665004174
59,-0.00572730801660216
60,-0.0005251424298004797
61,0.001423867418610274
62,-0.002068158389297597
63,-0.002683800304987594
64,-7.56886191805166e-07
65,0.00027731297586999315
66,-0.00024734440453652216
67,0.00016008065569817498
68,0.00035395123697928453
69,0.00044322041149561674
70,-0.0007123919004887776
71,0.0003559114459361695
72,-5.6196511238858134e-05
73,4.5346533071401544e-05
74,-3.762418218245486e-06
75,0.00017001832175546493
76,-0.0030977053116467354
77,0.0015046028433796253
78,0.004822182328352165
79,0.010694403792420577
80,0.00208678151780576
81,0.00409271875897819
82,-0.0014620175540265182
83,0.014752900701968566
84,0.0009057812634758761
85,0.0038599372731467968
86,-0.002451489767340124
87,0.006439649176491987
88,0.0025341324815497434
89,-0.00014618704876466314
90,-0.001691129576876746
91,0.0018778478993981638
92,0.0013619855467643246
93,-0.0012573545543044836
94,-0.0032468620521692647
95,-0.011282951421731795
96,-0.00032414074089367356
97,3.8153878017601386e-05
98,-3.503792165675457e-06
99,-0.0005017250747340425
100,4.388807256287471e-05
101,-0.00023476578073045384
102,0.00024847767645161135
103,4.86843002726506e-05
104,3.503619873958714e-05
105,-2.9754894099618978e-05
106,-8.107966381092204e-05
107,8.045529985193922e-05
108,0.008679860787044393
109,-0.003361586058803262
110,-0.02843059266846733
111,-0.0616101985124678
112,-5.029294008193131e-05
113,-0.0001504236955355694
114,0.00011168527711171771
115,-0.000523147541209507
116,7.410161224326927e-05
117,0.0003376448616656079
118,-0.00019045957147160214
119,0.001049839390582545
120,0.0006918096025047695
121,0.00018128951484135215
122,-0.0008145380879242562
123,0.0024520444205271916
124,-0.0003504939746304431
125,0.0015446910939499736
126,0.0012213327234746711
127,0.009362927462567562
128,-1.379059047108097e-05
129,7.926220433327436e-05
130,-0.0001944869607203505
131,-0.00033896431276610623
132,-1.263566585730636e-05
133,-5.523503000128816e-05
134,-9.555657562450439e-05
135,0.00029987153788070065
136,-6.225405631442809e-05
137,-0.0001675228638403608
138,1.1970974311358205e-05
139,-0.00010712433627238308
140,-0.00018459861584739392
141,-0.0017333720268305753
142,0.0016043265424364273
143,-0.0009676252706009818
144,0.0003288703443015322
145,-3.805404084960483e-05
146,-2.8072046027712415e-05
147,-4.7906045589320146e-05
148,9.820713330918425e-06
149,-4.4754795189704874e-05
150,-0.00029722917529562305
151,-0.000641145335370344
152,3.458553027679703e-05
153,-5.565427016891461e-05
154,0.0003938370546898648
155,0.0010960301794302857
156,-0.00011703864306472315
157,-0.00014329557519872634
158,0.00017209585194669183
159,-0.0004675730332936122
160,8.20355018189567e-05
161,-0.00014864137024932594
162,7.129295828339874e-05
163,0.00028376913869111535
164,-0.0002389084518904377
165,0.0001288736477009382
166,5.457600777042123e-05
167,4.646356002182898e-05
168,0.00018091794624070727
169,1.8740040616788714e-05
170,2.0800770566542626e-06
171,0.000714228332680143
172,-1.7450466699020227e-05
173,3.18770381923568e-05
174,9.358755736938813e-05
175,4.243348510713008e-05
176,-0.0001288768200317473
177,0.00025277819255512023
178,0.0002188470900173741
179,0.000301762755474667
180,-8.248077563169541e-05
181,-0.00029814351645592757
182,0.0005168202294384492
183,-0.00015023013130384364
184,-0.00014840847180148874
185,0.00018623790487928485
186,-9.798894311703968e-06
187,0.00019293598762069175
188,-8.899820746856788e-05
189,0.000355020607125365
190,-6.272842980618809e-05
191,0.000727938686856162
192,-8.452589978003205e-06
193,-2.3652226760957244e-05
194,7.683715232724257e-05
195,-5.279666164300214e-05
196,-9.030429602964659e-05
197,-2.842145330608123e-05
198,0.00016176178982000645
199,-0.00043946413140586425
200,-2.3054871749837234e-05
201,-0.00023877007368559817
202,-8.302359646927777e-05
203,-0.001582769854493472
204,-7.245691670773249e-06
205,0.00011803353820896465
206,-3.787254117996722e-05
207,0.00019378820111376813
208,-5.329257493667546e-06
209,-3.39614518995139e-05
210,-0.00010051431192595393
211,-0.0001617910686062991
212,-0.00010681801245340574
213,2.0710975137008545e-05
214,3.337689239189178e-05
215,-0.0001552646071545614
216,-7.747299407016166e-05
217,9.847476031123714e-06
218,3.8080313023850655e-06
219,-0.00013984950071207043
220,0.0011396682089299332
221,0.0020681646824358873
222,-0.0008783211074172289
223,0.007357647985494196
224,1.420257076988096e-05
225,-2.9914778854475067e-05
226,-2.0768441261842405e-05
227,1.440250936116623e-05
228,0.00036242705484399384
229,-0.000419922601331124
230,3.2323224555528254e-05
231,0.0002085793690347331
232,-1.2957133821985436e-05
233,-1.6138513086477646e-05
234,2.9805254023660793e-06
235,0.00016142682884596625
236,0.00042497739384292403
237,-1.3956346102328968e-05
238,0.0005098894050915159
239,0.0024978897478650113
240,-8.71384150412096e-07
241,0.00011662869375131205
242,0.00010650748134804077
243,0.0003317852312043391
244,0.0013798615094826462
245,-4.583002439624444e-05
246,-0.0022198252708982014
247,-0.0020373990359573158
248,1.6146564919212593e-05
249,0.00020252855349802958
250,-0.00024346976194406723
251,-0.0001263650318923645
252,-0.00025078907800950235
253,0.0016738335861097137
254,-0.0005401660358327382
255,0.0016638834437316446
256,0.011346912850346903
257,0.006568641576758101
258,-0.012671371818544047
259,0.022791357204200387
260,0.0002618813413648513
261,-0.00034097801171445636
262,0.0007361975985202335
263,0.0020421727302237847
264,-0.0001448087243406302
265,-0.0004946827000984214
266,6.980216696341657e-05
267,-0.000716656370222705
268,3.5795290797832e-06
269,-1.1055072919483064e-05
270,-6.593699046103295e-05
271,-0.0004401169467592554
272,-5.920937163418283e-05
273,-5.724855174330358e-05
274,3.8626501353562926e-05
275,0.00018453147294928294
276,0.0007018207361646532
277,0.00014785346866163905
278,-0.0007776465081418839
279,-0.0015982320856108166
280,0.005195320752263143
281,-0.01023594475352106
282,0.009361576739861465
283,0.013843768551733259
284,-5.1834534789082103e-05
285,2.849691954587021e-05
286,-1.9350291625872465e-06
287,9.635594616502417e-05
288,0.00015754950108415363
289,0.0002923547001417694
290,0.00015611400261677472
291,0.0016996215463777062
292,-0.00025322266211943843
293,0.0001109173690613896
294,0.00017310219326296914
295,0.0001784990815039358
296,-0.0044584824287768115
297,0.003638605787273786
298,0.0011772843112824926
299,0.0016500731670114764
300,0.00025357836824843973
301,-0.00031980188417061556
302,5.755766001061353e-05
303,0.0002759847296959628
304,1.6272811462542413e-05
305,-0.0002445921316582654
306,2.396974930836226e-06
307,-0.00019002833881815636
308,-0.0004839953184018063
309,0.00026386884091959134
310,0.00034036284651815405
311,0.0006111628391438289
312,-0.00015173179491606947
313,-0.0002685229989155366
314,0.00040989944604769024
315,0.00037466189442200714
316,-0.0003466114368737804
317,-0.00023454711918174443
318,0.00028827784924991966
319,-0.00017346632673821133
320,6.197149323697082e-05
321,-5.35153597944459e-05
322,-0.00033104106717465415
323,-0.0005988939655365604
324,-9.711309243380551e-05
325,-0.00020387222009871282
326,9.636043046440412e-05
327,-0.00042245354021165345
328,-0.00046463215342153587
329,0.0005442009115484507
330,-8.027305590005845e-06
331,-0.00013032299177972092
332,8.347751322316533e-05
333,0.0002798292405298267
334,0.00016334467737164922
335,2.552464236147376e-05
336,-0.00017702317281271079
337,0.00010170295716201907
338,0.0033572420702534748
339,0.009659986848865106
340,-0.00011214424476944407
341,-8.501365357961673e-05
342,-0.00014317685161499563
343,-0.0001296562870589595
344,0.0009144856388546308
345,-0.003786599486884979
346,0.000324703397862074
347,-0.008208734989500189
348,0.0003776961786978195
349,-0.0009172877766157407
350,0.00042944817113056444
351,-0.0009146956855353112
352,-0.0003917720095299123
353,-0.0007248661411194792
354,7.642580150446214e-05
355,-0.0031424728673129097
356,0.0037681616446612392
357,0.008988407346026324
358,-0.007196154095105884
359,0.01512676410379509
360,-0.0001437627263138292
361,-0.0015145432251995712
362,0.00032622476656851126
363,-0.002142685200298199
364,0.00173045457426754
365,0.0009088282178159472
366,-0.0038040941116341503
367,-0.0033220129992302346
368,0.04913616305499373
369,0.01697868091423226
370,-0.032428811619487366
371,0.09789708188479941
372,7.90997087365607e-05
373,-0.0001133770974149423
374,-0.0002049328773396888
375,-3.4720795404971576e-05
376,0.07566973809689491
377,-0.009380277192968125
378,0.010627216314719823
379,0.32360542375958135
380,0.0792289937495496
381,0.02805036574921976
382,-0.08089039239240708
383,0.07626260081761577
384,1.4237522348677739e-05
385,-0.0002344767377663241
386,0.00011485226067528937
387,-2.2853596934407076e-05
388,-2.070032687826181e-06
389,-0.0005717095710685558
390,0.00031452233627055163
391,-0.0008834938208652001
392,0.016592523813213408
393,-0.013665639635068763
394,-0.012129455693119627
395,-0.025489489927249632
396,0.003198888442384008
397,-0.0013725272522350585
398,-0.00037119260575861623
399,0.004491722489626225
400,0.0001407424120161318
401,-0.00011274889269400125
402,7.903357786195433e-05
403,-0.00047421174487495294
404,-0.00024641333811778487
405,2.7616072293454112e-05
406,4.895755129001264e-07
407,-0.0004458371860817745
408,0.00015462956106038466
409,-0.00019011780800200234
410,-1.2287776947906794e-05
411,-0.0005295398013794081
412,-5.688763690967857e-05
413,6.503804655826447e-05
414,-8.065004559147365e-07
415,3.471219852375564e-05
416,0.00053786959097424
417,-0.00019598328314380048
418,-0.00011313997628903998
419,-0.0008667115187025986
420,0.0002039388568039817
421,0.00042717434452456995
422,-0.0006143222555286033
423,-0.0015356663079914505
424,0.0022472360350988675
425,-0.00114966357397856
426,0.0010947351857555309
427,0.006057339596661173
428,-5.28139182317083e-05
429,0.0001474014065395841
430,-5.552439172646587e-05
431,-0.00025783572266111345
432,-0.0013463838083837393
433,-0.0012787670221753485
434,0.0005501562849075068
435,-0.002670899439746631
436,-1.3011764941091656e-05
437,-0.00014570156226672277
438,0.00019982832619801322
439,-0.00031833389455236834
440,2.3240001816832276e-06
441,8.112679204025364e-05
442,-9.489879536688238e-05
443,-1.5670343352973973e-05
444,-2.1890804476518915e-05
445,-7.131921225150615e-05
446,9.994649528277135e-05
447,-0.0001704683899482434
448,6.995049403450254e-05
449,-0.0003073642204994039
450,-3.45674643139558e-05
451,-0.0003779449494400836
452,8.73537341125166e-05
453,-0.00028872449893073947
454,0.00017700888353300553
455,0.0006097625298872073
456,7.166779809499763e-05
457,-0.0002990303729862502
458,0.0001940436195631985
459,-7.203162303143868e-05
460,-0.00021399799952494283
461,1.452322951614327e-05
462,-0.00036163207799118596
463,-0.0008044022703671566
464,-2.230927014185958e-05
465,2.354175260080356e-05
466,-3.064655441288515e-05
467,0.00010765534337895558
468,1.3585129384774413e-06
469,-0.00011351505389817535
470,2.6736346369680865e-05
471,5.082724554573916e-05
472,-4.4917532293738096e-05
473,-0.00031981759270854166
