,mathpass_wi_virtualper_inf
0,-0.00025325786772449795
1,6.403450865279597e-05
2,-0.00081474905762497
3,0.00014156181400313772
4,-0.00037876812972352666
5,-0.00014774206793945953
6,-2.6880594546593246e-05
7,-0.0005848643212566044
8,-0.0008535422041842375
9,-0.0004966574023591686
10,0.00010057675952961186
11,-0.0024500998841952898
12,-0.0013756536165679559
13,0.00017874646324691083
14,-0.0002979038877440469
15,-0.004436137931209753
16,-4.034748952671825e-06
17,0.0012194681195367963
18,0.00025984371687579766
19,0.005130781782162239
20,0.000633009861119747
21,-0.0002345991525058619
22,0.0013090198737876716
23,0.00492117715118814
24,0.0010247650383969048
25,2.1599754918462e-05
26,4.8301443603676914e-05
27,0.002539591266632737
28,-0.0001698437054250214
29,8.709465914001113e-07
30,-0.000403035602705777
31,0.0009542050947378276
32,4.691226306702437e-05
33,6.530264771541523e-06
34,0.0009823172519709965
35,0.0015030218575451135
36,-7.983362915016943e-05
37,-0.00011817076446846087
38,-4.491291143039527e-05
39,-0.0002012350442870053
40,1.1747331665402776e-05
41,-1.5194716207508153e-05
42,0.0002898416283507346
43,-0.0005782763453302875
44,0.00012120583881155751
45,-5.739168407956427e-05
46,0.00013340539491466473
47,-3.733523573716821e-05
48,-0.0013741628350502177
49,0.0003065293806127127
50,0.002024270309518579
51,0.0028848253335840585
52,2.3009109807398237e-05
53,9.606900681163821e-05
54,1.0846210010805595e-05
55,-0.001490248084767223
56,-5.978128932189443e-05
57,0.0006530027198095805
58,0.0002374115645230914
59,0.0028147386528544873
60,0.0003103063562621982
61,-0.0008001620026588564
62,0.0015245219709427427
63,0.0016999710769326525
64,-1.7835080040124886e-06
65,0.00038562056177369325
66,-0.0005181131531447602
67,0.0003141946938391369
68,0.000315079764930051
69,0.00045566241493693026
70,-0.0009232736297800945
71,0.00038491106356342545
72,6.27827031408803e-05
73,5.533574186020241e-05
74,-6.802658516926872e-05
75,-0.0002294812281455269
76,-0.0004628089420921994
77,0.00015327157093442375
78,-6.018564591199467e-05
79,0.000843514935264537
80,-4.1715720979022126e-05
81,-0.0004736638443026421
82,0.00010492317244927498
83,-0.0010165621406463727
84,-9.381665063665626e-05
85,-0.0003126069310793014
86,0.00022475655389833987
87,-0.000595148332843134
88,0.0003891286994877359
89,2.754586702688234e-06
90,5.4825507279426464e-05
91,6.275460350332539e-05
92,-0.0003595892700571994
93,0.0004888907302704569
94,0.0016317655901744894
95,0.004304567402064973
96,6.057505710950126e-05
97,-1.7021418180081185e-05
98,-0.00012543536202845492
99,0.0004708261632746585
100,-4.5406273947213234e-05
101,0.00011616967830736227
102,-0.00026648590013020817
103,-4.470406817863294e-05
104,0.00016416377633161433
105,-7.286966041390258e-06
106,-5.101893783797413e-05
107,7.393236371101189e-05
108,-0.0007495786367581166
109,5.364118841196405e-05
110,-0.0032453933573642407
111,-0.0004138772191728035
112,-4.9350895482712965e-05
113,7.729218938880518e-07
114,7.013302417493094e-05
115,-0.00034221272880101086
116,0.00026207348113046824
117,0.0005243790787424159
118,-0.0003124364389885932
119,0.002282439524796474
120,0.000565605205099284
121,0.00020593106651283695
122,-0.0011664633167014014
123,0.0029572941411974817
124,-0.00017359750131646062
125,0.0005563246962429859
126,0.0009572872293687453
127,0.0049687404672512136
128,-2.6187181837978694e-05
129,0.00011364452432175305
130,-0.0003546773187925006
131,-0.0005785592804937227
132,1.9352937293534796e-05
133,-0.00037267588547050415
134,-0.00038967514463252896
135,-0.002558413879580069
136,9.675158666887425e-06
137,0.00014768735726757782
138,5.5053353052942766e-05
139,3.6329263103116866e-05
140,-1.4632995466685526e-05
141,-0.00029117096425165307
142,0.00030877889237757185
143,-0.00013966611414069783
144,0.0003095104267677508
145,4.5699990607255564e-05
146,8.203195940658609e-06
147,-2.4851951489373466e-05
148,1.0748201112219552e-05
149,-4.621827253701569e-05
150,-0.00021225480168912103
151,-0.0005480215457546576
152,0.00018542899110006482
153,-0.00039721910667147204
154,0.002150461478480804
155,0.006484639772799925
156,-7.949437467763963e-05
157,-5.1702250712560034e-05
158,2.018514732934394e-05
159,-0.0001525422550277514
160,-9.608969345450015e-06
161,4.9243291955798785e-06
162,-2.1722669468836884e-06
163,-1.3767123292214868e-05
164,-0.0002970933295949316
165,5.40003003399359e-05
166,-0.00012109991539263951
167,1.628256047986732e-05
168,-0.00011410416052827568
169,1.0093740183126157e-05
170,8.712159212117695e-07
171,0.00011910320867262299
172,0.00015171604411010664
173,-3.119554835977125e-05
174,-2.6431743095747372e-05
175,-5.148071052592598e-05
176,-0.00023853115157812367
177,0.00013869197998012526
178,0.00018729451750332447
179,0.00024750630299128943
180,-0.0005324955194462199
181,-0.0006073983473779224
182,0.0008682742325791053
183,-0.00037914526415711117
184,-0.00038010835185183856
185,0.0004964685323161881
186,-1.3882823648265216e-05
187,0.0003876722872892063
188,-0.00015286913474393167
189,0.0005087981732187312
190,-8.332483988252757e-05
191,0.0010856429450670328
192,-9.267475322901002e-05
193,8.273902375397391e-05
194,-4.7285107319748464e-05
195,0.00017148956501642764
196,0.00024946327002666824
