,drop_drop
0,4158-4737arizona
1,4197-4838arizona
2,060162010170001
3,15016299025022C
4,4157-4727arizona
5,4235-4981arizona
6,4154-4717arizona
7,15016299025062C
8,7820613-0613georgia
9,631-1054georgia
10,4158-4735arizona
11,4286-78847arizona
12,4245-5140arizona
13,4242-6015arizona
14,7820108-0108georgia
15,79077-79099arizona
16,644-4054georgia
17,667-0189georgia
18,4403-5764arizona
19,150162990250617
20,4389-5610arizona
21,1110-3475colorado
22,340490600260022
23,4235-4980arizona
24,070162330160001
25,4286-5437arizona
26,060162010170002
27,4403-5762arizona
28,070162050170001
29,4192-90191arizona
30,4192-4819arizona
31,150162990250862
32,4466-8135arizona
33,340491260170001
34,530903030160002
35,010011720220003
36,4445-89859arizona
37,15016299025060C
38,4368-5565arizona
39,4288-5452arizona
40,15016299025065C
41,150162990250022
42,4156-4724arizona
43,4449-5944arizona
44,4156-4723arizona
45,041012050250004
46,611-0198georgia
47,633-2066georgia
48,4403-5758arizona
49,631-0115georgia
50,330482050260023
51,4192-4820arizona
52,310450460220002
53,667-1817georgia
54,613-1050georgia
55,2180-9149colorado
56,15016299025056C
57,15016299025064C
58,4242-92892arizona
59,4285-5434arizona
60,644-0810georgia
61,4286-5441arizona
62,4288-85810arizona
63,4394-5637arizona
64,1420-0033colorado
65,1420-0965colorado
66,79569-79570arizona
67,4239-79823arizona
68,2180-6058colorado
69,15016299025107C
70,784-0111georgia
71,4192-4817arizona
72,4285-5427arizona
73,0290-0443colorado
74,79879-6348arizona
75,510841860250001
76,170544040160001
77,130582000170001
78,080891450220001
79,060162090170001
80,644-4053georgia
81,633-0807georgia
82,618-0190georgia
83,631-0290georgia
84,706-2062georgia
85,500821890220043
86,070162150170002
87,761-4560georgia
88,761-0315georgia
89,070162050170002
90,761-0192georgia
91,320461110250014
92,706-5062georgia
93,761-4058georgia
94,2296-60wisconsin
95,4235-4983arizona
96,4488-6127arizona
97,4406-6055arizona
98,410570110260001
99,310450460220001
100,070162180160001
101,4509-6193arizona
102,92043-92044arizona
103,4781-180wisconsin
104,4501-180wisconsin
105,2793-60wisconsin
106,675-0101georgia
107,1140-1266colorado
108,070162270170002
109,041012050250001
110,767-2050georgia
111,633-4066georgia
112,633-2056georgia
113,633-0373georgia
114,607-3052georgia
115,3120-3614colorado
116,3120-3610colorado
117,3090-1446colorado
118,706-5052georgia
119,3619-14wisconsin
120,660-0176georgia
121,8001-6219colorado
122,4407-5826arizona
123,79875-78817arizona
124,070162150170001
125,070162050170003
126,781-0101georgia
127,667-0176georgia
128,644-5052georgia
129,2690-2394colorado
130,631-4058georgia
131,2690-1454colorado
132,0980-0469colorado
133,0880-7361colorado
134,0880-2641colorado
135,0880-2209colorado
136,0880-0067colorado
137,0180-4024colorado
138,0180-3354colorado
139,0180-1458colorado
140,0030-0024colorado
141,0020-6956colorado
142,0020-0210colorado
143,150162990250020
144,150162990250043
145,510841860250003
146,310451310220001
147,060162090170002
148,4394-5635arizona
149,4390-5613arizona
150,4390-5612arizona
151,4396-5644arizona
152,4157-4728arizona
153,4412-5847arizona
154,4412-90822arizona
155,413-200wisconsin
156,3619-8wisconsin
157,3619-32wisconsin
158,3619-29wisconsin
159,3619-12wisconsin
160,3269-840wisconsin
161,3269-420wisconsin
